Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,MY,Miri,humidity,48,62.0,100.0,88.0,1557.85
2022-01-01,MY,Miri,wind-speed,44,0.5,5.1,2.0,19.15
2022-01-02,MY,Miri,humidity,48,70.0,100.0,88.0,945.09
2022-01-02,MY,Miri,wind-speed,46,0.5,4.6,2.0,10.14
2022-01-03,MY,Miri,humidity,48,66.0,100.0,83.0,1360.57
2022-01-03,MY,Miri,wind-speed,42,1.0,4.1,2.0,8.67
2022-01-04,MY,Miri,humidity,48,66.0,100.0,83.0,1230.0
2022-01-04,MY,Miri,wind-speed,48,0.5,4.1,1.5,6.34
2022-01-05,MY,Miri,wind-speed,46,1.0,3.6,2.0,8.91
2022-01-05,MY,Miri,humidity,48,62.0,100.0,88.0,1143.24
2022-01-06,MY,Miri,humidity,48,66.0,100.0,88.0,1228.49
2022-01-06,MY,Miri,wind-speed,48,0.5,3.6,1.5,5.62
2022-01-07,MY,Miri,humidity,48,70.0,100.0,88.0,968.49
2022-01-07,MY,Miri,wind-speed,46,0.5,3.6,1.5,7.0
2022-01-08,MY,Miri,humidity,48,66.0,100.0,83.0,1296.86
2022-01-08,MY,Miri,wind-speed,40,1.0,4.1,2.0,9.64
2022-01-09,MY,Miri,wind-speed,46,0.5,5.1,2.5,14.12
2022-01-09,MY,Miri,humidity,48,62.0,100.0,83.0,1348.87
2022-01-10,MY,Miri,wind-speed,48,0.5,4.6,3.0,21.72
2022-01-10,MY,Miri,humidity,48,66.0,100.0,88.0,1279.13
2022-01-11,MY,Miri,humidity,48,59.0,94.0,83.0,1412.48
2022-01-11,MY,Miri,wind-speed,46,1.0,7.7,4.1,47.07
2022-01-12,MY,Miri,humidity,48,78.0,100.0,88.0,376.01
2022-01-12,MY,Miri,wind-speed,48,1.5,5.6,3.0,12.43
2022-01-13,MY,Miri,humidity,48,79.0,100.0,88.0,435.3
2022-01-13,MY,Miri,wind-speed,46,1.5,6.6,3.6,22.15
2022-01-14,MY,Miri,humidity,48,74.0,100.0,94.0,491.33
2022-01-14,MY,Miri,wind-speed,46,0.5,4.6,2.0,13.34
2022-01-15,MY,Miri,wind-speed,40,0.5,3.6,2.0,9.01
2022-01-15,MY,Miri,humidity,46,74.0,100.0,88.0,905.7
2022-01-16,MY,Miri,humidity,46,70.0,100.0,88.0,1003.98
2022-01-16,MY,Miri,wind-speed,42,1.0,4.1,2.5,9.55
2022-01-17,MY,Miri,humidity,48,74.0,100.0,94.0,731.05
2022-01-17,MY,Miri,wind-speed,36,1.0,4.6,2.5,14.68
2022-01-18,MY,Miri,humidity,48,70.0,100.0,83.0,1065.09
2022-01-18,MY,Miri,wind-speed,44,1.5,6.1,3.0,18.61
2022-01-19,MY,Miri,humidity,48,70.0,94.0,88.0,545.8
2022-01-19,MY,Miri,wind-speed,46,1.5,4.6,3.0,10.83
2022-01-20,MY,Miri,wind-speed,38,0.5,4.6,2.0,9.69
2022-01-20,MY,Miri,humidity,48,83.0,100.0,100.0,199.98
2022-01-21,MY,Miri,humidity,48,78.0,100.0,94.0,814.73
2022-01-21,MY,Miri,wind-speed,34,1.0,3.0,1.5,4.08
2022-01-22,MY,Miri,humidity,28,70.0,100.0,94.0,1144.39
2022-01-22,MY,Miri,wind-speed,20,0.5,3.0,1.0,5.82
2022-01-23,MY,Miri,humidity,32,70.0,94.0,74.0,524.48
2022-01-23,MY,Miri,wind-speed,30,0.5,4.1,2.0,10.04
2022-01-24,MY,Miri,humidity,48,70.0,100.0,94.0,794.45
2022-01-24,MY,Miri,wind-speed,46,1.0,4.6,1.5,11.62
2022-01-25,MY,Miri,wind-speed,44,1.0,3.0,2.0,5.58
2022-01-25,MY,Miri,humidity,48,74.0,100.0,88.0,1079.13
2022-01-26,MY,Miri,humidity,48,83.0,100.0,94.0,249.77
2022-01-26,MY,Miri,wind-speed,40,0.5,5.1,1.5,13.97
2022-01-27,MY,Miri,humidity,48,79.0,100.0,94.0,569.2
2022-01-27,MY,Miri,wind-speed,40,0.5,4.6,1.5,14.43
2022-01-28,MY,Miri,humidity,48,70.0,100.0,94.0,1175.3
2022-01-28,MY,Miri,wind-speed,44,0.5,4.1,1.5,6.43
2022-01-29,MY,Miri,humidity,48,70.0,100.0,83.0,1285.51
2022-01-29,MY,Miri,wind-speed,42,1.0,3.0,1.5,3.69
2022-01-30,MY,Miri,wind-speed,42,0.5,2.5,1.5,3.0
2022-01-30,MY,Miri,humidity,48,83.0,100.0,94.0,157.86
2022-01-31,MY,Miri,humidity,48,66.0,100.0,88.0,1516.31
2022-01-31,MY,Miri,wind-speed,40,1.0,4.1,2.0,5.3
2022-02-01,MY,Miri,humidity,48,74.0,100.0,94.0,857.0
2022-02-01,MY,Miri,wind-speed,44,1.0,4.1,2.0,8.73
2022-02-02,MY,Miri,humidity,48,74.0,100.0,88.0,785.74
2022-02-02,MY,Miri,wind-speed,38,1.0,3.6,1.5,6.55
2022-02-03,MY,Miri,humidity,48,66.0,100.0,88.0,931.06
2022-02-03,MY,Miri,wind-speed,36,1.0,5.1,2.0,17.51
2022-02-04,MY,Miri,wind-speed,42,1.0,7.2,2.0,36.81
2022-02-04,MY,Miri,humidity,48,66.0,100.0,94.0,1570.9
2022-02-05,MY,Miri,humidity,48,66.0,100.0,88.0,1381.21
2022-02-05,MY,Miri,wind-speed,38,0.5,4.1,2.0,11.7
2022-02-06,MY,Miri,humidity,48,66.0,100.0,94.0,1479.93
2022-02-06,MY,Miri,wind-speed,44,1.0,10.2,2.0,38.94
2022-02-07,MY,Miri,humidity,48,70.0,100.0,88.0,1107.45
2022-02-07,MY,Miri,wind-speed,36,0.5,3.6,2.0,8.02
2022-02-08,MY,Miri,humidity,48,70.0,100.0,94.0,818.94
2022-02-08,MY,Miri,wind-speed,42,0.5,3.6,1.5,9.92
2022-02-09,MY,Miri,humidity,48,74.0,100.0,94.0,948.92
2022-02-09,MY,Miri,wind-speed,46,1.0,3.0,2.0,4.65
2022-02-10,MY,Miri,wind-speed,44,0.5,5.1,3.0,18.98
2022-02-10,MY,Miri,humidity,48,74.0,100.0,94.0,983.81
2022-02-11,MY,Miri,humidity,48,70.0,100.0,88.0,888.92
2022-02-11,MY,Miri,wind-speed,46,1.0,3.6,2.0,5.74
2022-02-12,MY,Miri,humidity,48,74.0,100.0,94.0,1059.5
2022-02-12,MY,Miri,wind-speed,42,1.0,4.1,2.0,8.04
2022-02-13,MY,Miri,humidity,48,66.0,100.0,88.0,1501.97
2022-02-13,MY,Miri,wind-speed,42,1.0,4.6,2.5,9.17
2022-02-14,MY,Miri,humidity,48,70.0,100.0,94.0,951.7
2022-02-14,MY,Miri,wind-speed,38,1.0,6.1,2.0,14.49
2022-02-15,MY,Miri,wind-speed,48,0.5,6.1,2.0,30.24
2022-02-15,MY,Miri,humidity,48,70.0,100.0,88.0,1227.07
2022-02-16,MY,Miri,humidity,48,66.0,100.0,88.0,1274.45
2022-02-16,MY,Miri,wind-speed,36,1.0,2.5,1.5,1.97
