Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,HU,Miskolc,humidity,115,97.2,100.0,100.0,3.42
2022-01-01,HU,Miskolc,pm10,120,20.0,92.0,50.0,2503.29
2022-01-01,HU,Miskolc,pm25,120,70.0,173.0,122.0,10095.1
2022-01-01,HU,Miskolc,precipitation,5,99.0,99.0,99.0,0.0
2022-01-01,HU,Miskolc,wind-speed,110,1.0,3.0,1.0,4.17
2022-01-02,HU,Miskolc,precipitation,10,99.1,99.1,99.1,0.0
2022-01-02,HU,Miskolc,pm25,106,61.0,172.0,124.0,10733.4
2022-01-02,HU,Miskolc,wind-speed,110,1.0,3.0,1.0,7.09
2022-01-02,HU,Miskolc,humidity,120,93.1,100.0,100.0,19.17
2022-01-02,HU,Miskolc,pm10,106,7.0,85.0,44.0,3270.75
2022-01-03,HU,Miskolc,humidity,120,48.2,100.0,59.2,4782.92
2022-01-03,HU,Miskolc,pm10,117,3.0,62.0,16.0,2332.87
2022-01-03,HU,Miskolc,pm25,116,13.0,158.0,55.0,15550.6
2022-01-03,HU,Miskolc,wind-speed,120,1.0,8.0,2.0,57.83
2022-01-04,HU,Miskolc,humidity,120,68.0,93.9,90.8,534.46
2022-01-04,HU,Miskolc,pm10,120,3.0,72.0,16.0,1899.48
2022-01-04,HU,Miskolc,pm25,120,17.0,169.0,61.0,10352.2
2022-01-04,HU,Miskolc,wind-speed,120,1.0,6.0,3.0,23.46
2022-01-05,HU,Miskolc,wind-speed,120,1.0,5.0,3.0,13.94
2022-01-05,HU,Miskolc,precipitation,5,0.4,0.4,0.4,0.0
2022-01-05,HU,Miskolc,pm25,118,13.0,161.0,46.0,18817.9
2022-01-05,HU,Miskolc,pm10,118,2.0,76.0,13.0,2839.42
2022-01-05,HU,Miskolc,humidity,120,60.2,95.3,76.1,1657.08
2022-01-06,HU,Miskolc,humidity,120,44.0,76.1,54.1,425.95
2022-01-06,HU,Miskolc,pm10,116,3.0,114.0,10.0,2134.05
2022-01-06,HU,Miskolc,pm25,107,9.0,95.0,34.0,2770.14
2022-01-06,HU,Miskolc,wind-speed,115,1.0,5.0,3.0,13.88
2022-01-07,HU,Miskolc,pm25,120,30.0,181.0,78.0,19321.0
2022-01-07,HU,Miskolc,wind-speed,115,1.0,4.0,1.0,5.64
2022-01-07,HU,Miskolc,humidity,115,44.0,85.1,74.2,2239.83
2022-01-07,HU,Miskolc,pm10,120,8.0,92.0,32.0,4637.92
2022-01-08,HU,Miskolc,humidity,120,61.0,89.0,79.0,635.59
2022-01-08,HU,Miskolc,pm10,118,20.0,82.0,51.0,1449.87
2022-01-08,HU,Miskolc,pm25,119,91.0,177.0,132.0,4088.9
2022-01-08,HU,Miskolc,wind-speed,95,0.5,2.0,1.0,1.21
2022-01-09,HU,Miskolc,humidity,120,79.3,96.3,92.0,332.83
2022-01-09,HU,Miskolc,pm10,119,36.0,101.0,60.0,787.65
2022-01-09,HU,Miskolc,pm25,120,112.0,193.0,157.0,860.5
2022-01-09,HU,Miskolc,wind-speed,120,0.5,2.0,1.0,2.19
2022-01-10,HU,Miskolc,wind-speed,120,1.0,12.0,2.0,62.96
2022-01-10,HU,Miskolc,pm25,116,46.0,169.0,153.0,17318.0
2022-01-10,HU,Miskolc,pm10,116,13.0,78.0,55.0,2962.55
2022-01-10,HU,Miskolc,humidity,120,51.9,96.3,74.8,1965.45
2022-01-11,HU,Miskolc,humidity,120,60.2,81.0,63.0,489.78
2022-01-11,HU,Miskolc,pm10,120,7.0,77.0,17.0,2021.51
2022-01-11,HU,Miskolc,pm25,119,25.0,169.0,53.0,12214.0
2022-01-11,HU,Miskolc,wind-speed,120,1.0,14.0,12.0,104.12
2022-01-12,HU,Miskolc,humidity,120,48.9,84.8,65.3,996.59
2022-01-12,HU,Miskolc,pm10,120,10.0,98.0,37.0,4388.08
2022-01-12,HU,Miskolc,pm25,118,53.0,181.0,95.0,13164.5
2022-01-12,HU,Miskolc,wind-speed,120,1.0,11.0,2.0,138.83
2022-01-13,HU,Miskolc,wind-speed,120,1.0,4.0,1.0,7.56
2022-01-13,HU,Miskolc,pm25,119,122.0,178.0,156.0,1465.25
2022-01-13,HU,Miskolc,humidity,120,63.9,91.3,82.1,816.67
2022-01-13,HU,Miskolc,pm10,118,34.0,89.0,61.0,1107.98
2022-01-14,HU,Miskolc,humidity,120,90.7,97.8,96.3,31.2
2022-01-14,HU,Miskolc,pm10,120,50.0,80.0,62.0,368.12
2022-01-14,HU,Miskolc,pm25,118,142.0,167.0,158.0,146.08
2022-01-14,HU,Miskolc,precipitation,10,99.0,99.0,99.0,0.0
2022-01-14,HU,Miskolc,wind-speed,120,1.0,3.0,1.0,3.32
2022-01-15,HU,Miskolc,wind-speed,110,1.0,3.0,1.0,2.69
2022-01-15,HU,Miskolc,precipitation,5,99.0,99.0,99.0,0.0
2022-01-15,HU,Miskolc,pm10,120,28.0,93.0,50.0,2071.81
2022-01-15,HU,Miskolc,humidity,110,87.0,97.8,94.8,91.75
2022-01-15,HU,Miskolc,pm25,119,85.0,177.0,129.0,5740.09
2022-01-16,HU,Miskolc,humidity,115,90.9,96.3,94.1,40.91
2022-01-16,HU,Miskolc,pm10,120,24.0,67.0,38.0,1439.02
2022-01-16,HU,Miskolc,pm25,118,68.0,160.0,112.0,6727.92
2022-01-16,HU,Miskolc,precipitation,5,99.0,99.0,99.0,0.0
2022-01-16,HU,Miskolc,wind-speed,100,1.0,4.0,1.0,7.58
2022-01-17,HU,Miskolc,pm25,120,17.0,158.0,85.0,14453.1
2022-01-17,HU,Miskolc,wind-speed,100,1.0,13.0,6.0,137.25
2022-01-17,HU,Miskolc,precipitation,15,0.2,99.8,99.0,23431.2
2022-01-17,HU,Miskolc,pm10,120,5.0,59.0,25.0,2165.61
2022-01-17,HU,Miskolc,humidity,120,48.1,97.1,79.0,3440.29
2022-01-18,HU,Miskolc,humidity,120,48.0,83.3,52.9,1590.95
2022-01-18,HU,Miskolc,pm10,120,6.0,86.0,32.0,4647.81
2022-01-18,HU,Miskolc,pm25,120,21.0,182.0,82.0,23189.3
2022-01-18,HU,Miskolc,precipitation,5,99.0,99.0,99.0,0.0
2022-01-18,HU,Miskolc,wind-speed,115,1.0,13.0,5.0,118.99
2022-01-19,HU,Miskolc,wind-speed,120,1.0,6.1,2.0,30.01
2022-01-19,HU,Miskolc,pm25,120,65.0,180.0,132.0,10549.4
2022-01-19,HU,Miskolc,pm10,120,18.0,84.0,47.0,2154.96
2022-01-19,HU,Miskolc,humidity,120,61.5,92.0,86.0,953.73
2022-01-20,HU,Miskolc,humidity,120,52.0,100.0,82.1,2047.72
2022-01-20,HU,Miskolc,pm10,120,2.0,66.0,35.0,3826.09
2022-01-20,HU,Miskolc,pm25,118,25.0,164.0,102.0,22194.5
2022-01-20,HU,Miskolc,precipitation,10,99.0,99.2,99.0,0.11
2022-01-20,HU,Miskolc,wind-speed,120,1.0,7.2,4.0,25.27
2022-01-21,HU,Miskolc,pm25,117,13.0,74.0,34.0,1790.27
2022-01-21,HU,Miskolc,wind-speed,120,1.0,5.0,3.0,8.08
2022-01-21,HU,Miskolc,humidity,120,41.0,68.1,53.0,583.91
2022-01-21,HU,Miskolc,pm10,118,4.0,27.0,10.0,322.93
2022-01-22,HU,Miskolc,humidity,120,47.0,85.0,62.0,1125.73
2022-01-22,HU,Miskolc,pm10,119,7.0,47.0,20.0,1177.03
2022-01-22,HU,Miskolc,pm25,118,25.0,117.0,53.0,5765.64
2022-01-22,HU,Miskolc,wind-speed,120,1.0,7.2,2.0,21.62
2022-01-23,HU,Miskolc,wind-speed,120,1.0,7.2,2.0,40.76
2022-01-23,HU,Miskolc,humidity,120,43.0,76.1,60.5,1374.21
2022-01-23,HU,Miskolc,pm10,119,9.0,52.0,25.0,949.54
2022-01-23,HU,Miskolc,pm25,119,21.0,142.0,70.0,5579.3
2022-01-24,HU,Miskolc,wind-speed,120,0.7,5.1,1.0,12.25
2022-01-24,HU,Miskolc,pm25,120,30.0,174.0,74.0,19377.9
2022-01-24,HU,Miskolc,humidity,120,41.0,80.2,59.1,1355.26
2022-01-24,HU,Miskolc,pm10,120,9.0,109.0,31.0,5792.38
2022-01-25,HU,Miskolc,humidity,110,62.1,85.3,76.2,431.89
2022-01-25,HU,Miskolc,pm10,120,28.0,86.0,59.0,751.59
2022-01-25,HU,Miskolc,pm25,120,114.0,174.0,154.0,1630.67
2022-01-25,HU,Miskolc,wind-speed,88,1.0,2.0,1.0,1.66
2022-01-26,HU,Miskolc,wind-speed,67,1.0,2.0,1.0,2.18
2022-01-26,HU,Miskolc,humidity,117,73.8,97.8,79.9,399.0
2022-01-26,HU,Miskolc,pm10,118,49.0,97.0,67.0,698.32
2022-01-26,HU,Miskolc,pm25,117,124.0,187.0,162.0,791.7
2022-01-27,HU,Miskolc,wind-speed,108,1.0,4.0,1.0,7.2
2022-01-27,HU,Miskolc,precipitation,4,99.0,99.0,99.0,0.0
2022-01-27,HU,Miskolc,humidity,111,75.9,97.8,88.9,518.37
2022-01-27,HU,Miskolc,pm10,111,15.0,102.0,60.0,3664.52
2022-01-27,HU,Miskolc,pm25,111,68.0,184.0,155.0,7799.06
2022-01-28,HU,Miskolc,precipitation,10,99.0,99.2,99.1,0.04
2022-01-28,HU,Miskolc,humidity,120,47.2,100.0,63.1,3176.3
2022-01-28,HU,Miskolc,pm10,104,3.0,69.0,16.0,3573.18
2022-01-28,HU,Miskolc,pm25,103,13.0,168.0,53.0,24873.7
2022-01-28,HU,Miskolc,wind-speed,120,1.0,7.0,3.0,34.25
2022-01-29,HU,Miskolc,wind-speed,117,1.0,4.0,2.0,7.29
2022-01-29,HU,Miskolc,precipitation,9,0.1,99.1,99.1,27225.0
