Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,JP,Miyazaki,humidity,132,25.2,86.3,61.0,3309.87
2022-01-01,JP,Miyazaki,pm10,144,2.0,16.0,8.0,100.34
2022-01-01,JP,Miyazaki,pm25,125,5.0,70.0,38.0,2325.99
2022-01-01,JP,Miyazaki,wind-speed,132,0.5,6.6,2.0,21.53
2022-01-02,JP,Miyazaki,humidity,126,37.1,83.8,70.0,2517.97
2022-01-02,JP,Miyazaki,pm10,143,1.0,20.0,8.0,111.0
2022-01-02,JP,Miyazaki,pm25,131,5.0,61.0,38.0,2044.87
2022-01-02,JP,Miyazaki,precipitation,8,99.0,99.0,99.0,0.0
2022-01-02,JP,Miyazaki,wind-speed,126,0.5,5.1,3.0,7.9
2022-01-03,JP,Miyazaki,wind-speed,144,1.0,6.1,3.0,14.12
2022-01-03,JP,Miyazaki,pm25,135,5.0,97.0,34.0,2823.13
2022-01-03,JP,Miyazaki,humidity,144,38.0,87.8,67.1,2261.99
2022-01-03,JP,Miyazaki,pm10,141,3.0,16.0,8.0,102.23
2022-01-04,JP,Miyazaki,humidity,144,26.0,80.3,59.1,2498.56
2022-01-04,JP,Miyazaki,pm10,139,2.0,30.0,13.0,314.66
2022-01-04,JP,Miyazaki,pm25,140,5.0,95.0,50.0,3576.28
2022-01-04,JP,Miyazaki,wind-speed,144,1.5,5.1,3.0,10.99
2022-01-05,JP,Miyazaki,humidity,138,51.3,92.2,68.9,1098.43
2022-01-05,JP,Miyazaki,pm10,135,4.0,21.0,13.0,150.94
2022-01-05,JP,Miyazaki,pm25,141,5.0,80.0,53.0,1791.21
2022-01-05,JP,Miyazaki,precipitation,6,99.0,99.0,99.0,0.0
2022-01-05,JP,Miyazaki,wind-speed,138,1.0,5.1,3.0,9.93
2022-01-06,JP,Miyazaki,wind-speed,144,0.5,5.6,2.5,15.86
2022-01-06,JP,Miyazaki,precipitation,24,0.1,99.5,1.1,25521.2
2022-01-06,JP,Miyazaki,pm25,136,5.0,107.0,42.0,3522.41
2022-01-06,JP,Miyazaki,pm10,141,1.0,18.0,7.0,126.84
2022-01-06,JP,Miyazaki,humidity,144,57.9,99.3,84.3,1268.49
2022-01-07,JP,Miyazaki,humidity,144,40.0,97.9,84.9,3634.29
2022-01-07,JP,Miyazaki,pm10,140,1.0,14.0,7.0,66.33
2022-01-07,JP,Miyazaki,pm25,121,5.0,61.0,38.0,1774.49
2022-01-07,JP,Miyazaki,wind-speed,144,0.5,5.1,1.5,12.79
2022-01-08,JP,Miyazaki,humidity,132,67.1,93.8,87.2,671.75
2022-01-08,JP,Miyazaki,pm10,142,4.0,20.0,10.0,111.86
2022-01-08,JP,Miyazaki,pm25,132,5.0,132.0,42.0,2914.77
2022-01-08,JP,Miyazaki,precipitation,18,99.0,99.0,99.0,0.0
2022-01-08,JP,Miyazaki,wind-speed,132,0.5,5.1,2.5,9.23
2022-01-09,JP,Miyazaki,wind-speed,132,0.5,5.1,2.5,12.43
2022-01-09,JP,Miyazaki,pm25,131,5.0,109.0,46.0,2611.48
2022-01-09,JP,Miyazaki,pm10,143,1.0,49.0,10.0,240.62
2022-01-09,JP,Miyazaki,humidity,132,49.2,95.1,78.8,2471.98
2022-01-10,JP,Miyazaki,humidity,132,51.9,95.2,83.3,2375.03
