Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,CA,Montréal,humidity,415,76.2,100.0,93.0,468.77
2022-01-01,CA,Montréal,pm25,432,15.0,146.0,93.0,6125.54
2022-01-01,CA,Montréal,wind-speed,265,0.2,7.1,1.5,15.58
2022-01-02,CA,Montréal,humidity,448,7.0,93.5,79.0,2031.81
2022-01-02,CA,Montréal,pm25,298,3.0,67.0,12.0,1762.57
2022-01-02,CA,Montréal,wind-speed,254,0.1,7.7,2.1,32.9
2022-01-03,CA,Montréal,humidity,452,59.0,88.0,73.0,701.63
2022-01-03,CA,Montréal,pm25,393,3.0,84.0,25.0,3471.27
2022-01-03,CA,Montréal,wind-speed,281,0.1,5.8,1.6,18.95
2022-01-04,CA,Montréal,humidity,450,62.0,93.0,77.2,778.47
2022-01-04,CA,Montréal,pm25,420,15.0,92.0,38.0,1563.7
2022-01-04,CA,Montréal,wind-speed,285,0.2,6.1,2.0,15.61
2022-01-05,CA,Montréal,humidity,448,54.0,97.0,76.0,586.89
2022-01-05,CA,Montréal,pm25,436,24.0,101.0,54.0,4930.43
2022-01-05,CA,Montréal,wind-speed,281,0.2,7.6,2.2,17.65
2022-01-06,CA,Montréal,wind-speed,233,0.1,14.1,5.6,148.03
2022-01-06,CA,Montréal,pm25,444,9.0,88.0,41.0,2787.67
2022-01-06,CA,Montréal,humidity,446,55.0,97.8,73.6,420.38
2022-01-07,CA,Montréal,humidity,452,65.5,92.8,83.0,611.64
2022-01-07,CA,Montréal,pm25,432,9.0,57.0,30.0,1362.82
2022-01-07,CA,Montréal,wind-speed,263,0.2,12.8,2.2,64.37
2022-01-08,CA,Montréal,humidity,449,50.0,89.5,70.0,564.49
2022-01-08,CA,Montréal,pm25,403,3.0,71.0,24.0,2749.66
2022-01-08,CA,Montréal,wind-speed,293,0.2,16.0,3.0,91.17
2022-01-09,CA,Montréal,wind-speed,288,0.2,18.0,3.3,132.06
2022-01-09,CA,Montréal,pm25,442,12.0,81.0,38.0,1798.45
2022-01-09,CA,Montréal,humidity,444,50.0,100.0,79.0,1327.39
2022-01-10,CA,Montréal,humidity,402,39.0,81.6,58.6,880.46
2022-01-10,CA,Montréal,pm25,367,3.0,61.0,18.0,1028.53
2022-01-10,CA,Montréal,wind-speed,265,0.1,16.0,4.3,93.79
2022-01-11,CA,Montréal,humidity,372,44.0,80.1,61.0,703.2
2022-01-11,CA,Montréal,pm25,392,14.0,125.0,52.0,2234.98
2022-01-11,CA,Montréal,wind-speed,245,0.1,8.6,3.6,38.71
2022-01-12,CA,Montréal,wind-speed,265,0.1,7.7,1.5,20.61
2022-01-12,CA,Montréal,humidity,422,54.0,92.0,82.0,1036.48
2022-01-12,CA,Montréal,pm25,383,21.0,126.0,61.0,3004.65
2022-01-13,CA,Montréal,humidity,453,69.0,94.0,85.0,517.1
2022-01-13,CA,Montréal,pm25,373,44.0,110.0,59.0,1636.92
2022-01-13,CA,Montréal,wind-speed,284,0.1,5.2,2.0,9.48
2022-01-14,CA,Montréal,humidity,440,39.0,94.0,68.0,1951.76
2022-01-14,CA,Montréal,pm25,360,6.0,122.0,35.0,10153.2
2022-01-14,CA,Montréal,wind-speed,288,0.1,11.8,4.1,69.54
2022-01-15,CA,Montréal,humidity,430,40.0,75.0,57.0,715.54
2022-01-15,CA,Montréal,pm25,358,15.0,99.0,33.0,1365.43
2022-01-15,CA,Montréal,wind-speed,289,0.5,8.8,4.1,38.35
2022-01-16,CA,Montréal,humidity,448,51.0,84.0,69.0,884.86
2022-01-16,CA,Montréal,pm25,424,27.0,89.0,51.0,1466.17
2022-01-16,CA,Montréal,wind-speed,287,0.3,7.2,2.8,20.53
2022-01-17,CA,Montréal,wind-speed,294,0.5,12.8,4.2,70.13
2022-01-17,CA,Montréal,pm25,414,9.0,80.0,29.0,3922.33
2022-01-17,CA,Montréal,humidity,434,59.2,100.0,88.2,776.77
2022-01-18,CA,Montréal,humidity,454,46.0,98.0,66.0,1279.34
2022-01-18,CA,Montréal,pm25,370,6.0,89.0,27.0,1974.4
2022-01-18,CA,Montréal,wind-speed,305,0.2,13.5,3.0,114.97
2022-01-19,CA,Montréal,humidity,452,60.0,96.0,84.0,897.8
2022-01-19,CA,Montréal,pm25,428,30.0,99.0,52.0,914.17
2022-01-19,CA,Montréal,wind-speed,282,0.4,8.5,2.4,27.37
2022-01-20,CA,Montréal,humidity,449,50.0,95.1,67.0,779.81
2022-01-20,CA,Montréal,pm25,393,12.0,92.0,29.0,2060.95
2022-01-20,CA,Montréal,wind-speed,296,0.1,12.0,3.6,73.46
2022-01-21,CA,Montréal,humidity,449,53.0,85.2,72.1,890.18
2022-01-21,CA,Montréal,pm25,404,18.0,142.0,47.0,4161.29
2022-01-21,CA,Montréal,wind-speed,273,0.1,5.2,2.0,19.69
2022-01-22,CA,Montréal,pm25,403,55.0,157.0,88.0,4299.56
2022-01-22,CA,Montréal,wind-speed,269,0.3,6.4,2.0,28.69
2022-01-22,CA,Montréal,humidity,446,58.7,91.0,76.1,867.34
2022-01-23,CA,Montréal,wind-speed,264,0.1,10.6,1.5,41.82
2022-01-23,CA,Montréal,pm25,444,15.0,142.0,59.0,8497.52
2022-01-23,CA,Montréal,humidity,450,46.0,92.5,66.2,1430.11
2022-01-24,CA,Montréal,humidity,424,48.4,88.6,66.8,1245.87
2022-01-24,CA,Montréal,pm25,401,27.0,142.0,59.0,2801.88
2022-01-24,CA,Montréal,wind-speed,239,0.1,6.4,1.5,10.54
2022-01-25,CA,Montréal,humidity,431,60.0,90.0,77.0,870.28
