Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,JP,Nagano,humidity,96,59.2,94.9,76.3,1223.89
2022-01-01,JP,Nagano,pm10,53,1.0,17.0,5.0,227.63
2022-01-01,JP,Nagano,pm25,60,5.0,34.0,13.0,535.62
2022-01-01,JP,Nagano,precipitation,8,99.0,99.0,99.0,0.0
2022-01-01,JP,Nagano,wind-speed,96,0.5,6.6,2.0,18.65
2022-01-02,JP,Nagano,humidity,96,54.1,97.1,84.3,1760.09
2022-01-02,JP,Nagano,pm10,72,1.0,20.0,7.0,250.23
2022-01-02,JP,Nagano,pm25,73,5.0,55.0,21.0,1717.01
2022-01-02,JP,Nagano,precipitation,4,99.0,99.0,99.0,0.0
2022-01-02,JP,Nagano,wind-speed,88,0.5,2.0,1.0,1.99
2022-01-03,JP,Nagano,wind-speed,96,0.5,3.6,1.5,6.4
2022-01-03,JP,Nagano,precipitation,8,0.2,0.2,0.2,0.0
2022-01-03,JP,Nagano,humidity,96,65.2,97.1,85.8,1140.28
2022-01-03,JP,Nagano,pm10,70,1.0,20.0,6.0,234.17
2022-01-03,JP,Nagano,pm25,92,5.0,53.0,17.0,1154.42
2022-01-04,JP,Nagano,humidity,96,82.1,97.8,93.0,317.29
2022-01-04,JP,Nagano,pm10,81,1.0,20.0,9.0,216.43
2022-01-04,JP,Nagano,pm25,83,5.0,55.0,25.0,2207.59
2022-01-04,JP,Nagano,precipitation,16,0.1,0.4,0.3,0.13
2022-01-04,JP,Nagano,wind-speed,88,0.5,8.6,2.0,51.28
2022-01-05,JP,Nagano,precipitation,8,99.0,99.0,99.0,0.0
2022-01-05,JP,Nagano,pm25,85,5.0,50.0,13.0,816.31
2022-01-05,JP,Nagano,wind-speed,96,0.1,7.4,2.0,28.12
2022-01-05,JP,Nagano,humidity,96,69.8,94.1,87.3,365.54
2022-01-05,JP,Nagano,pm10,66,1.0,25.0,7.0,302.73
2022-01-06,JP,Nagano,humidity,96,62.4,94.0,87.1,901.04
2022-01-06,JP,Nagano,pm10,84,1.0,29.0,10.0,274.06
2022-01-06,JP,Nagano,pm25,92,5.0,68.0,34.0,1887.16
2022-01-06,JP,Nagano,wind-speed,88,0.5,2.0,1.0,1.95
2022-01-07,JP,Nagano,humidity,96,67.3,94.9,84.8,609.83
2022-01-07,JP,Nagano,pm10,80,1.0,32.0,9.0,384.14
2022-01-07,JP,Nagano,pm25,86,5.0,74.0,25.0,4586.42
2022-01-07,JP,Nagano,precipitation,16,99.0,99.0,99.0,0.0
2022-01-07,JP,Nagano,wind-speed,96,0.5,5.6,2.0,24.75
2022-01-08,JP,Nagano,wind-speed,88,0.5,2.0,1.0,2.18
2022-01-08,JP,Nagano,precipitation,8,99.0,99.0,99.0,0.0
2022-01-08,JP,Nagano,pm25,90,5.0,78.0,30.0,2470.21
2022-01-08,JP,Nagano,humidity,96,45.1,94.0,81.1,2201.62
2022-01-08,JP,Nagano,pm10,76,1.0,23.0,9.0,295.78
2022-01-09,JP,Nagano,humidity,96,61.2,91.3,84.3,979.6
2022-01-09,JP,Nagano,pm10,91,2.0,29.0,11.0,280.14
