Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,JP,Nagoya,humidity,766,40.0,100.0,67.0,1948.14
2022-01-01,JP,Nagoya,pm10,657,1.0,20.0,4.0,81.94
2022-01-01,JP,Nagoya,pm25,641,5.0,63.0,17.0,1325.67
2022-01-01,JP,Nagoya,precipitation,64,0.3,99.5,99.0,2995.03
2022-01-01,JP,Nagoya,wind-speed,770,0.1,13.8,3.0,138.13
2022-01-02,JP,Nagoya,humidity,786,40.0,98.0,61.2,834.68
2022-01-02,JP,Nagoya,pm10,694,1.0,26.0,6.0,131.79
2022-01-02,JP,Nagoya,pm25,696,1.0,82.0,21.0,2010.32
2022-01-02,JP,Nagoya,precipitation,16,99.0,99.0,99.0,0.0
2022-01-02,JP,Nagoya,wind-speed,771,0.1,9.0,1.5,16.91
2022-01-03,JP,Nagoya,wind-speed,786,0.1,7.7,1.8,20.87
2022-01-03,JP,Nagoya,pm25,761,1.0,99.0,34.0,2408.49
2022-01-03,JP,Nagoya,precipitation,80,99.0,99.0,99.0,0.0
2022-01-03,JP,Nagoya,humidity,792,52.0,94.4,80.0,1229.64
2022-01-03,JP,Nagoya,pm10,756,1.0,25.0,10.0,168.73
2022-01-04,JP,Nagoya,humidity,792,47.5,93.1,69.0,1420.41
2022-01-04,JP,Nagoya,pm10,698,1.0,21.0,7.0,197.17
2022-01-04,JP,Nagoya,pm25,685,1.0,76.0,25.0,2601.34
2022-01-04,JP,Nagoya,precipitation,90,0.1,99.0,0.3,24584.7
2022-01-04,JP,Nagoya,wind-speed,792,0.1,14.1,3.6,73.71
2022-01-05,JP,Nagoya,humidity,790,31.0,96.0,50.0,859.86
2022-01-05,JP,Nagoya,pm10,644,1.0,17.0,5.0,62.96
2022-01-05,JP,Nagoya,pm25,645,5.0,59.0,13.0,796.38
2022-01-05,JP,Nagoya,precipitation,4,99.0,99.0,99.0,0.0
2022-01-05,JP,Nagoya,wind-speed,788,0.4,11.8,3.6,64.6
2022-01-06,JP,Nagoya,wind-speed,789,0.1,8.0,1.5,33.18
2022-01-06,JP,Nagoya,precipitation,90,99.0,99.0,99.0,0.0
2022-01-06,JP,Nagoya,pm10,726,1.0,33.0,8.0,296.96
2022-01-06,JP,Nagoya,humidity,792,37.2,98.0,58.0,1457.04
2022-01-06,JP,Nagoya,pm25,743,5.0,82.0,30.0,3162.6
2022-01-07,JP,Nagoya,humidity,792,31.0,98.0,55.0,1870.93
2022-01-07,JP,Nagoya,pm10,713,1.0,29.0,8.0,147.04
2022-01-07,JP,Nagoya,pm25,734,5.0,68.0,25.0,1623.29
2022-01-07,JP,Nagoya,precipitation,46,99.0,99.0,99.0,0.0
2022-01-07,JP,Nagoya,wind-speed,792,0.2,16.4,4.6,128.5
2022-01-08,JP,Nagoya,humidity,786,33.0,97.3,62.0,1141.96
2022-01-08,JP,Nagoya,pm10,761,1.0,37.0,10.0,194.41
2022-01-08,JP,Nagoya,pm25,760,5.0,93.0,38.0,2189.48
2022-01-08,JP,Nagoya,wind-speed,781,0.1,6.6,1.5,12.72
2022-01-09,JP,Nagoya,pm10,771,1.0,36.0,14.0,256.59
2022-01-09,JP,Nagoya,wind-speed,766,0.1,8.2,2.0,29.63
2022-01-09,JP,Nagoya,humidity,786,38.0,99.0,68.0,1581.88
2022-01-09,JP,Nagoya,pm25,760,5.0,104.0,53.0,1736.69
2022-01-10,JP,Nagoya,humidity,784,21.0,98.3,56.1,2558.56
2022-01-10,JP,Nagoya,pm10,747,1.0,44.0,11.0,280.27
2022-01-10,JP,Nagoya,pm25,750,9.0,97.0,46.0,2215.92
2022-01-10,JP,Nagoya,wind-speed,754,0.1,7.2,2.0,19.41
2022-01-11,JP,Nagoya,precipitation,86,0.2,1.1,1.0,1.63
2022-01-11,JP,Nagoya,humidity,791,50.1,100.0,75.0,1978.92
2022-01-11,JP,Nagoya,pm10,742,1.0,50.0,13.0,532.05
2022-01-11,JP,Nagoya,pm25,729,5.0,114.0,46.0,3717.18
2022-01-11,JP,Nagoya,wind-speed,774,0.1,13.8,2.0,124.44
