Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,JP,Nara-shi,humidity,176,50.0,79.2,71.1,750.12
2022-01-01,JP,Nara-shi,pm10,173,1.0,18.0,5.0,74.65
2022-01-01,JP,Nara-shi,pm25,162,5.0,70.0,17.0,1019.13
2022-01-01,JP,Nara-shi,precipitation,32,99.0,99.0,99.0,0.0
2022-01-01,JP,Nara-shi,wind-speed,176,0.5,5.6,2.0,25.92
2022-01-02,JP,Nara-shi,humidity,168,40.1,90.8,69.0,2834.94
2022-01-02,JP,Nara-shi,pm10,181,1.0,22.0,6.0,142.61
2022-01-02,JP,Nara-shi,pm25,174,5.0,55.0,21.0,1211.95
2022-01-02,JP,Nara-shi,wind-speed,168,0.5,4.6,2.0,13.53
2022-01-03,JP,Nara-shi,pm25,189,5.0,68.0,50.0,1587.66
2022-01-03,JP,Nara-shi,wind-speed,192,1.0,4.1,2.0,8.73
2022-01-03,JP,Nara-shi,humidity,192,36.2,77.9,65.9,1950.6
2022-01-03,JP,Nara-shi,pm10,191,2.0,25.0,13.0,175.68
2022-01-04,JP,Nara-shi,humidity,192,50.1,96.5,61.0,694.55
2022-01-04,JP,Nara-shi,pm10,189,1.0,25.0,9.0,266.08
2022-01-04,JP,Nara-shi,pm25,177,5.0,68.0,30.0,2589.09
2022-01-04,JP,Nara-shi,precipitation,16,99.0,99.0,99.0,0.0
2022-01-04,JP,Nara-shi,wind-speed,192,1.0,6.1,2.5,14.01
2022-01-05,JP,Nara-shi,humidity,185,48.0,97.0,68.2,1973.5
2022-01-05,JP,Nara-shi,pm10,176,1.0,20.0,5.0,124.0
2022-01-05,JP,Nara-shi,pm25,168,5.0,42.0,17.0,810.18
2022-01-05,JP,Nara-shi,precipitation,15,99.0,99.0,99.0,0.0
2022-01-05,JP,Nara-shi,wind-speed,184,0.5,4.6,1.5,17.15
2022-01-06,JP,Nara-shi,wind-speed,183,0.5,9.7,1.5,26.38
2022-01-06,JP,Nara-shi,precipitation,23,99.0,99.0,99.0,0.0
2022-01-06,JP,Nara-shi,pm25,182,5.0,57.0,30.0,1619.09
2022-01-06,JP,Nara-shi,pm10,190,1.0,22.0,8.0,172.34
2022-01-06,JP,Nara-shi,humidity,192,63.1,94.4,80.2,854.15
2022-01-07,JP,Nara-shi,humidity,192,48.1,94.4,69.1,2437.5
2022-01-07,JP,Nara-shi,pm10,191,1.0,21.0,10.0,167.21
2022-01-07,JP,Nara-shi,pm25,182,5.0,57.0,34.0,1525.58
2022-01-07,JP,Nara-shi,precipitation,32,99.0,99.0,99.0,0.0
2022-01-07,JP,Nara-shi,wind-speed,192,1.0,10.8,1.5,24.99
2022-01-08,JP,Nara-shi,humidity,192,36.0,86.0,65.1,1885.88
2022-01-08,JP,Nara-shi,pm10,189,1.0,30.0,10.0,217.48
2022-01-08,JP,Nara-shi,pm25,187,5.0,72.0,42.0,2069.59
2022-01-08,JP,Nara-shi,wind-speed,187,0.5,2.5,1.5,3.1
2022-01-09,JP,Nara-shi,wind-speed,185,0.5,3.8,1.0,3.58
2022-01-09,JP,Nara-shi,pm25,188,5.0,157.0,53.0,3673.79
2022-01-09,JP,Nara-shi,pm10,189,2.0,45.0,13.0,448.09
2022-01-09,JP,Nara-shi,humidity,192,45.1,86.3,71.9,1453.77
2022-01-10,JP,Nara-shi,humidity,192,35.0,93.1,69.0,3557.55
2022-01-10,JP,Nara-shi,pm10,191,4.0,54.0,14.0,408.85
2022-01-10,JP,Nara-shi,pm25,189,9.0,89.0,55.0,1890.14
