Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,AU,Newcastle,humidity,144,53.8,95.2,75.5,798.57
2022-01-01,AU,Newcastle,pm10,144,4.0,54.0,14.0,743.86
2022-01-01,AU,Newcastle,pm25,122,1.0,44.0,13.0,666.49
2022-01-01,AU,Newcastle,wind-speed,132,0.4,9.7,4.1,47.76
2022-01-02,AU,Newcastle,humidity,138,49.6,95.3,79.2,1239.5
2022-01-02,AU,Newcastle,pm10,144,3.0,62.0,17.0,1127.52
2022-01-02,AU,Newcastle,pm25,136,1.0,41.0,14.0,815.55
2022-01-02,AU,Newcastle,wind-speed,124,0.1,9.7,3.6,62.78
2022-01-03,AU,Newcastle,pm25,136,1.0,58.0,17.0,867.41
2022-01-03,AU,Newcastle,wind-speed,118,0.3,8.2,5.3,42.12
2022-01-03,AU,Newcastle,humidity,144,57.1,96.7,77.8,886.25
2022-01-03,AU,Newcastle,pm10,144,7.0,60.0,17.0,936.29
2022-01-04,AU,Newcastle,humidity,144,60.0,95.0,79.8,608.45
2022-01-04,AU,Newcastle,pm10,142,5.0,60.0,21.0,1850.83
2022-01-04,AU,Newcastle,pm25,139,3.0,49.0,19.0,1108.63
2022-01-04,AU,Newcastle,wind-speed,130,0.3,8.2,6.2,33.28
2022-01-05,AU,Newcastle,humidity,140,65.2,97.2,88.6,622.05
2022-01-05,AU,Newcastle,pm10,144,4.0,62.0,25.0,1419.51
2022-01-05,AU,Newcastle,pm25,130,1.0,68.0,26.0,2150.11
2022-01-05,AU,Newcastle,precipitation,4,0.2,0.3,0.2,0.03
2022-01-05,AU,Newcastle,wind-speed,140,0.3,8.2,3.5,42.53
2022-01-06,AU,Newcastle,wind-speed,142,0.6,10.8,5.1,75.55
2022-01-06,AU,Newcastle,precipitation,4,99.2,99.2,99.2,0.0
2022-01-06,AU,Newcastle,pm25,139,1.0,61.0,27.0,1094.14
2022-01-06,AU,Newcastle,pm10,144,10.0,62.0,33.0,1663.19
2022-01-06,AU,Newcastle,humidity,142,67.0,95.0,86.5,498.45
2022-01-07,AU,Newcastle,humidity,144,69.0,96.0,86.8,423.07
2022-01-07,AU,Newcastle,pm10,144,5.0,80.0,26.0,2709.78
2022-01-07,AU,Newcastle,pm25,142,1.0,60.0,27.0,1928.19
2022-01-07,AU,Newcastle,precipitation,2,0.1,0.1,0.1,0.0
2022-01-07,AU,Newcastle,wind-speed,144,0.7,9.7,5.1,45.83
2022-01-08,AU,Newcastle,precipitation,6,0.5,99.2,0.8,25899.1
2022-01-08,AU,Newcastle,pm25,122,1.0,66.0,23.0,1990.86
2022-01-08,AU,Newcastle,wind-speed,138,0.4,6.1,2.7,22.26
2022-01-08,AU,Newcastle,humidity,142,53.2,97.0,86.4,1237.86
2022-01-08,AU,Newcastle,pm10,138,2.0,69.0,15.0,2578.93
2022-01-09,AU,Newcastle,humidity,140,76.2,96.0,92.9,357.32
2022-01-09,AU,Newcastle,pm10,142,1.0,38.0,18.0,449.41
2022-01-09,AU,Newcastle,pm25,142,1.0,67.0,23.0,1229.58
2022-01-09,AU,Newcastle,precipitation,4,0.2,99.2,0.2,32670.0
2022-01-09,AU,Newcastle,wind-speed,140,0.1,8.2,4.2,39.07
2022-01-10,AU,Newcastle,wind-speed,122,0.1,9.2,2.5,62.88
2022-01-10,AU,Newcastle,humidity,140,62.7,95.1,85.8,783.05
2022-01-10,AU,Newcastle,pm10,144,6.0,53.0,28.0,908.86
2022-01-10,AU,Newcastle,pm25,143,2.0,57.0,25.0,1264.5
2022-01-10,AU,Newcastle,precipitation,2,99.2,99.2,99.2,0.0
2022-01-11,AU,Newcastle,pm25,139,2.0,65.0,22.0,1181.75
2022-01-11,AU,Newcastle,wind-speed,116,0.2,8.2,2.5,29.78
2022-01-11,AU,Newcastle,humidity,140,61.4,96.5,83.2,976.28
2022-01-11,AU,Newcastle,pm10,141,1.0,81.0,24.0,1918.74
2022-01-12,AU,Newcastle,humidity,144,63.5,91.7,84.6,530.38
2022-01-12,AU,Newcastle,pm10,144,7.0,63.0,21.0,1742.55
2022-01-12,AU,Newcastle,pm25,138,1.0,55.0,20.0,949.87
2022-01-12,AU,Newcastle,wind-speed,110,0.1,6.6,3.0,19.31
2022-01-13,AU,Newcastle,humidity,142,58.0,92.5,85.3,625.55
2022-01-13,AU,Newcastle,pm10,141,1.0,67.0,14.0,1960.94
2022-01-13,AU,Newcastle,pm25,132,1.0,49.0,13.0,1041.05
2022-01-13,AU,Newcastle,wind-speed,124,0.1,5.4,2.8,16.3
2022-01-14,AU,Newcastle,pm10,144,4.0,116.0,24.0,4271.06
2022-01-14,AU,Newcastle,wind-speed,114,0.5,6.6,3.5,25.6
2022-01-14,AU,Newcastle,humidity,144,50.5,97.1,78.8,1420.43
2022-01-14,AU,Newcastle,pm25,133,1.0,55.0,21.0,1524.19
2022-01-15,AU,Newcastle,humidity,144,46.6,96.5,85.8,1771.34
2022-01-15,AU,Newcastle,pm10,141,3.0,95.0,18.0,2674.69
2022-01-15,AU,Newcastle,pm25,128,1.0,55.0,20.0,1291.16
2022-01-15,AU,Newcastle,precipitation,2,0.9,0.9,0.9,0.0
2022-01-15,AU,Newcastle,wind-speed,120,0.5,6.1,2.9,21.87
2022-01-16,AU,Newcastle,humidity,142,66.3,98.0,91.1,469.3
2022-01-16,AU,Newcastle,pm10,144,7.0,90.0,29.0,1345.17
2022-01-16,AU,Newcastle,pm25,142,2.0,73.0,35.0,2334.14
2022-01-16,AU,Newcastle,precipitation,2,0.9,0.9,0.9,0.0
2022-01-16,AU,Newcastle,wind-speed,134,0.3,6.6,3.6,35.79
2022-01-17,AU,Newcastle,pm25,140,5.0,102.0,31.0,3127.58
2022-01-17,AU,Newcastle,wind-speed,126,0.2,6.6,2.0,20.59
2022-01-17,AU,Newcastle,pm10,141,7.0,147.0,33.0,4774.0
2022-01-17,AU,Newcastle,humidity,144,56.7,97.1,89.4,1092.49
2022-01-18,AU,Newcastle,humidity,144,74.6,96.0,93.0,228.27
2022-01-18,AU,Newcastle,pm10,143,1.0,226.0,22.0,12873.9
2022-01-18,AU,Newcastle,pm25,141,2.0,148.0,32.0,7993.33
2022-01-18,AU,Newcastle,wind-speed,114,0.1,9.2,4.3,60.39
2022-01-19,AU,Newcastle,humidity,144,67.9,97.0,92.0,836.18
2022-01-19,AU,Newcastle,pm10,144,1.0,48.0,18.0,1058.63
2022-01-19,AU,Newcastle,pm25,129,1.0,53.0,19.0,1181.42
2022-01-19,AU,Newcastle,precipitation,8,0.1,99.2,0.8,20806.1
2022-01-19,AU,Newcastle,wind-speed,144,0.2,12.5,8.2,109.03
2022-01-20,AU,Newcastle,pm25,139,1.0,59.0,28.0,1222.24
2022-01-20,AU,Newcastle,wind-speed,144,0.5,13.3,8.7,96.1
2022-01-20,AU,Newcastle,precipitation,2,1.1,1.1,1.1,0.0
2022-01-20,AU,Newcastle,humidity,144,57.9,88.7,72.8,453.92
2022-01-20,AU,Newcastle,pm10,144,2.0,61.0,27.0,1666.9
2022-01-21,AU,Newcastle,humidity,144,50.3,90.5,68.9,713.81
2022-01-21,AU,Newcastle,pm10,140,3.0,54.0,22.0,1158.95
2022-01-21,AU,Newcastle,pm25,131,1.0,58.0,23.0,1187.57
2022-01-21,AU,Newcastle,wind-speed,138,0.1,9.7,4.6,56.66
2022-01-22,AU,Newcastle,precipitation,4,99.4,99.4,99.4,0.0
2022-01-22,AU,Newcastle,pm25,121,1.0,37.0,13.0,591.01
2022-01-22,AU,Newcastle,wind-speed,124,0.9,7.7,4.8,26.61
2022-01-22,AU,Newcastle,humidity,144,52.0,94.0,70.1,1135.48
2022-01-22,AU,Newcastle,pm10,140,1.0,52.0,16.0,1226.75
2022-01-23,AU,Newcastle,pm25,118,1.0,50.0,10.0,792.62
2022-01-23,AU,Newcastle,wind-speed,136,0.1,8.7,3.6,41.15
2022-01-23,AU,Newcastle,humidity,142,58.6,96.0,76.2,926.26
2022-01-23,AU,Newcastle,pm10,138,1.0,40.0,10.0,372.02
2022-01-24,AU,Newcastle,humidity,142,58.9,96.5,80.4,1052.18
2022-01-24,AU,Newcastle,pm10,140,1.0,55.0,11.0,973.39
2022-01-24,AU,Newcastle,pm25,99,1.0,54.0,11.0,1077.76
2022-01-24,AU,Newcastle,precipitation,4,0.1,0.1,0.1,0.0
2022-01-24,AU,Newcastle,wind-speed,128,0.1,7.2,2.5,29.98
2022-01-25,AU,Newcastle,humidity,142,56.8,95.6,72.0,936.27
2022-01-25,AU,Newcastle,pm10,144,7.0,53.0,19.0,1309.48
2022-01-25,AU,Newcastle,pm25,137,3.0,69.0,18.0,986.65
2022-01-25,AU,Newcastle,wind-speed,120,0.1,6.6,2.2,32.7
2022-01-26,AU,Newcastle,wind-speed,118,0.1,7.2,3.0,33.21
2022-01-26,AU,Newcastle,pm25,127,2.0,83.0,19.0,1885.47
2022-01-26,AU,Newcastle,pm10,144,4.0,143.0,17.0,4277.06
2022-01-26,AU,Newcastle,humidity,144,51.3,94.5,68.4,1145.6
2022-01-27,AU,Newcastle,humidity,142,59.3,96.1,73.3,782.17
2022-01-27,AU,Newcastle,pm10,144,4.0,272.0,22.0,10047.5
2022-01-27,AU,Newcastle,pm25,134,1.0,69.0,18.0,1794.73
2022-01-27,AU,Newcastle,wind-speed,112,0.1,10.8,4.0,80.06
2022-01-28,AU,Newcastle,humidity,140,51.5,96.0,79.0,1171.08
2022-01-28,AU,Newcastle,pm10,144,7.0,69.0,21.0,1814.0
2022-01-28,AU,Newcastle,pm25,136,1.0,63.0,17.0,1193.94
2022-01-28,AU,Newcastle,wind-speed,130,0.2,10.2,4.1,65.79
2022-01-29,AU,Newcastle,pm10,143,2.0,68.0,23.0,2279.27
2022-01-29,AU,Newcastle,wind-speed,124,0.2,10.8,3.4,89.28
2022-01-29,AU,Newcastle,pm25,129,1.0,55.0,18.0,1441.1
2022-01-29,AU,Newcastle,humidity,142,51.5,96.0,82.2,1063.07
2022-01-30,AU,Newcastle,humidity,144,57.6,95.6,86.9,858.39
2022-01-30,AU,Newcastle,pm10,144,9.0,49.0,20.0,731.26
2022-01-30,AU,Newcastle,pm25,137,1.0,43.0,19.0,641.97
2022-01-30,AU,Newcastle,wind-speed,116,0.1,6.1,2.8,29.46
2022-01-31,AU,Newcastle,humidity,144,59.0,95.8,89.4,903.54
2022-01-31,AU,Newcastle,pm10,140,2.0,54.0,14.0,1102.86
2022-01-31,AU,Newcastle,pm25,127,1.0,60.0,17.0,1218.81
2022-01-31,AU,Newcastle,wind-speed,110,0.3,5.0,2.5,18.38
2022-02-01,AU,Newcastle,wind-speed,112,0.1,5.6,2.4,20.65
2022-02-01,AU,Newcastle,pm25,134,3.0,104.0,30.0,3539.56
2022-02-01,AU,Newcastle,precipitation,2,0.4,0.4,0.4,0.0
2022-02-01,AU,Newcastle,humidity,138,44.0,97.3,86.6,1428.94
2022-02-01,AU,Newcastle,pm10,144,5.0,96.0,22.0,3522.9
2022-02-02,AU,Newcastle,humidity,142,81.9,97.1,95.0,155.01
2022-02-02,AU,Newcastle,pm10,129,1.0,56.0,11.0,1085.38
2022-02-02,AU,Newcastle,pm25,127,1.0,52.0,19.0,1450.33
2022-02-02,AU,Newcastle,precipitation,8,0.2,99.4,0.5,20702.8
2022-02-02,AU,Newcastle,wind-speed,140,0.2,9.7,4.5,55.14
2022-02-03,AU,Newcastle,humidity,142,61.2,96.0,88.5,830.16
2022-02-03,AU,Newcastle,pm10,143,2.0,47.0,17.0,649.8
2022-02-03,AU,Newcastle,pm25,134,2.0,46.0,20.0,792.82
2022-02-03,AU,Newcastle,precipitation,8,0.3,99.4,2.9,27337.8
2022-02-03,AU,Newcastle,wind-speed,142,3.5,13.8,7.9,110.9
2022-02-04,AU,Newcastle,wind-speed,144,1.0,15.4,5.6,107.47
2022-02-04,AU,Newcastle,precipitation,8,0.1,2.8,0.9,11.14
2022-02-04,AU,Newcastle,pm10,140,2.0,58.0,18.0,1316.31
2022-02-04,AU,Newcastle,humidity,144,62.8,94.9,80.0,717.86
2022-02-04,AU,Newcastle,pm25,127,1.0,54.0,18.0,1183.39
2022-02-05,AU,Newcastle,humidity,140,51.0,92.9,68.8,1203.9
2022-02-05,AU,Newcastle,pm10,144,2.0,68.0,22.0,1591.33
2022-02-05,AU,Newcastle,pm25,130,1.0,59.0,22.0,1649.74
2022-02-05,AU,Newcastle,precipitation,4,99.4,99.8,99.4,0.53
2022-02-05,AU,Newcastle,wind-speed,140,0.8,12.8,9.2,125.81
2022-02-06,AU,Newcastle,precipitation,6,0.1,99.8,0.2,26480.3
2022-02-06,AU,Newcastle,pm25,132,1.0,58.0,20.0,1393.72
2022-02-06,AU,Newcastle,wind-speed,142,0.5,12.3,9.6,125.99
2022-02-06,AU,Newcastle,humidity,144,56.9,94.5,69.3,705.52
2022-02-06,AU,Newcastle,pm10,143,1.0,63.0,23.0,1544.91
2022-02-07,AU,Newcastle,humidity,144,53.0,95.0,67.8,1225.35
2022-02-07,AU,Newcastle,pm10,137,7.0,65.0,21.0,1910.37
2022-02-07,AU,Newcastle,pm25,116,1.0,56.0,18.0,1433.79
2022-02-07,AU,Newcastle,precipitation,4,0.3,99.2,0.3,32604.0
2022-02-07,AU,Newcastle,wind-speed,142,0.2,12.8,8.2,113.81
2022-02-08,AU,Newcastle,humidity,140,59.5,95.8,79.2,1104.68
2022-02-08,AU,Newcastle,pm10,144,1.0,62.0,11.0,1132.35
2022-02-08,AU,Newcastle,pm25,119,1.0,38.0,14.0,583.73
2022-02-08,AU,Newcastle,precipitation,6,0.3,99.2,99.2,26083.2
2022-02-08,AU,Newcastle,wind-speed,126,0.1,7.2,3.0,31.22
2022-02-09,AU,Newcastle,wind-speed,116,0.1,5.1,2.6,19.03
2022-02-09,AU,Newcastle,pm25,118,3.0,84.0,24.0,3402.48
2022-02-09,AU,Newcastle,precipitation,2,99.2,99.2,99.2,0.0
2022-02-09,AU,Newcastle,humidity,144,28.0,96.9,72.0,3372.83
2022-02-09,AU,Newcastle,pm10,141,4.0,245.0,20.0,7579.33
2022-02-10,AU,Newcastle,humidity,144,31.0,94.2,72.2,2162.33
2022-02-10,AU,Newcastle,pm10,143,6.0,107.0,28.0,2207.27
2022-02-10,AU,Newcastle,pm25,126,9.0,98.0,38.0,2355.59
2022-02-10,AU,Newcastle,wind-speed,132,0.1,6.6,2.5,21.8
2022-02-11,AU,Newcastle,humidity,138,63.8,95.4,82.5,575.02
2022-02-11,AU,Newcastle,pm10,140,6.0,45.0,19.0,530.83
2022-02-11,AU,Newcastle,pm25,113,1.0,53.0,22.0,979.67
2022-02-11,AU,Newcastle,precipitation,4,2.9,3.1,2.9,0.13
2022-02-11,AU,Newcastle,wind-speed,136,0.2,11.8,4.0,96.35
2022-02-12,AU,Newcastle,wind-speed,138,0.3,11.8,7.0,101.79
2022-02-12,AU,Newcastle,precipitation,4,6.0,99.4,6.0,29078.5
2022-02-12,AU,Newcastle,pm10,144,8.0,58.0,22.0,1278.16
2022-02-12,AU,Newcastle,humidity,144,54.1,95.5,66.2,766.0
2022-02-12,AU,Newcastle,pm25,140,1.0,57.0,18.0,1252.69
2022-02-13,AU,Newcastle,humidity,144,52.2,94.6,65.0,1389.42
2022-02-13,AU,Newcastle,pm10,144,8.0,188.0,20.0,4686.43
2022-02-13,AU,Newcastle,pm25,134,4.0,85.0,21.0,1414.06
2022-02-13,AU,Newcastle,precipitation,4,0.1,99.6,0.1,33000.8
2022-02-13,AU,Newcastle,wind-speed,118,0.5,9.7,3.6,60.23
2022-02-14,AU,Newcastle,wind-speed,114,0.2,10.8,3.8,76.73
2022-02-14,AU,Newcastle,humidity,144,53.5,96.5,74.5,1261.74
2022-02-14,AU,Newcastle,pm10,144,11.0,106.0,27.0,2512.65
2022-02-14,AU,Newcastle,pm25,141,4.0,54.0,24.0,1061.91
2022-02-15,AU,Newcastle,pm25,138,4.0,48.0,24.0,879.34
2022-02-15,AU,Newcastle,wind-speed,128,0.1,11.3,3.5,78.12
2022-02-15,AU,Newcastle,humidity,144,54.2,96.8,74.0,1068.0
2022-02-15,AU,Newcastle,pm10,138,14.0,81.0,27.0,2045.51
2022-02-16,AU,Newcastle,humidity,144,51.0,96.5,77.1,1190.98
2022-02-16,AU,Newcastle,pm10,142,9.0,86.0,23.0,1666.8
2022-02-16,AU,Newcastle,pm25,134,3.0,48.0,20.0,928.34
2022-02-16,AU,Newcastle,wind-speed,128,0.4,9.2,3.6,49.74
2022-02-17,AU,Newcastle,humidity,144,33.9,96.6,77.2,2671.43
2022-02-17,AU,Newcastle,pm10,144,6.0,63.0,24.0,1656.46
2022-02-17,AU,Newcastle,pm25,139,1.0,66.0,23.0,1994.27
2022-02-17,AU,Newcastle,wind-speed,128,0.3,8.2,3.6,36.02
2022-02-18,AU,Newcastle,wind-speed,138,0.4,8.0,3.3,30.14
2022-02-18,AU,Newcastle,precipitation,4,1.5,1.5,1.5,0.0
