Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,GB,Newport,humidity,48,88.7,94.0,91.0,17.44
2022-01-01,GB,Newport,pm10,48,13.0,25.0,20.0,177.02
2022-01-01,GB,Newport,pm25,46,37.0,68.0,53.0,688.91
2022-01-02,GB,Newport,humidity,48,87.4,94.5,90.3,52.0
2022-01-02,GB,Newport,pm10,48,3.0,24.0,11.0,380.78
2022-01-02,GB,Newport,pm25,46,7.0,54.0,29.0,2204.81
2022-01-02,GB,Newport,wind-speed,34,0.1,0.6,0.2,0.18
2022-01-03,GB,Newport,pm25,47,21.0,50.0,40.0,363.45
2022-01-03,GB,Newport,wind-speed,24,0.1,0.8,0.3,0.46
2022-01-03,GB,Newport,humidity,48,87.0,94.4,89.4,42.37
2022-01-03,GB,Newport,pm10,48,8.0,24.0,19.0,95.89
2022-01-04,GB,Newport,humidity,48,69.8,96.0,84.4,708.61
2022-01-04,GB,Newport,pm10,47,2.0,14.0,8.0,105.64
2022-01-04,GB,Newport,pm25,46,4.0,44.0,21.0,956.31
2022-01-04,GB,Newport,wind-speed,24,0.1,0.9,0.4,0.66
2022-01-05,GB,Newport,humidity,48,76.8,91.0,86.2,129.87
2022-01-05,GB,Newport,pm10,48,6.0,39.0,10.0,746.53
2022-01-05,GB,Newport,pm25,47,16.0,97.0,24.0,4805.2
2022-01-05,GB,Newport,wind-speed,32,0.1,1.5,0.2,1.52
2022-01-06,GB,Newport,wind-speed,30,0.1,2.8,0.8,6.06
2022-01-06,GB,Newport,pm25,47,13.0,53.0,21.0,1143.09
2022-01-06,GB,Newport,humidity,48,76.6,94.6,92.4,376.59
2022-01-06,GB,Newport,pm10,48,5.0,25.0,10.0,144.32
2022-01-07,GB,Newport,humidity,48,77.3,95.1,86.2,354.74
2022-01-07,GB,Newport,pm10,47,4.0,17.0,10.0,99.78
2022-01-07,GB,Newport,pm25,46,11.0,57.0,21.0,1399.19
2022-01-07,GB,Newport,wind-speed,28,0.3,2.0,1.4,2.9
2022-01-08,GB,Newport,wind-speed,18,0.1,2.8,1.5,10.0
2022-01-08,GB,Newport,humidity,48,78.9,97.5,91.7,527.02
2022-01-08,GB,Newport,pm10,48,2.0,21.0,11.0,195.73
2022-01-08,GB,Newport,pm25,48,5.0,65.0,29.0,2548.4
2022-01-09,GB,Newport,humidity,48,77.8,89.3,83.0,79.91
2022-01-09,GB,Newport,pm10,48,8.0,23.0,11.0,170.42
2022-01-09,GB,Newport,pm25,47,17.0,61.0,25.0,2116.87
2022-01-09,GB,Newport,wind-speed,4,0.1,0.2,0.1,0.03
2022-01-10,GB,Newport,pm25,47,13.0,50.0,36.0,1549.55
2022-01-10,GB,Newport,wind-speed,8,0.1,0.3,0.2,0.06
2022-01-10,GB,Newport,humidity,48,90.6,99.0,96.0,56.89
2022-01-10,GB,Newport,pm10,47,4.0,18.0,11.0,161.07
2022-01-11,GB,Newport,wind-speed,2,0.2,0.2,0.2,0.0
2022-01-11,GB,Newport,pm25,48,8.0,43.0,26.0,1191.42
2022-01-11,GB,Newport,humidity,48,86.8,99.0,95.8,150.64
