Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,CY,Nicosia,humidity,48,55.0,93.0,79.0,1245.32
2022-01-01,CY,Nicosia,pm10,24,37.0,109.0,51.0,4718.97
2022-01-01,CY,Nicosia,pm25,24,75.0,182.0,107.0,13036.8
2022-01-01,CY,Nicosia,wind-speed,42,0.7,3.8,2.3,7.17
2022-01-02,CY,Nicosia,humidity,48,42.5,93.0,76.0,2530.1
2022-01-02,CY,Nicosia,pm10,24,18.0,87.0,43.0,2250.36
2022-01-02,CY,Nicosia,pm25,24,49.0,171.0,86.0,9816.94
2022-01-02,CY,Nicosia,wind-speed,48,1.8,11.0,3.6,44.79
2022-01-03,CY,Nicosia,wind-speed,46,1.2,10.2,3.0,46.05
2022-01-03,CY,Nicosia,pm25,24,12.0,86.0,49.0,3510.71
2022-01-03,CY,Nicosia,humidity,48,33.5,84.0,54.5,2056.15
2022-01-03,CY,Nicosia,pm10,24,10.0,76.0,25.0,3803.03
2022-01-04,CY,Nicosia,humidity,48,48.0,89.5,76.0,1818.01
2022-01-04,CY,Nicosia,pm10,24,20.0,81.0,32.0,3946.67
2022-01-04,CY,Nicosia,pm25,24,28.0,151.0,68.0,9130.71
2022-01-04,CY,Nicosia,wind-speed,48,1.0,7.2,2.8,23.35
2022-01-05,CY,Nicosia,wind-speed,46,1.0,4.8,3.0,12.19
2022-01-05,CY,Nicosia,humidity,48,50.0,87.0,79.0,1546.91
2022-01-05,CY,Nicosia,pm10,24,11.0,74.0,32.0,3447.75
2022-01-05,CY,Nicosia,pm25,24,3.0,140.0,54.0,10557.6
2022-01-06,CY,Nicosia,wind-speed,44,0.7,3.0,1.8,3.81
2022-01-06,CY,Nicosia,pm25,24,18.0,154.0,67.0,16102.9
2022-01-06,CY,Nicosia,humidity,48,55.0,90.0,87.0,1204.66
2022-01-06,CY,Nicosia,pm10,24,8.0,66.0,29.0,3071.52
2022-01-07,CY,Nicosia,humidity,48,54.0,93.0,87.0,1484.47
2022-01-07,CY,Nicosia,pm10,24,12.0,76.0,39.0,2886.88
2022-01-07,CY,Nicosia,pm25,24,16.0,155.0,78.0,9042.59
2022-01-07,CY,Nicosia,wind-speed,46,0.5,4.3,2.3,7.77
2022-01-08,CY,Nicosia,humidity,48,63.0,93.0,87.0,999.77
2022-01-08,CY,Nicosia,pm10,24,35.0,67.0,43.0,1004.76
2022-01-08,CY,Nicosia,pm25,24,82.0,152.0,100.0,5053.03
2022-01-08,CY,Nicosia,wind-speed,44,1.0,5.9,2.3,28.12
2022-01-09,CY,Nicosia,pm10,24,13.0,76.0,37.0,2696.52
2022-01-09,CY,Nicosia,wind-speed,44,1.0,6.6,3.6,28.23
2022-01-09,CY,Nicosia,humidity,48,61.0,93.0,79.0,1427.72
2022-01-09,CY,Nicosia,pm25,24,12.0,161.0,75.0,15236.4
2022-01-10,CY,Nicosia,humidity,48,58.0,93.0,87.0,770.69
2022-01-10,CY,Nicosia,pm10,24,9.0,55.0,27.0,2423.89
2022-01-10,CY,Nicosia,pm25,24,23.0,76.0,56.0,2451.01
2022-01-10,CY,Nicosia,wind-speed,48,1.0,6.1,2.8,27.26
2022-01-11,CY,Nicosia,pm25,24,25.0,99.0,69.0,3685.8
2022-01-11,CY,Nicosia,humidity,48,64.5,93.0,74.0,954.95
2022-01-11,CY,Nicosia,pm10,24,22.0,79.0,51.0,3579.11
2022-01-11,CY,Nicosia,wind-speed,46,0.7,6.9,4.1,35.49
2022-01-12,CY,Nicosia,wind-speed,44,1.0,7.9,3.3,45.83
2022-01-12,CY,Nicosia,pm25,24,55.0,123.0,72.0,2656.52
2022-01-12,CY,Nicosia,humidity,48,55.0,95.3,73.5,1811.67
2022-01-12,CY,Nicosia,pm10,24,26.0,65.0,55.0,1197.1
2022-01-13,CY,Nicosia,humidity,48,68.5,100.0,81.5,1015.6
2022-01-13,CY,Nicosia,pm10,24,8.0,45.0,25.0,992.59
2022-01-13,CY,Nicosia,pm25,24,6.0,99.0,59.0,3717.97
2022-01-13,CY,Nicosia,wind-speed,40,0.5,9.2,2.5,93.42
2022-01-14,CY,Nicosia,wind-speed,48,1.0,6.4,3.0,16.8
2022-01-14,CY,Nicosia,humidity,48,44.0,81.0,68.5,1324.25
2022-01-14,CY,Nicosia,pm10,24,11.0,104.0,32.0,7058.19
2022-01-14,CY,Nicosia,pm25,24,13.0,154.0,41.0,14160.4
2022-01-15,CY,Nicosia,wind-speed,48,2.8,8.7,4.3,26.07
2022-01-15,CY,Nicosia,pm25,23,23.0,139.0,53.0,6646.76
2022-01-15,CY,Nicosia,humidity,48,51.0,89.5,64.0,1642.51
2022-01-15,CY,Nicosia,pm10,24,12.0,63.0,25.0,1646.88
2022-01-16,CY,Nicosia,pm25,23,22.0,63.0,41.0,1590.2
2022-01-16,CY,Nicosia,humidity,48,33.0,65.0,52.5,787.5
2022-01-16,CY,Nicosia,pm10,23,14.0,34.0,19.0,302.37
2022-01-16,CY,Nicosia,wind-speed,48,0.7,8.2,5.6,27.29
2022-01-17,CY,Nicosia,wind-speed,48,0.7,4.6,3.0,12.56
2022-01-17,CY,Nicosia,pm25,23,8.0,89.0,53.0,5498.14
2022-01-17,CY,Nicosia,pm10,24,6.0,72.0,25.0,3796.5
2022-01-17,CY,Nicosia,humidity,48,35.0,75.0,65.5,2371.28
2022-01-18,CY,Nicosia,humidity,48,54.0,96.5,72.5,1238.52
2022-01-18,CY,Nicosia,pm10,20,7.0,43.0,23.0,1143.66
2022-01-18,CY,Nicosia,pm25,20,21.0,98.0,62.0,4073.79
2022-01-18,CY,Nicosia,wind-speed,48,0.7,8.7,3.6,63.66
2022-01-19,CY,Nicosia,pm25,24,10.0,46.0,24.0,1022.32
2022-01-19,CY,Nicosia,wind-speed,46,3.3,13.3,7.7,73.65
2022-01-19,CY,Nicosia,humidity,48,33.0,87.0,44.0,2931.42
2022-01-19,CY,Nicosia,pm10,24,4.0,52.0,16.0,1250.36
2022-01-20,CY,Nicosia,humidity,48,43.0,83.0,55.0,1971.06
2022-01-20,CY,Nicosia,pm10,24,6.0,97.0,20.0,5971.29
2022-01-20,CY,Nicosia,pm25,24,6.0,143.0,28.0,16984.3
2022-01-20,CY,Nicosia,wind-speed,48,2.0,8.4,4.1,33.87
2022-01-21,CY,Nicosia,wind-speed,44,0.7,4.3,2.5,9.7
2022-01-21,CY,Nicosia,humidity,48,39.5,89.5,80.0,2463.33
2022-01-21,CY,Nicosia,pm10,24,15.0,96.0,43.0,5706.36
2022-01-21,CY,Nicosia,pm25,24,34.0,169.0,66.0,14636.4
2022-01-22,CY,Nicosia,pm25,24,8.0,172.0,50.0,35354.5
2022-01-22,CY,Nicosia,wind-speed,46,0.7,7.2,3.0,50.35
2022-01-22,CY,Nicosia,humidity,48,54.0,93.0,81.0,1340.83
2022-01-22,CY,Nicosia,pm10,24,9.0,93.0,23.0,8316.23
2022-01-23,CY,Nicosia,wind-speed,48,0.7,14.1,5.9,200.56
2022-01-23,CY,Nicosia,pm25,24,4.0,77.0,26.0,3563.41
2022-01-23,CY,Nicosia,pm10,24,7.0,26.0,13.0,346.09
2022-01-23,CY,Nicosia,humidity,48,29.5,93.0,47.0,5287.23
2022-01-24,CY,Nicosia,humidity,48,44.5,83.0,67.5,1812.97
2022-01-24,CY,Nicosia,pm10,24,7.0,87.0,20.0,6645.8
2022-01-24,CY,Nicosia,pm25,24,12.0,159.0,34.0,21205.9
2022-01-24,CY,Nicosia,wind-speed,48,1.0,7.7,2.3,44.33
2022-01-25,CY,Nicosia,pm25,24,12.0,155.0,31.0,9329.11
2022-01-25,CY,Nicosia,wind-speed,48,0.7,5.9,2.5,16.35
2022-01-25,CY,Nicosia,humidity,48,75.0,96.5,87.0,356.38
2022-01-25,CY,Nicosia,pm10,24,6.0,66.0,10.0,1699.71
2022-01-26,CY,Nicosia,humidity,48,63.5,100.0,87.0,1303.42
2022-01-26,CY,Nicosia,pm10,24,9.0,56.0,30.0,2537.61
2022-01-26,CY,Nicosia,pm25,24,23.0,97.0,52.0,2203.19
2022-01-26,CY,Nicosia,wind-speed,42,0.7,4.1,2.0,8.99
2022-01-27,CY,Nicosia,wind-speed,48,2.3,6.4,4.1,12.62
2022-01-27,CY,Nicosia,humidity,48,44.5,93.0,70.0,1904.26
2022-01-27,CY,Nicosia,pm10,24,11.0,55.0,29.0,2078.24
2022-01-27,CY,Nicosia,pm25,24,28.0,114.0,46.0,5803.19
2022-01-28,CY,Nicosia,wind-speed,44,1.0,4.6,2.5,6.25
2022-01-28,CY,Nicosia,pm25,24,36.0,135.0,77.0,7437.32
2022-01-28,CY,Nicosia,humidity,48,46.0,93.0,80.5,2072.27
2022-01-28,CY,Nicosia,pm10,24,18.0,82.0,37.0,3285.8
2022-01-29,CY,Nicosia,humidity,48,50.0,96.5,87.0,1979.89
2022-01-29,CY,Nicosia,pm10,24,13.0,60.0,21.0,940.22
2022-01-29,CY,Nicosia,pm25,24,35.0,66.0,54.0,723.46
2022-01-29,CY,Nicosia,wind-speed,48,0.7,4.1,2.5,11.87
2022-01-30,CY,Nicosia,wind-speed,40,0.7,4.6,1.8,15.31
2022-01-30,CY,Nicosia,humidity,48,62.0,93.0,87.0,721.92
2022-01-30,CY,Nicosia,pm10,24,5.0,48.0,19.0,1186.88
2022-01-30,CY,Nicosia,pm25,24,7.0,82.0,59.0,4476.07
2022-01-31,CY,Nicosia,wind-speed,48,0.7,5.6,2.3,9.69
2022-01-31,CY,Nicosia,pm25,24,24.0,161.0,55.0,8001.14
2022-01-31,CY,Nicosia,humidity,48,76.0,96.5,90.0,382.02
2022-01-31,CY,Nicosia,pm10,24,9.0,74.0,19.0,2625.05
2022-02-01,CY,Nicosia,wind-speed,42,0.7,3.0,2.3,4.32
2022-02-01,CY,Nicosia,humidity,48,45.5,93.0,81.0,2921.06
2022-02-01,CY,Nicosia,pm10,24,11.0,98.0,44.0,7088.24
2022-02-01,CY,Nicosia,pm25,24,26.0,161.0,66.0,17635.9
2022-02-02,CY,Nicosia,pm10,24,15.0,66.0,28.0,1854.76
2022-02-02,CY,Nicosia,pm25,24,44.0,147.0,60.0,5814.49
2022-02-02,CY,Nicosia,humidity,48,59.0,93.0,84.0,1068.07
2022-02-02,CY,Nicosia,wind-speed,44,0.7,6.4,2.3,28.2
2022-02-03,CY,Nicosia,wind-speed,40,0.7,7.3,3.3,53.43
2022-02-03,CY,Nicosia,pm25,24,45.0,105.0,84.0,2253.91
2022-02-03,CY,Nicosia,pm10,24,21.0,70.0,41.0,1630.43
2022-02-03,CY,Nicosia,humidity,48,45.0,93.0,83.0,1447.85
2022-02-04,CY,Nicosia,humidity,48,60.0,96.5,84.0,1063.03
2022-02-04,CY,Nicosia,pm10,24,9.0,50.0,21.0,1576.79
2022-02-04,CY,Nicosia,pm25,24,34.0,122.0,56.0,4561.45
2022-02-04,CY,Nicosia,wind-speed,46,0.7,5.1,2.0,16.46
2022-02-05,CY,Nicosia,pm25,24,39.0,167.0,60.0,12169.5
2022-02-05,CY,Nicosia,wind-speed,48,0.7,6.1,3.0,19.88
2022-02-05,CY,Nicosia,humidity,48,51.0,90.0,81.0,2099.77
2022-02-05,CY,Nicosia,pm10,24,19.0,91.0,34.0,4178.97
2022-02-06,CY,Nicosia,humidity,48,59.0,93.0,86.0,1148.4
2022-02-06,CY,Nicosia,pm10,24,18.0,75.0,26.0,4464.18
2022-02-06,CY,Nicosia,pm25,24,48.0,157.0,58.0,17527.5
2022-02-06,CY,Nicosia,wind-speed,44,0.7,3.6,2.0,7.85
2022-02-07,CY,Nicosia,wind-speed,44,0.7,4.3,2.3,8.29
2022-02-07,CY,Nicosia,humidity,48,53.0,93.0,84.0,1844.68
2022-02-07,CY,Nicosia,pm10,24,15.0,64.0,28.0,2146.94
2022-02-07,CY,Nicosia,pm25,24,56.0,128.0,69.0,3574.71
2022-02-08,CY,Nicosia,pm25,24,53.0,91.0,65.0,1513.03
2022-02-08,CY,Nicosia,wind-speed,44,1.0,9.5,4.1,64.0
2022-02-08,CY,Nicosia,humidity,48,55.0,93.0,82.0,1232.71
2022-02-08,CY,Nicosia,pm10,24,23.0,58.0,32.0,1042.16
2022-02-09,CY,Nicosia,humidity,48,76.0,90.0,84.0,148.65
2022-02-09,CY,Nicosia,pm10,24,10.0,33.0,19.0,516.45
2022-02-09,CY,Nicosia,pm25,24,15.0,72.0,52.0,1239.4
2022-02-09,CY,Nicosia,wind-speed,48,2.3,7.9,4.1,20.69
2022-02-10,CY,Nicosia,humidity,48,43.0,90.0,57.0,3016.44
2022-02-10,CY,Nicosia,pm10,24,8.0,42.0,24.0,1080.85
2022-02-10,CY,Nicosia,pm25,24,29.0,72.0,51.0,970.15
2022-02-10,CY,Nicosia,wind-speed,48,2.5,11.0,5.6,64.87
2022-02-11,CY,Nicosia,wind-speed,48,1.2,4.6,3.0,9.48
2022-02-11,CY,Nicosia,pm25,24,48.0,132.0,58.0,4881.29
2022-02-11,CY,Nicosia,pm10,24,17.0,74.0,31.0,3531.23
2022-02-11,CY,Nicosia,humidity,48,38.5,87.0,63.0,2592.23
2022-02-12,CY,Nicosia,humidity,46,30.5,93.0,78.5,3830.83
2022-02-12,CY,Nicosia,pm10,24,16.0,69.0,27.0,2807.66
2022-02-12,CY,Nicosia,pm25,24,42.0,133.0,65.0,6536.23
