Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,NL,Nijmegen,humidity,48,83.3,90.3,86.7,37.55
2022-01-01,NL,Nijmegen,pm10,46,3.0,141.0,21.0,4627.27
2022-01-01,NL,Nijmegen,pm25,48,10.0,221.0,32.0,23537.3
2022-01-01,NL,Nijmegen,wind-speed,48,1.8,5.3,2.9,7.32
2022-01-02,NL,Nijmegen,humidity,48,81.0,91.6,84.0,107.13
2022-01-02,NL,Nijmegen,pm10,48,1.0,25.0,12.0,253.03
2022-01-02,NL,Nijmegen,pm25,47,3.0,54.0,30.0,1019.66
2022-01-02,NL,Nijmegen,wind-speed,48,2.1,10.0,4.7,59.81
2022-01-03,NL,Nijmegen,wind-speed,48,3.1,9.1,6.5,33.69
2022-01-03,NL,Nijmegen,pm25,48,7.0,58.0,24.0,1329.14
2022-01-03,NL,Nijmegen,humidity,48,81.0,89.6,83.0,61.67
2022-01-03,NL,Nijmegen,pm10,48,6.0,37.0,17.0,302.76
2022-01-04,NL,Nijmegen,humidity,48,84.4,93.6,90.0,47.67
2022-01-04,NL,Nijmegen,pm10,46,2.0,24.0,13.0,188.31
2022-01-04,NL,Nijmegen,pm25,48,3.0,56.0,26.0,1726.91
2022-01-04,NL,Nijmegen,wind-speed,48,0.4,5.2,3.0,16.43
2022-01-05,NL,Nijmegen,wind-speed,48,1.9,8.9,5.7,54.05
2022-01-05,NL,Nijmegen,humidity,48,81.3,92.0,88.0,144.94
2022-01-05,NL,Nijmegen,pm10,46,3.0,16.0,12.0,102.43
2022-01-05,NL,Nijmegen,pm25,45,2.0,47.0,27.0,1167.04
2022-01-06,NL,Nijmegen,wind-speed,48,0.8,3.9,2.2,9.2
2022-01-06,NL,Nijmegen,pm25,47,10.0,77.0,37.0,2476.96
2022-01-06,NL,Nijmegen,humidity,48,79.7,91.7,86.9,112.11
2022-01-06,NL,Nijmegen,pm10,48,1.0,31.0,17.0,201.7
2022-01-07,NL,Nijmegen,humidity,48,81.5,92.4,88.3,150.75
2022-01-07,NL,Nijmegen,pm10,47,1.0,20.0,13.0,298.35
2022-01-07,NL,Nijmegen,pm25,48,13.0,59.0,32.0,1186.79
2022-01-07,NL,Nijmegen,wind-speed,48,1.5,7.2,5.0,23.87
2022-01-08,NL,Nijmegen,humidity,48,87.6,93.7,93.0,23.6
2022-01-08,NL,Nijmegen,pm10,43,1.0,37.0,12.0,401.35
2022-01-08,NL,Nijmegen,pm25,47,2.0,73.0,52.0,4618.79
2022-01-08,NL,Nijmegen,wind-speed,48,1.4,4.5,3.3,5.4
2022-01-09,NL,Nijmegen,pm10,43,3.0,30.0,11.0,295.15
2022-01-09,NL,Nijmegen,wind-speed,48,1.3,7.1,3.8,25.11
2022-01-09,NL,Nijmegen,humidity,48,83.0,94.3,87.4,116.11
2022-01-09,NL,Nijmegen,pm25,48,2.0,62.0,27.0,2063.81
2022-01-10,NL,Nijmegen,humidity,48,82.8,95.0,93.2,89.54
2022-01-10,NL,Nijmegen,pm10,48,1.0,37.0,21.0,617.44
2022-01-10,NL,Nijmegen,pm25,47,35.0,86.0,69.0,1184.65
2022-01-10,NL,Nijmegen,wind-speed,46,0.1,1.3,0.8,1.27
2022-01-11,NL,Nijmegen,pm25,48,44.0,76.0,64.0,379.25
2022-01-11,NL,Nijmegen,humidity,48,78.8,95.5,88.0,293.74
2022-01-11,NL,Nijmegen,pm10,48,5.0,32.0,20.0,312.98
2022-01-11,NL,Nijmegen,wind-speed,48,0.2,1.9,1.2,2.36
2022-01-12,NL,Nijmegen,wind-speed,48,0.3,3.6,1.1,7.15
2022-01-12,NL,Nijmegen,pm25,48,57.0,95.0,74.0,727.22
2022-01-12,NL,Nijmegen,humidity,48,86.0,96.0,94.0,55.5
2022-01-12,NL,Nijmegen,pm10,48,5.0,34.0,24.0,252.44
2022-01-13,NL,Nijmegen,humidity,48,95.0,96.0,96.0,0.68
2022-01-13,NL,Nijmegen,pm10,47,6.0,45.0,18.0,516.64
2022-01-13,NL,Nijmegen,pm25,48,21.0,103.0,55.0,3019.57
2022-01-13,NL,Nijmegen,wind-speed,48,1.9,3.4,2.6,1.77
2022-01-14,NL,Nijmegen,wind-speed,40,0.4,3.2,1.3,10.03
2022-01-14,NL,Nijmegen,humidity,48,94.0,96.0,95.0,3.97
2022-01-14,NL,Nijmegen,pm10,48,9.0,35.0,17.0,310.49
2022-01-14,NL,Nijmegen,pm25,48,35.0,98.0,62.0,1629.75
2022-01-15,NL,Nijmegen,wind-speed,48,0.4,3.1,1.7,2.97
2022-01-15,NL,Nijmegen,pm25,46,25.0,89.0,67.0,1450.54
2022-01-15,NL,Nijmegen,humidity,48,93.8,94.0,94.0,0.04
2022-01-15,NL,Nijmegen,pm10,48,7.0,34.0,19.0,303.51
2022-01-16,NL,Nijmegen,wind-speed,48,1.7,6.1,4.1,20.12
2022-01-16,NL,Nijmegen,humidity,48,89.0,95.0,93.0,32.93
2022-01-16,NL,Nijmegen,pm10,48,14.0,49.0,28.0,660.53
2022-01-16,NL,Nijmegen,pm25,46,59.0,123.0,87.0,2415.81
2022-01-17,NL,Nijmegen,pm25,47,2.0,79.0,43.0,1988.09
2022-01-17,NL,Nijmegen,wind-speed,48,0.6,4.9,2.8,17.67
2022-01-17,NL,Nijmegen,humidity,48,83.4,93.2,87.2,69.29
2022-01-17,NL,Nijmegen,pm10,46,2.0,42.0,22.0,558.16
2022-01-18,NL,Nijmegen,wind-speed,38,0.1,1.8,0.9,2.61
2022-01-18,NL,Nijmegen,pm25,48,26.0,77.0,52.0,1347.44
2022-01-18,NL,Nijmegen,humidity,48,85.2,95.0,92.8,110.32
2022-01-18,NL,Nijmegen,pm10,47,2.0,52.0,23.0,1007.48
2022-01-19,NL,Nijmegen,humidity,48,88.0,94.0,90.6,25.65
2022-01-19,NL,Nijmegen,pm10,48,14.0,38.0,22.0,242.34
2022-01-19,NL,Nijmegen,pm25,46,21.0,97.0,67.0,2401.22
2022-01-19,NL,Nijmegen,wind-speed,46,0.1,5.4,3.0,29.46
2022-01-20,NL,Nijmegen,wind-speed,48,1.5,4.4,2.3,5.3
2022-01-20,NL,Nijmegen,humidity,48,68.9,89.5,86.0,361.68
2022-01-20,NL,Nijmegen,pm10,47,2.0,29.0,17.0,344.24
2022-01-20,NL,Nijmegen,pm25,43,6.0,61.0,29.0,1933.85
2022-01-21,NL,Nijmegen,humidity,48,85.1,92.0,88.3,42.21
2022-01-21,NL,Nijmegen,pm10,47,6.0,23.0,15.0,138.23
2022-01-21,NL,Nijmegen,pm25,48,18.0,58.0,35.0,765.67
2022-01-21,NL,Nijmegen,wind-speed,48,1.2,3.9,2.5,7.29
2022-01-22,NL,Nijmegen,pm10,48,1.0,34.0,15.0,372.75
2022-01-22,NL,Nijmegen,pm25,48,15.0,79.0,42.0,2678.4
2022-01-22,NL,Nijmegen,humidity,48,87.9,94.0,91.0,25.75
2022-01-22,NL,Nijmegen,wind-speed,48,1.6,4.0,2.5,4.04
2022-01-23,NL,Nijmegen,wind-speed,40,0.1,1.2,0.4,0.85
2022-01-23,NL,Nijmegen,pm25,48,24.0,88.0,62.0,2894.02
2022-01-23,NL,Nijmegen,humidity,48,85.0,91.9,89.3,51.69
2022-01-23,NL,Nijmegen,pm10,48,2.0,35.0,17.0,607.97
2022-01-24,NL,Nijmegen,humidity,48,77.5,83.4,79.1,25.51
2022-01-24,NL,Nijmegen,pm10,48,8.0,39.0,22.0,474.96
2022-01-24,NL,Nijmegen,pm25,48,42.0,86.0,69.0,1317.85
2022-01-24,NL,Nijmegen,wind-speed,40,0.1,0.9,0.5,0.65
2022-01-25,NL,Nijmegen,humidity,48,77.6,83.0,79.1,26.42
2022-01-25,NL,Nijmegen,pm10,47,24.0,57.0,40.0,891.78
2022-01-25,NL,Nijmegen,pm25,38,85.0,144.0,107.0,1611.98
2022-01-25,NL,Nijmegen,wind-speed,36,0.1,1.4,0.6,1.59
2022-01-26,NL,Nijmegen,wind-speed,46,0.2,6.0,3.9,28.39
2022-01-26,NL,Nijmegen,pm25,33,80.0,159.0,106.0,6608.81
2022-01-26,NL,Nijmegen,humidity,48,80.3,88.7,86.0,63.34
2022-01-26,NL,Nijmegen,pm10,48,35.0,63.0,49.0,386.65
2022-01-27,NL,Nijmegen,humidity,48,82.4,93.2,86.1,153.31
2022-01-27,NL,Nijmegen,pm10,46,1.0,45.0,24.0,1530.32
2022-01-27,NL,Nijmegen,pm25,44,2.0,113.0,53.0,8425.64
2022-01-27,NL,Nijmegen,wind-speed,48,3.8,7.4,5.8,12.51
2022-01-28,NL,Nijmegen,humidity,48,72.5,89.3,85.0,257.12
2022-01-28,NL,Nijmegen,pm10,48,10.0,43.0,17.0,548.93
2022-01-28,NL,Nijmegen,pm25,48,3.0,103.0,37.0,6591.7
2022-01-28,NL,Nijmegen,wind-speed,48,1.5,6.6,3.0,18.71
2022-01-29,NL,Nijmegen,wind-speed,48,3.2,9.8,6.8,34.88
2022-01-29,NL,Nijmegen,pm25,44,5.0,95.0,52.0,6876.08
2022-01-29,NL,Nijmegen,humidity,48,73.5,94.8,83.6,470.25
2022-01-29,NL,Nijmegen,pm10,41,2.0,42.0,20.0,564.38
