Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,GB,Norwich,humidity,17,80.5,91.0,86.1,109.71
2022-01-01,GB,Norwich,pm10,24,10.0,20.0,14.0,77.97
2022-01-01,GB,Norwich,pm25,23,31.0,62.0,43.0,509.49
2022-01-01,GB,Norwich,wind-speed,17,2.0,7.3,4.7,19.73
2022-01-02,GB,Norwich,humidity,17,79.5,90.7,86.1,145.69
2022-01-02,GB,Norwich,pm10,24,9.0,18.0,12.0,75.58
2022-01-02,GB,Norwich,pm25,21,25.0,49.0,34.0,684.14
2022-01-02,GB,Norwich,wind-speed,17,2.0,6.8,5.2,21.76
2022-01-03,GB,Norwich,wind-speed,16,0.6,9.0,3.8,69.77
2022-01-03,GB,Norwich,pm25,24,28.0,44.0,31.0,115.2
2022-01-03,GB,Norwich,humidity,17,78.0,89.0,83.7,96.65
2022-01-03,GB,Norwich,pm10,24,11.0,15.0,12.0,9.55
2022-01-04,GB,Norwich,humidity,17,81.2,90.0,84.0,91.34
2022-01-04,GB,Norwich,pm10,20,10.0,12.0,11.0,7.66
2022-01-04,GB,Norwich,pm25,16,25.0,180.0,30.0,21789.3
2022-01-04,GB,Norwich,wind-speed,17,0.6,4.2,1.8,12.5
2022-01-05,GB,Norwich,wind-speed,17,1.6,7.0,3.6,33.08
2022-01-05,GB,Norwich,humidity,17,74.0,83.3,79.0,98.24
2022-01-05,GB,Norwich,pm10,23,9.0,14.0,10.0,23.12
2022-01-05,GB,Norwich,pm25,21,25.0,53.0,35.0,1362.9
2022-01-06,GB,Norwich,wind-speed,17,0.1,9.0,4.0,65.04
2022-01-06,GB,Norwich,pm25,19,28.0,59.0,39.0,819.42
2022-01-06,GB,Norwich,humidity,17,78.3,90.7,89.8,226.86
2022-01-06,GB,Norwich,pm10,22,10.0,19.0,13.0,56.13
2022-01-07,GB,Norwich,humidity,17,73.7,88.0,82.4,217.26
2022-01-07,GB,Norwich,pm10,21,7.0,14.0,10.0,26.0
2022-01-07,GB,Norwich,pm25,20,21.0,45.0,30.0,461.68
2022-01-07,GB,Norwich,wind-speed,17,0.2,6.0,2.0,32.84
2022-01-08,GB,Norwich,humidity,24,81.0,96.5,90.0,172.75
2022-01-08,GB,Norwich,pm10,17,7.0,18.0,9.0,117.79
2022-01-08,GB,Norwich,pm25,20,25.0,52.0,26.0,711.45
2022-01-08,GB,Norwich,wind-speed,24,2.3,9.5,5.4,45.57
2022-01-09,GB,Norwich,pm10,23,6.0,16.0,9.0,80.67
2022-01-09,GB,Norwich,wind-speed,24,0.3,7.9,5.1,68.96
2022-01-09,GB,Norwich,humidity,24,75.0,89.0,86.0,153.33
2022-01-09,GB,Norwich,pm25,17,18.0,51.0,25.0,1125.15
2022-01-10,GB,Norwich,humidity,24,86.0,96.5,89.5,74.84
2022-01-10,GB,Norwich,pm10,24,12.0,21.0,15.0,49.11
2022-01-10,GB,Norwich,pm25,24,37.0,65.0,46.0,455.58
2022-01-10,GB,Norwich,wind-speed,24,0.1,5.5,2.0,15.51
2022-01-11,GB,Norwich,pm25,14,57.0,81.0,67.0,617.58
2022-01-11,GB,Norwich,humidity,24,91.9,100.0,93.0,45.69
2022-01-11,GB,Norwich,pm10,18,17.0,28.0,20.0,107.32
2022-01-11,GB,Norwich,wind-speed,24,0.1,5.1,2.0,21.58
2022-01-12,GB,Norwich,wind-speed,24,1.5,3.6,2.5,3.34
2022-01-12,GB,Norwich,pm25,24,51.0,72.0,58.0,408.04
2022-01-12,GB,Norwich,humidity,24,78.0,100.0,93.0,344.13
2022-01-12,GB,Norwich,pm10,24,15.0,25.0,18.0,108.68
2022-01-13,GB,Norwich,humidity,24,81.0,100.0,93.0,329.4
2022-01-13,GB,Norwich,pm10,23,18.0,33.0,20.0,114.07
2022-01-13,GB,Norwich,pm25,22,56.0,91.0,61.0,645.04
2022-01-13,GB,Norwich,wind-speed,24,0.8,3.6,2.8,3.81
2022-01-14,GB,Norwich,wind-speed,20,0.1,2.8,1.0,8.55
2022-01-14,GB,Norwich,humidity,24,83.4,100.0,92.0,171.8
2022-01-14,GB,Norwich,pm10,22,17.0,25.0,21.0,40.89
2022-01-14,GB,Norwich,pm25,24,57.0,76.0,65.0,229.27
2022-01-15,GB,Norwich,wind-speed,17,0.1,4.1,1.6,8.18
2022-01-15,GB,Norwich,pm25,21,57.0,114.0,95.0,4252.9
2022-01-15,GB,Norwich,humidity,17,86.0,93.0,88.8,54.01
2022-01-15,GB,Norwich,pm10,21,15.0,42.0,34.0,870.62
2022-01-16,GB,Norwich,pm25,18,63.0,88.0,76.0,807.35
2022-01-16,GB,Norwich,humidity,16,79.6,89.8,86.0,93.0
2022-01-16,GB,Norwich,pm10,20,20.0,30.0,27.0,165.16
2022-01-16,GB,Norwich,wind-speed,15,0.1,4.0,2.0,16.98
2022-01-17,GB,Norwich,wind-speed,7,0.1,3.0,0.5,11.45
2022-01-17,GB,Norwich,pm25,24,42.0,86.0,57.0,1269.55
2022-01-17,GB,Norwich,pm10,24,13.0,31.0,17.0,250.44
2022-01-17,GB,Norwich,humidity,17,72.1,92.0,88.1,479.54
2022-01-18,GB,Norwich,humidity,17,77.0,92.7,90.7,281.4
2022-01-18,GB,Norwich,pm10,24,17.0,30.0,21.0,114.76
2022-01-18,GB,Norwich,pm25,24,56.0,85.0,65.0,567.75
2022-01-18,GB,Norwich,wind-speed,13,0.1,2.3,1.0,5.14
