Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,RS,Novi Sad,humidity,72,88.1,97.0,94.8,56.34
2022-01-01,RS,Novi Sad,pm10,48,7.0,109.0,20.0,6484.04
2022-01-01,RS,Novi Sad,pm25,48,28.0,210.0,60.0,23024.2
2022-01-02,RS,Novi Sad,humidity,72,66.1,88.0,78.7,457.23
2022-01-02,RS,Novi Sad,pm10,48,8.0,76.0,21.0,4595.89
2022-01-02,RS,Novi Sad,pm25,48,33.0,175.0,62.0,20471.3
2022-01-03,RS,Novi Sad,humidity,72,53.4,94.2,84.6,1786.76
2022-01-03,RS,Novi Sad,pm10,48,14.0,111.0,45.0,5758.65
2022-01-03,RS,Novi Sad,pm25,48,55.0,184.0,114.0,13444.8
2022-01-04,RS,Novi Sad,humidity,72,69.8,90.0,80.1,397.52
2022-01-04,RS,Novi Sad,pm10,48,7.0,70.0,24.0,3319.98
2022-01-04,RS,Novi Sad,pm25,48,27.0,156.0,67.0,12677.4
2022-01-05,RS,Novi Sad,humidity,72,32.0,84.6,42.6,3800.35
2022-01-05,RS,Novi Sad,pm10,48,6.0,47.0,10.0,1024.82
2022-01-05,RS,Novi Sad,pm25,48,23.0,70.0,42.0,1467.8
2022-01-06,RS,Novi Sad,pm25,48,12.0,110.0,44.0,5540.99
2022-01-06,RS,Novi Sad,pm10,48,3.0,41.0,11.0,1013.26
2022-01-06,RS,Novi Sad,humidity,72,27.3,68.0,46.1,1114.42
2022-01-07,RS,Novi Sad,humidity,72,31.0,69.6,52.5,1872.58
2022-01-07,RS,Novi Sad,pm10,48,8.0,61.0,19.0,2508.08
2022-01-07,RS,Novi Sad,pm25,48,36.0,162.0,63.0,14645.7
2022-01-08,RS,Novi Sad,humidity,72,38.7,75.2,54.2,949.81
2022-01-08,RS,Novi Sad,pm10,48,17.0,53.0,36.0,415.32
2022-01-08,RS,Novi Sad,pm25,48,63.0,153.0,107.0,2818.47
2022-01-09,RS,Novi Sad,pm25,48,64.0,138.0,79.0,2531.66
2022-01-09,RS,Novi Sad,pm10,48,17.0,47.0,24.0,467.97
2022-01-09,RS,Novi Sad,humidity,72,34.0,69.7,52.5,931.0
2022-01-10,RS,Novi Sad,humidity,72,34.5,60.7,51.4,658.93
2022-01-10,RS,Novi Sad,pm10,48,14.0,49.0,27.0,909.43
2022-01-10,RS,Novi Sad,pm25,48,56.0,118.0,82.0,3411.06
2022-01-11,RS,Novi Sad,humidity,72,31.0,65.4,55.1,1049.62
2022-01-11,RS,Novi Sad,pm10,48,11.0,33.0,19.0,245.21
2022-01-11,RS,Novi Sad,pm25,48,47.0,94.0,66.0,936.15
2022-01-12,RS,Novi Sad,pm25,48,30.0,188.0,83.0,18522.6
2022-01-12,RS,Novi Sad,pm10,48,7.0,87.0,27.0,4080.21
2022-01-12,RS,Novi Sad,humidity,72,30.3,65.0,56.0,1209.62
2022-01-13,RS,Novi Sad,humidity,72,32.0,68.0,56.0,996.09
2022-01-13,RS,Novi Sad,pm10,48,28.0,71.0,42.0,1214.57
2022-01-13,RS,Novi Sad,pm25,48,88.0,152.0,119.0,4088.01
2022-01-14,RS,Novi Sad,humidity,72,13.8,73.5,51.3,5102.85
2022-01-14,RS,Novi Sad,pm10,48,10.0,71.0,19.0,1850.35
2022-01-14,RS,Novi Sad,pm25,48,36.0,96.0,64.0,1970.17
2022-01-15,RS,Novi Sad,pm25,48,53.0,154.0,69.0,8897.0
2022-01-15,RS,Novi Sad,pm10,48,13.0,54.0,22.0,2090.57
2022-01-15,RS,Novi Sad,humidity,72,26.5,72.6,60.1,1411.17
2022-01-16,RS,Novi Sad,humidity,72,26.6,76.0,55.7,4562.64
2022-01-16,RS,Novi Sad,pm10,48,10.0,71.0,43.0,3629.29
2022-01-16,RS,Novi Sad,pm25,48,42.0,170.0,125.0,18188.9
2022-01-17,RS,Novi Sad,humidity,72,24.3,65.3,47.1,1402.12
2022-01-17,RS,Novi Sad,pm10,48,3.0,72.0,26.0,3680.41
2022-01-17,RS,Novi Sad,pm25,48,10.0,164.0,75.0,16089.6
2022-01-18,RS,Novi Sad,pm25,48,11.0,164.0,45.0,12262.3
2022-01-18,RS,Novi Sad,pm10,48,3.0,66.0,13.0,4129.77
2022-01-18,RS,Novi Sad,humidity,72,41.8,78.1,66.5,985.97
2022-01-19,RS,Novi Sad,humidity,72,61.2,88.0,69.3,1017.57
2022-01-19,RS,Novi Sad,pm10,48,10.0,82.0,39.0,4135.95
2022-01-19,RS,Novi Sad,pm25,48,41.0,183.0,79.0,18638.6
2022-01-20,RS,Novi Sad,humidity,72,34.2,69.0,59.6,1086.44
2022-01-20,RS,Novi Sad,pm10,46,6.0,78.0,51.0,2702.69
2022-01-20,RS,Novi Sad,pm25,46,22.0,163.0,141.0,11004.6
2022-01-21,RS,Novi Sad,pm25,47,20.0,71.0,42.0,1813.57
2022-01-21,RS,Novi Sad,pm10,47,5.0,53.0,11.0,1644.18
2022-01-21,RS,Novi Sad,humidity,72,32.2,77.3,61.8,2025.67
2022-01-22,RS,Novi Sad,humidity,72,33.5,77.0,68.5,1864.54
2022-01-22,RS,Novi Sad,pm10,48,6.0,90.0,16.0,2597.76
2022-01-22,RS,Novi Sad,pm25,48,23.0,191.0,57.0,13017.4
2022-01-23,RS,Novi Sad,humidity,72,37.0,79.6,75.6,1810.72
2022-01-23,RS,Novi Sad,pm10,48,9.0,64.0,14.0,1744.89
2022-01-23,RS,Novi Sad,pm25,48,37.0,164.0,56.0,9400.43
2022-01-24,RS,Novi Sad,pm25,48,58.0,172.0,101.0,12681.6
2022-01-24,RS,Novi Sad,pm10,48,15.0,87.0,44.0,4654.18
2022-01-24,RS,Novi Sad,humidity,72,55.8,94.8,82.2,1044.57
2022-01-25,RS,Novi Sad,humidity,72,57.2,96.2,82.5,1090.29
2022-01-25,RS,Novi Sad,pm10,47,18.0,86.0,44.0,3539.78
2022-01-25,RS,Novi Sad,pm25,47,65.0,172.0,100.0,8977.58
2022-01-26,RS,Novi Sad,humidity,72,37.8,94.0,74.8,2880.29
2022-01-26,RS,Novi Sad,pm10,48,24.0,41.0,30.0,235.49
2022-01-26,RS,Novi Sad,pm25,48,79.0,116.0,92.0,1188.92
2022-01-27,RS,Novi Sad,pm25,48,65.0,169.0,95.0,9769.79
2022-01-27,RS,Novi Sad,pm10,48,18.0,72.0,31.0,2884.64
2022-01-27,RS,Novi Sad,humidity,72,53.0,90.6,77.5,1210.4
2022-01-28,RS,Novi Sad,humidity,72,35.0,90.1,77.0,2914.82
2022-01-28,RS,Novi Sad,pm10,48,10.0,70.0,30.0,2751.84
2022-01-28,RS,Novi Sad,pm25,48,35.0,169.0,74.0,12264.6
2022-01-29,RS,Novi Sad,humidity,72,42.2,77.6,60.6,1988.7
2022-01-29,RS,Novi Sad,pm10,48,6.0,59.0,15.0,2641.68
2022-01-29,RS,Novi Sad,pm25,48,24.0,157.0,39.0,7821.38
2022-01-30,RS,Novi Sad,pm25,48,9.0,92.0,46.0,3004.36
2022-01-30,RS,Novi Sad,pm10,48,3.0,72.0,21.0,2614.36
2022-01-30,RS,Novi Sad,humidity,72,36.0,86.0,66.4,1945.25
2022-01-31,RS,Novi Sad,humidity,72,32.1,85.7,39.0,4171.82
2022-01-31,RS,Novi Sad,pm10,48,7.0,62.0,21.0,1477.85
2022-01-31,RS,Novi Sad,pm25,48,21.0,90.0,54.0,4358.94
2022-02-01,RS,Novi Sad,humidity,72,20.6,50.5,34.3,556.37
2022-02-01,RS,Novi Sad,pm10,48,17.0,69.0,26.0,1396.31
2022-02-01,RS,Novi Sad,pm25,48,61.0,101.0,81.0,942.51
2022-02-02,RS,Novi Sad,pm25,48,30.0,91.0,55.0,2325.25
2022-02-02,RS,Novi Sad,pm10,48,7.0,69.0,16.0,2257.76
