Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Oakland,humidity,120,47.5,96.0,67.8,2113.29
2022-01-01,US,Oakland,pm25,117,5.0,189.0,34.0,16449.2
2022-01-01,US,Oakland,wind-speed,93,0.1,4.7,1.6,12.16
2022-01-02,US,Oakland,humidity,120,52.3,97.6,81.3,1339.1
2022-01-02,US,Oakland,pm25,118,5.0,91.0,42.0,3775.58
2022-01-02,US,Oakland,wind-speed,54,0.2,7.7,1.5,35.65
2022-01-03,US,Oakland,humidity,114,73.0,95.2,84.0,414.6
2022-01-03,US,Oakland,pm25,107,5.0,78.0,25.0,3927.41
2022-01-03,US,Oakland,wind-speed,76,0.3,11.7,5.0,58.92
2022-01-04,US,Oakland,humidity,118,71.6,96.0,87.8,779.58
2022-01-04,US,Oakland,pm25,110,5.0,42.0,17.0,491.7
2022-01-04,US,Oakland,wind-speed,95,0.1,4.6,2.0,12.69
2022-01-05,US,Oakland,humidity,120,78.5,96.7,92.5,139.43
2022-01-05,US,Oakland,pm25,117,5.0,38.0,21.0,719.46
2022-01-05,US,Oakland,wind-speed,86,0.1,4.2,1.1,12.69
2022-01-06,US,Oakland,wind-speed,93,0.1,4.2,1.4,8.81
2022-01-06,US,Oakland,pm25,106,17.0,63.0,34.0,997.86
2022-01-06,US,Oakland,humidity,120,77.0,95.0,92.0,72.07
2022-01-07,US,Oakland,humidity,120,77.0,96.0,85.5,408.55
2022-01-07,US,Oakland,pm25,90,5.0,53.0,17.0,1045.62
2022-01-07,US,Oakland,wind-speed,96,0.1,6.0,2.0,24.72
2022-01-08,US,Oakland,humidity,120,73.5,97.0,93.0,458.36
2022-01-08,US,Oakland,pm25,93,5.0,78.0,25.0,2647.59
2022-01-08,US,Oakland,wind-speed,90,0.1,6.1,1.2,17.96
2022-01-09,US,Oakland,wind-speed,70,0.4,11.5,2.8,68.51
2022-01-09,US,Oakland,pm25,95,5.0,82.0,34.0,2290.55
2022-01-09,US,Oakland,humidity,118,49.5,99.0,85.0,1031.1
2022-01-10,US,Oakland,humidity,117,53.5,96.5,83.5,1634.9
2022-01-10,US,Oakland,pm25,105,9.0,70.0,50.0,2416.88
2022-01-10,US,Oakland,wind-speed,61,0.2,6.8,2.0,32.83
2022-01-11,US,Oakland,humidity,120,50.2,96.7,79.6,1828.45
2022-01-11,US,Oakland,pm25,119,13.0,76.0,46.0,2087.1
2022-01-11,US,Oakland,wind-speed,70,0.1,5.5,1.2,15.37
2022-01-12,US,Oakland,wind-speed,67,0.1,12.4,1.8,69.44
2022-01-12,US,Oakland,humidity,120,54.2,96.0,81.7,1091.03
2022-01-12,US,Oakland,pm25,119,21.0,109.0,68.0,4480.08
2022-01-13,US,Oakland,humidity,120,71.5,98.0,89.6,475.15
2022-01-13,US,Oakland,pm25,120,13.0,151.0,78.0,5927.05
2022-01-13,US,Oakland,wind-speed,54,0.1,3.3,1.0,4.66
2022-01-14,US,Oakland,humidity,118,16.5,99.0,82.6,2763.36
2022-01-14,US,Oakland,pm25,120,13.0,80.0,46.0,2638.65
2022-01-14,US,Oakland,wind-speed,57,0.1,8.0,1.8,38.03
2022-01-15,US,Oakland,humidity,120,42.5,95.8,77.7,1684.45
2022-01-15,US,Oakland,pm25,120,9.0,129.0,53.0,4397.94
2022-01-15,US,Oakland,wind-speed,84,0.1,17.1,2.0,135.48
2022-01-16,US,Oakland,humidity,119,47.5,93.5,78.0,1304.61
2022-01-16,US,Oakland,pm25,120,17.0,119.0,65.0,2745.29
2022-01-16,US,Oakland,wind-speed,66,0.2,6.7,1.4,29.24
2022-01-17,US,Oakland,wind-speed,54,0.1,6.0,1.1,25.2
2022-01-17,US,Oakland,pm25,120,21.0,107.0,63.0,2783.19
2022-01-17,US,Oakland,humidity,120,56.3,94.5,81.0,1294.47
2022-01-18,US,Oakland,humidity,120,71.1,96.0,82.6,362.53
2022-01-18,US,Oakland,pm25,119,13.0,91.0,42.0,2191.69
2022-01-18,US,Oakland,wind-speed,89,0.1,3.6,1.3,7.12
2022-01-19,US,Oakland,humidity,120,64.2,95.1,82.0,604.33
2022-01-19,US,Oakland,pm25,118,13.0,80.0,46.0,2384.46
2022-01-19,US,Oakland,wind-speed,86,0.2,3.5,1.2,5.69
2022-01-20,US,Oakland,humidity,120,52.0,96.3,74.1,1647.02
2022-01-20,US,Oakland,pm25,118,9.0,85.0,50.0,3343.96
2022-01-20,US,Oakland,wind-speed,86,0.1,4.5,1.4,11.19
2022-01-21,US,Oakland,humidity,111,23.5,97.0,42.1,5283.65
2022-01-21,US,Oakland,pm25,108,5.0,89.0,46.0,6686.84
2022-01-21,US,Oakland,wind-speed,96,0.1,31.0,2.8,322.05
2022-01-22,US,Oakland,pm25,97,5.0,74.0,17.0,4023.8
2022-01-22,US,Oakland,wind-speed,90,0.1,32.8,5.2,651.44
2022-01-22,US,Oakland,humidity,112,24.0,85.0,37.6,3183.88
2022-01-23,US,Oakland,wind-speed,85,0.1,9.2,2.0,34.31
2022-01-23,US,Oakland,pm25,120,30.0,112.0,65.0,2677.21
2022-01-23,US,Oakland,humidity,120,45.7,94.4,67.8,1533.88
2022-01-24,US,Oakland,humidity,120,45.6,93.1,73.5,1356.67
2022-01-24,US,Oakland,pm25,119,30.0,91.0,59.0,1254.96
2022-01-24,US,Oakland,wind-speed,90,0.1,4.4,1.7,13.21
2022-01-25,US,Oakland,humidity,120,64.0,95.8,76.4,1071.91
2022-01-25,US,Oakland,pm25,112,5.0,97.0,38.0,3637.99
2022-01-25,US,Oakland,wind-speed,87,0.1,4.5,1.2,9.49
2022-01-26,US,Oakland,humidity,120,56.8,95.0,72.2,1534.17
