Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Oklahoma City,humidity,96,77.7,94.7,85.5,264.54
2022-01-01,US,Oklahoma City,pm10,71,2.0,42.0,13.0,610.42
2022-01-01,US,Oklahoma City,pm25,95,7.0,87.0,33.0,3021.83
2022-01-01,US,Oklahoma City,wind-speed,72,2.2,22.5,10.7,249.11
2022-01-02,US,Oklahoma City,humidity,95,51.2,82.2,73.2,949.83
2022-01-02,US,Oklahoma City,pm10,69,2.0,25.0,9.0,215.76
2022-01-02,US,Oklahoma City,pm25,96,8.0,66.0,18.0,1096.77
2022-01-02,US,Oklahoma City,wind-speed,64,0.2,20.2,7.7,219.43
2022-01-03,US,Oklahoma City,wind-speed,64,0.2,14.0,5.0,98.4
2022-01-03,US,Oklahoma City,pm25,96,9.0,49.0,28.0,749.83
2022-01-03,US,Oklahoma City,humidity,96,27.0,88.0,56.5,3276.14
2022-01-03,US,Oklahoma City,pm10,67,4.0,23.0,14.0,292.34
2022-01-04,US,Oklahoma City,humidity,96,24.2,64.0,46.7,1380.3
2022-01-04,US,Oklahoma City,pm10,68,7.0,30.0,16.0,309.26
2022-01-04,US,Oklahoma City,pm25,96,12.0,59.0,23.0,632.1
2022-01-04,US,Oklahoma City,wind-speed,67,0.2,22.0,9.7,339.45
2022-01-05,US,Oklahoma City,wind-speed,72,0.2,15.0,5.5,114.9
2022-01-05,US,Oklahoma City,humidity,96,31.7,64.0,50.0,789.17
2022-01-05,US,Oklahoma City,pm10,72,7.0,71.0,18.0,1503.59
2022-01-05,US,Oklahoma City,pm25,96,11.0,52.0,25.0,696.84
2022-01-06,US,Oklahoma City,wind-speed,72,0.7,21.3,9.0,280.64
2022-01-06,US,Oklahoma City,pm25,96,16.0,44.0,23.0,375.02
2022-01-06,US,Oklahoma City,humidity,96,51.0,72.0,60.3,273.0
2022-01-06,US,Oklahoma City,pm10,72,7.0,28.0,13.0,199.03
2022-01-07,US,Oklahoma City,humidity,96,46.6,82.0,70.3,717.1
2022-01-07,US,Oklahoma City,pm10,68,7.0,36.0,14.0,558.79
2022-01-07,US,Oklahoma City,pm25,96,14.0,66.0,35.0,1653.67
2022-01-07,US,Oklahoma City,wind-speed,72,0.2,13.3,3.6,106.84
2022-01-08,US,Oklahoma City,humidity,96,73.7,97.0,93.0,292.55
2022-01-08,US,Oklahoma City,pm10,72,10.0,31.0,15.0,241.31
2022-01-08,US,Oklahoma City,pm25,96,33.0,73.0,51.0,793.1
2022-01-08,US,Oklahoma City,wind-speed,72,0.2,17.2,5.8,178.88
2022-01-09,US,Oklahoma City,pm10,67,7.0,32.0,13.0,338.5
2022-01-09,US,Oklahoma City,wind-speed,71,0.1,11.5,5.5,88.8
2022-01-09,US,Oklahoma City,humidity,96,36.2,97.0,51.8,4305.89
2022-01-09,US,Oklahoma City,pm25,96,13.0,74.0,26.0,3211.33
2022-01-10,US,Oklahoma City,humidity,96,18.5,73.2,44.0,3163.71
2022-01-10,US,Oklahoma City,pm10,70,3.0,49.0,16.0,985.59
2022-01-10,US,Oklahoma City,pm25,96,8.0,59.0,23.0,1209.26
2022-01-10,US,Oklahoma City,wind-speed,54,0.1,5.0,1.1,15.25
2022-01-11,US,Oklahoma City,pm25,96,8.0,53.0,18.0,700.53
2022-01-11,US,Oklahoma City,humidity,96,23.0,84.5,39.7,1969.75
2022-01-11,US,Oklahoma City,pm10,71,4.0,27.0,15.0,469.49
2022-01-11,US,Oklahoma City,wind-speed,64,0.5,10.7,4.0,71.15
2022-01-12,US,Oklahoma City,wind-speed,53,0.2,7.5,2.2,27.9
2022-01-12,US,Oklahoma City,pm25,96,11.0,62.0,23.0,1813.25
2022-01-12,US,Oklahoma City,humidity,96,25.2,86.5,55.0,3175.24
2022-01-12,US,Oklahoma City,pm10,69,5.0,59.0,15.0,2445.34
2022-01-13,US,Oklahoma City,humidity,96,20.0,75.5,47.7,1972.82
2022-01-13,US,Oklahoma City,pm10,71,3.0,56.0,21.0,980.31
2022-01-13,US,Oklahoma City,pm25,95,4.0,76.0,24.0,1486.98
2022-01-13,US,Oklahoma City,wind-speed,44,0.2,9.0,2.0,54.09
2022-01-14,US,Oklahoma City,wind-speed,58,0.2,19.7,3.9,280.34
2022-01-14,US,Oklahoma City,humidity,96,31.2,93.0,54.7,2250.13
2022-01-14,US,Oklahoma City,pm10,72,10.0,114.0,25.0,4049.57
2022-01-14,US,Oklahoma City,pm25,96,15.0,74.0,30.0,2064.61
2022-01-15,US,Oklahoma City,wind-speed,72,1.6,20.0,11.2,270.07
2022-01-15,US,Oklahoma City,pm25,96,19.0,51.0,31.0,498.67
2022-01-15,US,Oklahoma City,humidity,96,59.7,78.7,67.7,228.24
2022-01-15,US,Oklahoma City,pm10,69,8.0,24.0,13.0,164.31
2022-01-16,US,Oklahoma City,pm25,96,14.0,93.0,35.0,3205.61
2022-01-16,US,Oklahoma City,humidity,92,27.0,91.9,59.2,4825.74
2022-01-16,US,Oklahoma City,pm10,71,7.0,43.0,14.0,957.21
2022-01-16,US,Oklahoma City,wind-speed,56,0.1,7.7,1.8,37.64
2022-01-17,US,Oklahoma City,wind-speed,49,0.2,9.2,3.0,62.69
2022-01-17,US,Oklahoma City,pm25,96,5.0,90.0,24.0,3158.53
2022-01-17,US,Oklahoma City,pm10,72,2.0,42.0,19.0,787.1
2022-01-17,US,Oklahoma City,humidity,96,31.0,82.5,49.0,1894.97
2022-01-18,US,Oklahoma City,humidity,96,26.5,83.5,50.2,1915.24
2022-01-18,US,Oklahoma City,pm10,69,10.0,64.0,25.0,1898.71
2022-01-18,US,Oklahoma City,pm25,93,23.0,60.0,39.0,826.36
2022-01-18,US,Oklahoma City,wind-speed,65,0.2,13.2,4.8,102.74
2022-01-19,US,Oklahoma City,pm25,96,14.0,70.0,37.0,2096.94
2022-01-19,US,Oklahoma City,wind-speed,70,0.5,25.0,10.2,361.67
2022-01-19,US,Oklahoma City,humidity,96,39.0,87.5,64.5,2477.84
2022-01-19,US,Oklahoma City,pm10,72,9.0,54.0,21.0,938.47
2022-01-20,US,Oklahoma City,humidity,96,34.0,61.5,47.7,579.37
2022-01-20,US,Oklahoma City,pm10,68,6.0,31.0,11.0,408.8
2022-01-20,US,Oklahoma City,pm25,95,10.0,56.0,18.0,1154.18
2022-01-20,US,Oklahoma City,wind-speed,67,0.2,19.5,7.5,238.43
2022-01-21,US,Oklahoma City,wind-speed,51,0.2,6.7,2.5,28.61
2022-01-21,US,Oklahoma City,humidity,96,19.2,76.7,50.0,2558.78
2022-01-21,US,Oklahoma City,pm10,72,6.0,45.0,20.0,681.0
2022-01-21,US,Oklahoma City,pm25,96,13.0,94.0,24.0,1781.5
2022-01-22,US,Oklahoma City,pm25,96,22.0,95.0,45.0,2221.67
2022-01-22,US,Oklahoma City,wind-speed,54,0.2,9.5,2.7,54.69
2022-01-22,US,Oklahoma City,humidity,96,23.7,82.0,41.7,2196.73
2022-01-22,US,Oklahoma City,pm10,72,10.0,51.0,26.0,1023.52
2022-01-23,US,Oklahoma City,wind-speed,56,0.2,8.5,3.0,61.02
2022-01-23,US,Oklahoma City,pm25,96,14.0,95.0,34.0,2336.96
2022-01-23,US,Oklahoma City,pm10,72,5.0,52.0,18.0,778.86
2022-01-23,US,Oklahoma City,humidity,96,31.5,85.2,49.5,1107.52
2022-01-24,US,Oklahoma City,humidity,96,22.0,91.0,54.2,3539.14
2022-01-24,US,Oklahoma City,pm10,71,6.0,56.0,19.0,792.71
2022-01-24,US,Oklahoma City,pm25,95,12.0,71.0,24.0,1411.58
2022-01-24,US,Oklahoma City,wind-speed,65,0.2,17.6,4.5,123.03
2022-01-25,US,Oklahoma City,pm25,96,12.0,55.0,22.0,592.98
2022-01-25,US,Oklahoma City,wind-speed,72,2.7,14.2,5.7,95.38
2022-01-25,US,Oklahoma City,humidity,96,31.0,75.0,45.0,1670.58
2022-01-25,US,Oklahoma City,pm10,72,4.0,43.0,14.0,523.84
2022-01-26,US,Oklahoma City,humidity,96,21.2,89.7,39.0,3036.47
2022-01-26,US,Oklahoma City,pm10,72,8.0,144.0,20.0,2734.21
2022-01-26,US,Oklahoma City,pm25,96,15.0,63.0,28.0,1209.4
2022-01-26,US,Oklahoma City,wind-speed,69,0.2,13.0,2.7,70.43
2022-01-27,US,Oklahoma City,wind-speed,71,0.2,10.2,3.3,58.57
2022-01-27,US,Oklahoma City,humidity,96,58.7,93.0,77.0,772.03
2022-01-27,US,Oklahoma City,pm10,69,10.0,44.0,21.0,641.56
2022-01-27,US,Oklahoma City,pm25,96,24.0,96.0,55.0,1907.34
2022-01-28,US,Oklahoma City,wind-speed,63,0.5,16.5,4.7,121.5
2022-01-28,US,Oklahoma City,pm25,96,7.0,81.0,26.0,2999.89
2022-01-28,US,Oklahoma City,humidity,96,29.0,88.0,65.5,3757.5
2022-01-28,US,Oklahoma City,pm10,72,3.0,69.0,14.0,1264.19
2022-01-29,US,Oklahoma City,humidity,96,14.2,87.7,35.5,4956.63
2022-01-29,US,Oklahoma City,pm10,72,4.0,48.0,15.0,766.48
2022-01-29,US,Oklahoma City,pm25,96,5.0,83.0,20.0,2344.61
2022-01-29,US,Oklahoma City,wind-speed,57,0.2,13.0,4.3,111.57
2022-01-30,US,Oklahoma City,wind-speed,59,0.2,6.0,2.3,21.85
2022-01-30,US,Oklahoma City,humidity,96,11.0,79.7,34.5,2089.51
2022-01-30,US,Oklahoma City,pm10,72,4.0,59.0,16.0,1196.81
2022-01-30,US,Oklahoma City,pm25,95,8.0,119.0,23.0,3078.85
2022-01-31,US,Oklahoma City,wind-speed,64,0.2,14.7,5.7,114.78
2022-01-31,US,Oklahoma City,pm25,96,16.0,58.0,35.0,1189.57
2022-01-31,US,Oklahoma City,humidity,96,27.7,86.5,45.5,2258.58
2022-01-31,US,Oklahoma City,pm10,72,7.0,58.0,26.0,1526.48
2022-02-01,US,Oklahoma City,wind-speed,72,1.2,16.4,8.7,144.27
2022-02-01,US,Oklahoma City,humidity,96,60.2,89.0,81.0,708.61
