Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Omaha,humidity,46,64.1,85.3,77.2,384.63
2022-01-01,US,Omaha,pm10,24,8.0,62.0,11.0,1979.71
2022-01-01,US,Omaha,pm25,47,9.0,53.0,21.0,1216.51
2022-01-01,US,Omaha,wind-speed,48,1.8,10.0,5.7,44.81
2022-01-02,US,Omaha,humidity,48,55.6,84.3,74.3,476.83
2022-01-02,US,Omaha,pm10,24,5.0,22.0,11.0,196.36
2022-01-02,US,Omaha,pm25,48,13.0,78.0,38.0,1963.39
2022-01-02,US,Omaha,wind-speed,18,0.1,2.8,0.3,7.33
2022-01-03,US,Omaha,wind-speed,17,0.1,1.8,0.5,3.27
2022-01-03,US,Omaha,pm25,48,30.0,76.0,53.0,1238.44
2022-01-03,US,Omaha,humidity,48,63.0,87.0,76.8,489.5
2022-01-03,US,Omaha,pm10,24,10.0,40.0,18.0,846.67
2022-01-04,US,Omaha,humidity,48,59.2,85.4,68.6,581.2
2022-01-04,US,Omaha,pm10,23,4.0,68.0,17.0,3985.41
2022-01-04,US,Omaha,pm25,46,9.0,76.0,30.0,2021.14
2022-01-04,US,Omaha,wind-speed,45,0.1,13.0,2.0,145.37
2022-01-05,US,Omaha,wind-speed,48,1.8,9.2,5.6,37.28
2022-01-05,US,Omaha,humidity,48,54.2,67.2,60.6,180.37
2022-01-05,US,Omaha,pm10,24,10.0,50.0,19.0,915.58
2022-01-05,US,Omaha,pm25,48,9.0,61.0,30.0,2069.43
2022-01-06,US,Omaha,wind-speed,36,0.5,8.2,4.2,24.08
2022-01-06,US,Omaha,pm25,42,5.0,34.0,17.0,547.22
2022-01-06,US,Omaha,humidity,47,54.0,73.8,64.6,370.59
2022-01-06,US,Omaha,pm10,23,2.0,17.0,10.0,144.47
2022-01-07,US,Omaha,humidity,48,50.4,71.6,62.6,265.37
2022-01-07,US,Omaha,pm10,24,9.0,26.0,16.0,231.29
2022-01-07,US,Omaha,pm25,48,9.0,38.0,25.0,343.08
2022-01-07,US,Omaha,wind-speed,36,0.2,8.5,3.4,69.69
2022-01-08,US,Omaha,humidity,48,65.0,94.0,81.3,687.28
2022-01-08,US,Omaha,pm10,24,10.0,37.0,16.0,729.49
2022-01-08,US,Omaha,pm25,47,5.0,85.0,34.0,2652.31
2022-01-08,US,Omaha,wind-speed,38,0.2,11.6,5.8,102.91
2022-01-09,US,Omaha,pm10,24,11.0,34.0,19.0,337.37
2022-01-09,US,Omaha,wind-speed,38,0.2,10.0,4.7,71.6
2022-01-09,US,Omaha,humidity,48,40.3,69.8,60.1,879.5
2022-01-09,US,Omaha,pm25,48,13.0,57.0,34.0,1230.74
2022-01-10,US,Omaha,humidity,48,45.1,80.4,63.2,960.52
2022-01-10,US,Omaha,pm10,23,4.0,52.0,37.0,3120.83
2022-01-10,US,Omaha,pm25,48,9.0,55.0,30.0,1083.68
2022-01-10,US,Omaha,wind-speed,31,0.1,4.4,1.8,12.65
2022-01-11,US,Omaha,pm25,45,9.0,55.0,34.0,1632.0
2022-01-11,US,Omaha,humidity,48,37.0,82.5,51.8,2613.75
2022-01-11,US,Omaha,pm10,24,11.0,50.0,28.0,1030.36
2022-01-11,US,Omaha,wind-speed,32,0.1,6.0,3.0,33.55
2022-01-12,US,Omaha,wind-speed,31,0.2,7.0,1.8,49.55
2022-01-12,US,Omaha,pm25,38,5.0,38.0,21.0,838.53
2022-01-12,US,Omaha,humidity,48,39.4,68.0,54.0,727.27
2022-01-12,US,Omaha,pm10,24,8.0,36.0,24.0,481.45
2022-01-13,US,Omaha,humidity,48,51.8,79.0,61.4,625.35
2022-01-13,US,Omaha,pm10,24,6.0,33.0,17.0,689.11
2022-01-13,US,Omaha,pm25,29,5.0,61.0,21.0,1946.18
2022-01-13,US,Omaha,wind-speed,43,0.5,9.6,3.0,59.52
2022-01-14,US,Omaha,wind-speed,47,0.4,11.0,2.8,90.74
2022-01-14,US,Omaha,humidity,48,78.2,95.4,91.3,137.81
2022-01-14,US,Omaha,pm10,24,4.0,34.0,11.0,502.54
2022-01-14,US,Omaha,pm25,46,13.0,68.0,38.0,2508.77
2022-01-15,US,Omaha,wind-speed,39,0.2,10.0,5.6,91.32
2022-01-15,US,Omaha,pm25,47,5.0,74.0,21.0,2475.2
2022-01-15,US,Omaha,humidity,48,82.0,93.0,87.0,86.79
2022-01-15,US,Omaha,pm10,23,1.0,16.0,7.0,163.52
2022-01-16,US,Omaha,pm25,42,5.0,59.0,38.0,2676.13
2022-01-16,US,Omaha,humidity,46,72.6,92.6,87.0,363.04
2022-01-16,US,Omaha,pm10,24,4.0,18.0,8.0,121.96
2022-01-16,US,Omaha,wind-speed,37,0.1,9.0,3.5,63.99
2022-01-17,US,Omaha,wind-speed,35,0.1,7.2,2.8,24.92
2022-01-17,US,Omaha,pm25,40,9.0,53.0,25.0,1071.12
2022-01-17,US,Omaha,pm10,23,1.0,13.0,5.0,169.88
2022-01-17,US,Omaha,humidity,48,74.2,92.0,86.0,218.57
2022-01-18,US,Omaha,humidity,48,53.4,91.7,75.6,1476.49
2022-01-18,US,Omaha,pm10,24,7.0,28.0,11.0,321.67
2022-01-18,US,Omaha,pm25,46,13.0,59.0,34.0,1847.54
2022-01-18,US,Omaha,wind-speed,21,0.2,9.5,7.3,138.02
2022-01-19,US,Omaha,pm25,45,5.0,46.0,17.0,924.27
2022-01-19,US,Omaha,wind-speed,48,4.6,12.3,8.7,35.58
2022-01-19,US,Omaha,humidity,48,53.7,70.1,64.2,204.02
2022-01-19,US,Omaha,pm10,24,6.0,16.0,10.0,76.45
2022-01-20,US,Omaha,humidity,47,46.2,78.0,66.1,708.76
2022-01-20,US,Omaha,pm10,24,2.0,20.0,10.0,315.2
2022-01-20,US,Omaha,pm25,48,5.0,63.0,25.0,1779.36
2022-01-20,US,Omaha,wind-speed,37,0.2,5.3,1.6,26.87
2022-01-21,US,Omaha,wind-speed,44,0.1,9.2,3.8,67.82
2022-01-21,US,Omaha,humidity,48,46.0,81.2,63.8,1434.84
2022-01-21,US,Omaha,pm10,23,8.0,28.0,17.0,331.5
2022-01-21,US,Omaha,pm25,47,5.0,46.0,25.0,1177.59
2022-01-22,US,Omaha,pm25,42,5.0,42.0,17.0,864.99
2022-01-22,US,Omaha,wind-speed,36,0.2,7.5,3.0,33.59
2022-01-22,US,Omaha,humidity,48,47.0,78.8,56.0,813.24
2022-01-22,US,Omaha,pm10,24,4.0,18.0,11.0,163.19
2022-01-23,US,Omaha,wind-speed,40,0.1,10.5,3.5,89.27
2022-01-23,US,Omaha,pm25,38,9.0,46.0,25.0,1123.87
2022-01-23,US,Omaha,pm10,24,2.0,17.0,7.0,259.55
2022-01-23,US,Omaha,humidity,48,53.5,81.3,75.8,382.85
2022-01-24,US,Omaha,humidity,48,59.0,78.5,66.8,267.49
2022-01-24,US,Omaha,pm10,24,1.0,18.0,10.0,196.94
2022-01-24,US,Omaha,pm25,37,5.0,38.0,21.0,696.04
2022-01-24,US,Omaha,wind-speed,44,0.1,10.5,4.0,82.17
2022-01-25,US,Omaha,pm25,45,5.0,50.0,21.0,1122.0
2022-01-25,US,Omaha,wind-speed,30,0.2,4.3,1.1,12.8
2022-01-25,US,Omaha,humidity,48,44.3,78.8,60.0,1255.75
2022-01-25,US,Omaha,pm10,22,3.0,14.0,8.0,91.19
2022-01-26,US,Omaha,humidity,48,43.0,84.0,55.5,1590.75
2022-01-26,US,Omaha,pm10,24,10.0,31.0,22.0,436.45
2022-01-26,US,Omaha,pm25,45,5.0,50.0,25.0,1398.46
2022-01-26,US,Omaha,wind-speed,31,0.4,9.2,2.6,92.44
2022-01-27,US,Omaha,wind-speed,37,0.3,9.8,2.6,63.38
2022-01-27,US,Omaha,humidity,48,47.3,86.0,67.5,1271.11
2022-01-27,US,Omaha,pm10,22,1.0,21.0,8.0,351.08
2022-01-27,US,Omaha,pm25,39,5.0,42.0,17.0,681.15
2022-01-28,US,Omaha,wind-speed,20,0.1,5.6,0.3,36.93
2022-01-28,US,Omaha,pm25,46,5.0,42.0,17.0,875.58
2022-01-28,US,Omaha,humidity,48,33.6,70.0,54.3,1190.36
2022-01-28,US,Omaha,pm10,24,3.0,40.0,13.0,1308.24
2022-01-29,US,Omaha,humidity,48,27.5,87.2,53.2,3796.76
2022-01-29,US,Omaha,pm10,24,10.0,32.0,19.0,276.94
2022-01-29,US,Omaha,pm25,38,5.0,53.0,25.0,1334.57
2022-01-29,US,Omaha,wind-speed,21,0.4,5.8,2.4,21.06
2022-01-30,US,Omaha,wind-speed,41,0.1,5.5,1.0,22.66
2022-01-30,US,Omaha,humidity,48,50.2,84.5,66.0,822.8
2022-01-30,US,Omaha,pm10,24,5.0,26.0,11.0,500.22
