Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,AU,Perth,humidity,95,29.0,74.3,59.4,1262.85
2022-01-01,AU,Perth,pm10,90,1.0,30.0,6.0,178.41
2022-01-01,AU,Perth,pm25,81,2.0,52.0,6.0,577.38
2022-01-01,AU,Perth,wind-speed,87,0.1,8.7,5.1,75.91
2022-01-02,AU,Perth,humidity,96,22.0,70.7,51.1,1571.35
2022-01-02,AU,Perth,pm10,92,2.0,15.0,6.0,86.96
2022-01-02,AU,Perth,pm25,84,2.0,14.0,5.0,99.43
2022-01-02,AU,Perth,wind-speed,94,0.2,11.8,4.1,87.05
2022-01-03,AU,Perth,wind-speed,73,0.2,8.7,4.6,48.49
2022-01-03,AU,Perth,pm25,89,2.0,21.0,10.0,242.95
2022-01-03,AU,Perth,humidity,96,28.9,80.3,57.9,1663.09
2022-01-03,AU,Perth,pm10,92,1.0,17.0,9.0,144.52
2022-01-04,AU,Perth,humidity,96,20.0,73.1,48.2,2640.8
2022-01-04,AU,Perth,pm10,91,4.0,17.0,8.0,102.2
2022-01-04,AU,Perth,pm25,88,3.0,20.0,8.0,181.23
2022-01-04,AU,Perth,wind-speed,94,0.1,10.8,4.1,73.16
2022-01-05,AU,Perth,wind-speed,94,0.7,8.7,4.1,63.17
2022-01-05,AU,Perth,humidity,94,26.0,80.0,59.4,2078.61
2022-01-05,AU,Perth,pm10,90,1.0,14.0,8.0,68.56
2022-01-05,AU,Perth,pm25,91,3.0,14.0,7.0,62.3
2022-01-06,AU,Perth,wind-speed,79,0.1,8.7,4.6,63.35
2022-01-06,AU,Perth,pm25,91,2.0,21.0,11.0,173.55
2022-01-06,AU,Perth,humidity,96,30.9,96.5,57.9,3515.02
2022-01-06,AU,Perth,pm10,92,6.0,20.0,12.0,114.59
2022-01-07,AU,Perth,humidity,95,16.0,65.7,47.1,1879.08
2022-01-07,AU,Perth,pm10,92,5.0,16.0,9.0,77.67
2022-01-07,AU,Perth,pm25,89,2.0,15.0,8.0,72.06
2022-01-07,AU,Perth,wind-speed,93,0.2,10.2,3.4,63.52
2022-01-08,AU,Perth,wind-speed,88,0.1,11.8,6.5,94.63
2022-01-08,AU,Perth,humidity,96,28.1,73.5,51.9,1309.94
2022-01-08,AU,Perth,pm10,91,4.0,28.0,9.0,238.94
2022-01-08,AU,Perth,pm25,88,2.0,13.0,7.0,74.01
2022-01-09,AU,Perth,wind-speed,91,0.2,10.8,5.1,94.75
2022-01-09,AU,Perth,pm25,89,2.0,12.0,6.0,55.59
2022-01-09,AU,Perth,pm10,92,2.0,13.0,7.0,57.41
2022-01-09,AU,Perth,humidity,95,33.0,73.1,59.3,1096.96
2022-01-10,AU,Perth,wind-speed,92,0.1,8.7,3.6,64.17
2022-01-10,AU,Perth,humidity,94,18.0,73.0,46.0,2188.07
2022-01-10,AU,Perth,pm10,91,1.0,14.0,6.0,77.51
2022-01-10,AU,Perth,pm25,79,2.0,15.0,5.0,117.01
2022-01-11,AU,Perth,pm25,88,2.0,14.0,7.0,99.87
2022-01-11,AU,Perth,wind-speed,90,0.1,9.2,4.1,70.55
2022-01-11,AU,Perth,humidity,93,18.9,66.9,45.1,2217.2
2022-01-11,AU,Perth,pm10,90,4.0,17.0,8.0,71.92
2022-01-12,AU,Perth,wind-speed,80,0.1,8.7,4.7,31.93
2022-01-12,AU,Perth,pm25,92,2.0,15.0,8.0,84.28
2022-01-12,AU,Perth,pm10,92,5.0,14.0,9.0,55.08
2022-01-12,AU,Perth,humidity,96,23.9,84.2,52.9,3131.54
2022-01-13,AU,Perth,humidity,95,52.1,85.0,76.7,809.91
