Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Philadelphia,humidity,96,93.0,100.0,98.0,52.5
2022-01-01,US,Philadelphia,pm25,96,3.0,78.0,27.0,2768.21
2022-01-01,US,Philadelphia,wind-speed,82,0.1,4.1,0.6,6.53
2022-01-02,US,Philadelphia,humidity,96,56.0,100.0,91.0,1287.07
2022-01-02,US,Philadelphia,pm25,87,3.0,47.0,18.0,690.62
2022-01-02,US,Philadelphia,wind-speed,96,0.2,7.7,2.3,35.95
2022-01-03,US,Philadelphia,humidity,96,46.0,92.0,68.0,1565.07
2022-01-03,US,Philadelphia,pm25,79,5.0,35.0,15.0,240.9
2022-01-03,US,Philadelphia,wind-speed,94,0.8,8.4,4.1,42.88
2022-01-04,US,Philadelphia,humidity,96,43.0,92.0,62.7,1264.33
2022-01-04,US,Philadelphia,pm25,52,1.0,53.0,22.0,1201.52
2022-01-04,US,Philadelphia,wind-speed,54,0.5,5.0,2.2,15.24
2022-01-05,US,Philadelphia,humidity,96,71.6,100.0,86.0,476.2
2022-01-05,US,Philadelphia,pm25,47,2.0,53.0,34.0,1832.81
2022-01-05,US,Philadelphia,wind-speed,39,0.5,7.1,2.0,28.19
2022-01-06,US,Philadelphia,wind-speed,47,0.5,7.2,2.5,20.89
2022-01-06,US,Philadelphia,pm25,48,18.0,76.0,44.0,1709.32
2022-01-06,US,Philadelphia,humidity,96,38.0,100.0,55.7,2990.84
2022-01-07,US,Philadelphia,humidity,96,49.0,100.0,61.0,2786.98
2022-01-07,US,Philadelphia,pm25,70,4.0,56.0,39.0,1303.45
2022-01-07,US,Philadelphia,wind-speed,70,1.5,11.3,5.1,51.42
2022-01-08,US,Philadelphia,humidity,94,35.0,85.0,57.0,1147.88
2022-01-08,US,Philadelphia,pm25,86,3.0,64.0,26.0,1641.53
2022-01-08,US,Philadelphia,wind-speed,87,0.3,6.1,1.8,19.2
2022-01-09,US,Philadelphia,wind-speed,95,0.5,7.6,2.3,28.17
2022-01-09,US,Philadelphia,pm25,96,7.0,69.0,37.0,1483.89
2022-01-09,US,Philadelphia,humidity,96,63.0,100.0,80.0,1148.14
2022-01-10,US,Philadelphia,humidity,96,36.0,80.6,50.0,682.06
2022-01-10,US,Philadelphia,pm25,91,3.0,57.0,24.0,1454.55
2022-01-10,US,Philadelphia,wind-speed,96,0.8,9.7,4.1,37.13
2022-01-11,US,Philadelphia,humidity,96,30.0,87.3,47.0,1736.49
2022-01-11,US,Philadelphia,pm25,89,1.0,57.0,18.0,1322.06
2022-01-11,US,Philadelphia,wind-speed,90,0.1,8.2,2.5,33.36
2022-01-12,US,Philadelphia,wind-speed,80,0.1,11.5,2.4,58.55
2022-01-12,US,Philadelphia,humidity,96,35.0,86.0,62.0,1461.89
2022-01-12,US,Philadelphia,pm25,94,4.0,83.0,35.0,1887.45
2022-01-13,US,Philadelphia,humidity,95,39.0,97.3,74.0,2660.44
2022-01-13,US,Philadelphia,pm25,92,21.0,160.0,74.0,7064.5
2022-01-13,US,Philadelphia,wind-speed,71,0.1,2.8,0.5,4.08
2022-01-14,US,Philadelphia,humidity,95,42.0,86.0,60.0,986.7
2022-01-14,US,Philadelphia,pm25,95,3.0,99.0,50.0,5987.54
2022-01-14,US,Philadelphia,wind-speed,95,0.2,9.2,4.5,64.35
2022-01-15,US,Philadelphia,humidity,96,25.0,48.0,37.0,473.09
2022-01-15,US,Philadelphia,pm25,88,1.0,50.0,18.0,897.53
2022-01-15,US,Philadelphia,wind-speed,96,0.3,7.7,3.8,37.23
2022-01-16,US,Philadelphia,humidity,95,42.5,97.6,64.5,2744.79
2022-01-16,US,Philadelphia,pm25,95,5.0,70.0,39.0,2378.16
2022-01-16,US,Philadelphia,wind-speed,96,0.2,13.0,2.1,77.9
2022-01-17,US,Philadelphia,wind-speed,96,1.6,12.0,5.1,67.92
2022-01-17,US,Philadelphia,pm25,71,1.0,63.0,24.0,2101.54
2022-01-17,US,Philadelphia,humidity,96,9.9,100.0,74.0,2072.93
2022-01-18,US,Philadelphia,humidity,96,41.0,92.0,56.5,1079.52
2022-01-18,US,Philadelphia,pm25,79,2.0,81.0,25.0,2500.91
2022-01-18,US,Philadelphia,wind-speed,95,0.2,9.2,3.4,52.35
2022-01-19,US,Philadelphia,humidity,96,37.0,92.0,59.2,2096.68
2022-01-19,US,Philadelphia,pm25,93,2.0,87.0,41.0,2124.12
2022-01-19,US,Philadelphia,wind-speed,92,0.3,11.0,2.0,59.41
2022-01-20,US,Philadelphia,humidity,96,46.0,100.0,71.7,2898.09
2022-01-20,US,Philadelphia,pm25,92,1.0,76.0,31.0,3523.48
2022-01-20,US,Philadelphia,wind-speed,94,0.2,7.2,2.5,39.98
2022-01-21,US,Philadelphia,humidity,96,32.6,69.0,49.2,962.54
2022-01-21,US,Philadelphia,pm25,83,4.0,64.0,21.0,1070.39
2022-01-21,US,Philadelphia,wind-speed,96,0.4,7.7,3.2,33.74
2022-01-22,US,Philadelphia,pm25,95,5.0,73.0,28.0,2427.42
2022-01-22,US,Philadelphia,wind-speed,90,0.2,5.6,1.8,21.32
2022-01-22,US,Philadelphia,humidity,96,28.0,79.0,49.0,1284.37
2022-01-23,US,Philadelphia,wind-speed,85,0.1,5.5,1.5,15.83
2022-01-23,US,Philadelphia,pm25,96,21.0,82.0,53.0,1814.31
2022-01-23,US,Philadelphia,humidity,96,35.0,92.0,60.6,1936.29
2022-01-24,US,Philadelphia,humidity,95,41.0,97.3,69.0,1818.93
2022-01-24,US,Philadelphia,pm25,94,8.0,93.0,57.0,3729.35
2022-01-24,US,Philadelphia,wind-speed,86,0.3,4.9,1.7,11.02
2022-01-25,US,Philadelphia,humidity,95,46.0,92.0,64.0,1545.69
2022-01-25,US,Philadelphia,pm25,96,22.0,100.0,54.0,3405.89
2022-01-25,US,Philadelphia,wind-speed,90,0.2,5.6,1.7,17.89
2022-01-26,US,Philadelphia,humidity,96,31.0,87.3,49.0,1450.62
2022-01-26,US,Philadelphia,pm25,90,1.0,77.0,23.0,2305.35
2022-01-26,US,Philadelphia,wind-speed,93,0.2,6.6,3.0,24.24
2022-01-27,US,Philadelphia,humidity,96,29.0,92.0,54.6,2981.57
2022-01-27,US,Philadelphia,pm25,94,18.0,112.0,54.0,2695.43
2022-01-27,US,Philadelphia,wind-speed,80,0.1,4.7,1.3,15.63
2022-01-28,US,Philadelphia,pm25,88,35.0,130.0,66.0,4129.24
2022-01-28,US,Philadelphia,wind-speed,84,0.2,6.9,1.4,18.36
2022-01-28,US,Philadelphia,humidity,96,44.0,94.6,85.0,1856.51
2022-01-29,US,Philadelphia,humidity,96,32.0,93.5,82.8,5296.97
2022-01-29,US,Philadelphia,pm25,92,3.0,90.0,23.0,4289.32
2022-01-29,US,Philadelphia,wind-speed,96,1.0,9.7,5.4,56.47
2022-01-30,US,Philadelphia,humidity,96,36.0,73.0,50.0,782.87
2022-01-30,US,Philadelphia,pm25,90,1.0,81.0,29.0,3877.85
2022-01-30,US,Philadelphia,wind-speed,89,0.1,6.6,2.1,29.89
2022-01-31,US,Philadelphia,pm25,94,8.0,138.0,58.0,5735.17
2022-01-31,US,Philadelphia,humidity,96,37.0,84.7,63.9,1354.28
2022-01-31,US,Philadelphia,wind-speed,87,0.1,4.8,1.5,16.05
2022-02-01,US,Philadelphia,humidity,96,54.7,92.0,67.5,760.11
2022-02-01,US,Philadelphia,pm25,96,3.0,89.0,56.0,4022.66
2022-02-01,US,Philadelphia,wind-speed,89,0.1,4.1,1.5,13.16
2022-02-02,US,Philadelphia,pm25,96,7.0,114.0,67.0,5825.25
2022-02-02,US,Philadelphia,wind-speed,78,0.1,3.2,0.8,4.06
2022-02-02,US,Philadelphia,humidity,96,65.0,100.0,89.0,575.91
2022-02-03,US,Philadelphia,pm25,94,4.0,76.0,37.0,2439.82
2022-02-03,US,Philadelphia,wind-speed,87,0.1,4.8,0.7,9.75
2022-02-03,US,Philadelphia,humidity,96,81.0,100.0,96.5,165.19
2022-02-04,US,Philadelphia,humidity,96,76.0,100.0,93.0,229.0
2022-02-04,US,Philadelphia,pm25,88,1.0,43.0,18.0,1014.23
2022-02-04,US,Philadelphia,wind-speed,96,0.6,7.5,3.3,29.04
2022-02-05,US,Philadelphia,humidity,96,43.0,93.9,60.2,1192.34
2022-02-05,US,Philadelphia,pm25,90,3.0,108.0,26.0,2512.58
2022-02-05,US,Philadelphia,wind-speed,96,0.2,9.2,3.9,44.65
2022-02-06,US,Philadelphia,wind-speed,93,0.2,4.5,1.3,7.98
2022-02-06,US,Philadelphia,pm25,86,1.0,76.0,27.0,1802.94
2022-02-06,US,Philadelphia,humidity,96,40.0,80.0,59.0,895.07
2022-02-07,US,Philadelphia,humidity,89,68.0,100.0,92.0,501.9
2022-02-07,US,Philadelphia,pm25,96,3.0,99.0,48.0,4064.17
2022-02-07,US,Philadelphia,wind-speed,96,0.1,5.5,1.6,10.77
2022-02-08,US,Philadelphia,humidity,96,29.7,99.0,66.7,3304.81
2022-02-08,US,Philadelphia,pm25,89,15.0,123.0,65.0,3995.9
2022-02-08,US,Philadelphia,wind-speed,93,0.4,8.3,2.0,47.34
2022-02-09,US,Philadelphia,wind-speed,87,0.1,5.7,1.4,20.21
2022-02-09,US,Philadelphia,pm25,70,8.0,90.0,57.0,3648.79
2022-02-09,US,Philadelphia,humidity,95,34.0,93.0,66.0,2516.94
2022-02-10,US,Philadelphia,humidity,78,30.0,100.0,66.0,3913.07
2022-02-10,US,Philadelphia,pm25,80,4.0,130.0,38.0,4826.33
2022-02-10,US,Philadelphia,wind-speed,86,0.1,8.2,1.6,51.76
2022-02-11,US,Philadelphia,humidity,96,28.0,92.0,46.2,3239.78
2022-02-11,US,Philadelphia,pm25,90,5.0,91.0,29.0,4212.41
2022-02-11,US,Philadelphia,wind-speed,86,0.1,9.5,2.3,51.82
2022-02-12,US,Philadelphia,humidity,96,35.2,67.0,47.0,444.22
2022-02-12,US,Philadelphia,pm25,79,5.0,83.0,32.0,4387.67
2022-02-12,US,Philadelphia,wind-speed,80,0.4,10.2,3.0,35.73
2022-02-13,US,Philadelphia,wind-speed,89,0.1,6.1,2.0,21.08
2022-02-13,US,Philadelphia,humidity,96,48.0,92.7,85.3,1095.46
2022-02-13,US,Philadelphia,pm25,93,5.0,59.0,29.0,1759.24
2022-02-14,US,Philadelphia,pm25,84,5.0,69.0,33.0,1946.96
2022-02-14,US,Philadelphia,wind-speed,90,0.2,8.2,3.0,39.05
2022-02-14,US,Philadelphia,humidity,93,36.0,80.0,50.7,995.76
2022-02-15,US,Philadelphia,wind-speed,85,0.1,4.6,1.1,15.01
2022-02-15,US,Philadelphia,pm25,96,5.0,78.0,50.0,3047.68
2022-02-15,US,Philadelphia,humidity,96,26.0,85.0,50.0,2309.11
2022-02-16,US,Philadelphia,humidity,96,39.0,85.7,68.0,1562.57
2022-02-16,US,Philadelphia,pm25,92,5.0,82.0,50.0,4183.54
2022-02-16,US,Philadelphia,wind-speed,83,0.1,6.0,1.5,21.18
2022-02-17,US,Philadelphia,humidity,94,52.0,88.2,73.4,756.36
2022-02-17,US,Philadelphia,pm25,93,3.0,72.0,26.0,1596.17
2022-02-17,US,Philadelphia,wind-speed,94,0.1,11.8,3.0,49.79
2022-02-18,US,Philadelphia,humidity,94,38.0,93.0,57.7,3741.51
2022-02-18,US,Philadelphia,pm25,80,4.0,63.0,18.0,1107.09
2022-02-18,US,Philadelphia,wind-speed,94,0.3,13.3,5.6,96.82
2022-02-19,US,Philadelphia,humidity,96,29.0,92.0,52.0,2320.32
2022-02-19,US,Philadelphia,pm25,78,2.0,77.0,25.0,2826.21
2022-02-19,US,Philadelphia,wind-speed,96,0.2,11.8,4.6,93.61
2022-02-20,US,Philadelphia,pm25,80,1.0,65.0,22.0,1496.58
2022-02-20,US,Philadelphia,wind-speed,95,0.4,7.7,2.4,30.26
2022-02-20,US,Philadelphia,humidity,96,27.0,74.5,49.1,1448.85
2022-02-21,US,Philadelphia,humidity,96,28.0,93.0,61.0,3264.15
2022-02-21,US,Philadelphia,pm25,83,1.0,76.0,34.0,3498.39
2022-02-21,US,Philadelphia,wind-speed,92,0.1,4.4,1.5,12.49
2022-02-22,US,Philadelphia,humidity,96,63.0,100.0,83.5,401.16
2022-02-22,US,Philadelphia,pm25,86,1.0,99.0,28.0,3956.06
2022-02-22,US,Philadelphia,wind-speed,94,0.1,8.5,2.0,39.54
2022-02-23,US,Philadelphia,pm25,92,2.0,60.0,27.0,1581.24
2022-02-23,US,Philadelphia,humidity,96,34.0,89.0,72.0,2728.72
2022-02-23,US,Philadelphia,wind-speed,96,0.8,8.3,3.6,32.55
2022-02-24,US,Philadelphia,humidity,96,46.5,92.0,55.0,1293.26
2022-02-24,US,Philadelphia,pm25,91,1.0,55.0,28.0,1566.42
2022-02-24,US,Philadelphia,wind-speed,95,0.5,6.1,3.0,22.51
2022-02-25,US,Philadelphia,pm25,89,1.0,68.0,20.0,1375.51
2022-02-25,US,Philadelphia,wind-speed,86,0.5,22.3,3.8,363.38
2022-02-25,US,Philadelphia,humidity,95,49.0,100.0,87.0,2976.31
2022-02-26,US,Philadelphia,pm25,95,3.0,80.0,26.0,2745.94
2022-02-26,US,Philadelphia,wind-speed,88,0.3,6.1,2.0,23.28
2022-02-26,US,Philadelphia,humidity,94,38.0,79.0,55.3,630.35
2022-02-27,US,Philadelphia,humidity,96,27.0,86.0,46.2,3684.0
2022-02-27,US,Philadelphia,pm25,96,9.0,92.0,47.0,3355.96
2022-02-27,US,Philadelphia,wind-speed,90,0.2,8.5,2.6,53.95
2022-02-28,US,Philadelphia,humidity,96,20.0,73.0,44.7,1294.65
2022-02-28,US,Philadelphia,pm25,92,3.0,57.0,25.0,1340.9
2022-02-28,US,Philadelphia,wind-speed,93,0.3,7.2,2.3,25.21
2022-03-01,US,Philadelphia,wind-speed,85,0.4,7.2,1.6,23.43
2022-03-01,US,Philadelphia,pm25,94,10.0,74.0,33.0,1658.58
2022-03-01,US,Philadelphia,humidity,96,46.0,85.0,60.1,763.74
2022-03-02,US,Philadelphia,humidity,96,30.0,93.0,60.2,3190.13
2022-03-02,US,Philadelphia,pm25,95,12.0,155.0,55.0,4142.91
2022-03-02,US,Philadelphia,wind-speed,92,0.2,6.1,1.5,20.51
2022-03-03,US,Philadelphia,humidity,95,19.0,79.0,40.0,3606.04
2022-03-03,US,Philadelphia,pm25,93,3.0,103.0,29.0,4329.3
2022-03-03,US,Philadelphia,wind-speed,95,0.7,7.2,3.7,32.01
2022-03-04,US,Philadelphia,wind-speed,87,0.3,6.3,2.3,24.94
2022-03-04,US,Philadelphia,pm25,72,3.0,69.0,32.0,2779.06
2022-03-04,US,Philadelphia,humidity,95,25.0,79.0,43.0,1288.62
2022-03-05,US,Philadelphia,humidity,96,29.0,92.0,63.0,2864.79
2022-03-05,US,Philadelphia,pm25,48,30.0,95.0,54.0,3797.51
2022-03-05,US,Philadelphia,wind-speed,82,0.1,6.6,1.3,23.01
2022-03-06,US,Philadelphia,humidity,96,60.0,93.2,76.1,858.49
2022-03-06,US,Philadelphia,pm25,66,20.0,82.0,57.0,1988.48
2022-03-06,US,Philadelphia,wind-speed,92,0.2,8.5,2.5,35.71
2022-03-07,US,Philadelphia,humidity,96,50.0,87.0,64.7,799.85
2022-03-07,US,Philadelphia,pm25,95,6.0,82.0,39.0,2338.53
2022-03-07,US,Philadelphia,wind-speed,95,0.1,13.4,3.6,116.33
2022-03-08,US,Philadelphia,wind-speed,91,0.1,9.2,3.0,59.02
2022-03-08,US,Philadelphia,humidity,96,29.0,69.0,48.7,1019.14
2022-03-08,US,Philadelphia,pm25,86,1.0,73.0,17.0,2094.29
2022-03-09,US,Philadelphia,pm25,77,2.0,135.0,28.0,3558.21
2022-03-09,US,Philadelphia,wind-speed,92,0.3,6.1,2.0,21.8
2022-03-09,US,Philadelphia,humidity,96,48.8,96.5,90.0,1753.39
2022-03-10,US,Philadelphia,wind-speed,86,0.1,5.6,1.1,12.42
2022-03-10,US,Philadelphia,pm25,65,3.0,80.0,48.0,2555.85
2022-03-10,US,Philadelphia,humidity,96,43.5,98.0,79.6,2875.76
2022-03-11,US,Philadelphia,humidity,96,37.4,100.0,75.8,3533.91
