Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Phoenix,humidity,192,14.3,89.5,46.8,5044.6
2022-01-01,US,Phoenix,pm10,183,1.0,97.0,8.0,2074.5
2022-01-01,US,Phoenix,pm25,168,1.0,172.0,15.0,9291.58
2022-01-01,US,Phoenix,wind-speed,183,0.2,7.5,3.1,25.66
2022-01-02,US,Phoenix,humidity,192,10.8,79.8,44.0,3802.45
2022-01-02,US,Phoenix,pm10,179,1.0,77.0,9.0,2753.41
2022-01-02,US,Phoenix,pm25,168,1.0,153.0,23.0,13139.0
2022-01-02,US,Phoenix,wind-speed,161,0.2,4.9,0.9,7.24
2022-01-03,US,Phoenix,wind-speed,145,0.2,3.1,0.9,3.01
2022-01-03,US,Phoenix,pm25,183,2.0,153.0,36.0,12380.6
2022-01-03,US,Phoenix,humidity,192,11.6,84.2,46.5,4287.84
2022-01-03,US,Phoenix,pm10,192,2.0,87.0,19.0,3773.36
2022-01-04,US,Phoenix,humidity,192,19.9,84.5,55.0,3430.11
2022-01-04,US,Phoenix,pm10,192,3.0,109.0,25.0,3248.29
2022-01-04,US,Phoenix,pm25,188,2.0,130.0,49.0,7193.93
2022-01-04,US,Phoenix,wind-speed,150,0.2,1.8,0.9,1.52
2022-01-05,US,Phoenix,wind-speed,166,0.2,2.2,0.9,1.88
2022-01-05,US,Phoenix,humidity,192,19.5,88.0,55.4,3938.72
2022-01-05,US,Phoenix,pm10,189,9.0,129.0,28.0,2636.02
2022-01-05,US,Phoenix,pm25,191,9.0,141.0,56.0,6677.43
2022-01-06,US,Phoenix,wind-speed,153,0.2,1.8,0.8,1.16
2022-01-06,US,Phoenix,pm25,189,13.0,154.0,68.0,6758.45
2022-01-06,US,Phoenix,humidity,192,26.5,88.2,51.7,3258.77
2022-01-06,US,Phoenix,pm10,186,10.0,88.0,36.0,2907.14
2022-01-07,US,Phoenix,humidity,192,23.4,88.7,62.0,3654.71
2022-01-07,US,Phoenix,pm10,190,10.0,406.0,32.0,10453.7
2022-01-07,US,Phoenix,pm25,188,12.0,160.0,58.0,9050.31
2022-01-07,US,Phoenix,wind-speed,153,0.4,1.8,0.9,1.71
2022-01-08,US,Phoenix,humidity,192,33.0,81.0,68.0,1417.81
2022-01-08,US,Phoenix,pm10,176,8.0,86.0,23.0,1683.56
2022-01-08,US,Phoenix,pm25,191,9.0,151.0,55.0,8780.84
2022-01-08,US,Phoenix,wind-speed,169,0.4,2.5,0.9,1.91
2022-01-09,US,Phoenix,pm10,167,6.0,72.0,20.0,1603.11
2022-01-09,US,Phoenix,wind-speed,172,0.2,1.3,0.4,1.14
2022-01-09,US,Phoenix,humidity,192,20.7,89.6,64.8,4245.22
2022-01-09,US,Phoenix,pm25,188,1.0,165.0,50.0,17276.0
2022-01-10,US,Phoenix,humidity,192,13.8,73.0,31.6,2894.17
2022-01-10,US,Phoenix,pm10,184,4.0,95.0,14.0,2064.53
2022-01-10,US,Phoenix,pm25,180,1.0,129.0,15.0,7593.84
