Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,GB,Plymouth,humidity,33,88.2,98.0,95.0,80.39
2022-01-01,GB,Plymouth,pm10,47,21.0,53.0,40.0,879.08
2022-01-01,GB,Plymouth,pm25,44,25.0,84.0,61.0,2773.72
2022-01-01,GB,Plymouth,wind-speed,33,2.0,9.0,7.0,40.47
2022-01-02,GB,Plymouth,humidity,39,84.0,97.5,90.3,213.44
2022-01-02,GB,Plymouth,pm10,47,20.0,40.0,30.0,352.46
2022-01-02,GB,Plymouth,pm25,44,17.0,70.0,46.0,2914.6
2022-01-02,GB,Plymouth,wind-speed,39,3.0,12.2,7.2,82.14
2022-01-03,GB,Plymouth,wind-speed,48,0.6,11.1,4.0,81.32
2022-01-03,GB,Plymouth,pm25,30,13.0,61.0,46.0,2898.72
2022-01-03,GB,Plymouth,humidity,48,84.5,95.0,91.8,66.31
2022-01-03,GB,Plymouth,pm10,37,16.0,32.0,23.0,229.91
2022-01-04,GB,Plymouth,humidity,48,73.5,96.0,86.5,312.67
2022-01-04,GB,Plymouth,pm10,44,11.0,22.0,15.0,116.66
2022-01-04,GB,Plymouth,pm25,31,5.0,47.0,34.0,2207.85
2022-01-04,GB,Plymouth,wind-speed,46,0.1,13.1,3.0,107.25
2022-01-05,GB,Plymouth,wind-speed,34,0.2,6.2,1.6,21.42
2022-01-05,GB,Plymouth,humidity,48,63.6,96.0,83.8,904.12
2022-01-05,GB,Plymouth,pm10,40,7.0,44.0,15.0,616.18
2022-01-05,GB,Plymouth,pm25,37,5.0,82.0,27.0,4617.51
2022-01-06,GB,Plymouth,wind-speed,45,0.1,12.7,4.1,114.64
2022-01-06,GB,Plymouth,pm25,38,21.0,71.0,42.0,1124.69
2022-01-06,GB,Plymouth,humidity,48,70.1,96.7,92.0,703.57
2022-01-06,GB,Plymouth,pm10,41,13.0,30.0,17.0,93.61
2022-01-07,GB,Plymouth,humidity,48,82.8,96.0,90.0,134.81
2022-01-07,GB,Plymouth,pm10,41,6.0,20.0,13.0,76.55
2022-01-07,GB,Plymouth,pm25,29,5.0,53.0,17.0,1857.49
2022-01-07,GB,Plymouth,wind-speed,47,0.1,14.6,4.4,117.43
2022-01-08,GB,Plymouth,humidity,48,77.6,98.0,93.8,386.61
2022-01-08,GB,Plymouth,pm10,32,11.0,34.0,16.0,242.86
2022-01-08,GB,Plymouth,pm25,30,9.0,60.0,25.0,2294.3
2022-01-08,GB,Plymouth,wind-speed,48,1.3,15.0,6.8,118.73
2022-01-09,GB,Plymouth,pm10,46,10.0,27.0,14.0,186.21
2022-01-09,GB,Plymouth,wind-speed,35,0.2,7.4,2.8,47.78
2022-01-09,GB,Plymouth,humidity,48,80.6,96.3,91.1,205.0
2022-01-09,GB,Plymouth,pm25,39,9.0,59.0,30.0,2305.36
2022-01-10,GB,Plymouth,humidity,48,96.0,99.0,96.0,15.72
2022-01-10,GB,Plymouth,pm10,44,4.0,15.0,10.0,93.72
2022-01-10,GB,Plymouth,pm25,39,13.0,54.0,30.0,1547.46
2022-01-10,GB,Plymouth,wind-speed,38,0.1,3.0,1.0,5.33
2022-01-11,GB,Plymouth,pm25,37,5.0,49.0,30.0,2118.36
2022-01-11,GB,Plymouth,humidity,48,88.6,99.0,96.0,62.17
2022-01-11,GB,Plymouth,pm10,41,3.0,18.0,10.0,236.55
2022-01-11,GB,Plymouth,wind-speed,40,0.2,6.4,1.7,31.31
2022-01-12,GB,Plymouth,wind-speed,34,0.1,4.7,1.0,10.75
2022-01-12,GB,Plymouth,pm25,47,13.0,85.0,34.0,2891.72
2022-01-12,GB,Plymouth,humidity,47,54.3,98.0,93.1,1689.3
2022-01-12,GB,Plymouth,pm10,46,10.0,34.0,16.0,430.88
2022-01-13,GB,Plymouth,humidity,48,72.0,96.8,93.0,439.47
2022-01-13,GB,Plymouth,pm10,40,14.0,29.0,19.0,109.51
2022-01-13,GB,Plymouth,pm25,38,38.0,78.0,53.0,979.07
2022-01-13,GB,Plymouth,wind-speed,37,0.1,3.1,1.1,8.6
2022-01-14,GB,Plymouth,wind-speed,41,0.3,5.8,2.0,22.52
2022-01-14,GB,Plymouth,humidity,48,75.1,96.0,91.4,372.52
2022-01-14,GB,Plymouth,pm10,37,14.0,27.0,17.0,57.19
2022-01-14,GB,Plymouth,pm25,32,34.0,63.0,49.0,506.68
2022-01-15,GB,Plymouth,wind-speed,44,0.1,4.8,1.5,16.01
2022-01-15,GB,Plymouth,pm25,39,21.0,78.0,42.0,1101.38
2022-01-15,GB,Plymouth,humidity,48,67.5,97.0,87.1,537.49
2022-01-15,GB,Plymouth,pm10,38,12.0,23.0,15.0,41.71
2022-01-16,GB,Plymouth,pm25,45,9.0,53.0,21.0,1352.45
2022-01-16,GB,Plymouth,humidity,47,84.0,97.4,94.6,118.7
2022-01-16,GB,Plymouth,pm10,43,8.0,18.0,11.0,51.69
2022-01-16,GB,Plymouth,wind-speed,44,0.1,7.7,2.2,35.53
