Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,CA,Québec,humidity,192,66.0,100.0,92.0,1853.03
2022-01-01,CA,Québec,pm25,186,9.0,129.0,58.0,9258.45
2022-01-01,CA,Québec,wind-speed,171,0.1,7.1,1.5,12.24
2022-01-02,CA,Québec,humidity,192,65.0,92.0,79.5,1035.7
2022-01-02,CA,Québec,pm25,137,7.0,109.0,18.0,4236.89
2022-01-02,CA,Québec,wind-speed,192,0.1,8.8,4.3,41.0
2022-01-03,CA,Québec,humidity,189,64.0,84.5,65.0,269.84
2022-01-03,CA,Québec,pm25,153,12.0,109.0,22.0,3951.28
2022-01-03,CA,Québec,wind-speed,190,0.1,13.5,3.5,60.34
2022-01-04,CA,Québec,humidity,192,57.3,87.3,78.0,848.74
2022-01-04,CA,Québec,pm25,181,12.0,122.0,47.0,4183.67
2022-01-04,CA,Québec,wind-speed,169,0.1,7.2,2.3,20.02
2022-01-05,CA,Québec,humidity,192,65.0,100.0,85.0,1364.55
2022-01-05,CA,Québec,pm25,175,9.0,117.0,54.0,6045.9
2022-01-05,CA,Québec,wind-speed,185,0.1,8.3,4.6,37.72
2022-01-06,CA,Québec,wind-speed,180,0.1,11.5,4.1,49.57
2022-01-06,CA,Québec,pm25,187,7.0,64.0,38.0,1884.18
2022-01-06,CA,Québec,humidity,192,65.0,93.5,79.6,1347.19
2022-01-07,CA,Québec,humidity,190,59.3,90.6,65.8,1063.96
2022-01-07,CA,Québec,pm25,185,9.0,83.0,31.0,2246.62
2022-01-07,CA,Québec,wind-speed,170,0.1,8.4,3.1,53.79
2022-01-08,CA,Québec,humidity,192,55.0,77.5,65.0,270.93
2022-01-08,CA,Québec,pm25,184,7.0,126.0,18.0,4258.6
2022-01-08,CA,Québec,wind-speed,185,0.2,15.8,5.3,103.3
2022-01-09,CA,Québec,wind-speed,182,0.1,14.7,1.5,88.75
2022-01-09,CA,Québec,pm25,181,9.0,127.0,38.0,3699.17
2022-01-09,CA,Québec,humidity,191,60.0,100.0,73.4,1314.96
2022-01-10,CA,Québec,humidity,187,46.0,72.8,64.0,381.65
2022-01-10,CA,Québec,pm25,177,7.0,69.0,16.0,1336.84
2022-01-10,CA,Québec,wind-speed,189,0.1,14.1,5.1,72.43
2022-01-11,CA,Québec,humidity,168,44.0,77.3,64.0,355.58
2022-01-11,CA,Québec,pm25,181,14.0,140.0,42.0,2841.49
2022-01-11,CA,Québec,wind-speed,183,0.1,11.8,4.4,90.95
2022-01-12,CA,Québec,wind-speed,166,0.1,3.8,1.5,6.89
2022-01-12,CA,Québec,humidity,184,59.0,92.0,77.0,797.24
2022-01-12,CA,Québec,pm25,184,18.0,132.0,56.0,4215.67
2022-01-13,CA,Québec,humidity,192,65.0,92.0,85.0,1046.23
2022-01-13,CA,Québec,pm25,186,20.0,118.0,54.0,2550.96
2022-01-13,CA,Québec,wind-speed,181,0.2,6.5,3.0,27.09
2022-01-14,CA,Québec,humidity,189,43.0,96.0,65.0,1674.78
2022-01-14,CA,Québec,pm25,176,12.0,106.0,33.0,4441.65
2022-01-14,CA,Québec,wind-speed,189,0.2,11.4,3.0,38.1
2022-01-15,CA,Québec,humidity,175,37.0,72.0,61.7,731.53
2022-01-15,CA,Québec,pm25,161,16.0,70.0,25.0,1699.64
2022-01-15,CA,Québec,wind-speed,192,1.2,13.1,5.0,72.01
2022-01-16,CA,Québec,humidity,179,49.0,83.0,64.0,345.42
2022-01-16,CA,Québec,pm25,184,12.0,142.0,40.0,5906.61
2022-01-16,CA,Québec,wind-speed,182,0.1,12.2,4.1,70.99
2022-01-17,CA,Québec,wind-speed,183,0.4,18.0,7.8,232.46
2022-01-17,CA,Québec,pm25,169,5.0,142.0,25.0,5097.28
2022-01-17,CA,Québec,humidity,192,59.0,100.0,79.6,1339.09
2022-01-18,CA,Québec,humidity,188,42.0,92.0,65.0,757.24
2022-01-18,CA,Québec,pm25,181,9.0,65.0,22.0,1344.05
2022-01-18,CA,Québec,wind-speed,192,2.3,17.1,7.2,85.28
2022-01-19,CA,Québec,humidity,182,58.0,92.0,82.8,851.26
2022-01-19,CA,Québec,pm25,178,18.0,70.0,35.0,1044.22
2022-01-19,CA,Québec,wind-speed,184,0.2,8.9,3.6,46.81
2022-01-20,CA,Québec,humidity,191,46.0,92.0,69.6,987.97
2022-01-20,CA,Québec,pm25,165,16.0,70.0,27.0,1541.82
2022-01-20,CA,Québec,wind-speed,191,1.2,12.0,4.6,48.63
2022-01-21,CA,Québec,humidity,171,49.0,82.0,71.2,487.57
2022-01-21,CA,Québec,pm25,184,9.0,90.0,31.0,2466.69
2022-01-21,CA,Québec,wind-speed,188,0.5,10.3,3.6,40.85
2022-01-22,CA,Québec,pm25,184,9.0,142.0,63.0,8162.53
2022-01-22,CA,Québec,wind-speed,145,0.1,4.1,1.0,7.99
2022-01-22,CA,Québec,humidity,177,46.0,83.0,76.0,838.08
2022-01-23,CA,Québec,wind-speed,161,0.1,11.4,2.5,57.57
2022-01-23,CA,Québec,pm25,187,16.0,142.0,53.0,8913.89
2022-01-23,CA,Québec,humidity,188,56.0,92.0,76.4,882.33
