Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,IS,Reykjavík,humidity,144,51.0,69.4,59.0,221.45
2022-01-01,IS,Reykjavík,pm10,144,6.0,121.0,15.0,1756.85
2022-01-01,IS,Reykjavík,pm25,120,9.0,297.0,27.0,35087.6
2022-01-01,IS,Reykjavík,wind-speed,144,4.6,46.9,11.8,775.8
2022-01-02,IS,Reykjavík,humidity,143,49.0,70.1,57.0,205.27
2022-01-02,IS,Reykjavík,pm10,143,3.0,51.0,13.0,468.64
2022-01-02,IS,Reykjavík,pm25,120,7.0,528.0,18.0,55157.7
2022-01-02,IS,Reykjavík,wind-speed,143,2.0,42.8,10.2,286.72
2022-01-03,IS,Reykjavík,wind-speed,144,1.0,16.0,4.6,87.04
2022-01-03,IS,Reykjavík,pm25,119,3.0,163.0,17.0,3125.39
2022-01-03,IS,Reykjavík,humidity,144,53.0,85.9,68.0,903.28
2022-01-03,IS,Reykjavík,pm10,143,2.0,679.0,10.0,32166.8
2022-01-04,IS,Reykjavík,humidity,144,53.0,88.2,73.0,1184.06
2022-01-04,IS,Reykjavík,pm10,144,2.0,29.0,9.0,224.65
2022-01-04,IS,Reykjavík,pm25,119,5.0,55.0,15.0,925.36
2022-01-04,IS,Reykjavík,wind-speed,144,0.5,10.7,3.6,62.79
2022-01-05,IS,Reykjavík,wind-speed,144,7.2,34.2,11.8,273.78
2022-01-05,IS,Reykjavík,humidity,144,58.0,97.0,80.0,1470.34
2022-01-05,IS,Reykjavík,pm10,140,1.0,44.0,9.0,943.81
2022-01-05,IS,Reykjavík,pm25,113,4.0,227.0,21.0,10203.3
2022-01-06,IS,Reykjavík,wind-speed,144,3.9,28.1,13.8,318.59
2022-01-06,IS,Reykjavík,pm25,110,3.0,824.0,23.0,83038.1
2022-01-06,IS,Reykjavík,humidity,144,69.0,95.9,75.0,507.34
2022-01-06,IS,Reykjavík,pm10,133,1.0,885.0,12.0,57632.7
2022-01-07,IS,Reykjavík,humidity,144,64.0,92.0,80.0,528.55
2022-01-07,IS,Reykjavík,pm10,143,1.0,23.0,11.0,264.66
2022-01-07,IS,Reykjavík,pm25,118,3.0,43.0,18.0,758.28
2022-01-07,IS,Reykjavík,wind-speed,144,4.1,21.0,6.6,113.09
2022-01-08,IS,Reykjavík,humidity,144,38.0,80.0,60.0,851.12
2022-01-08,IS,Reykjavík,pm10,136,1.0,31.0,7.0,221.39
2022-01-08,IS,Reykjavík,pm25,119,1.0,149.0,8.0,5658.98
2022-01-08,IS,Reykjavík,wind-speed,144,2.0,41.3,9.7,665.36
2022-01-09,IS,Reykjavík,pm10,137,1.0,16.0,6.0,149.12
2022-01-09,IS,Reykjavík,wind-speed,144,1.0,29.8,7.2,371.93
2022-01-09,IS,Reykjavík,humidity,144,55.0,94.3,64.0,787.83
2022-01-09,IS,Reykjavík,pm25,102,2.0,152.0,12.0,4585.25
2022-01-10,IS,Reykjavík,humidity,144,75.0,95.4,80.0,243.32
2022-01-10,IS,Reykjavík,pm10,119,1.0,885.0,7.0,64829.7
2022-01-10,IS,Reykjavík,pm25,97,1.0,824.0,15.0,67971.0
2022-01-10,IS,Reykjavík,wind-speed,144,2.5,32.4,6.1,239.92
2022-01-11,IS,Reykjavík,pm25,116,5.0,824.0,25.0,56156.2
2022-01-11,IS,Reykjavík,humidity,144,60.0,96.6,80.0,937.29
2022-01-11,IS,Reykjavík,pm10,144,1.0,885.0,13.0,53108.9
2022-01-11,IS,Reykjavík,wind-speed,144,2.7,30.3,9.5,195.62
2022-01-12,IS,Reykjavík,wind-speed,144,5.6,29.5,11.3,182.72
2022-01-12,IS,Reykjavík,pm25,120,5.0,82.0,28.0,962.34
2022-01-12,IS,Reykjavík,humidity,144,59.0,98.4,80.0,744.71
2022-01-12,IS,Reykjavík,pm10,144,4.0,25.0,16.0,171.53
2022-01-13,IS,Reykjavík,humidity,144,60.0,93.1,80.0,772.08
2022-01-13,IS,Reykjavík,pm10,144,3.0,31.0,14.0,274.82
2022-01-13,IS,Reykjavík,pm25,120,5.0,61.0,31.0,1127.13
2022-01-13,IS,Reykjavík,wind-speed,144,3.6,26.5,11.7,259.06
2022-01-14,IS,Reykjavík,wind-speed,144,1.5,18.5,5.5,113.03
2022-01-14,IS,Reykjavík,humidity,144,69.0,98.8,86.0,535.26
