Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,HR,Rijeka,humidity,144,65.8,89.5,77.0,369.27
2022-01-01,HR,Rijeka,pm10,96,1.0,161.0,22.0,4962.74
2022-01-01,HR,Rijeka,pm25,73,5.0,154.0,71.0,11817.3
2022-01-01,HR,Rijeka,wind-speed,132,0.2,9.0,3.2,50.78
2022-01-02,HR,Rijeka,humidity,144,74.0,93.0,87.2,339.22
2022-01-02,HR,Rijeka,pm10,105,2.0,41.0,17.0,984.14
2022-01-02,HR,Rijeka,pm25,81,7.0,118.0,62.0,5961.85
2022-01-02,HR,Rijeka,wind-speed,111,0.3,7.2,2.5,23.49
2022-01-03,HR,Rijeka,wind-speed,72,1.3,4.5,2.5,7.96
2022-01-03,HR,Rijeka,pm25,79,43.0,137.0,70.0,5562.81
2022-01-03,HR,Rijeka,humidity,144,74.4,93.8,87.0,495.09
2022-01-03,HR,Rijeka,pm10,103,5.0,57.0,21.0,1245.67
2022-01-04,HR,Rijeka,humidity,144,74.0,95.0,87.8,393.2
2022-01-04,HR,Rijeka,pm10,84,5.0,30.0,13.0,328.79
2022-01-04,HR,Rijeka,pm25,60,30.0,92.0,52.0,2312.36
2022-01-04,HR,Rijeka,wind-speed,123,0.2,6.3,2.1,29.76
2022-01-05,HR,Rijeka,humidity,144,55.4,95.0,81.3,1042.59
2022-01-05,HR,Rijeka,pm10,102,1.0,21.0,13.0,236.23
2022-01-05,HR,Rijeka,pm25,78,1.0,59.0,42.0,2425.55
2022-01-05,HR,Rijeka,wind-speed,144,0.8,24.1,9.3,475.41
2022-01-06,HR,Rijeka,wind-speed,144,9.3,20.2,15.5,63.88
2022-01-06,HR,Rijeka,pm25,80,1.0,14.0,4.0,90.62
2022-01-06,HR,Rijeka,humidity,144,34.3,89.1,61.9,2749.48
2022-01-06,HR,Rijeka,pm10,104,1.0,8.0,2.0,33.2
2022-01-07,HR,Rijeka,humidity,144,25.1,74.0,45.9,2315.02
2022-01-07,HR,Rijeka,pm10,93,2.0,29.0,4.0,222.69
2022-01-07,HR,Rijeka,pm25,69,5.0,39.0,15.0,530.87
2022-01-07,HR,Rijeka,wind-speed,144,4.7,20.4,12.4,163.27
2022-01-08,HR,Rijeka,wind-speed,144,0.2,12.7,4.0,121.12
2022-01-08,HR,Rijeka,humidity,144,28.7,70.4,48.4,1266.77
2022-01-08,HR,Rijeka,pm10,101,3.0,28.0,10.0,307.54
2022-01-08,HR,Rijeka,pm25,77,9.0,80.0,39.0,2142.17
2022-01-09,HR,Rijeka,humidity,144,42.1,75.8,53.4,1505.15
2022-01-09,HR,Rijeka,pm10,108,1.0,64.0,8.0,1239.52
2022-01-09,HR,Rijeka,pm25,84,3.0,85.0,20.0,7174.81
2022-01-09,HR,Rijeka,wind-speed,131,0.2,11.2,3.7,44.18
2022-01-10,HR,Rijeka,pm25,84,5.0,44.0,17.0,1126.5
2022-01-10,HR,Rijeka,wind-speed,144,3.4,26.8,14.9,242.63
2022-01-10,HR,Rijeka,humidity,144,40.0,74.0,47.6,2092.9
2022-01-10,HR,Rijeka,pm10,108,2.0,15.0,5.0,74.98
2022-01-11,HR,Rijeka,wind-speed,144,6.8,31.8,16.8,485.45
2022-01-11,HR,Rijeka,pm25,85,13.0,75.0,51.0,2797.06
2022-01-11,HR,Rijeka,pm10,109,4.0,25.0,12.0,305.89
2022-01-11,HR,Rijeka,humidity,144,28.0,72.1,44.4,2587.66
2022-01-12,HR,Rijeka,humidity,144,18.0,64.7,35.6,1856.75
2022-01-12,HR,Rijeka,pm10,104,2.0,27.0,9.0,184.42
2022-01-12,HR,Rijeka,pm25,80,10.0,81.0,36.0,2327.47
2022-01-12,HR,Rijeka,wind-speed,144,3.0,30.9,8.3,329.64
2022-01-13,HR,Rijeka,pm25,78,4.0,108.0,23.0,3738.53
2022-01-13,HR,Rijeka,wind-speed,144,0.4,15.5,5.0,152.53
2022-01-13,HR,Rijeka,humidity,144,32.1,61.3,40.5,902.02
2022-01-13,HR,Rijeka,pm10,102,2.0,39.0,7.0,520.12
2022-01-14,HR,Rijeka,humidity,144,41.1,81.0,55.5,1362.6
2022-01-14,HR,Rijeka,pm10,103,2.0,96.0,11.0,4138.53
2022-01-14,HR,Rijeka,pm25,79,8.0,130.0,28.0,5065.88
2022-01-14,HR,Rijeka,wind-speed,123,0.3,7.1,3.6,19.78
2022-01-15,HR,Rijeka,wind-speed,144,1.0,17.2,3.7,224.37
2022-01-15,HR,Rijeka,humidity,144,38.5,79.1,51.0,675.08
2022-01-15,HR,Rijeka,pm10,98,3.0,48.0,10.0,685.7
2022-01-15,HR,Rijeka,pm25,74,12.0,106.0,31.0,3223.07
2022-01-16,HR,Rijeka,wind-speed,110,0.1,7.5,2.0,35.99
2022-01-16,HR,Rijeka,pm25,74,7.0,78.0,28.0,2723.02
2022-01-16,HR,Rijeka,humidity,129,31.0,84.4,55.6,2099.41
2022-01-16,HR,Rijeka,pm10,98,2.0,69.0,9.0,1781.08
2022-01-17,HR,Rijeka,humidity,133,51.2,88.0,66.3,1287.56
2022-01-17,HR,Rijeka,pm10,96,7.0,87.0,15.0,2307.51
2022-01-17,HR,Rijeka,pm25,72,20.0,147.0,54.0,4681.64
2022-01-17,HR,Rijeka,wind-speed,118,0.1,6.0,2.2,22.18
2022-01-18,HR,Rijeka,wind-speed,120,1.6,15.6,3.7,112.41
2022-01-18,HR,Rijeka,humidity,120,39.7,86.2,52.8,897.61
2022-01-18,HR,Rijeka,pm10,100,1.0,112.0,9.0,2963.05
2022-01-18,HR,Rijeka,pm25,79,9.0,121.0,32.0,4713.9
