Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,NL,Rotterdam,humidity,312,3.0,96.5,87.3,5393.44
2022-01-01,NL,Rotterdam,pm10,303,1.0,88.0,23.0,1776.05
2022-01-01,NL,Rotterdam,pm25,192,9.0,174.0,45.0,10429.1
2022-01-01,NL,Rotterdam,wind-speed,312,1.7,8.7,4.8,21.46
2022-01-02,NL,Rotterdam,humidity,312,3.0,93.0,85.0,4875.7
2022-01-02,NL,Rotterdam,pm10,312,2.0,31.0,15.0,159.15
2022-01-02,NL,Rotterdam,pm25,192,11.0,52.0,34.0,470.76
2022-01-02,NL,Rotterdam,wind-speed,312,3.5,14.9,7.9,51.59
2022-01-03,NL,Rotterdam,wind-speed,312,2.5,14.5,7.7,48.98
2022-01-03,NL,Rotterdam,pm25,192,13.0,61.0,40.0,1753.53
2022-01-03,NL,Rotterdam,humidity,312,3.0,93.0,87.0,4993.11
2022-01-03,NL,Rotterdam,pm10,311,8.0,49.0,22.0,473.08
2022-01-04,NL,Rotterdam,humidity,312,3.0,96.5,87.0,3828.77
2022-01-04,NL,Rotterdam,pm10,311,1.0,36.0,14.0,295.17
2022-01-04,NL,Rotterdam,pm25,191,11.0,51.0,27.0,1197.31
2022-01-04,NL,Rotterdam,wind-speed,312,1.0,8.9,4.1,27.9
2022-01-05,NL,Rotterdam,wind-speed,312,1.1,16.2,5.9,63.54
2022-01-05,NL,Rotterdam,humidity,312,3.0,93.0,79.0,2017.22
2022-01-05,NL,Rotterdam,pm10,308,8.0,34.0,17.0,189.36
2022-01-05,NL,Rotterdam,pm25,191,10.0,99.0,31.0,783.58
2022-01-06,NL,Rotterdam,wind-speed,291,0.1,11.2,3.8,51.79
2022-01-06,NL,Rotterdam,pm25,192,4.0,65.0,30.0,1079.0
2022-01-06,NL,Rotterdam,humidity,306,3.0,93.8,80.0,1622.17
2022-01-06,NL,Rotterdam,pm10,311,5.0,38.0,17.0,288.54
2022-01-07,NL,Rotterdam,humidity,311,3.0,93.6,84.0,3045.47
2022-01-07,NL,Rotterdam,pm10,311,1.0,33.0,13.0,172.33
2022-01-07,NL,Rotterdam,pm25,192,14.0,59.0,30.0,794.78
2022-01-07,NL,Rotterdam,wind-speed,305,0.2,12.2,5.6,50.88
2022-01-08,NL,Rotterdam,humidity,312,3.0,100.0,89.5,4035.14
2022-01-08,NL,Rotterdam,pm10,308,1.0,30.0,12.0,195.15
2022-01-08,NL,Rotterdam,pm25,192,12.0,58.0,23.0,750.33
2022-01-08,NL,Rotterdam,wind-speed,303,0.1,15.8,5.2,83.33
2022-01-09,NL,Rotterdam,pm10,308,2.0,32.0,17.0,202.33
2022-01-09,NL,Rotterdam,wind-speed,300,0.2,16.6,5.6,86.5
2022-01-09,NL,Rotterdam,humidity,312,3.0,96.5,81.0,2990.44
2022-01-09,NL,Rotterdam,pm25,192,12.0,56.0,33.0,793.14
2022-01-10,NL,Rotterdam,humidity,312,3.0,100.0,93.0,2441.52
2022-01-10,NL,Rotterdam,pm10,311,3.0,46.0,25.0,354.14
2022-01-10,NL,Rotterdam,pm25,192,37.0,119.0,67.0,1338.72
2022-01-10,NL,Rotterdam,wind-speed,281,0.1,4.6,2.0,12.46
2022-01-11,NL,Rotterdam,pm25,192,53.0,99.0,65.0,953.89
2022-01-11,NL,Rotterdam,humidity,312,3.0,100.0,89.0,4986.42
2022-01-11,NL,Rotterdam,pm10,310,3.0,43.0,24.0,292.01
2022-01-11,NL,Rotterdam,wind-speed,312,0.1,6.0,3.1,18.81
2022-01-12,NL,Rotterdam,wind-speed,288,0.1,5.1,1.5,9.41
2022-01-12,NL,Rotterdam,pm25,192,30.0,97.0,69.0,2414.9
2022-01-12,NL,Rotterdam,humidity,312,3.0,100.0,96.0,6333.99
2022-01-12,NL,Rotterdam,pm10,310,2.0,40.0,23.0,555.17
2022-01-13,NL,Rotterdam,humidity,312,3.0,100.0,96.5,6396.96
2022-01-13,NL,Rotterdam,pm10,307,1.0,39.0,18.0,354.15
2022-01-13,NL,Rotterdam,pm25,192,28.0,82.0,60.0,1216.62
2022-01-13,NL,Rotterdam,wind-speed,312,1.0,5.6,3.2,9.2
2022-01-14,NL,Rotterdam,wind-speed,284,0.2,5.2,1.7,6.86
2022-01-14,NL,Rotterdam,humidity,312,3.0,100.0,95.0,2246.57
2022-01-14,NL,Rotterdam,pm10,312,1.0,37.0,19.0,473.95
2022-01-14,NL,Rotterdam,pm25,192,36.0,91.0,63.0,1841.87
2022-01-15,NL,Rotterdam,wind-speed,305,0.2,5.5,3.0,9.31
2022-01-15,NL,Rotterdam,pm25,192,47.0,129.0,75.0,3917.54
2022-01-15,NL,Rotterdam,humidity,312,3.0,100.0,96.5,1986.15
2022-01-15,NL,Rotterdam,pm10,311,5.0,50.0,25.0,719.14
2022-01-16,NL,Rotterdam,pm25,184,23.0,128.0,82.0,6050.04
2022-01-16,NL,Rotterdam,humidity,308,3.0,100.0,91.0,5746.42
2022-01-16,NL,Rotterdam,pm10,309,2.0,49.0,30.0,742.47
2022-01-16,NL,Rotterdam,wind-speed,308,0.3,8.4,3.8,21.76
2022-01-17,NL,Rotterdam,wind-speed,296,0.1,8.8,3.3,31.75
2022-01-17,NL,Rotterdam,pm25,174,11.0,80.0,46.0,1634.64
2022-01-17,NL,Rotterdam,pm10,305,2.0,47.0,22.0,492.74
2022-01-17,NL,Rotterdam,humidity,312,3.0,100.0,89.7,5229.23
2022-01-18,NL,Rotterdam,humidity,312,3.0,100.0,96.5,6381.67
2022-01-18,NL,Rotterdam,pm10,305,1.0,46.0,23.0,930.25
2022-01-18,NL,Rotterdam,pm25,192,5.0,88.0,45.0,5468.8
2022-01-18,NL,Rotterdam,wind-speed,233,0.1,3.8,1.0,8.03
2022-01-19,NL,Rotterdam,pm25,191,17.0,125.0,76.0,4503.15
2022-01-19,NL,Rotterdam,wind-speed,297,0.2,8.7,4.1,40.14
2022-01-19,NL,Rotterdam,humidity,312,3.0,100.0,91.5,5882.72
2022-01-19,NL,Rotterdam,pm10,311,2.0,50.0,25.0,541.21
2022-01-20,NL,Rotterdam,humidity,312,3.0,89.8,77.5,1877.41
2022-01-20,NL,Rotterdam,pm10,312,5.0,39.0,18.0,230.21
2022-01-20,NL,Rotterdam,pm25,192,15.0,51.0,29.0,345.84
2022-01-20,NL,Rotterdam,wind-speed,312,0.3,10.4,5.4,35.36
2022-01-21,NL,Rotterdam,wind-speed,308,0.1,9.6,3.2,24.16
2022-01-21,NL,Rotterdam,humidity,312,3.0,94.8,84.0,4800.74
2022-01-21,NL,Rotterdam,pm10,305,2.0,40.0,17.0,233.3
2022-01-21,NL,Rotterdam,pm25,192,10.0,80.0,27.0,920.73
2022-01-22,NL,Rotterdam,pm25,192,20.0,79.0,48.0,1702.79
2022-01-22,NL,Rotterdam,wind-speed,306,0.2,6.9,2.5,12.07
2022-01-22,NL,Rotterdam,humidity,312,3.0,93.0,87.0,5229.88
2022-01-22,NL,Rotterdam,pm10,312,7.0,34.0,18.0,232.1
2022-01-23,NL,Rotterdam,wind-speed,248,0.1,2.9,1.2,4.38
2022-01-23,NL,Rotterdam,pm25,192,24.0,84.0,62.0,1059.04
2022-01-23,NL,Rotterdam,pm10,312,5.0,53.0,20.0,324.58
2022-01-23,NL,Rotterdam,humidity,312,3.0,96.5,87.0,4917.98
2022-01-24,NL,Rotterdam,humidity,312,26.2,86.6,76.5,1089.21
2022-01-24,NL,Rotterdam,pm10,311,8.0,49.0,29.0,707.86
