Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Saint Paul,humidity,167,49.0,76.5,71.0,598.39
2022-01-01,US,Saint Paul,pm10,47,2.0,31.0,9.0,429.11
2022-01-01,US,Saint Paul,pm25,134,5.0,70.0,42.0,3593.14
2022-01-01,US,Saint Paul,wind-speed,161,0.2,6.1,3.7,22.85
2022-01-02,US,Saint Paul,humidity,167,50.0,83.0,75.0,570.35
2022-01-02,US,Saint Paul,pm10,47,1.0,32.0,9.0,1048.68
2022-01-02,US,Saint Paul,pm25,120,5.0,165.0,50.0,4880.77
2022-01-02,US,Saint Paul,wind-speed,129,0.2,4.5,1.5,11.62
2022-01-03,US,Saint Paul,wind-speed,144,0.1,4.7,1.8,14.81
2022-01-03,US,Saint Paul,pm25,121,5.0,76.0,50.0,3469.26
2022-01-03,US,Saint Paul,humidity,167,50.0,86.0,76.1,567.61
2022-01-03,US,Saint Paul,pm10,48,2.0,44.0,10.0,1865.37
2022-01-04,US,Saint Paul,humidity,167,59.0,92.0,81.5,502.5
2022-01-04,US,Saint Paul,pm10,48,8.0,27.0,18.0,288.26
2022-01-04,US,Saint Paul,pm25,139,5.0,82.0,53.0,2367.0
2022-01-04,US,Saint Paul,wind-speed,155,0.1,8.2,2.8,34.45
2022-01-05,US,Saint Paul,wind-speed,167,1.6,9.7,6.1,27.81
2022-01-05,US,Saint Paul,humidity,167,60.0,92.0,80.5,504.4
2022-01-05,US,Saint Paul,pm10,46,2.0,22.0,10.0,196.29
2022-01-05,US,Saint Paul,pm25,139,5.0,72.0,17.0,2050.88
2022-01-06,US,Saint Paul,wind-speed,164,0.2,7.2,3.6,24.76
2022-01-06,US,Saint Paul,pm25,138,5.0,42.0,21.0,767.77
2022-01-06,US,Saint Paul,humidity,167,49.0,80.7,75.0,637.06
2022-01-06,US,Saint Paul,pm10,38,1.0,31.0,6.0,584.62
2022-01-07,US,Saint Paul,humidity,168,49.0,82.6,74.5,605.6
2022-01-07,US,Saint Paul,pm10,46,4.0,30.0,13.0,423.89
2022-01-07,US,Saint Paul,pm25,143,13.0,76.0,42.0,1792.85
2022-01-07,US,Saint Paul,wind-speed,159,0.1,10.7,3.0,79.94
2022-01-08,US,Saint Paul,humidity,168,52.0,82.5,77.0,370.39
2022-01-08,US,Saint Paul,pm10,47,7.0,47.0,20.0,865.86
2022-01-08,US,Saint Paul,pm25,144,17.0,240.0,42.0,3872.91
2022-01-08,US,Saint Paul,wind-speed,166,0.7,9.7,5.5,37.99
2022-01-09,US,Saint Paul,pm10,46,1.0,24.0,13.0,334.63
2022-01-09,US,Saint Paul,wind-speed,168,0.5,8.7,4.3,21.27
2022-01-09,US,Saint Paul,humidity,168,38.0,76.0,63.7,890.55
2022-01-09,US,Saint Paul,pm25,144,9.0,68.0,38.0,1669.88
2022-01-10,US,Saint Paul,humidity,167,38.0,76.0,65.0,1064.54
2022-01-10,US,Saint Paul,pm10,46,6.0,34.0,15.0,470.75
2022-01-10,US,Saint Paul,pm25,144,13.0,63.0,46.0,862.65
2022-01-10,US,Saint Paul,wind-speed,140,0.1,6.1,2.5,17.52
2022-01-11,US,Saint Paul,pm25,138,5.0,53.0,25.0,1062.22
2022-01-11,US,Saint Paul,humidity,168,48.0,86.6,71.1,638.27
2022-01-11,US,Saint Paul,pm10,43,1.0,33.0,10.0,850.17
2022-01-11,US,Saint Paul,wind-speed,143,1.5,6.9,4.3,19.81
2022-01-12,US,Saint Paul,wind-speed,78,0.1,3.3,1.5,7.18
2022-01-12,US,Saint Paul,pm25,140,5.0,74.0,38.0,2634.56
2022-01-12,US,Saint Paul,humidity,168,56.0,92.0,80.0,591.26
2022-01-12,US,Saint Paul,pm10,45,1.0,29.0,11.0,602.09
2022-01-13,US,Saint Paul,humidity,165,63.0,92.8,82.9,468.81
2022-01-13,US,Saint Paul,pm10,47,5.0,32.0,14.0,602.14
2022-01-13,US,Saint Paul,pm25,142,25.0,93.0,50.0,3312.17
2022-01-13,US,Saint Paul,wind-speed,114,0.1,6.6,3.2,38.38
2022-01-14,US,Saint Paul,wind-speed,144,1.6,6.6,4.0,11.27
2022-01-14,US,Saint Paul,humidity,168,48.0,88.9,78.2,849.91
2022-01-14,US,Saint Paul,pm10,45,1.0,20.0,7.0,198.77
2022-01-14,US,Saint Paul,pm25,138,5.0,55.0,17.0,711.27
2022-01-15,US,Saint Paul,wind-speed,124,0.1,4.6,2.4,13.39
2022-01-15,US,Saint Paul,pm25,140,5.0,199.0,25.0,4198.93
2022-01-15,US,Saint Paul,humidity,168,52.0,86.4,76.0,574.4
2022-01-15,US,Saint Paul,pm10,47,1.0,20.0,8.0,223.02
2022-01-16,US,Saint Paul,pm25,144,9.0,63.0,38.0,1868.75
2022-01-16,US,Saint Paul,humidity,163,57.0,87.0,78.8,455.22
2022-01-16,US,Saint Paul,pm10,47,4.0,30.0,12.0,412.09
2022-01-16,US,Saint Paul,wind-speed,124,0.2,6.6,3.0,15.85
2022-01-17,US,Saint Paul,wind-speed,139,0.1,5.6,2.0,14.6
2022-01-17,US,Saint Paul,pm25,134,5.0,93.0,21.0,1564.3
2022-01-17,US,Saint Paul,pm10,48,1.0,21.0,10.0,248.36
2022-01-17,US,Saint Paul,humidity,168,59.0,87.1,80.0,418.55
2022-01-18,US,Saint Paul,humidity,168,51.5,90.3,76.0,957.55
2022-01-18,US,Saint Paul,pm10,48,7.0,25.0,15.0,205.21
2022-01-18,US,Saint Paul,pm25,144,9.0,63.0,38.0,1238.05
2022-01-18,US,Saint Paul,wind-speed,144,0.1,12.3,5.5,62.61
2022-01-19,US,Saint Paul,pm25,139,5.0,68.0,25.0,1086.01
2022-01-19,US,Saint Paul,wind-speed,144,1.6,10.8,6.2,29.5
2022-01-19,US,Saint Paul,humidity,167,47.0,76.7,67.4,592.51
2022-01-19,US,Saint Paul,pm10,46,2.0,21.0,7.0,252.19
2022-01-20,US,Saint Paul,humidity,166,53.0,83.0,73.6,556.59
2022-01-20,US,Saint Paul,pm10,46,1.0,43.0,14.0,765.91
2022-01-20,US,Saint Paul,pm25,144,5.0,99.0,34.0,2463.76
2022-01-20,US,Saint Paul,wind-speed,126,0.1,6.6,1.8,18.11
2022-01-21,US,Saint Paul,wind-speed,144,0.1,10.8,5.1,38.09
2022-01-21,US,Saint Paul,humidity,167,44.0,90.0,76.0,1075.08
2022-01-21,US,Saint Paul,pm10,47,9.0,53.0,18.0,510.53
2022-01-21,US,Saint Paul,pm25,144,13.0,70.0,42.0,2273.77
2022-01-22,US,Saint Paul,pm25,141,5.0,50.0,25.0,969.28
2022-01-22,US,Saint Paul,wind-speed,134,0.2,11.8,4.2,73.81
2022-01-22,US,Saint Paul,humidity,167,51.0,90.9,76.0,796.72
2022-01-22,US,Saint Paul,pm10,46,1.0,18.0,8.0,167.03
2022-01-23,US,Saint Paul,wind-speed,137,0.2,5.6,2.5,13.53
2022-01-23,US,Saint Paul,pm25,140,5.0,160.0,21.0,5926.67
2022-01-23,US,Saint Paul,pm10,41,1.0,27.0,7.0,303.45
2022-01-23,US,Saint Paul,humidity,166,54.0,86.8,76.0,499.65
2022-01-24,US,Saint Paul,humidity,168,51.0,92.0,72.0,1135.42
2022-01-24,US,Saint Paul,pm10,48,1.0,20.0,9.0,252.34
2022-01-24,US,Saint Paul,pm25,133,5.0,65.0,30.0,2203.63
2022-01-24,US,Saint Paul,wind-speed,167,0.2,8.2,4.1,42.89
2022-01-25,US,Saint Paul,pm25,143,9.0,72.0,30.0,1147.02
2022-01-25,US,Saint Paul,wind-speed,166,0.2,6.1,3.0,27.33
2022-01-25,US,Saint Paul,humidity,168,50.0,82.0,70.3,544.07
2022-01-25,US,Saint Paul,pm10,48,1.0,22.0,9.0,244.68
2022-01-26,US,Saint Paul,humidity,167,55.0,83.0,76.7,334.35
2022-01-26,US,Saint Paul,pm10,48,3.0,36.0,16.0,684.61
2022-01-26,US,Saint Paul,pm25,144,5.0,80.0,34.0,1898.72
2022-01-26,US,Saint Paul,wind-speed,157,0.2,8.2,4.8,40.91
2022-01-27,US,Saint Paul,wind-speed,167,0.1,9.2,4.1,42.34
2022-01-27,US,Saint Paul,humidity,168,37.0,87.7,63.4,1678.32
2022-01-27,US,Saint Paul,pm10,44,1.0,21.0,9.0,219.17
2022-01-27,US,Saint Paul,pm25,128,5.0,50.0,17.0,836.79
2022-01-28,US,Saint Paul,wind-speed,122,0.1,4.6,2.5,15.72
2022-01-28,US,Saint Paul,pm25,131,5.0,74.0,34.0,2110.07
2022-01-28,US,Saint Paul,humidity,168,43.0,83.0,68.5,984.46
2022-01-28,US,Saint Paul,pm10,47,3.0,57.0,16.0,1395.93
2022-01-29,US,Saint Paul,humidity,167,58.0,83.2,73.5,481.09
2022-01-29,US,Saint Paul,pm10,47,9.0,59.0,23.0,1121.58
2022-01-29,US,Saint Paul,pm25,120,13.0,65.0,42.0,1120.55
2022-01-29,US,Saint Paul,wind-speed,153,0.1,6.1,3.0,26.65
2022-01-30,US,Saint Paul,wind-speed,141,0.1,6.4,2.3,28.73
2022-01-30,US,Saint Paul,humidity,168,53.0,87.9,76.1,377.23
2022-01-30,US,Saint Paul,pm10,47,4.0,51.0,16.0,952.5
2022-01-30,US,Saint Paul,pm25,118,21.0,78.0,42.0,1627.34
2022-01-31,US,Saint Paul,wind-speed,164,0.2,8.2,4.9,36.54
2022-01-31,US,Saint Paul,pm25,133,42.0,124.0,63.0,846.63
2022-01-31,US,Saint Paul,humidity,168,68.0,92.0,80.3,341.23
2022-01-31,US,Saint Paul,pm10,47,11.0,44.0,23.0,616.01
2022-02-01,US,Saint Paul,wind-speed,168,1.8,11.3,6.2,40.01
2022-02-01,US,Saint Paul,humidity,168,56.0,87.5,71.0,461.9
2022-02-01,US,Saint Paul,pm10,47,7.0,37.0,20.0,518.98
2022-02-01,US,Saint Paul,pm25,126,5.0,74.0,38.0,1922.72
