Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,JP,Saitama,humidity,504,12.0,68.0,33.5,1470.27
2022-01-01,JP,Saitama,pm10,435,1.0,20.0,3.0,58.03
2022-01-01,JP,Saitama,pm25,384,5.0,63.0,9.0,635.96
2022-01-01,JP,Saitama,wind-speed,470,0.2,8.8,3.0,36.0
2022-01-02,JP,Saitama,humidity,504,20.0,72.0,46.0,1256.63
2022-01-02,JP,Saitama,pm10,467,1.0,23.0,6.0,183.77
2022-01-02,JP,Saitama,pm25,467,5.0,76.0,21.0,2450.42
2022-01-02,JP,Saitama,wind-speed,455,0.1,5.1,1.1,5.72
2022-01-03,JP,Saitama,pm25,473,5.0,76.0,21.0,2789.73
2022-01-03,JP,Saitama,wind-speed,461,0.1,5.1,1.8,11.94
2022-01-03,JP,Saitama,humidity,504,20.0,79.0,50.2,1769.38
2022-01-03,JP,Saitama,pm10,467,1.0,24.0,7.0,226.0
2022-01-04,JP,Saitama,humidity,504,24.0,88.0,51.0,2941.4
2022-01-04,JP,Saitama,pm10,456,1.0,18.0,6.0,137.89
2022-01-04,JP,Saitama,pm25,450,5.0,65.0,21.0,2148.06
2022-01-04,JP,Saitama,precipitation,14,99.0,99.0,99.0,0.0
2022-01-04,JP,Saitama,wind-speed,460,0.1,9.0,2.2,45.78
2022-01-05,JP,Saitama,humidity,504,16.0,65.0,36.5,1013.88
2022-01-05,JP,Saitama,pm10,453,1.0,15.0,4.0,57.73
2022-01-05,JP,Saitama,pm25,449,5.0,53.0,13.0,633.16
2022-01-05,JP,Saitama,wind-speed,471,0.1,8.4,2.9,34.89
2022-01-06,JP,Saitama,wind-speed,372,0.1,3.3,0.9,3.0
2022-01-06,JP,Saitama,pm25,498,5.0,134.0,46.0,3704.15
2022-01-06,JP,Saitama,precipitation,7,99.0,99.0,99.0,0.0
2022-01-06,JP,Saitama,humidity,503,41.2,99.3,64.2,3309.21
2022-01-06,JP,Saitama,pm10,489,2.0,44.0,11.0,362.58
2022-01-07,JP,Saitama,humidity,504,20.0,98.0,48.0,5939.71
2022-01-07,JP,Saitama,pm10,479,1.0,35.0,7.0,396.49
2022-01-07,JP,Saitama,pm25,467,5.0,85.0,25.0,5019.52
2022-01-07,JP,Saitama,wind-speed,385,0.1,9.4,3.2,36.95
2022-01-08,JP,Saitama,humidity,503,18.0,80.0,47.0,1622.72
2022-01-08,JP,Saitama,pm10,484,1.0,36.0,9.0,364.28
2022-01-08,JP,Saitama,pm25,493,5.0,91.0,30.0,3810.71
2022-01-08,JP,Saitama,wind-speed,454,0.1,6.7,1.3,10.78
2022-01-09,JP,Saitama,pm25,504,9.0,112.0,46.0,2881.23
2022-01-09,JP,Saitama,wind-speed,452,0.1,3.5,0.9,4.08
2022-01-09,JP,Saitama,pm10,500,1.0,37.0,11.0,350.94
2022-01-09,JP,Saitama,humidity,504,16.0,85.0,54.3,3334.88
2022-01-10,JP,Saitama,humidity,489,38.0,74.0,58.7,543.58
2022-01-10,JP,Saitama,pm10,499,1.0,40.0,11.0,184.13
2022-01-10,JP,Saitama,pm25,502,9.0,114.0,42.0,1568.42
2022-01-10,JP,Saitama,wind-speed,452,0.1,3.6,1.2,3.92
2022-01-11,JP,Saitama,humidity,494,53.0,97.0,87.0,1330.11
2022-01-11,JP,Saitama,pm10,480,1.0,47.0,16.0,411.57
2022-01-11,JP,Saitama,pm25,481,5.0,104.0,57.0,2305.88
2022-01-11,JP,Saitama,precipitation,14,0.2,0.2,0.2,0.0
2022-01-11,JP,Saitama,wind-speed,455,0.1,8.7,1.2,8.42
2022-01-12,JP,Saitama,wind-speed,464,0.1,9.3,3.6,32.04
2022-01-12,JP,Saitama,precipitation,14,99.0,99.0,99.0,0.0
2022-01-12,JP,Saitama,pm25,383,5.0,53.0,9.0,557.08
2022-01-12,JP,Saitama,pm10,420,1.0,13.0,3.0,50.5
2022-01-12,JP,Saitama,humidity,503,19.0,92.0,36.5,2647.25
2022-01-13,JP,Saitama,humidity,504,22.4,78.0,42.0,1368.33
2022-01-13,JP,Saitama,pm10,436,1.0,22.0,6.0,118.13
2022-01-13,JP,Saitama,pm25,452,5.0,72.0,21.0,1493.83
2022-01-13,JP,Saitama,precipitation,7,99.0,99.0,99.0,0.0
2022-01-13,JP,Saitama,wind-speed,470,0.2,7.2,1.9,16.43
2022-01-14,JP,Saitama,humidity,490,15.0,69.2,41.0,2009.52
2022-01-14,JP,Saitama,pm10,439,1.0,20.0,4.0,74.43
2022-01-14,JP,Saitama,pm25,421,5.0,53.0,13.0,684.32
2022-01-14,JP,Saitama,wind-speed,449,0.1,9.7,3.5,38.49
2022-01-15,JP,Saitama,wind-speed,416,0.1,8.7,2.4,35.64
2022-01-15,JP,Saitama,pm25,446,5.0,63.0,17.0,928.56
2022-01-15,JP,Saitama,pm10,460,1.0,21.0,5.0,86.73
2022-01-15,JP,Saitama,humidity,456,21.7,61.3,38.0,762.57
2022-01-16,JP,Saitama,humidity,451,24.0,87.4,55.0,2264.13
2022-01-16,JP,Saitama,pm10,471,1.0,43.0,12.0,526.11
2022-01-16,JP,Saitama,pm25,469,9.0,107.0,46.0,3936.73
2022-01-16,JP,Saitama,wind-speed,393,0.1,3.1,0.8,2.26
2022-01-17,JP,Saitama,humidity,474,25.0,84.0,53.0,2395.73
2022-01-17,JP,Saitama,pm10,452,1.0,37.0,10.0,341.08
2022-01-17,JP,Saitama,pm25,454,5.0,93.0,42.0,3190.75
2022-01-17,JP,Saitama,wind-speed,425,0.1,5.1,1.0,8.26
2022-01-18,JP,Saitama,wind-speed,473,0.1,8.2,3.2,33.23
2022-01-18,JP,Saitama,pm25,418,5.0,53.0,17.0,929.78
2022-01-18,JP,Saitama,pm10,433,1.0,17.0,5.0,73.96
2022-01-18,JP,Saitama,humidity,503,17.8,73.0,37.0,1544.52
2022-01-19,JP,Saitama,humidity,504,15.0,70.0,41.0,1600.62
2022-01-19,JP,Saitama,pm10,473,1.0,32.0,7.0,263.45
2022-01-19,JP,Saitama,pm25,490,5.0,93.0,21.0,2830.07
2022-01-19,JP,Saitama,wind-speed,456,0.1,4.8,1.5,9.25
2022-01-20,JP,Saitama,humidity,503,20.0,83.0,55.5,2393.95
2022-01-20,JP,Saitama,pm10,464,1.0,30.0,9.0,395.39
2022-01-20,JP,Saitama,pm25,462,5.0,107.0,34.0,4544.4
2022-01-20,JP,Saitama,wind-speed,455,0.1,7.7,2.2,26.48
2022-01-21,JP,Saitama,wind-speed,471,0.1,8.7,2.8,29.27
2022-01-21,JP,Saitama,pm25,434,5.0,68.0,13.0,973.72
2022-01-21,JP,Saitama,humidity,504,15.0,72.0,43.3,1919.07
2022-01-21,JP,Saitama,pm10,456,1.0,22.0,4.0,75.35
2022-01-22,JP,Saitama,humidity,503,15.0,70.0,40.3,1233.45
2022-01-22,JP,Saitama,pm10,473,1.0,32.0,6.0,327.35
2022-01-22,JP,Saitama,pm25,467,5.0,95.0,21.0,3933.0
2022-01-22,JP,Saitama,wind-speed,454,0.1,6.1,1.4,13.27
2022-01-23,JP,Saitama,humidity,504,31.0,82.0,51.5,1066.61
2022-01-23,JP,Saitama,pm10,502,1.0,44.0,13.0,520.6
2022-01-23,JP,Saitama,pm25,501,13.0,124.0,50.0,3996.08
2022-01-23,JP,Saitama,wind-speed,451,0.1,3.6,1.2,4.75
2022-01-24,JP,Saitama,precipitation,14,99.0,99.0,99.0,0.0
2022-01-24,JP,Saitama,pm25,459,5.0,124.0,30.0,4855.52
2022-01-24,JP,Saitama,wind-speed,466,0.1,7.6,1.8,26.88
2022-01-24,JP,Saitama,humidity,504,22.0,84.0,47.0,2911.8
2022-01-24,JP,Saitama,pm10,480,1.0,35.0,9.0,446.26
2022-01-25,JP,Saitama,humidity,504,28.0,83.0,55.0,1388.1
2022-01-25,JP,Saitama,pm10,497,1.0,28.0,10.0,142.01
2022-01-25,JP,Saitama,pm25,473,9.0,93.0,34.0,1639.3
2022-01-25,JP,Saitama,wind-speed,459,0.1,3.9,0.9,3.64
2022-01-26,JP,Saitama,humidity,494,33.0,97.0,64.0,1760.32
2022-01-26,JP,Saitama,pm10,495,8.0,46.0,18.0,286.86
2022-01-26,JP,Saitama,pm25,487,17.0,107.0,61.0,1378.85
2022-01-26,JP,Saitama,wind-speed,463,0.1,3.9,1.3,4.39
2022-01-27,JP,Saitama,wind-speed,461,0.1,7.2,3.1,33.65
2022-01-27,JP,Saitama,pm25,493,5.0,97.0,46.0,4548.78
2022-01-27,JP,Saitama,humidity,489,19.0,96.0,40.0,5204.52
2022-01-27,JP,Saitama,pm10,494,1.0,48.0,12.0,543.29
2022-01-28,JP,Saitama,humidity,491,17.0,62.0,38.5,871.45
2022-01-28,JP,Saitama,pm10,470,1.0,30.0,11.0,322.14
2022-01-28,JP,Saitama,pm25,471,5.0,89.0,42.0,3982.08
2022-01-28,JP,Saitama,wind-speed,466,0.1,7.2,2.4,14.67
2022-01-29,JP,Saitama,wind-speed,462,0.1,5.1,1.4,6.79
2022-01-29,JP,Saitama,humidity,499,25.0,69.3,49.0,816.14
2022-01-29,JP,Saitama,pm10,488,1.0,30.0,10.0,328.47
2022-01-29,JP,Saitama,pm25,497,5.0,93.0,34.0,3510.67
2022-01-30,JP,Saitama,pm25,468,5.0,85.0,21.0,4433.7
2022-01-30,JP,Saitama,wind-speed,471,0.1,6.1,2.2,18.54
2022-01-30,JP,Saitama,humidity,504,20.0,80.0,42.0,2554.06
2022-01-30,JP,Saitama,pm10,476,1.0,30.0,6.0,369.94
2022-01-31,JP,Saitama,wind-speed,475,0.1,8.2,3.5,27.07
2022-01-31,JP,Saitama,pm25,462,5.0,55.0,17.0,722.39
2022-01-31,JP,Saitama,humidity,499,14.0,57.0,34.6,1178.5
2022-01-31,JP,Saitama,pm10,453,1.0,18.0,5.0,65.81
2022-02-01,JP,Saitama,humidity,497,15.0,69.0,44.0,1469.62
