Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Salem,humidity,72,70.7,99.0,83.7,619.45
2022-01-01,US,Salem,pm25,72,20.0,91.0,47.0,2874.63
2022-01-01,US,Salem,wind-speed,55,0.1,4.1,1.1,5.47
2022-01-02,US,Salem,humidity,72,55.5,99.0,72.4,1618.38
2022-01-02,US,Salem,pm25,72,5.0,101.0,9.0,4727.97
2022-01-02,US,Salem,wind-speed,66,0.1,12.5,4.2,117.87
2022-01-03,US,Salem,humidity,72,60.7,97.0,92.9,2186.72
2022-01-03,US,Salem,pm25,72,4.0,11.0,5.0,17.84
2022-01-03,US,Salem,wind-speed,71,0.2,22.9,5.3,710.33
2022-01-04,US,Salem,humidity,72,53.5,97.0,93.7,3310.89
2022-01-04,US,Salem,pm25,72,5.0,10.0,7.0,19.37
2022-01-04,US,Salem,wind-speed,68,0.1,21.0,4.5,734.42
2022-01-05,US,Salem,humidity,72,46.2,98.0,97.0,4413.2
2022-01-05,US,Salem,pm25,72,5.0,59.0,10.0,1741.74
2022-01-05,US,Salem,wind-speed,49,0.4,21.0,9.9,910.09
2022-01-06,US,Salem,wind-speed,72,2.2,21.0,7.2,519.05
2022-01-06,US,Salem,pm25,71,5.0,8.0,6.0,6.68
2022-01-06,US,Salem,humidity,72,44.0,97.0,87.3,2486.59
2022-01-07,US,Salem,humidity,72,61.7,97.0,83.7,989.6
2022-01-07,US,Salem,pm25,72,4.0,24.0,6.0,240.84
2022-01-07,US,Salem,wind-speed,65,0.5,21.0,8.0,661.51
2022-01-08,US,Salem,humidity,67,60.0,99.0,82.4,1462.75
2022-01-08,US,Salem,pm25,72,8.0,76.0,13.0,3373.64
2022-01-08,US,Salem,wind-speed,38,0.1,21.0,2.1,742.81
2022-01-09,US,Salem,wind-speed,32,0.1,2.8,1.2,4.57
2022-01-09,US,Salem,pm25,72,5.0,74.0,38.0,2976.99
2022-01-09,US,Salem,humidity,70,2.0,99.0,88.8,6943.11
2022-01-10,US,Salem,humidity,70,2.0,99.0,96.0,19633.5
2022-01-10,US,Salem,pm25,71,17.0,71.0,40.0,2325.36
2022-01-10,US,Salem,wind-speed,41,0.1,2.5,1.2,4.56
2022-01-11,US,Salem,humidity,72,2.0,99.0,79.9,17328.0
2022-01-11,US,Salem,pm25,72,11.0,63.0,24.0,2398.47
2022-01-11,US,Salem,wind-speed,53,0.1,6.0,2.3,22.92
2022-01-12,US,Salem,wind-speed,48,0.1,5.3,2.0,11.34
2022-01-12,US,Salem,humidity,72,2.0,99.0,75.3,13950.7
2022-01-12,US,Salem,pm25,72,9.0,64.0,13.0,1643.1
2022-01-13,US,Salem,humidity,72,2.0,99.0,89.5,19217.8
2022-01-13,US,Salem,pm25,72,5.0,41.0,7.0,532.94
2022-01-13,US,Salem,wind-speed,54,0.1,8.0,3.8,41.35
2022-01-14,US,Salem,humidity,72,2.0,99.0,94.0,19860.5
2022-01-14,US,Salem,pm25,72,8.0,86.0,23.0,2905.9
2022-01-14,US,Salem,wind-speed,38,0.2,3.3,1.3,6.34
2022-01-15,US,Salem,humidity,72,2.0,99.0,97.0,20761.4
2022-01-15,US,Salem,pm25,72,19.0,71.0,43.0,1599.5
2022-01-15,US,Salem,wind-speed,36,0.2,4.6,1.2,8.06
2022-01-16,US,Salem,humidity,71,2.0,99.0,97.0,20719.8
2022-01-16,US,Salem,pm25,72,23.0,57.0,38.0,591.26
2022-01-16,US,Salem,wind-speed,31,0.2,2.8,1.4,4.51
2022-01-17,US,Salem,wind-speed,40,0.1,4.7,1.3,7.55
2022-01-17,US,Salem,pm25,72,16.0,62.0,33.0,1601.67
2022-01-17,US,Salem,humidity,72,2.0,99.0,97.0,20823.7
2022-01-18,US,Salem,humidity,72,2.0,99.0,95.3,20271.5
2022-01-18,US,Salem,pm25,72,11.0,65.0,19.0,1094.41
2022-01-18,US,Salem,wind-speed,54,0.1,4.9,1.7,14.49
2022-01-19,US,Salem,humidity,72,2.0,99.0,97.0,20759.3
2022-01-19,US,Salem,pm25,71,5.0,70.0,10.0,3022.38
2022-01-19,US,Salem,wind-speed,57,0.1,6.3,3.6,26.7
2022-01-20,US,Salem,humidity,72,2.0,99.0,89.1,19308.0
2022-01-20,US,Salem,pm25,72,5.0,38.0,8.0,396.74
2022-01-20,US,Salem,wind-speed,65,0.1,7.2,3.1,23.37
2022-01-21,US,Salem,humidity,72,2.0,99.0,90.1,19238.8
2022-01-21,US,Salem,pm25,72,8.0,56.0,25.0,1483.22
2022-01-21,US,Salem,wind-speed,54,0.1,5.5,2.5,26.64
2022-01-22,US,Salem,pm25,72,14.0,95.0,41.0,2232.3
2022-01-22,US,Salem,wind-speed,58,0.6,6.2,3.3,18.33
2022-01-22,US,Salem,humidity,72,2.0,99.0,89.0,18231.2
2022-01-23,US,Salem,wind-speed,33,0.1,2.7,0.9,3.74
2022-01-23,US,Salem,pm25,67,4.0,81.0,43.0,4436.53
2022-01-23,US,Salem,humidity,72,2.0,99.0,96.0,19901.0
2022-01-24,US,Salem,humidity,72,2.0,99.0,97.0,20789.7
2022-01-24,US,Salem,pm25,59,4.0,71.0,40.0,3302.89
2022-01-24,US,Salem,wind-speed,47,0.1,5.2,0.6,13.75
2022-01-25,US,Salem,humidity,72,2.0,99.0,80.8,18226.2
2022-01-25,US,Salem,pm25,72,27.0,82.0,45.0,1206.82
2022-01-25,US,Salem,wind-speed,37,0.1,5.7,0.9,25.08
2022-01-26,US,Salem,humidity,72,2.0,99.0,77.5,17559.9
2022-01-26,US,Salem,pm25,71,23.0,100.0,51.0,2983.65
2022-01-26,US,Salem,wind-speed,32,0.3,3.7,0.8,7.74
2022-01-27,US,Salem,humidity,72,2.0,99.0,68.0,16024.5
2022-01-27,US,Salem,pm25,72,23.0,84.0,45.0,2563.14
2022-01-27,US,Salem,wind-speed,34,0.1,5.1,2.0,27.75
2022-01-28,US,Salem,pm25,71,31.0,122.0,52.0,3680.56
2022-01-28,US,Salem,wind-speed,30,0.2,2.5,1.0,2.82
2022-01-28,US,Salem,humidity,72,2.0,99.0,72.6,16548.4
2022-01-29,US,Salem,humidity,72,2.0,99.0,74.4,17171.3
2022-01-29,US,Salem,pm25,72,46.0,123.0,77.0,3410.26
2022-01-29,US,Salem,wind-speed,33,0.1,2.3,0.9,2.26
2022-01-30,US,Salem,humidity,72,2.0,99.0,84.5,18224.6
2022-01-30,US,Salem,pm25,72,6.0,139.0,30.0,15366.8
2022-01-30,US,Salem,wind-speed,48,0.1,7.6,2.4,44.42
2022-01-31,US,Salem,pm25,72,6.0,40.0,10.0,353.17
