Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,San Diego,humidity,24,48.0,89.7,76.5,1708.3
2022-01-01,US,San Diego,pm25,24,18.0,73.0,48.0,2723.19
2022-01-01,US,San Diego,wind-speed,23,0.2,5.7,1.3,24.73
2022-01-02,US,San Diego,humidity,24,20.0,93.5,70.7,7496.54
2022-01-02,US,San Diego,pm25,23,5.0,87.0,42.0,5966.05
2022-01-02,US,San Diego,wind-speed,15,0.2,4.0,0.5,14.37
2022-01-03,US,San Diego,humidity,24,28.2,87.5,76.0,4493.97
2022-01-03,US,San Diego,pm25,24,7.0,82.0,51.0,5469.11
2022-01-03,US,San Diego,wind-speed,14,0.2,5.2,1.0,21.01
2022-01-04,US,San Diego,wind-speed,13,0.2,3.0,0.5,13.5
2022-01-04,US,San Diego,humidity,24,43.5,91.0,79.7,3002.39
2022-01-04,US,San Diego,pm25,24,10.0,139.0,51.0,6715.05
2022-01-05,US,San Diego,humidity,24,34.2,93.5,81.7,4596.79
2022-01-05,US,San Diego,pm25,22,23.0,162.0,74.0,16754.0
2022-01-05,US,San Diego,wind-speed,15,0.2,3.2,0.5,10.08
2022-01-06,US,San Diego,wind-speed,14,0.2,4.2,0.5,18.57
2022-01-06,US,San Diego,humidity,24,35.0,92.7,83.7,3948.93
2022-01-06,US,San Diego,pm25,24,22.0,112.0,62.0,6398.19
2022-01-07,US,San Diego,wind-speed,21,0.2,3.7,1.5,15.33
2022-01-07,US,San Diego,humidity,24,71.2,93.7,85.2,604.54
2022-01-07,US,San Diego,pm25,24,49.0,148.0,68.0,4994.49
2022-01-08,US,San Diego,humidity,24,59.5,91.5,84.0,1123.4
2022-01-08,US,San Diego,pm25,24,18.0,88.0,39.0,2701.67
2022-01-08,US,San Diego,wind-speed,17,0.2,2.2,0.5,4.65
2022-01-09,US,San Diego,humidity,24,25.5,95.2,71.7,6168.05
2022-01-09,US,San Diego,pm25,23,8.0,91.0,55.0,4581.78
2022-01-09,US,San Diego,wind-speed,11,0.2,6.5,1.5,36.07
2022-01-10,US,San Diego,pm25,24,10.0,85.0,60.0,4299.55
2022-01-10,US,San Diego,humidity,24,23.5,86.5,57.5,4829.18
2022-01-10,US,San Diego,wind-speed,22,0.2,3.2,0.3,5.68
2022-01-11,US,San Diego,humidity,24,16.0,78.0,53.7,5207.28
2022-01-11,US,San Diego,pm25,24,8.0,66.0,43.0,3389.98
2022-01-11,US,San Diego,wind-speed,19,0.2,2.2,0.5,6.26
2022-01-12,US,San Diego,pm25,24,8.0,66.0,42.0,2523.89
2022-01-12,US,San Diego,wind-speed,13,0.2,2.2,0.5,2.72
2022-01-12,US,San Diego,humidity,24,15.2,78.7,58.2,3915.43
2022-01-13,US,San Diego,wind-speed,13,0.2,1.5,0.2,1.71
2022-01-13,US,San Diego,pm25,24,7.0,70.0,50.0,2423.89
2022-01-13,US,San Diego,humidity,24,24.0,72.5,54.5,2705.28
2022-01-14,US,San Diego,humidity,24,19.0,72.7,59.7,3339.82
2022-01-14,US,San Diego,pm25,24,13.0,97.0,50.0,4818.84
2022-01-14,US,San Diego,wind-speed,14,0.2,3.0,0.5,8.89
2022-01-15,US,San Diego,humidity,24,33.0,86.5,69.7,3715.71
2022-01-15,US,San Diego,pm25,24,5.0,81.0,59.0,4453.89
2022-01-15,US,San Diego,wind-speed,15,0.2,6.5,1.0,33.63
2022-01-16,US,San Diego,wind-speed,14,0.2,4.2,1.0,20.9
2022-01-16,US,San Diego,pm25,24,10.0,71.0,31.0,3377.32
2022-01-16,US,San Diego,humidity,23,37.7,83.2,67.5,1969.49
2022-01-17,US,San Diego,humidity,24,60.7,93.2,83.5,1313.48
2022-01-17,US,San Diego,pm25,22,14.0,78.0,48.0,2317.08
2022-01-17,US,San Diego,wind-speed,13,0.2,5.0,3.0,29.78
2022-01-18,US,San Diego,humidity,24,67.3,96.0,86.7,931.64
2022-01-18,US,San Diego,pm25,24,6.0,62.0,31.0,2246.67
2022-01-18,US,San Diego,wind-speed,18,0.2,6.2,1.2,41.47
2022-01-19,US,San Diego,pm25,24,10.0,83.0,28.0,4174.76
2022-01-19,US,San Diego,wind-speed,14,0.2,5.2,0.5,36.27
2022-01-19,US,San Diego,humidity,24,59.5,92.5,85.7,1205.56
2022-01-20,US,San Diego,humidity,24,26.0,95.0,65.7,6452.0
2022-01-20,US,San Diego,pm25,22,5.0,66.0,47.0,2916.8
2022-01-20,US,San Diego,wind-speed,17,0.2,7.0,1.0,40.95
2022-01-21,US,San Diego,humidity,24,42.2,93.0,76.5,1880.45
2022-01-21,US,San Diego,pm25,24,23.0,64.0,40.0,1518.48
2022-01-21,US,San Diego,wind-speed,17,0.2,5.5,1.0,37.51
2022-01-22,US,San Diego,wind-speed,21,0.2,5.0,1.0,20.58
2022-01-22,US,San Diego,pm25,23,2.0,93.0,38.0,6951.74
2022-01-22,US,San Diego,humidity,24,26.5,93.5,57.7,7569.49
2022-01-23,US,San Diego,humidity,24,26.2,73.7,51.7,3323.78
2022-01-23,US,San Diego,pm25,20,2.0,75.0,52.0,4185.16
2022-01-23,US,San Diego,wind-speed,22,0.2,8.2,1.2,47.7
2022-01-24,US,San Diego,humidity,24,27.5,79.0,63.7,3428.02
2022-01-24,US,San Diego,pm25,24,14.0,66.0,37.0,2192.45
2022-01-24,US,San Diego,wind-speed,17,0.2,6.0,0.7,31.32
2022-01-25,US,San Diego,pm25,24,31.0,64.0,46.0,847.54
2022-01-25,US,San Diego,wind-speed,15,0.2,5.2,1.0,30.75
2022-01-25,US,San Diego,humidity,24,39.7,91.7,78.0,1955.21
2022-01-26,US,San Diego,wind-speed,20,0.2,5.3,0.5,23.46
2022-01-26,US,San Diego,pm25,22,3.0,73.0,43.0,2854.46
2022-01-26,US,San Diego,humidity,24,21.7,95.5,74.5,6764.0
2022-01-27,US,San Diego,humidity,24,16.5,82.7,58.2,5758.4
