Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,San Francisco,humidity,72,45.2,94.7,72.1,2092.95
2022-01-01,US,San Francisco,pm25,65,5.0,61.0,21.0,1734.73
2022-01-01,US,San Francisco,wind-speed,55,0.2,4.0,1.3,8.79
2022-01-02,US,San Francisco,humidity,72,55.1,95.0,76.9,1144.28
2022-01-02,US,San Francisco,pm25,72,13.0,76.0,42.0,2180.12
2022-01-02,US,San Francisco,wind-speed,54,0.1,3.8,1.1,8.55
2022-01-03,US,San Francisco,humidity,72,77.5,98.0,90.7,450.28
2022-01-03,US,San Francisco,pm25,58,5.0,68.0,17.0,2877.7
2022-01-03,US,San Francisco,wind-speed,50,0.4,8.0,3.0,49.41
2022-01-04,US,San Francisco,humidity,59,82.7,99.0,95.1,104.15
2022-01-04,US,San Francisco,pm25,64,5.0,68.0,13.0,1300.63
2022-01-04,US,San Francisco,wind-speed,38,0.1,4.1,0.7,12.83
2022-01-05,US,San Francisco,humidity,72,86.2,99.0,94.0,94.81
2022-01-05,US,San Francisco,pm25,64,5.0,55.0,21.0,1172.1
2022-01-05,US,San Francisco,wind-speed,37,0.1,3.2,0.7,5.22
2022-01-06,US,San Francisco,wind-speed,38,0.1,1.7,0.6,1.62
2022-01-06,US,San Francisco,pm25,65,5.0,53.0,30.0,1380.59
2022-01-06,US,San Francisco,humidity,72,90.2,98.0,93.7,46.32
2022-01-07,US,San Francisco,humidity,72,83.2,99.0,93.5,122.78
2022-01-07,US,San Francisco,pm25,51,5.0,63.0,17.0,1181.8
2022-01-07,US,San Francisco,wind-speed,55,0.1,5.9,1.5,18.14
2022-01-08,US,San Francisco,humidity,72,74.8,98.5,91.2,517.0
2022-01-08,US,San Francisco,pm25,65,5.0,55.0,17.0,1532.27
2022-01-08,US,San Francisco,wind-speed,39,0.1,2.6,0.8,4.98
2022-01-09,US,San Francisco,wind-speed,61,0.1,6.8,1.5,34.51
2022-01-09,US,San Francisco,pm25,72,5.0,68.0,34.0,2264.77
2022-01-09,US,San Francisco,humidity,72,70.1,99.0,86.0,612.63
2022-01-10,US,San Francisco,humidity,72,55.3,97.2,76.9,1929.0
2022-01-10,US,San Francisco,pm25,71,9.0,65.0,34.0,2276.42
2022-01-10,US,San Francisco,wind-speed,61,0.1,7.1,1.2,23.45
2022-01-11,US,San Francisco,humidity,72,50.2,95.2,68.6,2112.71
2022-01-11,US,San Francisco,pm25,70,5.0,76.0,34.0,1578.96
2022-01-11,US,San Francisco,wind-speed,47,0.1,2.8,1.0,6.04
2022-01-12,US,San Francisco,wind-speed,67,0.1,6.5,1.2,19.77
2022-01-12,US,San Francisco,humidity,72,53.5,97.2,75.3,1356.58
2022-01-12,US,San Francisco,pm25,71,25.0,107.0,70.0,3351.11
2022-01-13,US,San Francisco,humidity,72,72.0,97.5,84.3,471.08
2022-01-13,US,San Francisco,pm25,72,9.0,139.0,74.0,8233.33
2022-01-13,US,San Francisco,wind-speed,47,0.2,2.8,0.9,4.1
2022-01-14,US,San Francisco,humidity,72,47.6,98.0,77.7,1964.56
2022-01-14,US,San Francisco,pm25,72,5.0,74.0,34.0,1841.39
2022-01-14,US,San Francisco,wind-speed,46,0.2,4.8,0.8,8.74
2022-01-15,US,San Francisco,humidity,72,40.0,96.2,66.4,2950.37
2022-01-15,US,San Francisco,pm25,71,9.0,82.0,50.0,3624.19
2022-01-15,US,San Francisco,wind-speed,52,0.1,5.9,1.0,29.01
2022-01-16,US,San Francisco,humidity,70,47.7,92.2,70.4,1863.03
2022-01-16,US,San Francisco,pm25,72,34.0,99.0,55.0,1326.56
2022-01-16,US,San Francisco,wind-speed,55,0.1,4.2,1.5,14.71
2022-01-17,US,San Francisco,wind-speed,52,0.1,3.3,0.7,5.78
2022-01-17,US,San Francisco,pm25,72,25.0,68.0,50.0,1243.5
2022-01-17,US,San Francisco,humidity,72,51.3,91.7,69.1,1608.06
2022-01-18,US,San Francisco,humidity,72,75.3,96.2,89.6,294.39
2022-01-18,US,San Francisco,pm25,71,5.0,63.0,30.0,1458.95
2022-01-18,US,San Francisco,wind-speed,50,0.1,2.8,0.7,5.24
2022-01-19,US,San Francisco,humidity,72,65.9,98.0,92.0,634.51
2022-01-19,US,San Francisco,pm25,71,5.0,68.0,34.0,1960.54
2022-01-19,US,San Francisco,wind-speed,26,0.1,2.2,1.0,3.54
2022-01-20,US,San Francisco,humidity,72,54.4,98.2,87.0,1820.08
2022-01-20,US,San Francisco,pm25,71,5.0,68.0,30.0,2503.61
2022-01-20,US,San Francisco,wind-speed,44,0.1,2.7,0.9,4.43
2022-01-21,US,San Francisco,humidity,72,25.0,96.7,36.0,6769.09
2022-01-21,US,San Francisco,pm25,59,5.0,76.0,38.0,6826.92
2022-01-21,US,San Francisco,wind-speed,67,0.1,6.1,2.0,28.56
2022-01-22,US,San Francisco,pm25,47,5.0,91.0,13.0,5180.12
2022-01-22,US,San Francisco,wind-speed,59,0.1,7.7,2.5,46.33
2022-01-22,US,San Francisco,humidity,72,27.6,82.2,36.7,2059.85
2022-01-23,US,San Francisco,wind-speed,57,0.1,4.0,0.8,9.12
2022-01-23,US,San Francisco,pm25,72,30.0,109.0,57.0,2996.71
2022-01-23,US,San Francisco,humidity,72,36.9,94.2,67.7,2103.6
2022-01-24,US,San Francisco,humidity,72,58.1,95.5,80.5,958.95
2022-01-24,US,San Francisco,pm25,70,25.0,85.0,53.0,1514.4
2022-01-24,US,San Francisco,wind-speed,30,0.1,3.3,1.5,9.26
2022-01-25,US,San Francisco,humidity,72,69.2,96.7,91.0,510.91
2022-01-25,US,San Francisco,pm25,71,5.0,74.0,34.0,2864.71
2022-01-25,US,San Francisco,wind-speed,46,0.1,3.7,0.7,9.52
2022-01-26,US,San Francisco,humidity,72,54.8,97.5,80.0,1592.19
2022-01-26,US,San Francisco,pm25,72,9.0,99.0,61.0,5022.32
2022-01-26,US,San Francisco,wind-speed,50,0.1,4.2,1.2,14.1
2022-01-27,US,San Francisco,humidity,72,30.5,95.5,69.3,4692.04
2022-01-27,US,San Francisco,pm25,70,5.0,80.0,46.0,3031.78
2022-01-27,US,San Francisco,wind-speed,49,0.2,3.8,1.2,10.43
2022-01-28,US,San Francisco,pm25,71,25.0,112.0,57.0,2033.9
2022-01-28,US,San Francisco,wind-speed,60,0.2,5.9,1.7,24.07
2022-01-28,US,San Francisco,humidity,72,41.6,91.2,58.0,1834.68
2022-01-29,US,San Francisco,humidity,72,39.7,91.2,65.7,2554.71
2022-01-29,US,San Francisco,pm25,72,17.0,87.0,53.0,2052.16
2022-01-29,US,San Francisco,wind-speed,55,0.1,3.6,1.0,7.06
2022-01-30,US,San Francisco,humidity,72,63.9,94.5,86.2,711.3
2022-01-30,US,San Francisco,pm25,72,17.0,74.0,42.0,1748.14
2022-01-30,US,San Francisco,wind-speed,51,0.2,2.5,0.8,5.13
2022-01-31,US,San Francisco,pm25,72,5.0,112.0,30.0,2236.85
2022-01-31,US,San Francisco,humidity,72,57.4,97.3,85.6,1225.84
2022-01-31,US,San Francisco,wind-speed,39,0.2,2.3,1.0,3.73
2022-02-01,US,San Francisco,humidity,72,15.2,91.0,31.2,7354.59
2022-02-01,US,San Francisco,pm25,48,5.0,57.0,13.0,1794.82
2022-02-01,US,San Francisco,wind-speed,59,0.2,5.3,3.2,19.53
2022-02-02,US,San Francisco,pm25,55,5.0,63.0,13.0,960.73
2022-02-02,US,San Francisco,wind-speed,60,0.1,7.5,3.4,41.43
2022-02-02,US,San Francisco,humidity,72,24.2,71.7,33.2,980.1
2022-02-03,US,San Francisco,pm25,69,5.0,78.0,21.0,1662.5
2022-02-03,US,San Francisco,wind-speed,46,0.2,2.3,1.1,4.67
2022-02-03,US,San Francisco,humidity,72,38.5,91.2,65.2,2065.3
2022-02-04,US,San Francisco,humidity,72,45.1,91.7,60.0,2182.91
2022-02-04,US,San Francisco,pm25,71,13.0,91.0,63.0,4051.13
2022-02-04,US,San Francisco,wind-speed,62,0.1,4.7,1.7,10.23
2022-02-05,US,San Francisco,humidity,72,45.5,92.5,72.2,1946.78
2022-02-05,US,San Francisco,pm25,72,13.0,95.0,57.0,2136.12
2022-02-05,US,San Francisco,wind-speed,38,0.1,2.3,1.0,3.82
2022-02-06,US,San Francisco,wind-speed,39,0.1,3.0,1.4,6.44
2022-02-06,US,San Francisco,pm25,61,13.0,152.0,38.0,3613.82
2022-02-06,US,San Francisco,humidity,72,32.9,93.3,75.0,3480.52
2022-02-07,US,San Francisco,humidity,72,37.4,93.5,67.9,3035.96
2022-02-07,US,San Francisco,pm25,63,9.0,70.0,50.0,2373.92
2022-02-07,US,San Francisco,wind-speed,47,0.1,5.0,1.5,13.95
2022-02-08,US,San Francisco,humidity,72,37.7,94.7,70.3,2956.62
2022-02-08,US,San Francisco,pm25,71,17.0,72.0,42.0,1512.83
2022-02-08,US,San Francisco,wind-speed,36,0.1,2.6,1.4,4.59
2022-02-09,US,San Francisco,wind-speed,34,0.1,6.6,2.1,30.24
2022-02-09,US,San Francisco,pm25,67,5.0,70.0,34.0,2629.99
2022-02-09,US,San Francisco,humidity,72,27.8,91.5,44.0,4546.94
2022-02-10,US,San Francisco,humidity,65,36.3,89.5,47.8,2855.28
2022-02-10,US,San Francisco,pm25,67,5.0,70.0,25.0,2335.53
2022-02-10,US,San Francisco,wind-speed,38,0.1,5.1,2.1,13.74
2022-02-11,US,San Francisco,humidity,72,39.1,90.5,58.0,1903.7
2022-02-11,US,San Francisco,pm25,71,9.0,68.0,38.0,2246.78
2022-02-11,US,San Francisco,wind-speed,47,0.1,4.0,1.6,6.71
2022-02-12,US,San Francisco,humidity,72,47.7,89.2,62.8,1574.81
2022-02-12,US,San Francisco,pm25,72,21.0,80.0,55.0,1976.46
2022-02-12,US,San Francisco,wind-speed,49,0.1,5.0,1.5,17.52
2022-02-13,US,San Francisco,wind-speed,57,0.2,3.2,1.5,7.68
2022-02-13,US,San Francisco,humidity,72,40.6,93.1,73.1,2630.81
2022-02-13,US,San Francisco,pm25,72,17.0,80.0,53.0,2281.87
2022-02-14,US,San Francisco,pm25,67,5.0,78.0,25.0,2544.33
2022-02-14,US,San Francisco,wind-speed,59,0.1,6.9,2.8,26.18
2022-02-14,US,San Francisco,humidity,67,71.0,97.0,87.1,528.12
2022-02-15,US,San Francisco,wind-speed,67,0.2,5.5,2.8,16.7
2022-02-15,US,San Francisco,pm25,52,5.0,34.0,13.0,720.44
2022-02-15,US,San Francisco,humidity,72,29.3,78.2,64.7,2010.3
2022-02-16,US,San Francisco,humidity,72,28.7,66.0,47.2,1168.73
2022-02-16,US,San Francisco,pm25,66,5.0,50.0,13.0,1066.48
2022-02-16,US,San Francisco,wind-speed,60,0.1,4.1,2.2,11.75
2022-02-17,US,San Francisco,humidity,72,29.2,79.3,39.9,1755.52
2022-02-17,US,San Francisco,pm25,53,5.0,42.0,17.0,1012.53
2022-02-17,US,San Francisco,wind-speed,57,0.3,4.5,1.7,12.45
2022-02-18,US,San Francisco,humidity,72,39.2,87.2,64.5,1939.56
2022-02-18,US,San Francisco,pm25,71,5.0,61.0,30.0,1955.82
2022-02-18,US,San Francisco,wind-speed,41,0.2,3.4,1.3,7.33
2022-02-19,US,San Francisco,humidity,72,35.7,89.0,66.0,2220.3
2022-02-19,US,San Francisco,pm25,72,17.0,74.0,42.0,1501.25
2022-02-19,US,San Francisco,wind-speed,55,0.1,3.6,1.3,8.29
