Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,MK,Skopje,humidity,168,60.0,100.0,78.5,2357.99
2022-01-01,MK,Skopje,pm10,168,10.0,195.0,60.0,13559.0
2022-01-01,MK,Skopje,pm25,168,31.0,242.0,146.0,27778.7
2022-01-01,MK,Skopje,wind-speed,119,0.2,2.3,0.5,4.14
2022-01-02,MK,Skopje,humidity,168,50.5,89.5,81.0,1712.27
2022-01-02,MK,Skopje,pm10,168,8.0,124.0,24.0,4934.8
2022-01-02,MK,Skopje,pm25,144,10.0,193.0,64.0,19490.5
2022-01-02,MK,Skopje,wind-speed,84,0.5,1.5,1.0,1.35
2022-01-03,MK,Skopje,wind-speed,147,0.2,1.0,0.5,0.6
2022-01-03,MK,Skopje,pm25,160,5.0,257.0,149.0,19669.7
2022-01-03,MK,Skopje,humidity,168,62.0,100.0,92.0,963.22
2022-01-03,MK,Skopje,pm10,168,22.0,175.0,65.0,7533.84
2022-01-04,MK,Skopje,humidity,168,66.0,100.0,92.0,892.6
2022-01-04,MK,Skopje,pm10,168,37.0,165.0,76.0,6605.02
2022-01-04,MK,Skopje,pm25,168,58.0,248.0,157.0,13618.0
2022-01-04,MK,Skopje,wind-speed,105,0.2,1.0,0.5,0.76
2022-01-05,MK,Skopje,wind-speed,133,0.2,1.2,0.2,0.96
2022-01-05,MK,Skopje,humidity,168,90.0,100.0,96.5,81.09
2022-01-05,MK,Skopje,pm10,159,20.0,303.0,79.0,16350.4
2022-01-05,MK,Skopje,pm25,168,67.0,305.0,161.0,19653.9
2022-01-06,MK,Skopje,wind-speed,133,0.2,6.6,0.7,47.65
2022-01-06,MK,Skopje,pm25,168,43.0,293.0,153.0,29524.8
2022-01-06,MK,Skopje,humidity,168,70.0,100.0,81.0,1270.25
2022-01-06,MK,Skopje,pm10,168,15.0,181.0,72.0,15614.2
2022-01-07,MK,Skopje,humidity,168,61.0,86.0,71.5,444.52
2022-01-07,MK,Skopje,pm10,168,2.0,59.0,14.0,1837.08
2022-01-07,MK,Skopje,pm25,168,5.0,156.0,47.0,10859.7
2022-01-07,MK,Skopje,wind-speed,147,0.5,3.6,2.0,6.42
2022-01-08,MK,Skopje,humidity,168,74.0,100.0,86.0,487.06
2022-01-08,MK,Skopje,pm10,168,23.0,104.0,51.0,3595.36
2022-01-08,MK,Skopje,pm25,168,37.0,212.0,115.0,16113.6
2022-01-08,MK,Skopje,wind-speed,56,0.2,1.8,0.5,2.75
2022-01-09,MK,Skopje,pm10,168,29.0,129.0,62.0,3705.3
2022-01-09,MK,Skopje,wind-speed,84,0.5,2.0,1.0,4.17
2022-01-09,MK,Skopje,humidity,168,87.0,100.0,93.0,238.71
2022-01-09,MK,Skopje,pm25,168,37.0,200.0,152.0,13477.2
2022-01-10,MK,Skopje,humidity,168,86.0,100.0,93.0,181.48
2022-01-10,MK,Skopje,pm10,159,6.0,54.0,17.0,788.83
2022-01-10,MK,Skopje,pm25,160,19.0,152.0,62.0,9450.09
