Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,GB,Southend-on-Sea,humidity,48,66.3,93.8,86.3,662.18
2022-01-01,GB,Southend-on-Sea,pm10,48,11.0,24.0,14.0,164.57
2022-01-01,GB,Southend-on-Sea,pm25,47,30.0,68.0,43.0,618.38
2022-01-01,GB,Southend-on-Sea,wind-speed,48,1.3,4.3,3.0,5.6
2022-01-02,GB,Southend-on-Sea,humidity,48,73.4,94.1,82.1,349.64
2022-01-02,GB,Southend-on-Sea,pm10,45,4.0,17.0,10.0,122.8
2022-01-02,GB,Southend-on-Sea,pm25,41,10.0,45.0,23.0,951.39
2022-01-02,GB,Southend-on-Sea,wind-speed,48,2.0,5.8,4.2,8.42
2022-01-03,GB,Southend-on-Sea,wind-speed,48,1.1,4.5,3.0,8.51
2022-01-03,GB,Southend-on-Sea,pm25,45,15.0,100.0,35.0,1768.45
2022-01-03,GB,Southend-on-Sea,humidity,48,76.3,92.3,85.0,169.71
2022-01-03,GB,Southend-on-Sea,pm10,43,7.0,40.0,14.0,288.76
2022-01-04,GB,Southend-on-Sea,humidity,48,73.5,93.0,90.1,587.21
2022-01-04,GB,Southend-on-Sea,pm10,43,2.0,14.0,11.0,93.24
2022-01-04,GB,Southend-on-Sea,pm25,35,6.0,38.0,30.0,732.52
2022-01-04,GB,Southend-on-Sea,wind-speed,48,0.3,3.2,2.0,7.77
2022-01-05,GB,Southend-on-Sea,wind-speed,48,0.8,4.0,2.6,7.28
2022-01-05,GB,Southend-on-Sea,humidity,48,57.5,78.0,73.5,318.45
2022-01-05,GB,Southend-on-Sea,pm10,48,6.0,12.0,9.0,25.32
2022-01-05,GB,Southend-on-Sea,pm25,44,15.0,37.0,24.0,325.94
2022-01-06,GB,Southend-on-Sea,wind-speed,42,0.1,6.0,3.1,40.31
2022-01-06,GB,Southend-on-Sea,pm25,42,17.0,60.0,38.0,1648.13
2022-01-06,GB,Southend-on-Sea,humidity,46,66.1,92.0,78.5,540.4
2022-01-06,GB,Southend-on-Sea,pm10,44,5.0,21.0,12.0,159.63
2022-01-07,GB,Southend-on-Sea,humidity,48,56.3,90.4,81.0,798.48
2022-01-07,GB,Southend-on-Sea,pm10,46,2.0,12.0,8.0,53.76
2022-01-07,GB,Southend-on-Sea,pm25,47,6.0,36.0,21.0,548.57
2022-01-07,GB,Southend-on-Sea,wind-speed,48,1.8,4.8,2.6,5.07
