Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,HR,Split,humidity,72,62.0,100.0,90.0,1342.61
2022-01-01,HR,Split,wind-speed,72,0.5,2.8,1.2,2.58
2022-01-02,HR,Split,humidity,72,51.0,96.5,84.5,2483.86
2022-01-02,HR,Split,wind-speed,72,0.2,2.5,1.0,2.5
2022-01-03,HR,Split,humidity,72,76.0,96.5,93.0,348.79
2022-01-03,HR,Split,wind-speed,72,0.5,2.5,1.0,2.39
2022-01-04,HR,Split,humidity,72,71.0,93.0,81.0,551.09
2022-01-04,HR,Split,wind-speed,72,0.2,6.1,1.8,37.37
2022-01-05,HR,Split,wind-speed,72,2.8,7.2,4.6,14.2
2022-01-05,HR,Split,humidity,72,72.0,82.0,76.0,92.1
2022-01-06,HR,Split,humidity,72,44.5,76.0,65.5,1026.06
2022-01-06,HR,Split,wind-speed,72,1.5,7.7,4.1,29.3
2022-01-07,HR,Split,humidity,72,38.5,48.0,43.5,60.84
2022-01-07,HR,Split,wind-speed,72,1.8,8.4,4.3,42.62
2022-01-08,HR,Split,humidity,72,34.0,56.0,50.0,332.74
2022-01-08,HR,Split,wind-speed,72,2.0,7.2,4.8,24.71
2022-01-09,HR,Split,wind-speed,72,1.0,6.9,2.3,20.35
2022-01-09,HR,Split,humidity,72,34.0,70.0,53.5,776.81
2022-01-10,HR,Split,wind-speed,72,3.8,12.3,7.9,63.99
2022-01-10,HR,Split,humidity,72,21.0,39.0,31.0,342.46
2022-01-11,HR,Split,humidity,72,34.5,42.0,37.0,23.59
2022-01-11,HR,Split,wind-speed,72,7.2,14.6,10.0,35.82
2022-01-12,HR,Split,humidity,72,13.0,43.5,27.0,1355.17
2022-01-12,HR,Split,wind-speed,72,2.0,11.3,7.4,62.65
2022-01-13,HR,Split,humidity,72,10.0,29.0,18.0,242.04
2022-01-13,HR,Split,wind-speed,72,2.0,8.2,5.6,18.73
2022-01-14,HR,Split,humidity,72,27.0,58.0,47.0,729.28
2022-01-14,HR,Split,wind-speed,72,1.0,7.7,2.5,35.0
2022-01-15,HR,Split,wind-speed,72,1.2,5.4,2.8,10.17
2022-01-15,HR,Split,humidity,72,26.0,66.0,38.5,974.0
2022-01-16,HR,Split,humidity,72,23.0,68.0,44.0,2159.57
2022-01-16,HR,Split,wind-speed,72,0.2,2.5,1.5,3.75
2022-01-17,HR,Split,humidity,72,44.0,84.0,72.5,908.64
2022-01-17,HR,Split,wind-speed,72,0.2,4.8,2.0,14.96
2022-01-18,HR,Split,humidity,72,26.0,65.0,32.0,1663.06
2022-01-18,HR,Split,wind-speed,72,1.5,5.9,3.3,13.87
2022-01-19,HR,Split,wind-speed,72,1.0,3.8,2.0,7.06
2022-01-19,HR,Split,humidity,72,30.5,65.0,41.0,1260.63
2022-01-20,HR,Split,humidity,72,58.5,93.0,68.0,1024.93
2022-01-20,HR,Split,wind-speed,72,1.8,4.8,2.5,6.24
2022-01-21,HR,Split,humidity,72,29.5,87.0,34.5,3753.9
2022-01-21,HR,Split,wind-speed,72,0.7,9.7,3.8,52.06
2022-01-22,HR,Split,humidity,72,33.0,49.5,40.0,167.85
2022-01-22,HR,Split,wind-speed,72,2.5,7.2,5.1,13.82
2022-01-23,HR,Split,humidity,72,35.5,54.0,45.0,197.31
2022-01-23,HR,Split,wind-speed,72,1.2,7.7,4.8,31.44
2022-01-24,HR,Split,humidity,72,19.5,56.0,28.5,1677.89
2022-01-24,HR,Split,wind-speed,72,1.5,8.2,4.8,29.99
2022-01-25,HR,Split,humidity,72,11.5,38.0,27.0,356.47
2022-01-25,HR,Split,wind-speed,72,0.7,7.4,3.8,35.12
2022-01-26,HR,Split,humidity,72,35.5,67.5,46.5,1108.83
2022-01-26,HR,Split,wind-speed,72,1.2,6.6,3.0,21.45
2022-01-27,HR,Split,humidity,72,57.0,77.5,70.0,378.57
2022-01-27,HR,Split,wind-speed,72,1.2,6.1,2.3,18.58
2022-01-28,HR,Split,wind-speed,72,0.7,6.9,2.8,27.21
2022-01-28,HR,Split,humidity,72,29.0,86.0,66.0,4257.45
2022-01-29,HR,Split,humidity,72,19.5,50.5,32.5,899.72
2022-01-29,HR,Split,wind-speed,72,1.2,7.2,4.3,24.16
2022-01-30,HR,Split,humidity,72,44.0,75.0,55.5,576.53
2022-01-30,HR,Split,wind-speed,72,1.0,5.4,2.3,11.98
2022-01-31,HR,Split,humidity,72,40.0,89.5,71.0,1892.54
2022-01-31,HR,Split,wind-speed,72,0.5,13.1,4.8,118.34
2022-02-01,HR,Split,wind-speed,72,2.3,13.1,5.1,90.19
2022-02-01,HR,Split,humidity,72,27.0,57.0,38.0,552.39
2022-02-02,HR,Split,humidity,72,32.5,57.5,39.0,510.0
2022-02-02,HR,Split,wind-speed,72,0.7,6.6,3.8,26.95
2022-02-03,HR,Split,humidity,72,30.0,59.0,39.0,778.66
