Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Springfield,humidity,72,1.0,100.0,86.0,16067.6
2022-01-01,US,Springfield,pm25,71,3.0,65.0,32.0,3134.47
2022-01-01,US,Springfield,wind-speed,71,1.0,10.2,5.4,44.31
2022-01-02,US,Springfield,humidity,72,51.0,94.6,85.0,511.75
2022-01-02,US,Springfield,pm25,72,11.0,76.0,39.0,1790.47
2022-01-02,US,Springfield,wind-speed,72,0.6,9.7,4.4,37.3
2022-01-03,US,Springfield,humidity,72,51.3,87.3,78.3,739.53
2022-01-03,US,Springfield,pm25,68,8.0,65.0,38.0,2502.46
2022-01-03,US,Springfield,wind-speed,68,0.1,11.0,2.8,65.2
2022-01-04,US,Springfield,humidity,72,64.0,92.0,78.0,485.05
2022-01-04,US,Springfield,pm25,72,13.0,55.0,35.0,930.4
2022-01-04,US,Springfield,wind-speed,72,2.7,17.2,7.5,145.09
2022-01-05,US,Springfield,humidity,72,42.0,81.3,68.2,1026.55
2022-01-05,US,Springfield,pm25,72,9.0,85.0,38.0,2808.82
2022-01-05,US,Springfield,wind-speed,72,3.0,13.7,6.4,83.69
2022-01-06,US,Springfield,wind-speed,72,2.3,6.7,3.9,13.1
2022-01-06,US,Springfield,pm25,71,2.0,52.0,23.0,832.83
2022-01-06,US,Springfield,humidity,72,58.6,85.0,71.8,440.61
2022-01-07,US,Springfield,humidity,72,49.0,82.0,71.1,710.89
2022-01-07,US,Springfield,pm25,63,4.0,52.0,26.0,949.64
2022-01-07,US,Springfield,wind-speed,66,0.4,10.0,2.3,31.93
2022-01-08,US,Springfield,humidity,72,1.0,95.3,79.0,6691.99
2022-01-08,US,Springfield,pm25,72,3.0,54.0,31.0,1097.46
2022-01-08,US,Springfield,wind-speed,72,2.0,14.3,5.6,122.29
2022-01-09,US,Springfield,wind-speed,69,0.4,11.7,4.6,92.78
2022-01-09,US,Springfield,pm25,70,11.0,70.0,28.0,2009.72
2022-01-09,US,Springfield,humidity,72,1.0,100.0,69.0,5153.69
2022-01-10,US,Springfield,humidity,72,44.3,84.5,66.3,1250.85
2022-01-10,US,Springfield,pm25,71,7.0,59.0,31.0,908.08
2022-01-10,US,Springfield,wind-speed,63,0.2,8.2,3.6,49.1
2022-01-11,US,Springfield,humidity,72,52.0,83.0,72.0,584.17
2022-01-11,US,Springfield,pm25,71,11.0,53.0,35.0,814.94
2022-01-11,US,Springfield,wind-speed,70,0.5,17.9,5.8,192.09
2022-01-12,US,Springfield,wind-speed,70,0.2,5.6,2.4,16.98
2022-01-12,US,Springfield,humidity,72,43.0,85.6,72.6,1076.97
2022-01-12,US,Springfield,pm25,69,5.0,60.0,31.0,1653.79
2022-01-13,US,Springfield,humidity,72,1.0,92.0,70.0,3520.53
2022-01-13,US,Springfield,pm25,71,18.0,96.0,50.0,5460.95
2022-01-13,US,Springfield,wind-speed,64,0.1,4.1,2.2,13.66
2022-01-14,US,Springfield,humidity,72,1.0,100.0,88.3,18800.1
2022-01-14,US,Springfield,pm25,72,22.0,92.0,65.0,3571.27
2022-01-14,US,Springfield,wind-speed,61,0.2,10.4,2.2,86.99
2022-01-15,US,Springfield,humidity,72,1.0,100.0,85.0,8163.12
2022-01-15,US,Springfield,pm25,72,4.0,85.0,46.0,3327.57
2022-01-15,US,Springfield,wind-speed,72,1.0,10.3,4.6,63.22
2022-01-16,US,Springfield,humidity,72,57.6,92.0,79.3,915.42
2022-01-16,US,Springfield,pm25,70,3.0,70.0,55.0,1370.05
2022-01-16,US,Springfield,wind-speed,70,0.5,5.5,2.5,17.27
2022-01-17,US,Springfield,wind-speed,67,0.2,9.1,3.7,42.36
2022-01-17,US,Springfield,pm25,72,3.0,70.0,35.0,2823.28
2022-01-17,US,Springfield,humidity,72,55.3,90.0,79.6,532.02
2022-01-18,US,Springfield,humidity,72,37.0,92.0,75.0,1501.49
2022-01-18,US,Springfield,pm25,72,10.0,50.0,32.0,637.93
2022-01-18,US,Springfield,wind-speed,71,0.6,13.5,5.5,119.32
2022-01-19,US,Springfield,humidity,72,55.6,85.6,75.0,372.31
