Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Staten Island,humidity,103,24.7,100.0,94.0,527.04
2022-01-01,US,Staten Island,pm25,118,1.0,69.0,31.0,2490.24
2022-01-01,US,Staten Island,wind-speed,56,0.2,3.0,0.7,6.9
2022-01-02,US,Staten Island,humidity,107,48.7,100.0,87.0,1617.62
2022-01-02,US,Staten Island,pm25,114,5.0,51.0,28.0,1151.53
2022-01-02,US,Staten Island,wind-speed,92,0.2,5.9,2.2,34.2
2022-01-03,US,Staten Island,humidity,120,31.6,73.7,53.5,1529.94
2022-01-03,US,Staten Island,pm25,109,2.0,49.0,23.0,1313.72
2022-01-03,US,Staten Island,wind-speed,111,0.2,7.3,4.0,30.41
2022-01-04,US,Staten Island,humidity,120,36.0,73.5,53.2,872.89
2022-01-04,US,Staten Island,pm25,110,5.0,51.0,30.0,1137.86
2022-01-04,US,Staten Island,wind-speed,90,0.2,5.1,1.2,14.09
2022-01-05,US,Staten Island,humidity,120,63.0,98.0,86.0,724.84
2022-01-05,US,Staten Island,pm25,120,13.0,58.0,34.0,1117.51
2022-01-05,US,Staten Island,wind-speed,66,0.2,3.2,1.0,4.85
2022-01-06,US,Staten Island,wind-speed,87,0.2,7.2,2.3,45.12
2022-01-06,US,Staten Island,pm25,119,3.0,67.0,44.0,1585.38
2022-01-06,US,Staten Island,humidity,118,35.7,94.0,54.5,3616.25
2022-01-07,US,Staten Island,humidity,120,50.6,95.7,69.0,1944.73
2022-01-07,US,Staten Island,pm25,118,5.0,57.0,40.0,1673.98
2022-01-07,US,Staten Island,wind-speed,94,0.2,8.7,3.6,51.45
2022-01-08,US,Staten Island,humidity,120,29.0,71.0,53.0,1188.97
2022-01-08,US,Staten Island,pm25,116,5.0,54.0,33.0,1401.65
2022-01-08,US,Staten Island,wind-speed,76,0.2,5.4,2.2,23.23
2022-01-09,US,Staten Island,wind-speed,95,0.2,6.5,2.0,16.05
2022-01-09,US,Staten Island,pm25,119,1.0,63.0,33.0,1748.23
2022-01-09,US,Staten Island,humidity,120,46.3,97.0,74.7,1572.03
2022-01-10,US,Staten Island,humidity,120,32.3,94.2,49.0,2061.01
2022-01-10,US,Staten Island,pm25,118,5.0,58.0,34.0,1640.56
2022-01-10,US,Staten Island,wind-speed,113,0.2,8.2,3.9,41.02
2022-01-11,US,Staten Island,humidity,120,27.6,68.0,40.0,888.21
2022-01-11,US,Staten Island,pm25,113,4.0,53.0,30.0,1624.27
2022-01-11,US,Staten Island,wind-speed,94,0.3,8.7,3.6,42.08
2022-01-12,US,Staten Island,wind-speed,73,0.2,8.0,2.0,30.23
2022-01-12,US,Staten Island,humidity,120,39.0,83.0,54.0,1036.94
2022-01-12,US,Staten Island,pm25,120,7.0,76.0,34.0,2476.33
2022-01-13,US,Staten Island,humidity,120,38.0,89.7,69.2,2131.84
2022-01-13,US,Staten Island,pm25,113,7.0,127.0,67.0,2940.44
2022-01-13,US,Staten Island,wind-speed,31,0.2,2.4,0.5,4.53
2022-01-14,US,Staten Island,humidity,118,42.3,85.7,62.2,1425.94
2022-01-14,US,Staten Island,pm25,119,5.0,81.0,50.0,1953.08
2022-01-14,US,Staten Island,wind-speed,106,0.2,8.2,3.3,46.73
2022-01-15,US,Staten Island,humidity,120,26.0,59.0,40.6,875.43
2022-01-15,US,Staten Island,pm25,113,1.0,56.0,30.0,1493.74
2022-01-15,US,Staten Island,wind-speed,114,0.2,6.6,2.5,23.51
2022-01-16,US,Staten Island,humidity,117,43.0,98.0,63.0,2658.52
