Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,CA,Surrey,humidity,89,59.0,93.0,79.1,523.95
2022-01-01,CA,Surrey,pm10,92,2.0,14.0,5.0,79.62
2022-01-01,CA,Surrey,wind-speed,61,0.1,4.1,0.8,9.06
2022-01-02,CA,Surrey,humidity,96,68.0,96.0,86.0,524.26
2022-01-02,CA,Surrey,pm10,91,1.0,8.0,3.0,22.27
2022-01-02,CA,Surrey,wind-speed,89,0.1,5.7,1.7,24.86
2022-01-03,CA,Surrey,humidity,96,73.2,98.0,90.5,375.89
2022-01-03,CA,Surrey,pm10,92,2.0,10.0,5.0,39.43
2022-01-03,CA,Surrey,wind-speed,88,0.1,8.3,2.7,28.37
2022-01-04,CA,Surrey,wind-speed,61,0.1,4.6,1.0,6.62
2022-01-04,CA,Surrey,humidity,91,79.2,100.0,94.0,221.48
2022-01-04,CA,Surrey,pm10,88,3.0,11.0,5.0,29.43
2022-01-05,CA,Surrey,humidity,96,74.0,98.0,92.2,383.79
2022-01-05,CA,Surrey,pm10,92,2.0,9.0,5.0,28.68
2022-01-05,CA,Surrey,wind-speed,52,0.3,3.7,1.8,5.24
2022-01-06,CA,Surrey,wind-speed,56,0.1,3.0,1.2,5.72
2022-01-06,CA,Surrey,humidity,96,57.7,100.0,96.4,210.56
2022-01-06,CA,Surrey,pm10,92,1.0,20.0,4.0,44.14
2022-01-07,CA,Surrey,wind-speed,73,0.1,8.7,2.7,61.8
2022-01-07,CA,Surrey,humidity,96,41.2,99.0,81.0,2695.49
2022-01-07,CA,Surrey,pm10,91,2.0,10.0,7.0,58.42
2022-01-08,CA,Surrey,humidity,90,70.2,99.0,93.0,399.48
2022-01-08,CA,Surrey,pm10,92,4.0,11.0,6.0,21.38
2022-01-08,CA,Surrey,wind-speed,42,0.1,4.1,0.5,9.41
2022-01-09,CA,Surrey,humidity,96,65.0,100.0,95.5,532.42
2022-01-09,CA,Surrey,pm10,92,2.0,11.0,5.0,38.51
2022-01-09,CA,Surrey,wind-speed,42,0.1,3.6,0.7,9.03
2022-01-10,CA,Surrey,pm10,88,1.0,11.0,5.0,49.57
2022-01-10,CA,Surrey,humidity,96,90.1,100.0,96.0,48.37
2022-01-10,CA,Surrey,wind-speed,66,0.1,4.6,0.5,14.34
2022-01-11,CA,Surrey,humidity,93,8.2,100.0,97.5,1935.56
2022-01-11,CA,Surrey,pm10,92,2.0,10.0,5.0,29.07
2022-01-11,CA,Surrey,wind-speed,59,0.1,5.2,0.5,11.0
2022-01-12,CA,Surrey,pm10,92,2.0,8.0,4.0,22.51
2022-01-12,CA,Surrey,wind-speed,55,0.1,2.5,0.5,4.41
2022-01-12,CA,Surrey,humidity,63,24.7,100.0,98.7,1052.45
2022-01-13,CA,Surrey,wind-speed,40,0.1,3.0,0.7,6.05
2022-01-13,CA,Surrey,humidity,96,24.7,100.0,96.0,1472.19
2022-01-13,CA,Surrey,pm10,92,3.0,12.0,6.0,32.3
2022-01-14,CA,Surrey,humidity,96,77.0,100.0,96.0,213.46
2022-01-14,CA,Surrey,pm10,92,3.0,18.0,6.0,42.65
2022-01-14,CA,Surrey,wind-speed,33,0.1,1.5,0.4,1.52
2022-01-15,CA,Surrey,humidity,96,8.2,100.0,98.0,1465.64
2022-01-15,CA,Surrey,pm10,88,3.0,20.0,6.0,135.14
2022-01-15,CA,Surrey,wind-speed,32,0.1,1.5,0.5,1.4
2022-01-16,CA,Surrey,wind-speed,20,0.1,1.5,0.5,1.12
2022-01-16,CA,Surrey,pm10,92,2.0,13.0,5.0,71.27
2022-01-16,CA,Surrey,humidity,93,41.2,100.0,97.0,548.79
2022-01-17,CA,Surrey,humidity,96,24.7,100.0,97.0,1543.5
2022-01-17,CA,Surrey,pm10,92,2.0,11.0,6.0,27.75
2022-01-17,CA,Surrey,wind-speed,40,0.1,2.0,0.5,3.54
2022-01-18,CA,Surrey,humidity,78,9.0,100.0,99.0,1953.75
2022-01-18,CA,Surrey,pm10,92,3.0,10.0,5.0,12.39
2022-01-18,CA,Surrey,wind-speed,27,0.1,2.0,1.0,2.14
2022-01-19,CA,Surrey,wind-speed,50,0.1,3.2,0.7,5.54
2022-01-19,CA,Surrey,pm10,92,2.0,9.0,4.0,15.57
2022-01-19,CA,Surrey,humidity,84,8.2,100.0,98.0,1012.7
2022-01-20,CA,Surrey,humidity,90,8.2,100.0,95.5,3070.72
2022-01-20,CA,Surrey,pm10,81,2.0,11.0,5.0,59.54
2022-01-20,CA,Surrey,wind-speed,67,0.1,6.5,1.0,32.62
2022-01-21,CA,Surrey,humidity,96,81.0,100.0,94.0,219.05
2022-01-21,CA,Surrey,pm10,83,4.0,22.0,8.0,104.66
2022-01-21,CA,Surrey,wind-speed,31,0.1,1.0,0.5,0.73
2022-01-22,CA,Surrey,humidity,96,62.5,100.0,93.4,864.58
2022-01-22,CA,Surrey,pm10,92,1.0,14.0,6.0,62.95
2022-01-22,CA,Surrey,wind-speed,24,0.1,2.0,0.5,2.9
2022-01-23,CA,Surrey,wind-speed,33,0.1,1.5,0.5,1.33
2022-01-23,CA,Surrey,humidity,85,33.0,100.0,98.6,536.86
2022-01-23,CA,Surrey,pm10,92,3.0,15.0,6.0,97.2
2022-01-24,CA,Surrey,pm10,92,3.0,17.0,6.0,114.02
2022-01-24,CA,Surrey,wind-speed,45,0.1,1.5,0.6,1.75
2022-01-24,CA,Surrey,humidity,75,72.0,100.0,99.0,337.69
2022-01-25,CA,Surrey,wind-speed,38,0.1,1.7,0.5,1.55
2022-01-25,CA,Surrey,pm10,91,3.0,16.0,7.0,132.87
2022-01-25,CA,Surrey,humidity,88,24.7,100.0,99.0,2947.5
2022-01-26,CA,Surrey,humidity,89,24.7,107.0,99.0,1393.66
2022-01-26,CA,Surrey,pm10,91,3.0,34.0,7.0,354.65
2022-01-26,CA,Surrey,wind-speed,46,0.1,1.5,0.5,1.29
2022-01-27,CA,Surrey,humidity,85,33.0,107.0,99.0,1945.54
2022-01-27,CA,Surrey,pm10,88,3.0,27.0,7.0,274.42
