Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,GB,Swansea,humidity,144,72.0,93.4,86.2,432.16
2022-01-01,GB,Swansea,pm10,144,10.0,102.0,37.0,3156.1
2022-01-01,GB,Swansea,pm25,144,13.0,114.0,63.0,4370.06
2022-01-01,GB,Swansea,wind-speed,128,0.2,10.5,2.2,77.12
2022-01-02,GB,Swansea,humidity,144,85.0,95.8,90.0,98.43
2022-01-02,GB,Swansea,pm10,98,4.0,120.0,23.0,4285.93
2022-01-02,GB,Swansea,pm25,144,13.0,93.0,57.0,2949.51
2022-01-02,GB,Swansea,wind-speed,142,0.3,7.2,4.0,33.6
2022-01-03,GB,Swansea,wind-speed,136,0.2,6.5,3.5,30.64
2022-01-03,GB,Swansea,pm25,144,17.0,132.0,55.0,4764.69
2022-01-03,GB,Swansea,humidity,144,83.4,90.9,86.7,39.24
2022-01-03,GB,Swansea,pm10,96,7.0,168.0,26.0,9329.1
2022-01-04,GB,Swansea,humidity,144,67.3,93.4,82.5,465.35
2022-01-04,GB,Swansea,pm10,102,1.0,30.0,10.0,283.27
2022-01-04,GB,Swansea,pm25,137,5.0,63.0,25.0,1804.63
2022-01-04,GB,Swansea,wind-speed,120,0.2,11.2,5.2,125.37
2022-01-05,GB,Swansea,wind-speed,60,0.1,6.1,4.0,33.39
2022-01-05,GB,Swansea,humidity,144,72.0,92.0,87.0,403.19
2022-01-05,GB,Swansea,pm10,142,2.0,30.0,12.0,213.08
2022-01-05,GB,Swansea,pm25,144,9.0,72.0,30.0,2283.92
2022-01-06,GB,Swansea,wind-speed,122,0.2,9.7,4.0,90.53
2022-01-06,GB,Swansea,pm25,136,5.0,142.0,38.0,4588.85
2022-01-06,GB,Swansea,humidity,144,67.5,92.2,81.2,539.2
2022-01-06,GB,Swansea,pm10,140,1.0,56.0,16.0,1676.5
2022-01-07,GB,Swansea,humidity,144,71.8,92.3,84.0,413.53
2022-01-07,GB,Swansea,pm10,137,1.0,32.0,15.0,419.64
2022-01-07,GB,Swansea,pm25,135,5.0,85.0,30.0,2944.49
2022-01-07,GB,Swansea,wind-speed,102,0.1,9.1,2.0,51.87
2022-01-08,GB,Swansea,humidity,144,75.0,96.0,92.0,403.66
2022-01-08,GB,Swansea,pm10,141,2.0,94.0,16.0,4073.71
2022-01-08,GB,Swansea,pm25,142,13.0,82.0,34.0,2770.11
2022-01-08,GB,Swansea,wind-speed,124,0.2,9.5,6.0,85.86
2022-01-09,GB,Swansea,pm10,100,13.0,57.0,22.0,616.67
2022-01-09,GB,Swansea,wind-speed,70,0.1,6.9,1.9,43.83
2022-01-09,GB,Swansea,humidity,144,78.0,90.1,84.2,140.98
2022-01-09,GB,Swansea,pm25,141,5.0,85.0,30.0,3731.51
2022-01-10,GB,Swansea,humidity,144,91.0,97.0,93.5,27.76
2022-01-10,GB,Swansea,pm10,93,1.0,136.0,10.0,7844.26
2022-01-10,GB,Swansea,pm25,124,5.0,82.0,30.0,4470.55
2022-01-10,GB,Swansea,wind-speed,62,0.1,6.3,1.0,31.17
2022-01-11,GB,Swansea,pm25,90,9.0,59.0,25.0,1574.93
2022-01-11,GB,Swansea,humidity,144,81.2,97.0,91.5,261.3
2022-01-11,GB,Swansea,pm10,89,2.0,97.0,11.0,4332.78
2022-01-11,GB,Swansea,wind-speed,98,0.2,4.2,0.8,10.62
2022-01-12,GB,Swansea,wind-speed,24,0.1,1.0,0.5,0.97
2022-01-12,GB,Swansea,pm25,95,5.0,153.0,46.0,10019.2
2022-01-12,GB,Swansea,humidity,144,80.5,94.3,90.7,126.47
2022-01-12,GB,Swansea,pm10,96,1.0,131.0,18.0,4222.1
2022-01-13,GB,Swansea,humidity,144,78.5,95.8,92.0,225.53
2022-01-13,GB,Swansea,pm10,108,6.0,61.0,31.0,2001.88
2022-01-13,GB,Swansea,pm25,108,25.0,119.0,74.0,3771.24
2022-01-13,GB,Swansea,wind-speed,12,0.1,1.0,0.5,1.14
2022-01-14,GB,Swansea,wind-speed,78,0.1,2.8,1.0,6.02
2022-01-14,GB,Swansea,humidity,144,55.2,94.0,82.7,996.13
2022-01-14,GB,Swansea,pm10,137,2.0,52.0,15.0,1483.55
2022-01-14,GB,Swansea,pm25,134,5.0,129.0,50.0,5765.49
2022-01-15,GB,Swansea,wind-speed,92,0.1,7.4,2.3,57.84
2022-01-15,GB,Swansea,pm25,144,21.0,107.0,61.0,2787.12
2022-01-15,GB,Swansea,humidity,144,76.8,92.0,86.0,145.73
2022-01-15,GB,Swansea,pm10,140,10.0,856.0,23.0,73197.8
2022-01-16,GB,Swansea,pm25,143,5.0,78.0,46.0,3277.96
2022-01-16,GB,Swansea,humidity,144,72.2,95.2,90.7,436.01
2022-01-16,GB,Swansea,pm10,129,3.0,999.0,20.0,629028.0
2022-01-16,GB,Swansea,wind-speed,108,0.1,5.6,1.0,31.38
2022-01-17,GB,Swansea,wind-speed,58,0.1,0.7,0.4,0.4
2022-01-17,GB,Swansea,pm25,136,5.0,82.0,38.0,5272.33
2022-01-17,GB,Swansea,pm10,113,8.0,999.0,23.0,558212.0
2022-01-17,GB,Swansea,humidity,144,72.7,94.0,90.0,277.76
2022-01-18,GB,Swansea,humidity,144,81.0,93.4,91.0,79.03
2022-01-18,GB,Swansea,pm10,78,1.0,51.0,23.0,934.6
2022-01-18,GB,Swansea,pm25,100,5.0,124.0,61.0,3789.9
2022-01-18,GB,Swansea,wind-speed,66,0.3,3.0,0.5,6.38
2022-01-19,GB,Swansea,pm25,86,5.0,74.0,34.0,2286.92
2022-01-19,GB,Swansea,wind-speed,129,0.5,8.4,3.4,47.68
2022-01-19,GB,Swansea,humidity,135,72.5,95.0,87.0,511.51
2022-01-19,GB,Swansea,pm10,46,8.0,48.0,15.0,551.52
2022-01-20,GB,Swansea,humidity,120,59.0,89.0,81.7,702.4
2022-01-20,GB,Swansea,pm10,94,3.0,53.0,18.0,875.28
