Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,HU,Szeged,humidity,24,59.8,100.0,81.1,1403.98
2022-01-01,HU,Szeged,pm10,22,1.0,51.0,17.0,2410.84
2022-01-01,HU,Szeged,pm25,4,999.0,999.0,999.0,0.0
2022-01-01,HU,Szeged,wind-speed,24,1.0,9.0,5.0,69.55
2022-01-02,HU,Szeged,humidity,24,61.1,100.0,95.9,1077.95
2022-01-02,HU,Szeged,pm10,24,6.0,16.0,10.0,78.26
2022-01-02,HU,Szeged,wind-speed,24,1.0,5.0,3.0,11.52
2022-01-03,HU,Szeged,humidity,24,67.0,100.0,91.3,1050.65
2022-01-03,HU,Szeged,pm10,21,5.0,28.0,24.0,352.29
2022-01-03,HU,Szeged,pm25,11,5.0,999.0,455.0,1516370.0
2022-01-03,HU,Szeged,wind-speed,24,1.0,5.0,3.0,7.54
2022-01-04,HU,Szeged,humidity,24,69.8,100.0,97.2,1301.73
2022-01-04,HU,Szeged,pm10,23,20.0,41.0,29.0,341.34
2022-01-04,HU,Szeged,wind-speed,24,3.0,8.0,6.0,31.88
2022-01-05,HU,Szeged,pm10,20,8.0,21.0,16.0,131.87
2022-01-05,HU,Szeged,wind-speed,24,2.0,8.0,6.0,16.5
2022-01-05,HU,Szeged,humidity,24,63.9,100.0,81.2,867.45
2022-01-06,HU,Szeged,humidity,24,65.2,99.3,70.8,581.36
2022-01-06,HU,Szeged,pm10,24,5.0,18.0,10.0,174.49
2022-01-06,HU,Szeged,precipitation,2,99.9,99.9,99.9,0.0
2022-01-06,HU,Szeged,wind-speed,24,3.0,7.0,5.0,18.53
2022-01-07,HU,Szeged,humidity,23,52.1,89.2,73.1,1284.2
2022-01-07,HU,Szeged,pm10,24,7.0,21.0,13.0,131.01
2022-01-07,HU,Szeged,wind-speed,23,1.0,5.0,2.0,15.41
2022-01-08,HU,Szeged,humidity,23,80.0,100.0,97.8,555.4
2022-01-08,HU,Szeged,pm10,24,14.0,40.0,19.0,393.04
2022-01-08,HU,Szeged,precipitation,2,0.5,99.8,0.5,49302.4
2022-01-08,HU,Szeged,wind-speed,23,1.0,3.0,2.0,1.74
2022-01-09,HU,Szeged,precipitation,2,0.1,0.1,0.1,0.0
2022-01-09,HU,Szeged,wind-speed,24,1.0,3.0,2.0,6.09
2022-01-09,HU,Szeged,humidity,24,90.9,100.0,94.3,102.18
2022-01-09,HU,Szeged,pm10,24,14.0,39.0,28.0,939.71
2022-01-10,HU,Szeged,wind-speed,21,3.0,6.0,5.0,8.9
2022-01-10,HU,Szeged,humidity,21,78.8,94.9,83.2,378.07
2022-01-10,HU,Szeged,pm10,24,13.0,36.0,22.0,540.85
2022-01-11,HU,Szeged,humidity,24,71.8,92.2,81.9,283.06
2022-01-11,HU,Szeged,pm10,11,2.0,25.0,14.0,326.18
2022-01-11,HU,Szeged,pm25,2,5.0,68.0,5.0,19845.0
2022-01-11,HU,Szeged,wind-speed,24,6.0,10.0,7.0,7.81
2022-01-12,HU,Szeged,humidity,24,67.1,96.9,72.2,975.14
2022-01-12,HU,Szeged,pm10,24,2.0,54.0,15.0,1614.62
2022-01-12,HU,Szeged,pm25,23,34.0,132.0,61.0,4206.13
2022-01-12,HU,Szeged,wind-speed,24,1.0,8.0,6.0,64.93
2022-01-13,HU,Szeged,humidity,22,71.2,96.2,92.4,499.32
2022-01-13,HU,Szeged,pm10,24,40.0,59.0,50.0,318.68
2022-01-13,HU,Szeged,pm25,22,104.0,153.0,124.0,2117.51
2022-01-13,HU,Szeged,wind-speed,21,1.0,4.0,2.0,11.14
2022-01-14,HU,Szeged,pm25,23,46.0,112.0,80.0,3448.77
2022-01-14,HU,Szeged,wind-speed,22,1.0,7.0,3.0,21.32
2022-01-14,HU,Szeged,pm10,24,17.0,48.0,29.0,803.19
2022-01-14,HU,Szeged,humidity,22,64.3,87.4,76.3,527.75
