Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,MY,Taiping,humidity,47,69.5,100.0,88.0,788.46
2022-01-01,MY,Taiping,wind-speed,37,0.5,6.4,1.5,18.1
2022-01-02,MY,Taiping,humidity,48,66.0,100.0,94.0,769.34
2022-01-02,MY,Taiping,wind-speed,39,0.5,3.6,2.0,6.61
2022-01-03,MY,Taiping,humidity,48,66.0,100.0,94.0,1045.32
2022-01-03,MY,Taiping,wind-speed,37,0.5,4.8,2.0,9.85
2022-01-04,MY,Taiping,humidity,48,52.0,94.0,79.0,1648.92
2022-01-04,MY,Taiping,wind-speed,41,0.5,3.8,1.5,7.74
2022-01-05,MY,Taiping,wind-speed,39,0.5,4.1,1.5,10.33
2022-01-05,MY,Taiping,humidity,48,58.0,94.0,83.0,1148.29
2022-01-06,MY,Taiping,humidity,48,52.0,100.0,88.0,2042.39
2022-01-06,MY,Taiping,wind-speed,34,0.5,6.1,1.5,12.98
2022-01-07,MY,Taiping,humidity,48,52.0,100.0,88.0,1711.06
2022-01-07,MY,Taiping,wind-speed,45,0.5,4.6,1.5,9.3
2022-01-08,MY,Taiping,humidity,48,55.0,100.0,88.0,1637.66
2022-01-08,MY,Taiping,wind-speed,34,0.5,3.6,1.5,7.0
2022-01-09,MY,Taiping,wind-speed,37,0.5,3.6,1.5,6.1
2022-01-09,MY,Taiping,humidity,48,55.0,100.0,83.0,1748.78
2022-01-10,MY,Taiping,wind-speed,42,0.5,3.6,1.5,6.75
2022-01-10,MY,Taiping,humidity,47,52.0,94.0,78.0,1585.62
2022-01-11,MY,Taiping,humidity,46,49.0,94.0,78.0,1490.85
2022-01-11,MY,Taiping,wind-speed,36,0.5,3.6,1.5,6.09
2022-01-12,MY,Taiping,humidity,48,49.0,94.0,78.0,1859.5
2022-01-12,MY,Taiping,wind-speed,42,0.5,4.1,1.5,5.15
2022-01-13,MY,Taiping,humidity,48,38.0,94.0,69.0,2206.6
2022-01-13,MY,Taiping,wind-speed,41,0.5,5.1,2.0,17.17
2022-01-14,MY,Taiping,humidity,48,40.0,94.0,66.0,2351.27
2022-01-14,MY,Taiping,wind-speed,41,0.5,4.6,1.5,9.53
2022-01-15,MY,Taiping,wind-speed,39,0.5,4.6,2.0,14.06
2022-01-15,MY,Taiping,humidity,46,43.0,88.0,66.0,1604.16
2022-01-16,MY,Taiping,humidity,46,46.0,94.0,78.0,1935.98
2022-01-16,MY,Taiping,wind-speed,38,0.5,5.1,1.5,11.73
2022-01-17,MY,Taiping,humidity,48,46.0,94.0,83.0,1977.02
2022-01-17,MY,Taiping,wind-speed,41,0.5,6.6,2.0,15.66
2022-01-18,MY,Taiping,humidity,48,49.0,100.0,74.0,1655.67
2022-01-18,MY,Taiping,wind-speed,42,1.0,3.6,2.0,6.42
2022-01-19,MY,Taiping,humidity,48,52.0,94.0,83.0,1820.6
2022-01-19,MY,Taiping,wind-speed,42,0.5,5.1,1.5,13.63
2022-01-20,MY,Taiping,wind-speed,37,0.5,3.6,1.5,7.78
2022-01-20,MY,Taiping,humidity,48,49.0,94.0,83.0,2038.71
2022-01-21,MY,Taiping,humidity,48,52.0,94.0,83.0,1455.96
2022-01-21,MY,Taiping,wind-speed,34,0.5,4.6,1.5,10.3
2022-01-22,MY,Taiping,humidity,28,69.0,94.0,83.0,554.97
2022-01-22,MY,Taiping,wind-speed,22,0.5,2.5,1.0,3.85
2022-01-23,MY,Taiping,humidity,32,62.0,94.0,79.0,655.48
2022-01-23,MY,Taiping,wind-speed,23,0.5,3.0,1.0,5.55
2022-01-24,MY,Taiping,humidity,48,59.0,100.0,88.0,1174.22
2022-01-24,MY,Taiping,wind-speed,32,0.5,5.1,1.5,11.69
2022-01-25,MY,Taiping,wind-speed,34,0.5,5.6,1.0,8.52
2022-01-25,MY,Taiping,humidity,48,55.0,100.0,88.0,1077.41
2022-01-26,MY,Taiping,humidity,48,58.0,100.0,88.0,1408.07
2022-01-26,MY,Taiping,wind-speed,34,0.5,4.1,1.0,4.59
2022-01-27,MY,Taiping,humidity,48,59.0,94.0,83.0,1176.74
2022-01-27,MY,Taiping,wind-speed,34,0.5,7.2,1.5,15.52
2022-01-28,MY,Taiping,humidity,48,52.0,94.0,79.0,1836.34
2022-01-28,MY,Taiping,wind-speed,40,0.5,3.6,1.5,7.19
2022-01-29,MY,Taiping,humidity,48,49.0,94.0,79.0,1586.13
2022-01-29,MY,Taiping,wind-speed,42,0.5,4.6,1.5,12.03
2022-01-30,MY,Taiping,wind-speed,38,0.5,4.6,1.5,14.53
2022-01-30,MY,Taiping,humidity,48,39.0,94.0,83.0,2577.44
2022-01-31,MY,Taiping,humidity,48,56.0,94.0,83.0,1560.6
2022-01-31,MY,Taiping,wind-speed,36,0.5,5.1,1.5,9.86
2022-02-01,MY,Taiping,humidity,48,49.0,100.0,83.0,1915.3
2022-02-01,MY,Taiping,wind-speed,39,0.5,4.1,1.5,9.67
2022-02-02,MY,Taiping,humidity,46,59.0,100.0,83.0,1891.21
2022-02-02,MY,Taiping,wind-speed,38,0.5,3.0,1.5,5.51
2022-02-03,MY,Taiping,humidity,46,55.5,94.0,83.0,1354.31
2022-02-03,MY,Taiping,wind-speed,38,0.5,5.1,1.2,14.86
2022-02-04,MY,Taiping,wind-speed,35,0.5,5.4,1.5,13.17
2022-02-04,MY,Taiping,humidity,47,46.0,94.0,88.0,1934.73
2022-02-05,MY,Taiping,humidity,48,52.0,100.0,88.0,1928.65
2022-02-05,MY,Taiping,wind-speed,41,0.2,4.1,1.5,7.2
2022-02-06,MY,Taiping,humidity,48,62.0,100.0,83.0,1377.94
2022-02-06,MY,Taiping,wind-speed,37,0.5,2.5,1.5,5.09
2022-02-07,MY,Taiping,humidity,48,59.0,94.0,88.0,1211.06
2022-02-07,MY,Taiping,wind-speed,41,0.5,5.1,1.5,10.08
2022-02-08,MY,Taiping,humidity,48,66.0,94.0,88.0,907.65
2022-02-08,MY,Taiping,wind-speed,39,0.5,4.1,1.5,4.67
2022-02-09,MY,Taiping,humidity,48,66.0,94.0,83.0,833.33
2022-02-09,MY,Taiping,wind-speed,32,0.5,2.5,1.0,3.36
2022-02-10,MY,Taiping,wind-speed,32,0.5,2.5,1.5,5.16
2022-02-10,MY,Taiping,humidity,48,74.0,94.0,88.0,436.44
2022-02-11,MY,Taiping,humidity,48,74.0,94.0,88.0,333.6
2022-02-11,MY,Taiping,wind-speed,28,0.5,2.0,1.5,2.23
2022-02-12,MY,Taiping,humidity,48,49.0,100.0,83.0,1805.51
2022-02-12,MY,Taiping,wind-speed,41,0.5,4.1,1.0,10.48
2022-02-13,MY,Taiping,humidity,48,58.0,94.0,78.0,1402.34
2022-02-13,MY,Taiping,wind-speed,40,0.5,3.6,1.5,6.3
2022-02-14,MY,Taiping,humidity,48,59.0,94.0,88.0,1119.64
2022-02-14,MY,Taiping,wind-speed,45,0.5,4.6,1.5,9.39
2022-02-15,MY,Taiping,wind-speed,45,0.5,3.6,2.0,5.66
2022-02-15,MY,Taiping,humidity,48,55.0,94.0,83.0,1541.97
2022-02-16,MY,Taiping,humidity,48,55.0,94.0,78.0,1656.86
2022-02-16,MY,Taiping,wind-speed,45,0.5,4.6,2.0,8.22
2022-02-17,MY,Taiping,humidity,48,49.0,88.0,83.0,1294.68
2022-02-17,MY,Taiping,wind-speed,45,0.5,2.5,1.0,2.45
2022-02-18,MY,Taiping,humidity,48,46.0,94.0,70.0,1962.7
2022-02-18,MY,Taiping,wind-speed,35,0.5,5.1,2.0,13.54
2022-02-19,MY,Taiping,humidity,48,46.0,94.0,74.0,1662.13
2022-02-19,MY,Taiping,wind-speed,42,0.5,4.8,1.5,11.45
2022-02-20,MY,Taiping,wind-speed,39,0.5,5.1,1.5,17.25
2022-02-20,MY,Taiping,humidity,48,52.0,100.0,83.0,1570.95
2022-02-21,MY,Taiping,humidity,48,49.0,94.0,83.0,1805.1
2022-02-21,MY,Taiping,wind-speed,44,0.5,4.6,1.5,8.34
2022-02-22,MY,Taiping,humidity,48,59.0,94.0,83.0,1082.11
2022-02-22,MY,Taiping,wind-speed,39,0.5,3.6,1.5,7.6
2022-02-23,MY,Taiping,humidity,48,49.0,94.0,88.0,1714.68
2022-02-23,MY,Taiping,wind-speed,43,0.5,5.1,1.5,13.42
2022-02-24,MY,Taiping,humidity,48,74.0,100.0,88.0,487.64
2022-02-24,MY,Taiping,wind-speed,35,0.5,3.0,1.5,3.44
2022-02-25,MY,Taiping,wind-speed,36,0.5,6.6,1.5,27.4
2022-02-25,MY,Taiping,humidity,48,62.0,100.0,83.0,918.19
2022-02-26,MY,Taiping,humidity,48,66.0,94.0,88.0,833.03
2022-02-26,MY,Taiping,wind-speed,27,1.0,3.6,1.5,4.15
2022-02-27,MY,Taiping,humidity,48,70.0,94.0,88.0,670.78
2022-02-27,MY,Taiping,wind-speed,35,0.5,4.6,1.5,7.98
2022-02-28,MY,Taiping,humidity,48,59.0,94.0,88.0,1467.22
2022-02-28,MY,Taiping,wind-speed,41,0.5,5.1,1.5,9.26
