Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,JP,Takamatsu,humidity,244,42.3,78.8,57.3,536.08
2022-01-01,JP,Takamatsu,pm10,217,1.0,21.0,5.0,102.13
2022-01-01,JP,Takamatsu,pm25,212,5.0,53.0,13.0,761.37
2022-01-01,JP,Takamatsu,precipitation,4,99.0,99.0,99.0,0.0
2022-01-01,JP,Takamatsu,wind-speed,244,0.5,7.2,2.5,26.89
2022-01-02,JP,Takamatsu,humidity,234,41.9,83.9,65.0,2037.04
2022-01-02,JP,Takamatsu,pm10,212,1.0,19.0,6.0,94.84
2022-01-02,JP,Takamatsu,pm25,221,5.0,53.0,17.0,895.51
2022-01-02,JP,Takamatsu,precipitation,19,99.0,99.0,99.0,0.0
2022-01-02,JP,Takamatsu,wind-speed,234,0.5,5.6,2.5,26.89
2022-01-03,JP,Takamatsu,wind-speed,264,0.5,6.6,2.0,21.44
2022-01-03,JP,Takamatsu,precipitation,6,99.0,99.0,99.0,0.0
2022-01-03,JP,Takamatsu,humidity,264,39.1,82.3,57.9,1817.37
2022-01-03,JP,Takamatsu,pm10,247,1.0,25.0,10.0,167.51
2022-01-03,JP,Takamatsu,pm25,257,5.0,63.0,34.0,1275.67
2022-01-04,JP,Takamatsu,humidity,264,40.3,59.2,49.2,229.05
2022-01-04,JP,Takamatsu,pm10,254,1.0,30.0,13.0,368.9
2022-01-04,JP,Takamatsu,pm25,257,5.0,76.0,50.0,2728.66
2022-01-04,JP,Takamatsu,precipitation,6,99.0,99.0,99.0,0.0
2022-01-04,JP,Takamatsu,wind-speed,264,1.0,6.6,3.6,22.04
2022-01-05,JP,Takamatsu,precipitation,7,0.2,99.0,99.0,23241.5
2022-01-05,JP,Takamatsu,pm25,236,5.0,61.0,21.0,1748.58
2022-01-05,JP,Takamatsu,wind-speed,253,1.0,4.1,2.0,5.62
2022-01-05,JP,Takamatsu,humidity,253,45.9,91.0,62.1,991.57
2022-01-05,JP,Takamatsu,pm10,238,1.0,30.0,6.0,217.43
2022-01-06,JP,Takamatsu,humidity,264,51.1,93.1,71.3,869.62
2022-01-06,JP,Takamatsu,pm10,221,1.0,20.0,7.0,132.7
2022-01-06,JP,Takamatsu,pm25,226,5.0,53.0,21.0,1305.02
2022-01-06,JP,Takamatsu,precipitation,35,99.0,99.0,99.0,0.0
2022-01-06,JP,Takamatsu,wind-speed,264,0.5,7.2,2.0,10.54
2022-01-07,JP,Takamatsu,humidity,264,40.0,93.1,63.9,1609.45
2022-01-07,JP,Takamatsu,pm10,239,1.0,17.0,8.0,91.7
2022-01-07,JP,Takamatsu,pm25,256,5.0,61.0,25.0,1196.46
2022-01-07,JP,Takamatsu,precipitation,11,99.0,99.0,99.0,0.0
2022-01-07,JP,Takamatsu,wind-speed,264,0.5,7.7,2.5,13.28
2022-01-08,JP,Takamatsu,wind-speed,244,0.5,4.1,1.5,4.1
2022-01-08,JP,Takamatsu,pm25,262,5.0,104.0,30.0,2408.1
2022-01-08,JP,Takamatsu,humidity,244,51.1,87.0,73.3,1129.92
2022-01-08,JP,Takamatsu,pm10,249,1.0,38.0,10.0,333.04
2022-01-09,JP,Takamatsu,humidity,251,50.1,87.2,70.1,1424.02
2022-01-09,JP,Takamatsu,pm10,259,1.0,31.0,14.0,352.17
2022-01-09,JP,Takamatsu,pm25,264,9.0,109.0,50.0,2475.46
2022-01-09,JP,Takamatsu,wind-speed,251,0.5,6.1,1.0,5.33
2022-01-10,JP,Takamatsu,humidity,258,42.0,87.9,68.3,1760.01
2022-01-10,JP,Takamatsu,pm10,260,1.0,31.0,15.0,353.3
2022-01-10,JP,Takamatsu,pm25,263,9.0,89.0,53.0,1718.62
2022-01-10,JP,Takamatsu,wind-speed,258,0.5,4.6,1.5,9.55
2022-01-11,JP,Takamatsu,wind-speed,258,0.5,9.2,4.1,52.07
2022-01-11,JP,Takamatsu,pm25,258,5.0,104.0,34.0,2882.87
2022-01-11,JP,Takamatsu,precipitation,33,0.1,99.0,0.3,18466.7
2022-01-11,JP,Takamatsu,humidity,258,59.0,100.0,77.3,1004.2
2022-01-11,JP,Takamatsu,pm10,249,1.0,37.0,10.0,391.27
2022-01-12,JP,Takamatsu,humidity,255,42.0,85.2,57.0,995.94
2022-01-12,JP,Takamatsu,pm10,224,1.0,21.0,6.0,80.65
2022-01-12,JP,Takamatsu,pm25,244,5.0,46.0,21.0,675.83
2022-01-12,JP,Takamatsu,precipitation,27,99.0,99.0,99.0,0.0
2022-01-12,JP,Takamatsu,wind-speed,255,3.0,9.7,5.1,15.91
2022-01-13,JP,Takamatsu,wind-speed,264,2.0,11.3,6.1,37.41
2022-01-13,JP,Takamatsu,pm25,254,5.0,85.0,34.0,4252.24
2022-01-13,JP,Takamatsu,precipitation,32,99.0,99.0,99.0,0.0
2022-01-13,JP,Takamatsu,humidity,264,41.3,70.2,54.2,311.23
2022-01-13,JP,Takamatsu,pm10,241,1.0,26.0,10.0,391.92
2022-01-14,JP,Takamatsu,humidity,245,41.0,76.0,58.1,424.9
2022-01-14,JP,Takamatsu,pm10,226,1.0,20.0,7.0,94.67
2022-01-14,JP,Takamatsu,pm25,259,5.0,57.0,21.0,997.61
2022-01-14,JP,Takamatsu,precipitation,10,99.0,99.0,99.0,0.0
