Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,FI,Tampere,humidity,96,82.0,96.0,88.5,159.63
2022-01-01,FI,Tampere,pm10,35,2.0,17.0,4.0,194.92
2022-01-01,FI,Tampere,pm25,79,8.0,62.0,16.0,1352.16
2022-01-01,FI,Tampere,wind-speed,96,0.7,4.3,2.8,11.49
2022-01-02,FI,Tampere,humidity,96,87.5,96.0,92.0,39.51
2022-01-02,FI,Tampere,pm10,48,2.0,12.0,3.0,42.06
2022-01-02,FI,Tampere,pm25,82,1.0,51.0,9.0,760.85
2022-01-02,FI,Tampere,wind-speed,96,0.7,5.6,4.6,27.67
2022-01-03,FI,Tampere,wind-speed,96,2.8,4.3,3.6,2.07
2022-01-03,FI,Tampere,pm25,96,1.0,55.0,12.0,802.09
2022-01-03,FI,Tampere,humidity,96,92.0,100.0,92.0,60.35
2022-01-03,FI,Tampere,pm10,48,2.0,14.0,3.0,66.31
2022-01-04,FI,Tampere,humidity,96,88.5,100.0,92.0,66.38
2022-01-04,FI,Tampere,pm10,48,2.0,12.0,5.0,31.48
2022-01-04,FI,Tampere,pm25,96,5.0,35.0,14.0,368.76
2022-01-04,FI,Tampere,wind-speed,96,2.0,5.9,4.1,14.92
2022-01-05,FI,Tampere,wind-speed,96,0.7,4.6,2.5,13.47
2022-01-05,FI,Tampere,humidity,96,92.0,100.0,96.0,116.77
2022-01-05,FI,Tampere,pm10,48,3.0,14.0,5.0,51.63
2022-01-05,FI,Tampere,pm25,96,6.0,54.0,13.0,684.35
2022-01-06,FI,Tampere,wind-speed,96,2.3,5.9,3.8,10.55
2022-01-06,FI,Tampere,pm25,96,5.0,35.0,11.0,239.56
2022-01-06,FI,Tampere,humidity,96,79.0,92.0,85.0,156.7
2022-01-06,FI,Tampere,pm10,48,2.0,9.0,3.0,20.83
2022-01-07,FI,Tampere,humidity,96,81.5,92.0,85.0,72.0
2022-01-07,FI,Tampere,pm10,48,2.0,8.0,4.0,16.88
2022-01-07,FI,Tampere,pm25,96,6.0,25.0,13.0,146.88
2022-01-07,FI,Tampere,wind-speed,96,1.5,4.3,2.5,8.24
2022-01-08,FI,Tampere,humidity,96,85.0,100.0,92.0,144.14
2022-01-08,FI,Tampere,pm10,48,3.0,14.0,5.0,46.27
2022-01-08,FI,Tampere,pm25,96,6.0,45.0,13.0,482.42
2022-01-08,FI,Tampere,wind-speed,96,0.7,4.3,1.5,14.57
2022-01-09,FI,Tampere,pm10,48,4.0,14.0,6.0,62.12
2022-01-09,FI,Tampere,wind-speed,96,1.2,3.0,2.0,2.44
2022-01-09,FI,Tampere,humidity,96,85.0,92.0,92.0,97.79
2022-01-09,FI,Tampere,pm25,96,9.0,55.0,25.0,1051.86
2022-01-10,FI,Tampere,humidity,96,79.5,92.0,84.0,132.84
2022-01-10,FI,Tampere,pm10,48,7.0,27.0,9.0,203.51
2022-01-10,FI,Tampere,pm25,96,23.0,86.0,33.0,1589.05
2022-01-10,FI,Tampere,wind-speed,96,0.5,3.0,0.7,4.49
2022-01-11,FI,Tampere,pm25,96,7.0,72.0,27.0,3502.8
2022-01-11,FI,Tampere,humidity,96,76.0,92.0,88.5,221.12
2022-01-11,FI,Tampere,pm10,48,4.0,31.0,11.0,711.7
2022-01-11,FI,Tampere,wind-speed,92,0.5,4.6,3.8,23.98
2022-01-12,FI,Tampere,wind-speed,96,4.6,8.2,5.6,14.83
2022-01-12,FI,Tampere,pm25,92,1.0,36.0,13.0,533.61
2022-01-12,FI,Tampere,humidity,96,89.0,100.0,92.0,106.95
2022-01-12,FI,Tampere,pm10,58,1.0,8.0,5.0,14.32
2022-01-13,FI,Tampere,humidity,96,80.0,100.0,86.0,463.47
2022-01-13,FI,Tampere,pm10,72,1.0,5.0,2.0,6.81
2022-01-13,FI,Tampere,pm25,79,1.0,14.0,5.0,65.88
2022-01-13,FI,Tampere,wind-speed,96,4.3,8.7,7.2,12.18
2022-01-14,FI,Tampere,wind-speed,96,4.3,7.7,6.4,7.96
2022-01-14,FI,Tampere,humidity,96,61.5,86.0,74.0,263.26
2022-01-14,FI,Tampere,pm10,72,1.0,7.0,3.0,23.61
2022-01-14,FI,Tampere,pm25,92,1.0,20.0,8.0,247.71
2022-01-15,FI,Tampere,wind-speed,96,2.5,5.9,3.8,9.12
2022-01-15,FI,Tampere,pm25,96,3.0,23.0,9.0,275.52
2022-01-15,FI,Tampere,humidity,96,59.0,100.0,68.0,1238.31
2022-01-15,FI,Tampere,pm10,72,1.0,6.0,3.0,26.2
2022-01-16,FI,Tampere,wind-speed,96,3.3,7.9,4.8,16.17
2022-01-16,FI,Tampere,humidity,96,86.0,100.0,92.0,121.82
2022-01-16,FI,Tampere,pm10,72,1.0,6.0,3.0,12.95
2022-01-16,FI,Tampere,pm25,84,1.0,21.0,8.0,199.6
2022-01-17,FI,Tampere,pm25,91,3.0,28.0,7.0,395.79
2022-01-17,FI,Tampere,wind-speed,96,1.2,6.6,4.6,13.91
2022-01-17,FI,Tampere,humidity,96,63.0,96.0,73.0,1238.74
2022-01-17,FI,Tampere,pm10,72,1.0,5.0,2.0,5.6
2022-01-18,FI,Tampere,wind-speed,96,1.2,7.2,3.0,30.69
2022-01-18,FI,Tampere,pm25,94,3.0,31.0,10.0,208.09
2022-01-18,FI,Tampere,humidity,96,73.0,92.0,85.0,244.42
2022-01-18,FI,Tampere,pm10,72,2.0,10.0,3.0,27.32
2022-01-19,FI,Tampere,humidity,4,86.0,86.0,86.0,0.0
2022-01-19,FI,Tampere,pm10,3,3.0,4.0,3.0,3.33
2022-01-19,FI,Tampere,pm25,4,9.0,11.0,9.0,9.17
