Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,GE,Tbilisi,humidity,96,53.0,75.0,62.5,367.14
2022-01-01,GE,Tbilisi,pm10,96,39.0,108.0,53.0,5093.34
2022-01-01,GE,Tbilisi,pm25,96,84.0,174.0,110.0,9905.75
2022-01-01,GE,Tbilisi,wind-speed,96,1.5,9.7,6.6,48.31
2022-01-02,GE,Tbilisi,humidity,96,59.0,77.5,72.5,268.83
2022-01-02,GE,Tbilisi,pm10,88,14.0,70.0,26.0,1806.14
2022-01-02,GE,Tbilisi,pm25,88,43.0,158.0,63.0,8634.02
2022-01-02,GE,Tbilisi,wind-speed,96,2.0,12.0,7.7,92.8
2022-01-03,GE,Tbilisi,wind-speed,96,7.2,16.7,11.8,58.04
2022-01-03,GE,Tbilisi,pm25,72,19.0,50.0,30.0,530.58
2022-01-03,GE,Tbilisi,humidity,96,38.0,67.5,60.0,863.72
2022-01-03,GE,Tbilisi,pm10,72,12.0,32.0,25.0,317.18
2022-01-04,GE,Tbilisi,humidity,96,50.0,83.0,70.0,728.94
2022-01-04,GE,Tbilisi,pm10,89,11.0,30.0,21.0,274.08
2022-01-04,GE,Tbilisi,pm25,89,20.0,49.0,32.0,508.87
2022-01-04,GE,Tbilisi,wind-speed,96,3.8,10.8,8.2,38.84
2022-01-05,GE,Tbilisi,wind-speed,96,3.3,13.3,7.9,65.0
2022-01-05,GE,Tbilisi,humidity,96,46.0,77.5,66.5,1170.84
2022-01-05,GE,Tbilisi,pm10,96,7.0,24.0,17.0,205.71
2022-01-05,GE,Tbilisi,pm25,96,16.0,54.0,35.0,1066.17
2022-01-06,GE,Tbilisi,wind-speed,96,3.0,6.1,4.6,5.26
2022-01-06,GE,Tbilisi,pm25,96,26.0,100.0,56.0,2071.68
2022-01-06,GE,Tbilisi,humidity,96,37.0,83.0,64.0,2509.74
2022-01-06,GE,Tbilisi,pm10,96,10.0,64.0,25.0,1171.12
2022-01-07,GE,Tbilisi,humidity,96,29.0,69.0,43.0,1670.73
2022-01-07,GE,Tbilisi,pm10,96,19.0,67.0,31.0,2423.75
2022-01-07,GE,Tbilisi,pm25,96,54.0,114.0,65.0,3827.98
2022-01-07,GE,Tbilisi,wind-speed,96,4.1,12.0,9.2,32.65
2022-01-08,GE,Tbilisi,humidity,96,36.5,61.0,45.0,413.58
2022-01-08,GE,Tbilisi,pm10,96,17.0,37.0,26.0,234.84
2022-01-08,GE,Tbilisi,pm25,96,51.0,81.0,58.0,331.97
2022-01-08,GE,Tbilisi,wind-speed,96,2.8,10.2,7.7,47.4
2022-01-09,GE,Tbilisi,pm10,96,21.0,79.0,38.0,2167.31
2022-01-09,GE,Tbilisi,wind-speed,80,0.5,3.6,1.2,6.35
2022-01-09,GE,Tbilisi,humidity,96,65.0,92.0,81.0,399.98
2022-01-09,GE,Tbilisi,pm25,96,59.0,162.0,82.0,9272.52
2022-01-10,GE,Tbilisi,humidity,96,67.5,93.0,89.0,694.17
2022-01-10,GE,Tbilisi,pm10,96,38.0,98.0,49.0,3344.7
2022-01-10,GE,Tbilisi,pm25,96,80.0,176.0,102.0,10288.2
2022-01-10,GE,Tbilisi,wind-speed,92,0.5,4.3,1.5,8.35
2022-01-11,GE,Tbilisi,pm25,96,74.0,179.0,124.0,10174.3
2022-01-11,GE,Tbilisi,humidity,96,55.0,93.0,77.5,1456.82
2022-01-11,GE,Tbilisi,pm10,96,28.0,100.0,54.0,3215.09
2022-01-11,GE,Tbilisi,wind-speed,96,2.3,6.6,4.3,11.07
2022-01-12,GE,Tbilisi,wind-speed,96,0.7,4.6,2.8,15.9
2022-01-12,GE,Tbilisi,pm25,96,74.0,159.0,111.0,8920.75
2022-01-12,GE,Tbilisi,humidity,96,50.0,83.0,71.5,1309.64
2022-01-12,GE,Tbilisi,pm10,96,28.0,85.0,55.0,2765.07
2022-01-13,GE,Tbilisi,humidity,96,54.0,87.0,61.0,1303.12
2022-01-13,GE,Tbilisi,pm10,96,20.0,90.0,55.0,3268.95
2022-01-13,GE,Tbilisi,pm25,96,57.0,164.0,114.0,9612.52
2022-01-13,GE,Tbilisi,wind-speed,96,1.5,19.0,13.1,321.34
2022-01-14,GE,Tbilisi,wind-speed,96,8.7,19.0,12.8,79.44
2022-01-14,GE,Tbilisi,humidity,96,44.0,68.0,54.0,316.42
2022-01-14,GE,Tbilisi,pm10,96,7.0,35.0,15.0,300.52
2022-01-14,GE,Tbilisi,pm25,96,11.0,85.0,28.0,2278.5
2022-01-15,GE,Tbilisi,wind-speed,92,5.9,16.2,9.2,93.71
2022-01-15,GE,Tbilisi,pm25,96,16.0,42.0,31.0,424.77
2022-01-15,GE,Tbilisi,humidity,92,49.5,74.0,61.5,490.9
2022-01-15,GE,Tbilisi,pm10,96,9.0,28.0,15.0,243.68
2022-01-16,GE,Tbilisi,pm25,96,16.0,39.0,29.0,623.0
2022-01-16,GE,Tbilisi,humidity,96,46.0,86.0,71.5,1494.46
2022-01-16,GE,Tbilisi,pm10,96,8.0,29.0,16.0,373.26
2022-01-16,GE,Tbilisi,wind-speed,96,3.6,12.6,7.7,47.12
2022-01-17,GE,Tbilisi,wind-speed,96,2.5,9.0,5.4,38.97
2022-01-17,GE,Tbilisi,pm25,96,20.0,70.0,37.0,1944.21
2022-01-17,GE,Tbilisi,pm10,96,8.0,30.0,15.0,430.1
2022-01-17,GE,Tbilisi,humidity,96,43.5,86.0,65.5,1785.26
2022-01-18,GE,Tbilisi,humidity,96,35.5,85.0,58.0,3085.19
2022-01-18,GE,Tbilisi,pm10,96,12.0,48.0,25.0,823.53
2022-01-18,GE,Tbilisi,pm25,96,34.0,97.0,54.0,2485.11
2022-01-18,GE,Tbilisi,wind-speed,96,2.5,7.4,4.8,20.05
2022-01-19,GE,Tbilisi,pm25,96,56.0,103.0,71.0,1626.68
2022-01-19,GE,Tbilisi,wind-speed,96,3.6,11.8,9.0,49.91
2022-01-19,GE,Tbilisi,humidity,96,52.5,65.5,59.0,117.43
2022-01-19,GE,Tbilisi,pm10,96,19.0,50.0,32.0,746.89
2022-01-20,GE,Tbilisi,humidity,96,37.0,68.0,61.5,1046.52
2022-01-20,GE,Tbilisi,pm10,96,12.0,29.0,18.0,202.88
2022-01-20,GE,Tbilisi,pm25,96,23.0,70.0,47.0,1675.34
2022-01-20,GE,Tbilisi,wind-speed,96,2.5,14.1,9.0,77.09
2022-01-21,GE,Tbilisi,wind-speed,96,1.0,9.7,6.9,55.46
2022-01-21,GE,Tbilisi,humidity,96,44.0,76.5,63.0,930.09
2022-01-21,GE,Tbilisi,pm10,96,10.0,39.0,15.0,430.94
2022-01-21,GE,Tbilisi,pm25,96,22.0,89.0,34.0,3083.15
2022-01-22,GE,Tbilisi,pm25,96,4.0,82.0,70.0,5747.36
2022-01-22,GE,Tbilisi,wind-speed,96,1.5,7.4,4.1,24.64
2022-01-22,GE,Tbilisi,humidity,96,27.0,79.0,63.5,2857.67
