Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,CA,Toronto,humidity,144,74.0,100.0,93.0,396.35
2022-01-01,CA,Toronto,pm25,137,5.0,72.0,34.0,3183.13
2022-01-01,CA,Toronto,wind-speed,131,0.1,8.7,3.0,35.55
2022-01-02,CA,Toronto,humidity,142,62.5,93.0,81.3,487.35
2022-01-02,CA,Toronto,pm25,62,5.0,25.0,5.0,219.99
2022-01-02,CA,Toronto,wind-speed,142,0.9,9.0,3.5,29.66
2022-01-03,CA,Toronto,humidity,144,43.8,89.8,74.0,1119.63
2022-01-03,CA,Toronto,pm25,112,5.0,50.0,13.0,1458.42
2022-01-03,CA,Toronto,wind-speed,119,0.1,4.1,1.5,6.75
2022-01-04,CA,Toronto,humidity,144,51.0,93.5,78.0,793.41
2022-01-04,CA,Toronto,pm25,143,13.0,72.0,42.0,2394.42
2022-01-04,CA,Toronto,wind-speed,125,0.1,6.4,3.0,22.93
2022-01-05,CA,Toronto,humidity,143,60.0,92.1,77.5,653.12
2022-01-05,CA,Toronto,pm25,131,9.0,78.0,30.0,3482.32
2022-01-05,CA,Toronto,wind-speed,143,0.1,17.0,5.3,111.43
2022-01-06,CA,Toronto,wind-speed,135,0.1,12.0,3.8,80.31
2022-01-06,CA,Toronto,pm25,135,9.0,68.0,38.0,1525.3
2022-01-06,CA,Toronto,humidity,144,48.0,91.4,76.0,466.73
2022-01-07,CA,Toronto,humidity,143,55.3,91.5,76.1,710.54
2022-01-07,CA,Toronto,pm25,112,5.0,76.0,21.0,3919.18
2022-01-07,CA,Toronto,wind-speed,136,0.1,12.5,3.5,54.48
2022-01-08,CA,Toronto,humidity,143,50.0,88.1,73.0,809.9
2022-01-08,CA,Toronto,pm25,121,5.0,55.0,17.0,680.08
2022-01-08,CA,Toronto,wind-speed,120,0.1,9.5,3.2,46.09
2022-01-09,CA,Toronto,wind-speed,138,0.3,13.3,6.1,84.82
2022-01-09,CA,Toronto,pm25,134,5.0,59.0,21.0,1381.16
2022-01-09,CA,Toronto,humidity,138,49.0,100.0,80.0,1728.2
2022-01-10,CA,Toronto,humidity,141,44.0,88.4,68.0,820.95
2022-01-10,CA,Toronto,pm25,117,5.0,46.0,21.0,1139.86
2022-01-10,CA,Toronto,wind-speed,141,1.4,15.4,7.5,115.96
2022-01-11,CA,Toronto,humidity,138,54.0,88.0,75.0,543.58
2022-01-11,CA,Toronto,pm25,138,9.0,74.0,38.0,2232.7
2022-01-11,CA,Toronto,wind-speed,135,0.1,9.2,3.6,58.56
2022-01-12,CA,Toronto,wind-speed,133,0.1,9.2,4.6,59.66
2022-01-12,CA,Toronto,humidity,143,55.0,97.0,74.0,846.76
2022-01-12,CA,Toronto,pm25,135,13.0,72.0,50.0,2795.95
2022-01-13,CA,Toronto,humidity,137,64.0,107.0,86.0,576.4
2022-01-13,CA,Toronto,pm25,142,5.0,89.0,50.0,4216.02
2022-01-13,CA,Toronto,wind-speed,84,0.1,7.7,1.0,18.67
2022-01-14,CA,Toronto,humidity,141,45.0,84.5,68.8,1228.09
2022-01-14,CA,Toronto,pm25,123,5.0,34.0,13.0,414.38
2022-01-14,CA,Toronto,wind-speed,140,0.3,9.2,5.0,42.52
2022-01-15,CA,Toronto,humidity,141,29.0,85.0,59.1,2033.36
2022-01-15,CA,Toronto,pm25,129,9.0,72.0,25.0,1503.58
2022-01-15,CA,Toronto,wind-speed,126,0.1,8.7,3.5,53.02
2022-01-16,CA,Toronto,humidity,140,42.0,95.5,75.0,1283.85
2022-01-16,CA,Toronto,pm25,128,5.0,68.0,25.0,1896.64
2022-01-16,CA,Toronto,wind-speed,120,0.1,12.5,2.0,54.96
2022-01-17,CA,Toronto,wind-speed,137,1.0,15.4,6.4,118.09
2022-01-17,CA,Toronto,pm25,130,5.0,30.0,13.0,341.25
2022-01-17,CA,Toronto,humidity,143,68.0,100.0,90.3,627.34
2022-01-18,CA,Toronto,humidity,143,52.0,100.0,79.3,890.95
