Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,JP,Toyama,humidity,164,73.0,97.1,87.0,303.67
2022-01-01,JP,Toyama,pm10,119,1.0,19.0,4.0,125.45
2022-01-01,JP,Toyama,pm25,121,5.0,42.0,13.0,643.84
2022-01-01,JP,Toyama,precipitation,24,0.1,99.5,0.5,22807.6
2022-01-01,JP,Toyama,wind-speed,149,0.5,3.6,2.0,5.86
2022-01-02,JP,Toyama,humidity,162,52.1,99.3,75.6,1736.36
2022-01-02,JP,Toyama,pm10,116,1.0,16.0,4.0,123.64
2022-01-02,JP,Toyama,pm25,127,5.0,65.0,13.0,1164.95
2022-01-02,JP,Toyama,precipitation,8,0.8,99.0,0.8,20664.1
2022-01-02,JP,Toyama,wind-speed,161,0.3,6.1,3.0,17.93
2022-01-03,JP,Toyama,wind-speed,160,0.1,4.1,2.0,8.59
2022-01-03,JP,Toyama,precipitation,20,0.1,99.5,0.4,25844.6
2022-01-03,JP,Toyama,pm25,166,5.0,61.0,30.0,1773.79
2022-01-03,JP,Toyama,pm10,151,1.0,20.0,7.0,146.71
2022-01-03,JP,Toyama,humidity,168,59.3,97.2,89.1,1031.64
2022-01-04,JP,Toyama,humidity,168,76.3,95.2,86.8,148.38
2022-01-04,JP,Toyama,pm10,131,1.0,18.0,7.0,129.91
2022-01-04,JP,Toyama,pm25,147,5.0,57.0,25.0,1698.5
2022-01-04,JP,Toyama,precipitation,24,0.1,99.5,0.3,7835.7
2022-01-04,JP,Toyama,wind-speed,166,0.2,4.6,2.0,14.61
2022-01-05,JP,Toyama,humidity,168,58.9,96.4,86.0,914.7
2022-01-05,JP,Toyama,pm10,143,1.0,21.0,5.0,168.53
2022-01-05,JP,Toyama,pm25,156,5.0,59.0,21.0,1217.72
2022-01-05,JP,Toyama,precipitation,16,99.0,99.5,99.0,0.29
2022-01-05,JP,Toyama,wind-speed,156,0.1,5.1,2.0,5.19
2022-01-06,JP,Toyama,wind-speed,156,0.1,4.1,2.0,7.18
2022-01-06,JP,Toyama,pm25,149,5.0,109.0,25.0,2447.59
2022-01-06,JP,Toyama,humidity,168,52.1,90.4,74.9,1296.73
2022-01-06,JP,Toyama,pm10,140,1.0,24.0,5.0,248.19
2022-01-07,JP,Toyama,humidity,168,63.1,97.9,85.9,762.78
