Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Tucson,humidity,144,28.8,97.5,71.9,4126.33
2022-01-01,US,Tucson,pm10,111,1.0,36.0,6.0,554.28
2022-01-01,US,Tucson,pm25,151,5.0,152.0,17.0,5186.11
2022-01-01,US,Tucson,wind-speed,135,0.1,11.5,3.5,79.69
2022-01-02,US,Tucson,humidity,144,22.0,88.0,60.0,3927.32
2022-01-02,US,Tucson,pm10,118,1.0,54.0,8.0,1365.37
2022-01-02,US,Tucson,pm25,144,5.0,107.0,25.0,6018.0
2022-01-02,US,Tucson,wind-speed,105,0.1,5.3,1.2,16.17
2022-01-03,US,Tucson,wind-speed,104,0.1,7.6,0.9,21.69
2022-01-03,US,Tucson,pm25,135,5.0,156.0,25.0,6015.97
2022-01-03,US,Tucson,humidity,142,19.9,88.3,55.7,4253.94
2022-01-03,US,Tucson,pm10,118,2.0,70.0,12.0,2659.38
2022-01-04,US,Tucson,humidity,144,11.9,85.0,53.7,5987.25
2022-01-04,US,Tucson,pm10,118,1.0,51.0,17.0,1689.89
2022-01-04,US,Tucson,pm25,155,5.0,85.0,25.0,2679.7
2022-01-04,US,Tucson,wind-speed,116,0.1,5.5,1.0,13.09
2022-01-05,US,Tucson,wind-speed,104,0.2,5.8,1.3,16.56
2022-01-05,US,Tucson,humidity,144,15.0,80.5,55.1,4123.49
2022-01-05,US,Tucson,pm10,120,3.0,57.0,18.0,1804.42
2022-01-05,US,Tucson,pm25,155,5.0,72.0,25.0,3077.38
2022-01-06,US,Tucson,wind-speed,105,0.1,3.5,1.0,5.12
2022-01-06,US,Tucson,pm25,148,5.0,76.0,30.0,2693.43
2022-01-06,US,Tucson,humidity,144,21.9,83.1,59.0,3798.71
2022-01-06,US,Tucson,pm10,119,4.0,56.0,24.0,1946.29
2022-01-07,US,Tucson,humidity,144,16.8,82.0,52.5,4326.2
2022-01-07,US,Tucson,pm10,115,1.0,63.0,23.0,2887.57
2022-01-07,US,Tucson,pm25,144,5.0,78.0,30.0,3229.3
2022-01-07,US,Tucson,wind-speed,114,0.1,3.7,1.0,8.65
2022-01-08,US,Tucson,humidity,144,24.5,82.1,53.3,2264.44
2022-01-08,US,Tucson,pm10,120,3.0,47.0,15.0,1217.94
2022-01-08,US,Tucson,pm25,160,5.0,82.0,25.0,2795.21
2022-01-08,US,Tucson,wind-speed,113,0.1,6.8,1.9,27.5
2022-01-09,US,Tucson,pm10,120,2.0,50.0,18.0,884.92
2022-01-09,US,Tucson,wind-speed,99,0.1,4.8,0.9,9.09
2022-01-09,US,Tucson,humidity,143,25.8,86.7,57.5,3533.07
2022-01-09,US,Tucson,pm25,162,5.0,70.0,30.0,3088.7
2022-01-10,US,Tucson,humidity,144,23.7,86.0,39.7,3098.46
2022-01-10,US,Tucson,pm10,120,6.0,52.0,17.0,1148.02
2022-01-10,US,Tucson,pm25,144,5.0,59.0,17.0,1569.92
2022-01-10,US,Tucson,wind-speed,126,0.2,15.0,5.3,141.71
2022-01-11,US,Tucson,pm25,150,5.0,72.0,17.0,1760.09
2022-01-11,US,Tucson,humidity,143,22.2,80.5,42.0,2594.97
2022-01-11,US,Tucson,pm10,120,4.0,56.0,14.0,1136.96
