Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,NL,Utrecht,humidity,120,81.0,93.3,87.3,123.56
2022-01-01,NL,Utrecht,pm10,118,2.0,161.0,22.0,6734.62
2022-01-01,NL,Utrecht,pm25,48,23.0,213.0,52.0,14332.5
2022-01-02,NL,Utrecht,humidity,120,78.3,91.0,84.5,112.07
2022-01-02,NL,Utrecht,pm10,118,1.0,24.0,13.0,190.84
2022-01-02,NL,Utrecht,pm25,47,8.0,61.0,39.0,1724.47
2022-01-03,NL,Utrecht,humidity,120,81.1,90.3,84.8,56.31
2022-01-03,NL,Utrecht,pm10,120,6.0,37.0,20.0,423.69
2022-01-03,NL,Utrecht,pm25,48,13.0,60.0,36.0,1330.57
2022-01-04,NL,Utrecht,pm25,48,13.0,54.0,33.0,1377.76
2022-01-04,NL,Utrecht,humidity,120,74.2,92.0,89.6,329.93
2022-01-04,NL,Utrecht,pm10,117,1.0,22.0,13.0,256.26
2022-01-05,NL,Utrecht,humidity,120,77.5,93.0,85.6,156.01
2022-01-05,NL,Utrecht,pm10,118,6.0,41.0,15.0,260.39
2022-01-05,NL,Utrecht,pm25,48,1.0,51.0,35.0,1421.7
2022-01-06,NL,Utrecht,pm25,48,24.0,63.0,44.0,1127.12
2022-01-06,NL,Utrecht,humidity,120,79.6,92.4,84.0,153.28
2022-01-06,NL,Utrecht,pm10,120,6.0,28.0,18.0,193.77
2022-01-07,NL,Utrecht,pm25,47,5.0,61.0,40.0,2119.34
2022-01-07,NL,Utrecht,humidity,120,78.6,94.1,87.0,191.62
2022-01-07,NL,Utrecht,pm10,119,1.0,22.0,13.0,196.66
2022-01-08,NL,Utrecht,humidity,120,78.6,97.8,91.8,117.35
2022-01-08,NL,Utrecht,pm10,111,2.0,24.0,11.0,189.71
2022-01-08,NL,Utrecht,pm25,48,12.0,75.0,37.0,2214.85
2022-01-09,NL,Utrecht,humidity,120,74.8,95.6,85.2,250.47
2022-01-09,NL,Utrecht,pm10,115,1.0,32.0,14.0,446.45
2022-01-09,NL,Utrecht,pm25,48,2.0,98.0,34.0,2544.89
2022-01-10,NL,Utrecht,pm10,118,2.0,43.0,22.0,488.29
2022-01-10,NL,Utrecht,humidity,120,82.0,94.0,91.8,106.25
2022-01-10,NL,Utrecht,pm25,48,21.0,99.0,76.0,2786.66
2022-01-11,NL,Utrecht,humidity,120,71.5,94.0,89.5,500.17
2022-01-11,NL,Utrecht,pm10,120,2.0,35.0,21.0,396.86
2022-01-11,NL,Utrecht,pm25,47,53.0,86.0,70.0,738.68
2022-01-12,NL,Utrecht,pm10,118,3.0,38.0,20.0,436.36
2022-01-12,NL,Utrecht,pm25,48,36.0,97.0,66.0,1618.47
2022-01-12,NL,Utrecht,humidity,120,89.8,95.0,93.6,16.14
2022-01-13,NL,Utrecht,pm25,48,36.0,94.0,64.0,1578.65
2022-01-13,NL,Utrecht,pm10,117,3.0,38.0,15.0,392.11
2022-01-13,NL,Utrecht,humidity,120,94.0,97.0,95.0,8.2
2022-01-14,NL,Utrecht,humidity,120,87.8,96.0,95.0,77.93
2022-01-14,NL,Utrecht,pm10,120,3.0,35.0,16.0,424.65
2022-01-14,NL,Utrecht,pm25,48,52.0,83.0,64.0,769.68
2022-01-15,NL,Utrecht,humidity,120,90.1,95.6,94.8,25.98
2022-01-15,NL,Utrecht,pm10,120,3.0,36.0,17.0,433.16
2022-01-15,NL,Utrecht,pm25,48,48.0,85.0,66.0,955.74
2022-01-16,NL,Utrecht,pm25,48,30.0,118.0,81.0,5027.34
2022-01-16,NL,Utrecht,pm10,120,3.0,44.0,26.0,695.34
2022-01-16,NL,Utrecht,humidity,117,89.8,96.0,92.5,45.9
2022-01-17,NL,Utrecht,humidity,120,75.7,94.0,85.2,233.88
2022-01-17,NL,Utrecht,pm10,117,3.0,44.0,21.0,781.48
2022-01-17,NL,Utrecht,pm25,48,20.0,62.0,47.0,1125.0
2022-01-18,NL,Utrecht,humidity,120,90.0,96.0,94.0,19.08
2022-01-18,NL,Utrecht,pm10,117,1.0,37.0,22.0,894.37
2022-01-18,NL,Utrecht,pm25,48,24.0,87.0,50.0,3180.7
2022-01-19,NL,Utrecht,pm10,120,5.0,42.0,21.0,496.91
2022-01-19,NL,Utrecht,pm25,48,44.0,96.0,76.0,1877.29
2022-01-19,NL,Utrecht,humidity,120,85.6,95.3,93.5,78.54
2022-01-20,NL,Utrecht,humidity,120,66.0,87.8,83.6,504.9
2022-01-20,NL,Utrecht,pm10,120,6.0,25.0,16.0,218.95
2022-01-20,NL,Utrecht,pm25,48,8.0,56.0,33.0,1347.3
2022-01-21,NL,Utrecht,humidity,120,84.2,93.8,89.0,84.37
2022-01-21,NL,Utrecht,pm10,116,5.0,32.0,15.0,314.8
2022-01-21,NL,Utrecht,pm25,48,19.0,56.0,36.0,874.88
2022-01-22,NL,Utrecht,pm25,48,22.0,70.0,45.0,1644.68
2022-01-22,NL,Utrecht,pm10,120,5.0,31.0,14.0,266.8
2022-01-22,NL,Utrecht,humidity,120,84.0,92.0,87.3,41.77
2022-01-23,NL,Utrecht,humidity,120,76.6,93.0,89.0,238.01
2022-01-23,NL,Utrecht,pm10,120,1.0,37.0,13.0,402.25
2022-01-23,NL,Utrecht,pm25,48,18.0,98.0,56.0,3135.25
2022-01-24,NL,Utrecht,humidity,120,69.5,89.4,74.8,302.9
2022-01-24,NL,Utrecht,pm10,120,7.0,57.0,23.0,1016.94
2022-01-24,NL,Utrecht,pm25,44,55.0,108.0,79.0,1665.75
2022-01-25,NL,Utrecht,pm10,118,20.0,55.0,35.0,900.97
2022-01-25,NL,Utrecht,pm25,48,83.0,136.0,120.0,3006.79
2022-01-25,NL,Utrecht,humidity,120,72.5,84.8,78.0,106.1
2022-01-26,NL,Utrecht,pm25,48,71.0,152.0,102.0,6508.19
2022-01-26,NL,Utrecht,pm10,120,18.0,55.0,40.0,635.04
2022-01-26,NL,Utrecht,humidity,120,76.1,87.0,84.0,91.84
2022-01-27,NL,Utrecht,humidity,120,78.9,96.6,83.9,258.2
2022-01-27,NL,Utrecht,pm10,113,1.0,35.0,20.0,610.55
2022-01-27,NL,Utrecht,pm25,48,21.0,81.0,50.0,2633.76
2022-01-28,NL,Utrecht,humidity,120,70.0,88.0,82.1,286.05
2022-01-28,NL,Utrecht,pm10,120,1.0,37.0,20.0,392.52
2022-01-28,NL,Utrecht,pm25,48,22.0,97.0,45.0,3726.06
2022-01-29,NL,Utrecht,pm25,45,17.0,80.0,43.0,2550.68
2022-01-29,NL,Utrecht,pm10,107,1.0,38.0,18.0,670.26
2022-01-29,NL,Utrecht,humidity,120,69.0,94.8,83.0,731.69
2022-01-30,NL,Utrecht,humidity,120,56.8,80.9,70.8,396.09
2022-01-30,NL,Utrecht,pm10,120,14.0,50.0,30.0,847.11
2022-01-30,NL,Utrecht,pm25,48,17.0,65.0,49.0,1382.3
2022-01-31,NL,Utrecht,humidity,120,67.4,95.0,84.9,366.91
2022-01-31,NL,Utrecht,pm10,120,6.0,42.0,25.0,478.89
2022-01-31,NL,Utrecht,pm25,47,22.0,84.0,43.0,1729.85
2022-02-01,NL,Utrecht,pm10,118,2.0,36.0,19.0,448.31
2022-02-01,NL,Utrecht,pm25,48,15.0,64.0,35.0,919.56
2022-02-01,NL,Utrecht,humidity,108,49.3,96.3,84.0,717.54
2022-02-02,NL,Utrecht,humidity,120,70.5,92.8,82.6,312.59
2022-02-02,NL,Utrecht,pm10,118,5.0,51.0,27.0,837.35
2022-02-02,NL,Utrecht,pm25,48,29.0,69.0,54.0,693.33
2022-02-03,NL,Utrecht,humidity,120,84.6,93.0,91.3,51.33
2022-02-03,NL,Utrecht,pm10,118,1.0,23.0,14.0,293.6
2022-02-03,NL,Utrecht,pm25,48,30.0,66.0,48.0,1006.06
2022-02-04,NL,Utrecht,pm25,48,8.0,71.0,28.0,2226.91
2022-02-04,NL,Utrecht,pm10,119,2.0,25.0,11.0,170.54
2022-02-04,NL,Utrecht,humidity,120,77.7,90.0,87.1,113.0
2022-02-05,NL,Utrecht,humidity,120,71.1,94.8,79.6,442.44
2022-02-05,NL,Utrecht,pm10,120,2.0,23.0,14.0,166.49
2022-02-05,NL,Utrecht,pm25,48,5.0,52.0,32.0,1396.34
2022-02-06,NL,Utrecht,humidity,120,73.1,95.6,89.6,328.63
2022-02-06,NL,Utrecht,pm10,90,2.0,27.0,15.0,261.1
2022-02-06,NL,Utrecht,pm25,48,12.0,51.0,27.0,1004.89
2022-02-07,NL,Utrecht,pm10,100,1.0,36.0,18.0,319.72
2022-02-07,NL,Utrecht,pm25,45,1.0,58.0,34.0,1514.82
2022-02-07,NL,Utrecht,humidity,120,64.3,81.8,75.4,215.91
2022-02-08,NL,Utrecht,pm25,48,21.0,60.0,41.0,960.1
2022-02-08,NL,Utrecht,pm10,120,7.0,31.0,15.0,167.9
