Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,JP,Utsunomiya,humidity,420,23.0,66.0,48.1,1749.65
2022-01-01,JP,Utsunomiya,pm10,379,1.0,25.0,3.0,106.35
2022-01-01,JP,Utsunomiya,pm25,287,5.0,76.0,17.0,2589.44
2022-01-01,JP,Utsunomiya,precipitation,64,0.3,99.0,0.4,24715.8
2022-01-01,JP,Utsunomiya,wind-speed,420,0.6,7.7,2.5,33.2
2022-01-02,JP,Utsunomiya,humidity,420,35.0,79.0,65.9,2278.12
2022-01-02,JP,Utsunomiya,pm10,414,1.0,31.0,5.0,188.99
2022-01-02,JP,Utsunomiya,pm25,328,5.0,85.0,25.0,4351.28
2022-01-02,JP,Utsunomiya,precipitation,16,99.0,99.0,99.0,0.0
2022-01-02,JP,Utsunomiya,wind-speed,420,0.2,4.6,2.5,13.25
2022-01-03,JP,Utsunomiya,wind-speed,456,0.5,11.3,2.0,35.69
2022-01-03,JP,Utsunomiya,precipitation,48,99.0,99.0,99.0,0.0
2022-01-03,JP,Utsunomiya,humidity,456,31.1,84.0,62.9,3275.68
2022-01-03,JP,Utsunomiya,pm10,418,1.0,22.0,7.0,147.82
2022-01-03,JP,Utsunomiya,pm25,384,5.0,76.0,30.0,3875.19
2022-01-04,JP,Utsunomiya,humidity,456,33.0,91.4,63.0,2526.96
2022-01-04,JP,Utsunomiya,pm10,410,1.0,27.0,6.0,156.01
2022-01-04,JP,Utsunomiya,pm25,335,5.0,78.0,21.0,3067.3
2022-01-04,JP,Utsunomiya,precipitation,70,99.0,99.5,99.0,0.45
2022-01-04,JP,Utsunomiya,wind-speed,455,0.3,10.0,2.5,54.64
2022-01-05,JP,Utsunomiya,precipitation,4,99.0,99.5,99.0,0.83
2022-01-05,JP,Utsunomiya,pm25,281,5.0,68.0,21.0,3257.16
2022-01-05,JP,Utsunomiya,wind-speed,451,0.5,13.5,2.0,28.84
2022-01-05,JP,Utsunomiya,humidity,453,22.2,89.9,54.2,4176.65
2022-01-05,JP,Utsunomiya,pm10,406,1.0,22.0,5.0,113.85
2022-01-06,JP,Utsunomiya,humidity,456,38.0,96.0,67.0,3320.79
2022-01-06,JP,Utsunomiya,pm10,420,1.0,30.0,8.0,264.18
2022-01-06,JP,Utsunomiya,pm25,351,5.0,65.0,30.0,3265.47
2022-01-06,JP,Utsunomiya,wind-speed,452,0.1,4.6,2.0,11.73
2022-01-07,JP,Utsunomiya,humidity,456,29.0,100.0,60.9,4899.49
2022-01-07,JP,Utsunomiya,pm10,431,1.0,32.0,8.0,361.6
2022-01-07,JP,Utsunomiya,pm25,400,5.0,87.0,42.0,4431.38
2022-01-07,JP,Utsunomiya,precipitation,3,0.2,99.0,99.0,32538.1
2022-01-07,JP,Utsunomiya,wind-speed,455,0.1,5.1,2.0,12.86
2022-01-08,JP,Utsunomiya,wind-speed,434,0.4,4.5,2.0,8.28
2022-01-08,JP,Utsunomiya,precipitation,4,99.0,99.0,99.0,0.0
2022-01-08,JP,Utsunomiya,pm25,399,5.0,89.0,30.0,5122.23
2022-01-08,JP,Utsunomiya,humidity,450,37.1,92.0,66.3,2779.0
2022-01-08,JP,Utsunomiya,pm10,426,1.0,51.0,9.0,317.28
2022-01-09,JP,Utsunomiya,humidity,450,28.0,97.8,66.0,2938.66
2022-01-09,JP,Utsunomiya,pm10,440,1.0,43.0,12.0,432.7
2022-01-09,JP,Utsunomiya,pm25,416,5.0,104.0,50.0,5991.93
2022-01-09,JP,Utsunomiya,precipitation,2,0.5,99.5,0.5,49005.0
2022-01-09,JP,Utsunomiya,wind-speed,446,0.1,5.1,2.0,15.86
2022-01-10,JP,Utsunomiya,humidity,401,45.9,73.9,66.0,646.32
2022-01-10,JP,Utsunomiya,pm10,443,1.0,34.0,14.0,312.92
2022-01-10,JP,Utsunomiya,pm25,452,9.0,87.0,46.0,3579.37
2022-01-10,JP,Utsunomiya,wind-speed,402,0.5,5.1,2.0,16.06
2022-01-11,JP,Utsunomiya,wind-speed,420,0.5,5.6,1.5,14.09
2022-01-11,JP,Utsunomiya,precipitation,38,0.2,0.3,0.2,0.03
2022-01-11,JP,Utsunomiya,pm25,448,5.0,85.0,46.0,3232.3
2022-01-11,JP,Utsunomiya,pm10,440,1.0,46.0,13.0,528.01
2022-01-11,JP,Utsunomiya,humidity,420,71.0,100.0,95.2,1311.95
2022-01-12,JP,Utsunomiya,humidity,456,20.0,100.0,44.1,5435.22
2022-01-12,JP,Utsunomiya,pm10,390,1.0,39.0,3.0,437.68
2022-01-12,JP,Utsunomiya,pm25,260,5.0,80.0,17.0,5254.98
2022-01-12,JP,Utsunomiya,precipitation,38,99.0,99.0,99.0,0.0
2022-01-12,JP,Utsunomiya,wind-speed,452,1.5,23.7,5.6,115.15
2022-01-13,JP,Utsunomiya,humidity,456,28.0,84.1,72.3,3167.14
2022-01-13,JP,Utsunomiya,pm10,403,1.0,26.0,6.0,132.5
2022-01-13,JP,Utsunomiya,pm25,329,5.0,74.0,25.0,3700.24
2022-01-13,JP,Utsunomiya,precipitation,38,99.0,99.0,99.0,0.0
2022-01-13,JP,Utsunomiya,wind-speed,447,0.6,7.7,2.5,29.3
2022-01-14,JP,Utsunomiya,wind-speed,439,1.0,15.7,3.0,54.47
2022-01-14,JP,Utsunomiya,pm25,282,5.0,63.0,17.0,2317.68
2022-01-14,JP,Utsunomiya,humidity,454,25.2,81.1,47.1,2662.95
2022-01-14,JP,Utsunomiya,pm10,387,1.0,21.0,4.0,92.48
2022-01-15,JP,Utsunomiya,humidity,456,30.1,78.0,57.0,2072.22
2022-01-15,JP,Utsunomiya,pm10,418,1.0,45.0,8.0,318.61
2022-01-15,JP,Utsunomiya,pm25,351,5.0,95.0,25.0,4508.92
2022-01-15,JP,Utsunomiya,wind-speed,449,0.5,16.0,2.0,27.65
2022-01-16,JP,Utsunomiya,humidity,456,26.5,90.5,69.9,2789.36
2022-01-16,JP,Utsunomiya,pm10,436,1.0,73.0,11.0,738.7
2022-01-16,JP,Utsunomiya,pm25,397,5.0,152.0,50.0,7092.8
2022-01-16,JP,Utsunomiya,wind-speed,446,0.4,5.7,2.0,8.45
2022-01-17,JP,Utsunomiya,wind-speed,436,0.5,6.0,2.0,11.58
2022-01-17,JP,Utsunomiya,precipitation,19,99.0,99.0,99.0,0.0
2022-01-17,JP,Utsunomiya,humidity,437,40.1,92.0,65.2,2876.31
2022-01-17,JP,Utsunomiya,pm10,426,1.0,44.0,10.0,389.8
2022-01-17,JP,Utsunomiya,pm25,416,5.0,95.0,38.0,4301.62
2022-01-18,JP,Utsunomiya,humidity,455,27.2,93.0,52.1,3511.68
2022-01-18,JP,Utsunomiya,pm10,403,1.0,69.0,6.0,323.68
2022-01-18,JP,Utsunomiya,pm25,311,5.0,68.0,21.0,2530.2
2022-01-18,JP,Utsunomiya,precipitation,60,99.0,99.5,99.0,0.5
2022-01-18,JP,Utsunomiya,wind-speed,451,0.5,9.2,2.5,44.79
2022-01-19,JP,Utsunomiya,precipitation,16,99.0,99.0,99.0,0.0
2022-01-19,JP,Utsunomiya,pm25,373,5.0,74.0,30.0,4227.33
2022-01-19,JP,Utsunomiya,wind-speed,453,0.2,5.5,1.5,11.09
2022-01-19,JP,Utsunomiya,humidity,456,30.1,80.2,54.0,2872.67
2022-01-19,JP,Utsunomiya,pm10,423,1.0,58.0,9.0,269.79
2022-01-20,JP,Utsunomiya,humidity,442,31.0,92.0,67.9,1336.07
2022-01-20,JP,Utsunomiya,pm10,405,1.0,26.0,7.0,138.9
2022-01-20,JP,Utsunomiya,pm25,324,5.0,80.0,17.0,2665.51
2022-01-20,JP,Utsunomiya,precipitation,36,99.0,99.0,99.0,0.0
2022-01-20,JP,Utsunomiya,wind-speed,437,0.4,9.2,3.6,34.21
2022-01-21,JP,Utsunomiya,wind-speed,456,0.3,9.5,1.5,33.0
2022-01-21,JP,Utsunomiya,humidity,456,32.0,86.5,55.0,848.61
2022-01-21,JP,Utsunomiya,pm10,402,1.0,51.0,5.0,220.14
2022-01-21,JP,Utsunomiya,pm25,325,5.0,70.0,21.0,1116.39
2022-01-21,JP,Utsunomiya,precipitation,70,99.0,99.0,99.0,0.0
2022-01-22,JP,Utsunomiya,wind-speed,447,0.3,13.0,1.5,16.17
2022-01-22,JP,Utsunomiya,pm25,405,5.0,102.0,30.0,2301.63
2022-01-22,JP,Utsunomiya,humidity,456,23.5,85.0,59.1,3874.52
2022-01-22,JP,Utsunomiya,pm10,414,1.0,51.0,8.0,266.84
2022-01-23,JP,Utsunomiya,humidity,440,38.1,84.9,69.9,746.33
2022-01-23,JP,Utsunomiya,pm10,433,1.0,103.0,16.0,2294.63
2022-01-23,JP,Utsunomiya,pm25,423,5.0,164.0,50.0,18870.6
2022-01-23,JP,Utsunomiya,precipitation,4,99.0,99.0,99.0,0.0
2022-01-23,JP,Utsunomiya,wind-speed,440,0.1,4.6,2.0,9.9
2022-01-24,JP,Utsunomiya,wind-speed,405,0.1,6.6,2.5,38.65
2022-01-24,JP,Utsunomiya,humidity,405,30.0,100.0,60.0,3968.4
2022-01-24,JP,Utsunomiya,pm10,417,1.0,51.0,10.0,935.15
2022-01-24,JP,Utsunomiya,pm25,392,5.0,122.0,38.0,7489.1
2022-01-24,JP,Utsunomiya,precipitation,10,99.0,99.0,99.0,0.0
2022-01-25,JP,Utsunomiya,wind-speed,440,0.5,3.6,1.5,5.39
2022-01-25,JP,Utsunomiya,pm25,417,5.0,72.0,38.0,2630.88
2022-01-25,JP,Utsunomiya,pm10,426,1.0,169.0,10.0,834.66
2022-01-25,JP,Utsunomiya,humidity,440,43.0,81.0,60.2,1748.79
2022-01-26,JP,Utsunomiya,humidity,420,55.1,96.8,67.0,950.0
2022-01-26,JP,Utsunomiya,pm10,445,1.0,40.0,15.0,290.03
2022-01-26,JP,Utsunomiya,pm25,432,5.0,78.0,57.0,1989.45
2022-01-26,JP,Utsunomiya,precipitation,21,99.0,99.0,99.0,0.0
2022-01-26,JP,Utsunomiya,wind-speed,420,0.2,4.1,2.0,8.67
2022-01-27,JP,Utsunomiya,wind-speed,422,0.3,5.6,2.5,12.34
2022-01-27,JP,Utsunomiya,precipitation,26,99.0,99.0,99.0,0.0
2022-01-27,JP,Utsunomiya,pm25,428,5.0,119.0,53.0,4550.49
2022-01-27,JP,Utsunomiya,pm10,433,1.0,41.0,14.0,610.88
2022-01-27,JP,Utsunomiya,humidity,422,26.1,97.2,48.0,7617.11
2022-01-28,JP,Utsunomiya,wind-speed,432,0.1,9.2,2.0,41.61
2022-01-28,JP,Utsunomiya,pm25,417,5.0,72.0,46.0,3185.05
2022-01-28,JP,Utsunomiya,humidity,438,22.1,75.1,52.0,2336.74
2022-01-28,JP,Utsunomiya,pm10,436,1.0,33.0,11.0,325.71
2022-01-29,JP,Utsunomiya,humidity,437,36.0,80.4,57.0,2502.55
2022-01-29,JP,Utsunomiya,pm10,421,1.0,45.0,9.0,311.29
2022-01-29,JP,Utsunomiya,pm25,413,5.0,104.0,30.0,2464.47
2022-01-29,JP,Utsunomiya,wind-speed,428,0.5,5.6,2.0,15.28
2022-01-30,JP,Utsunomiya,wind-speed,413,0.4,5.6,2.0,16.6
2022-01-30,JP,Utsunomiya,humidity,418,29.1,83.0,46.0,2904.32
2022-01-30,JP,Utsunomiya,pm10,408,1.0,48.0,7.0,281.46
2022-01-30,JP,Utsunomiya,pm25,412,5.0,104.0,30.0,2805.56
2022-01-31,JP,Utsunomiya,wind-speed,438,0.5,7.3,2.5,23.81
2022-01-31,JP,Utsunomiya,pm25,388,5.0,59.0,25.0,1541.3
2022-01-31,JP,Utsunomiya,humidity,437,22.0,72.1,42.1,3083.01
2022-01-31,JP,Utsunomiya,pm10,411,1.0,23.0,6.0,131.91
2022-02-01,JP,Utsunomiya,pm25,404,5.0,65.0,30.0,1596.21
2022-02-01,JP,Utsunomiya,humidity,437,24.2,76.0,51.2,3079.7
2022-02-01,JP,Utsunomiya,pm10,420,1.0,32.0,8.0,152.77
2022-02-01,JP,Utsunomiya,wind-speed,438,0.6,6.1,2.5,18.61
2022-02-02,JP,Utsunomiya,wind-speed,452,0.5,13.2,2.5,88.26
2022-02-02,JP,Utsunomiya,pm25,411,5.0,76.0,34.0,1580.16
2022-02-02,JP,Utsunomiya,precipitation,38,99.0,99.0,99.0,0.0
