Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,CA,Vancouver,humidity,191,59.0,93.5,76.5,847.0
2022-01-01,CA,Vancouver,pm10,184,2.0,14.0,5.0,63.62
2022-01-01,CA,Vancouver,pm25,22,8.0,53.0,18.0,741.84
2022-01-01,CA,Vancouver,wind-speed,130,0.1,11.0,3.6,81.89
2022-01-02,CA,Vancouver,humidity,192,59.0,100.0,90.0,872.87
2022-01-02,CA,Vancouver,pm10,184,1.0,11.0,5.0,78.08
2022-01-02,CA,Vancouver,pm25,23,5.0,30.0,14.0,467.71
2022-01-02,CA,Vancouver,wind-speed,172,0.2,22.8,2.0,310.99
2022-01-03,CA,Vancouver,wind-speed,135,0.2,20.0,2.5,238.05
2022-01-03,CA,Vancouver,pm25,23,4.0,15.0,8.0,93.12
2022-01-03,CA,Vancouver,humidity,192,74.0,100.0,93.0,255.92
2022-01-03,CA,Vancouver,pm10,184,2.0,11.0,6.0,44.66
2022-01-04,CA,Vancouver,humidity,192,46.5,100.0,96.5,480.37
2022-01-04,CA,Vancouver,pm10,176,2.0,12.0,6.0,46.39
2022-01-04,CA,Vancouver,pm25,22,7.0,22.0,10.0,173.07
2022-01-04,CA,Vancouver,wind-speed,111,0.2,19.0,3.3,196.28
2022-01-05,CA,Vancouver,wind-speed,88,0.2,14.6,3.8,86.02
2022-01-05,CA,Vancouver,humidity,192,46.0,100.0,92.0,519.74
2022-01-05,CA,Vancouver,pm10,184,2.0,13.0,7.0,51.21
2022-01-05,CA,Vancouver,pm25,23,11.0,20.0,16.0,63.0
2022-01-06,CA,Vancouver,wind-speed,81,0.6,12.0,2.8,26.65
2022-01-06,CA,Vancouver,pm25,23,8.0,14.0,11.0,29.96
2022-01-06,CA,Vancouver,humidity,182,16.5,100.0,97.0,575.24
2022-01-06,CA,Vancouver,pm10,184,1.0,12.0,4.0,62.46
2022-01-07,CA,Vancouver,humidity,182,55.6,99.0,81.2,1679.52
2022-01-07,CA,Vancouver,pm10,184,2.0,14.0,5.0,75.8
2022-01-07,CA,Vancouver,pm25,22,5.0,23.0,14.0,330.04
2022-01-07,CA,Vancouver,wind-speed,118,0.1,11.5,2.3,105.11
2022-01-08,CA,Vancouver,humidity,190,46.5,100.0,93.0,727.3
2022-01-08,CA,Vancouver,pm10,184,4.0,11.0,7.0,34.31
2022-01-08,CA,Vancouver,pm25,23,13.0,58.0,15.0,807.15
2022-01-08,CA,Vancouver,wind-speed,105,0.2,14.0,3.6,110.17
2022-01-09,CA,Vancouver,pm10,184,3.0,24.0,6.0,215.78
2022-01-09,CA,Vancouver,wind-speed,97,0.2,9.0,1.5,31.42
2022-01-09,CA,Vancouver,humidity,176,79.2,100.0,95.0,332.78
2022-01-09,CA,Vancouver,pm25,23,9.0,36.0,15.0,292.21
2022-01-10,CA,Vancouver,humidity,186,46.5,100.0,97.0,363.61
2022-01-10,CA,Vancouver,pm10,174,1.0,14.0,6.0,96.05
2022-01-10,CA,Vancouver,pm25,22,8.0,15.0,10.0,35.69
2022-01-10,CA,Vancouver,wind-speed,128,0.2,17.0,2.0,130.34
2022-01-11,CA,Vancouver,pm25,23,7.0,27.0,13.0,216.96
2022-01-11,CA,Vancouver,humidity,181,62.0,100.0,98.0,157.06
2022-01-11,CA,Vancouver,pm10,182,2.0,10.0,7.0,55.29
2022-01-11,CA,Vancouver,wind-speed,94,0.2,17.0,5.6,205.94
2022-01-12,CA,Vancouver,wind-speed,98,0.2,15.0,4.1,121.92
2022-01-12,CA,Vancouver,pm25,23,3.0,11.0,8.0,69.49
2022-01-12,CA,Vancouver,humidity,190,46.5,100.0,99.0,213.16
2022-01-12,CA,Vancouver,pm10,184,2.0,9.0,5.0,26.88
2022-01-13,CA,Vancouver,humidity,183,46.5,100.0,94.2,437.98
2022-01-13,CA,Vancouver,pm10,184,3.0,20.0,7.0,152.99
2022-01-13,CA,Vancouver,pm25,23,6.0,39.0,13.0,979.76
2022-01-13,CA,Vancouver,wind-speed,100,0.1,10.0,1.5,59.92
2022-01-14,CA,Vancouver,wind-speed,85,0.1,9.0,2.0,38.06
2022-01-14,CA,Vancouver,humidity,187,46.5,100.0,95.0,299.24
2022-01-14,CA,Vancouver,pm10,184,4.0,24.0,10.0,311.64
2022-01-14,CA,Vancouver,pm25,23,5.0,35.0,11.0,726.92
2022-01-15,CA,Vancouver,wind-speed,84,0.1,6.3,1.5,17.38
2022-01-15,CA,Vancouver,pm25,22,10.0,44.0,15.0,1076.13
2022-01-15,CA,Vancouver,humidity,175,31.0,100.0,97.0,596.84
2022-01-15,CA,Vancouver,pm10,176,2.0,20.0,7.0,144.07
2022-01-16,CA,Vancouver,pm25,23,5.0,56.0,11.0,2443.91
2022-01-16,CA,Vancouver,humidity,186,85.0,100.0,97.0,174.67
2022-01-16,CA,Vancouver,pm10,184,3.0,28.0,8.0,289.38
2022-01-16,CA,Vancouver,wind-speed,71,0.1,3.2,1.0,6.14
2022-01-17,CA,Vancouver,wind-speed,96,0.1,13.0,3.6,87.44
2022-01-17,CA,Vancouver,pm25,23,5.0,18.0,12.0,133.12
2022-01-17,CA,Vancouver,pm10,184,2.0,25.0,8.0,132.19
2022-01-17,CA,Vancouver,humidity,192,65.0,100.0,97.2,467.51
2022-01-18,CA,Vancouver,humidity,192,46.5,100.0,98.0,160.36
2022-01-18,CA,Vancouver,pm10,184,3.0,10.0,6.0,35.97
2022-01-18,CA,Vancouver,pm25,23,15.0,51.0,22.0,1026.01
2022-01-18,CA,Vancouver,wind-speed,68,0.5,5.0,1.5,10.26
2022-01-19,CA,Vancouver,pm25,22,8.0,18.0,13.0,104.33
2022-01-19,CA,Vancouver,wind-speed,109,0.2,11.0,2.3,46.49
2022-01-19,CA,Vancouver,humidity,187,87.0,100.0,98.0,85.02
2022-01-19,CA,Vancouver,pm10,184,2.0,14.0,5.0,78.52
2022-01-20,CA,Vancouver,humidity,188,81.0,100.0,96.2,195.54
2022-01-20,CA,Vancouver,pm10,184,2.0,13.0,6.0,73.54
2022-01-20,CA,Vancouver,pm25,21,3.0,30.0,8.0,701.33
2022-01-20,CA,Vancouver,wind-speed,100,0.1,24.0,3.6,248.98
2022-01-21,CA,Vancouver,wind-speed,57,0.5,9.0,2.0,29.97
2022-01-21,CA,Vancouver,humidity,178,31.0,100.0,96.0,539.6
2022-01-21,CA,Vancouver,pm10,184,3.0,24.0,10.0,258.14
2022-01-21,CA,Vancouver,pm25,23,7.0,31.0,22.0,702.41
2022-01-22,CA,Vancouver,pm25,23,5.0,20.0,9.0,104.82
2022-01-22,CA,Vancouver,wind-speed,75,0.1,11.0,2.0,73.78
2022-01-22,CA,Vancouver,humidity,176,46.5,100.0,93.7,669.89
2022-01-22,CA,Vancouver,pm10,184,1.0,21.0,5.0,173.05
2022-01-23,CA,Vancouver,wind-speed,78,0.3,9.0,1.8,36.76
2022-01-23,CA,Vancouver,pm25,23,7.0,32.0,15.0,612.25
2022-01-23,CA,Vancouver,pm10,184,2.0,14.0,6.0,71.52
2022-01-23,CA,Vancouver,humidity,173,46.5,100.0,98.0,204.16
2022-01-24,CA,Vancouver,humidity,173,31.0,100.0,97.2,464.18
2022-01-24,CA,Vancouver,pm10,184,3.0,17.0,7.0,103.26
2022-01-24,CA,Vancouver,pm25,23,10.0,31.0,13.0,439.29
2022-01-24,CA,Vancouver,wind-speed,85,0.4,9.0,1.8,24.76
2022-01-25,CA,Vancouver,pm25,23,12.0,32.0,21.0,260.28
2022-01-25,CA,Vancouver,wind-speed,78,0.2,9.0,2.5,29.8
2022-01-25,CA,Vancouver,humidity,180,46.5,100.0,95.3,644.88
2022-01-25,CA,Vancouver,pm10,184,2.0,21.0,7.0,130.11
2022-01-26,CA,Vancouver,humidity,183,46.5,107.0,97.7,660.59
2022-01-26,CA,Vancouver,pm10,183,4.0,34.0,7.0,352.24
2022-01-26,CA,Vancouver,pm25,23,9.0,33.0,23.0,424.03
2022-01-26,CA,Vancouver,wind-speed,80,0.2,6.0,2.0,20.0
2022-01-27,CA,Vancouver,wind-speed,73,0.5,5.3,2.0,14.3
2022-01-27,CA,Vancouver,humidity,176,73.2,100.0,97.6,451.45
2022-01-27,CA,Vancouver,pm10,176,3.0,31.0,7.0,400.65
2022-01-27,CA,Vancouver,pm25,22,5.0,30.0,17.0,581.65
2022-01-28,CA,Vancouver,pm25,23,10.0,58.0,15.0,2984.94
2022-01-28,CA,Vancouver,wind-speed,77,0.2,10.0,2.5,57.89
2022-01-28,CA,Vancouver,humidity,170,57.0,100.0,92.2,1318.43
2022-01-28,CA,Vancouver,pm10,168,3.0,29.0,10.0,458.26
2022-01-29,CA,Vancouver,humidity,174,60.0,97.0,88.7,1077.66
2022-01-29,CA,Vancouver,pm10,184,4.0,31.0,11.0,415.22
2022-01-29,CA,Vancouver,pm25,23,18.0,30.0,23.0,79.96
2022-01-29,CA,Vancouver,wind-speed,80,0.2,13.0,3.6,77.74
2022-01-30,CA,Vancouver,humidity,185,76.6,100.0,93.5,241.21
2022-01-30,CA,Vancouver,pm10,184,1.0,11.0,6.0,45.02
2022-01-30,CA,Vancouver,pm25,23,6.0,16.0,11.0,80.87
