Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,CA,Victoria,humidity,48,69.2,90.0,80.5,255.74
2022-01-01,CA,Victoria,pm25,46,13.0,139.0,30.0,5825.26
2022-01-01,CA,Victoria,wind-speed,44,0.2,5.7,3.0,22.62
2022-01-02,CA,Victoria,humidity,48,77.0,95.0,86.5,202.88
2022-01-02,CA,Victoria,pm25,44,5.0,50.0,21.0,959.66
2022-01-02,CA,Victoria,wind-speed,45,0.7,12.5,2.0,101.22
2022-01-03,CA,Victoria,humidity,48,76.2,96.0,90.7,252.88
2022-01-03,CA,Victoria,pm25,41,5.0,61.0,17.0,2212.3
2022-01-03,CA,Victoria,wind-speed,35,0.2,9.5,1.5,44.57
2022-01-04,CA,Victoria,humidity,48,71.0,96.0,90.5,356.0
2022-01-04,CA,Victoria,pm25,46,5.0,76.0,21.0,2719.54
2022-01-04,CA,Victoria,wind-speed,30,0.2,6.0,1.5,17.69
2022-01-05,CA,Victoria,humidity,48,82.5,96.0,93.0,131.67
2022-01-05,CA,Victoria,pm25,46,9.0,42.0,17.0,514.86
2022-01-05,CA,Victoria,wind-speed,38,0.5,9.2,2.5,44.45
2022-01-06,CA,Victoria,wind-speed,29,0.2,8.2,3.2,41.86
2022-01-06,CA,Victoria,pm25,43,5.0,82.0,21.0,5308.49
2022-01-06,CA,Victoria,humidity,48,95.7,98.0,97.0,3.72
2022-01-07,CA,Victoria,humidity,48,64.2,98.0,87.2,1304.28
2022-01-07,CA,Victoria,pm25,45,5.0,61.0,25.0,1679.73
2022-01-07,CA,Victoria,wind-speed,43,0.2,12.2,4.0,114.3
2022-01-08,CA,Victoria,humidity,48,83.7,95.7,90.5,96.4
2022-01-08,CA,Victoria,pm25,44,9.0,78.0,30.0,2638.37
2022-01-08,CA,Victoria,wind-speed,48,0.3,6.7,2.0,17.83
2022-01-09,CA,Victoria,wind-speed,48,0.2,10.2,2.7,62.19
2022-01-09,CA,Victoria,pm25,46,9.0,63.0,30.0,1488.53
