Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,US,Washington D.C.,humidity,96,85.0,99.0,98.0,153.52
2022-01-01,US,Washington D.C.,pm25,117,9.0,70.0,35.0,1935.77
2022-01-01,US,Washington D.C.,wind-speed,36,0.2,5.1,1.7,15.52
2022-01-02,US,Washington D.C.,humidity,104,57.0,99.0,87.7,1514.2
2022-01-02,US,Washington D.C.,pm25,94,5.0,38.0,16.0,365.43
2022-01-02,US,Washington D.C.,wind-speed,89,0.1,8.7,2.0,43.65
2022-01-03,US,Washington D.C.,humidity,114,8.2,100.0,86.8,1523.66
2022-01-03,US,Washington D.C.,pm25,73,5.0,61.0,20.0,1280.84
2022-01-03,US,Washington D.C.,wind-speed,58,0.2,10.8,3.6,87.54
2022-01-04,US,Washington D.C.,wind-speed,30,0.2,5.6,2.0,21.85
2022-01-04,US,Washington D.C.,humidity,120,51.0,99.0,85.7,1485.52
2022-01-04,US,Washington D.C.,pm25,54,25.0,147.0,42.0,2740.28
2022-01-05,US,Washington D.C.,humidity,120,69.0,99.0,91.5,747.31
2022-01-05,US,Washington D.C.,pm25,96,13.0,87.0,42.0,1455.55
2022-01-05,US,Washington D.C.,wind-speed,52,0.1,6.1,2.2,32.19
2022-01-06,US,Washington D.C.,wind-speed,65,0.1,7.2,2.0,26.2
2022-01-06,US,Washington D.C.,humidity,119,8.2,99.0,60.6,4129.19
2022-01-06,US,Washington D.C.,pm25,116,13.0,65.0,38.0,1502.99
2022-01-07,US,Washington D.C.,wind-speed,106,0.2,9.7,4.1,60.99
2022-01-07,US,Washington D.C.,pm25,118,9.0,61.0,34.0,1471.02
2022-01-07,US,Washington D.C.,humidity,119,36.0,99.0,60.0,2876.71
2022-01-08,US,Washington D.C.,humidity,115,37.0,78.8,64.6,1199.77
2022-01-08,US,Washington D.C.,pm25,118,17.0,68.0,38.0,1233.87
2022-01-08,US,Washington D.C.,wind-speed,67,0.1,6.1,1.8,21.1
2022-01-09,US,Washington D.C.,humidity,110,54.0,99.0,84.6,1623.23
2022-01-09,US,Washington D.C.,pm25,120,21.0,61.0,42.0,802.21
2022-01-09,US,Washington D.C.,wind-speed,74,0.1,8.2,1.7,41.08
2022-01-10,US,Washington D.C.,pm25,118,5.0,46.0,21.0,884.54
2022-01-10,US,Washington D.C.,wind-speed,119,0.6,9.7,4.6,40.6
2022-01-10,US,Washington D.C.,humidity,120,31.0,81.2,49.0,846.49
2022-01-11,US,Washington D.C.,humidity,120,30.0,81.7,50.5,1403.54
2022-01-11,US,Washington D.C.,pm25,116,5.0,68.0,26.0,1987.81
2022-01-11,US,Washington D.C.,wind-speed,87,0.2,9.2,2.8,31.09
2022-01-12,US,Washington D.C.,humidity,120,33.0,84.5,58.0,1950.48
2022-01-12,US,Washington D.C.,pm25,120,13.0,80.0,34.0,1349.24
2022-01-12,US,Washington D.C.,wind-speed,60,0.2,7.2,3.1,34.18
2022-01-13,US,Washington D.C.,wind-speed,29,0.2,3.0,1.0,8.93
2022-01-13,US,Washington D.C.,humidity,120,37.0,94.3,66.7,1968.93
2022-01-13,US,Washington D.C.,pm25,120,32.0,82.0,55.0,1466.83
2022-01-14,US,Washington D.C.,wind-speed,93,0.3,9.7,3.9,65.66
2022-01-14,US,Washington D.C.,pm25,117,5.0,91.0,55.0,5299.44
2022-01-14,US,Washington D.C.,humidity,120,48.0,83.0,69.0,662.07
2022-01-15,US,Washington D.C.,humidity,120,30.0,64.5,46.0,792.14
2022-01-15,US,Washington D.C.,pm25,93,5.0,59.0,18.0,932.47
2022-01-15,US,Washington D.C.,wind-speed,99,0.2,8.7,2.5,52.52
2022-01-16,US,Washington D.C.,humidity,112,44.0,99.0,64.2,2766.89
2022-01-16,US,Washington D.C.,pm25,93,5.0,55.0,35.0,1061.57
2022-01-16,US,Washington D.C.,wind-speed,90,0.2,9.6,3.6,58.58
2022-01-17,US,Washington D.C.,pm25,90,5.0,46.0,20.0,977.86
2022-01-17,US,Washington D.C.,wind-speed,117,0.5,12.3,6.1,85.83
2022-01-17,US,Washington D.C.,humidity,109,37.0,99.0,63.0,3372.63
2022-01-18,US,Washington D.C.,humidity,120,38.0,92.0,64.0,1171.31
2022-01-18,US,Washington D.C.,pm25,92,9.0,54.0,25.0,1203.71
2022-01-18,US,Washington D.C.,wind-speed,93,0.1,8.8,4.4,51.42
2022-01-19,US,Washington D.C.,humidity,120,34.0,95.6,56.0,2972.06
2022-01-19,US,Washington D.C.,pm25,106,17.0,61.0,34.0,1043.42
2022-01-19,US,Washington D.C.,wind-speed,76,0.1,7.7,3.0,40.56
2022-01-20,US,Washington D.C.,wind-speed,76,0.1,7.7,2.6,48.87
2022-01-20,US,Washington D.C.,humidity,119,8.2,99.0,80.7,3151.85
2022-01-20,US,Washington D.C.,pm25,119,9.0,74.0,38.0,1866.54
2022-01-21,US,Washington D.C.,wind-speed,102,0.1,8.7,2.5,55.65
2022-01-21,US,Washington D.C.,pm25,116,9.0,55.0,27.0,905.03
2022-01-21,US,Washington D.C.,humidity,120,38.0,65.0,57.3,355.85
2022-01-22,US,Washington D.C.,humidity,119,19.0,71.6,52.0,2321.5
2022-01-22,US,Washington D.C.,pm25,120,5.0,99.0,37.0,4071.89
2022-01-22,US,Washington D.C.,wind-speed,74,0.2,5.6,2.0,23.25
2022-01-23,US,Washington D.C.,humidity,120,35.0,84.3,60.3,1608.54
2022-01-23,US,Washington D.C.,pm25,120,17.0,85.0,46.0,2121.06
2022-01-23,US,Washington D.C.,wind-speed,53,0.1,4.6,1.5,16.11
2022-01-24,US,Washington D.C.,pm25,120,21.0,70.0,51.0,843.51
2022-01-24,US,Washington D.C.,wind-speed,72,0.1,5.6,1.8,23.51
2022-01-24,US,Washington D.C.,humidity,120,41.0,83.0,67.0,1245.09
2022-01-25,US,Washington D.C.,humidity,120,43.0,91.6,62.5,1832.42
2022-01-25,US,Washington D.C.,pm25,117,17.0,63.0,41.0,1196.38
2022-01-25,US,Washington D.C.,wind-speed,72,0.5,9.7,2.5,55.09
2022-01-26,US,Washington D.C.,humidity,119,31.0,77.5,51.3,1099.82
2022-01-26,US,Washington D.C.,pm25,118,9.0,63.0,34.0,1849.39
2022-01-26,US,Washington D.C.,wind-speed,79,0.1,8.2,3.0,39.35
2022-01-27,US,Washington D.C.,wind-speed,52,0.2,5.7,2.5,23.05
2022-01-27,US,Washington D.C.,humidity,120,37.0,91.1,58.5,1958.76
2022-01-27,US,Washington D.C.,pm25,119,34.0,78.0,57.0,617.41
2022-01-28,US,Washington D.C.,wind-speed,58,0.1,6.6,1.5,29.92
2022-01-28,US,Washington D.C.,pm25,120,34.0,85.0,59.0,1088.29
2022-01-28,US,Washington D.C.,humidity,120,41.0,99.0,71.0,2258.35
2022-01-29,US,Washington D.C.,humidity,119,30.0,99.0,53.0,4155.83
2022-01-29,US,Washington D.C.,pm25,117,5.0,87.0,25.0,4149.24
2022-01-29,US,Washington D.C.,wind-speed,117,0.2,11.8,4.7,78.14
2022-01-30,US,Washington D.C.,humidity,120,33.0,87.5,52.6,1120.3
2022-01-30,US,Washington D.C.,pm25,119,13.0,63.0,30.0,1366.68
2022-01-30,US,Washington D.C.,wind-speed,75,0.2,6.1,2.1,15.9
2022-01-31,US,Washington D.C.,pm25,119,29.0,72.0,52.0,1004.43
2022-01-31,US,Washington D.C.,wind-speed,72,0.2,4.6,2.2,16.54
2022-01-31,US,Washington D.C.,humidity,120,44.0,84.0,65.5,905.47
2022-02-01,US,Washington D.C.,humidity,120,48.0,93.4,71.2,1326.9
2022-02-01,US,Washington D.C.,pm25,119,21.0,74.0,57.0,1354.43
2022-02-01,US,Washington D.C.,wind-speed,48,0.5,4.1,2.0,9.66
2022-02-02,US,Washington D.C.,humidity,120,51.5,99.0,86.0,1529.67
2022-02-02,US,Washington D.C.,pm25,118,13.0,72.0,55.0,2391.95
2022-02-02,US,Washington D.C.,wind-speed,46,0.1,3.6,1.8,7.96
2022-02-03,US,Washington D.C.,wind-speed,39,0.1,7.2,1.8,37.27
2022-02-03,US,Washington D.C.,humidity,104,66.0,99.0,95.0,257.62
2022-02-03,US,Washington D.C.,pm25,119,5.0,63.0,33.0,1310.46
2022-02-04,US,Washington D.C.,wind-speed,108,0.2,8.7,2.5,45.16
2022-02-04,US,Washington D.C.,pm25,109,5.0,53.0,19.0,1196.97
2022-02-04,US,Washington D.C.,humidity,102,49.3,99.0,91.3,861.17
2022-02-05,US,Washington D.C.,humidity,118,36.0,81.6,55.0,1532.93
2022-02-05,US,Washington D.C.,pm25,117,5.0,57.0,26.0,1098.3
2022-02-05,US,Washington D.C.,wind-speed,97,0.3,10.8,4.6,55.01
2022-02-06,US,Washington D.C.,humidity,120,27.0,92.6,52.3,3413.49
2022-02-06,US,Washington D.C.,pm25,116,5.0,68.0,28.0,2000.39
2022-02-06,US,Washington D.C.,wind-speed,57,0.1,4.6,1.5,10.98
2022-02-07,US,Washington D.C.,pm25,120,17.0,73.0,44.0,1485.09
2022-02-07,US,Washington D.C.,wind-speed,51,0.1,4.1,1.4,11.54
2022-02-07,US,Washington D.C.,humidity,120,47.0,99.0,76.0,1445.27
2022-02-08,US,Washington D.C.,humidity,120,28.0,99.0,64.0,4485.05
2022-02-08,US,Washington D.C.,pm25,118,5.0,68.0,46.0,1724.43
2022-02-08,US,Washington D.C.,wind-speed,64,0.2,6.7,3.0,38.57
2022-02-09,US,Washington D.C.,humidity,120,35.0,95.4,66.7,3242.38
2022-02-09,US,Washington D.C.,pm25,118,5.0,85.0,42.0,2567.76
2022-02-09,US,Washington D.C.,wind-speed,52,0.1,5.6,2.5,22.24
2022-02-10,US,Washington D.C.,wind-speed,61,0.1,9.4,4.0,60.07
