Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,CA,Winnipeg,humidity,22,56.0,82.7,67.0,601.27
2022-01-01,CA,Winnipeg,pm10,24,2.0,9.0,3.0,21.29
2022-01-01,CA,Winnipeg,pm25,24,26.0,112.0,28.0,3134.13
2022-01-01,CA,Winnipeg,wind-speed,22,0.2,4.1,2.5,14.15
2022-01-02,CA,Winnipeg,humidity,24,71.3,83.3,81.8,131.46
2022-01-02,CA,Winnipeg,pm10,23,2.0,6.0,3.0,12.61
2022-01-02,CA,Winnipeg,pm25,24,26.0,43.0,36.0,242.54
2022-01-02,CA,Winnipeg,wind-speed,24,0.1,3.8,1.5,13.38
2022-01-03,CA,Winnipeg,wind-speed,24,0.1,4.6,1.5,11.96
2022-01-03,CA,Winnipeg,pm25,24,28.0,40.0,36.0,133.02
2022-01-03,CA,Winnipeg,humidity,24,76.0,86.0,80.4,119.24
2022-01-03,CA,Winnipeg,pm10,24,1.0,6.0,3.0,19.93
2022-01-04,CA,Winnipeg,wind-speed,24,2.5,28.0,4.1,794.71
2022-01-04,CA,Winnipeg,humidity,24,77.0,86.0,77.0,92.75
2022-01-04,CA,Winnipeg,pm10,24,2.0,4.0,3.0,4.76
2022-01-04,CA,Winnipeg,pm25,24,8.0,27.0,16.0,287.75
2022-01-05,CA,Winnipeg,wind-speed,24,3.6,27.5,16.0,287.99
2022-01-05,CA,Winnipeg,pm25,24,8.0,16.0,11.0,54.33
2022-01-05,CA,Winnipeg,humidity,24,62.0,76.0,68.0,207.16
2022-01-05,CA,Winnipeg,pm10,24,2.0,5.0,3.0,6.07
2022-01-06,CA,Winnipeg,humidity,24,68.0,84.2,78.4,363.79
2022-01-06,CA,Winnipeg,pm10,24,1.0,5.0,3.0,5.49
2022-01-06,CA,Winnipeg,pm25,24,13.0,22.0,15.0,88.41
2022-01-06,CA,Winnipeg,wind-speed,16,0.2,11.0,4.0,156.33
2022-01-07,CA,Winnipeg,wind-speed,17,0.1,3.5,2.1,10.5
2022-01-07,CA,Winnipeg,pm25,24,17.0,30.0,22.0,167.37
2022-01-07,CA,Winnipeg,humidity,24,74.0,85.0,81.7,89.52
2022-01-07,CA,Winnipeg,pm10,24,1.0,5.0,2.0,11.3
2022-01-08,CA,Winnipeg,humidity,24,63.0,88.6,76.0,541.74
2022-01-08,CA,Winnipeg,pm10,24,2.0,7.0,5.0,16.5
2022-01-08,CA,Winnipeg,pm25,24,16.0,34.0,25.0,350.14
2022-01-08,CA,Winnipeg,wind-speed,24,1.0,20.0,2.5,271.25
2022-01-09,CA,Winnipeg,pm25,24,15.0,28.0,24.0,182.54
2022-01-09,CA,Winnipeg,humidity,24,57.0,69.0,63.0,144.33
2022-01-09,CA,Winnipeg,pm10,24,3.0,7.0,4.0,9.98
2022-01-09,CA,Winnipeg,wind-speed,24,1.0,16.0,2.0,208.47
2022-01-10,CA,Winnipeg,wind-speed,24,0.5,12.0,1.5,96.88
2022-01-10,CA,Winnipeg,pm25,24,15.0,54.0,17.0,595.65
2022-01-10,CA,Winnipeg,humidity,24,53.0,68.0,63.0,195.49
2022-01-10,CA,Winnipeg,pm10,24,1.0,5.0,3.0,22.16
2022-01-11,CA,Winnipeg,humidity,24,59.0,79.0,72.0,307.54
2022-01-11,CA,Winnipeg,pm10,24,1.0,7.0,5.0,32.59
2022-01-11,CA,Winnipeg,pm25,24,18.0,50.0,30.0,1391.01
2022-01-11,CA,Winnipeg,wind-speed,23,0.5,26.0,2.0,622.11
2022-01-12,CA,Winnipeg,humidity,23,71.0,85.0,78.0,181.34
2022-01-12,CA,Winnipeg,pm10,24,2.0,9.0,3.0,22.32
2022-01-12,CA,Winnipeg,pm25,24,26.0,46.0,30.0,273.04
2022-01-12,CA,Winnipeg,wind-speed,23,0.5,8.7,1.5,43.33
2022-01-13,CA,Winnipeg,humidity,22,59.0,85.0,71.0,453.94
2022-01-13,CA,Winnipeg,pm10,23,1.0,7.0,3.0,20.75
2022-01-13,CA,Winnipeg,pm25,24,17.0,48.0,19.0,981.74
2022-01-13,CA,Winnipeg,wind-speed,22,0.5,7.3,2.5,23.66
2022-01-14,CA,Winnipeg,wind-speed,21,0.5,6.1,3.0,20.33
2022-01-14,CA,Winnipeg,pm25,24,15.0,27.0,19.0,189.84
2022-01-14,CA,Winnipeg,pm10,24,3.0,5.0,4.0,5.63
2022-01-14,CA,Winnipeg,humidity,21,59.0,71.0,70.0,130.62
2022-01-15,CA,Winnipeg,humidity,23,64.0,88.5,72.0,509.0
2022-01-15,CA,Winnipeg,pm10,24,1.0,4.0,2.0,5.63
2022-01-15,CA,Winnipeg,pm25,24,22.0,29.0,24.0,41.96
2022-01-15,CA,Winnipeg,wind-speed,23,1.5,27.5,3.6,826.48
2022-01-16,CA,Winnipeg,humidity,24,67.0,92.0,79.0,600.27
2022-01-16,CA,Winnipeg,pm10,23,2.0,7.0,3.0,26.32
2022-01-16,CA,Winnipeg,pm25,24,10.0,26.0,16.0,330.85
2022-01-16,CA,Winnipeg,wind-speed,24,1.0,18.0,4.6,192.49
2022-01-17,CA,Winnipeg,humidity,24,71.0,85.0,78.0,271.88
2022-01-17,CA,Winnipeg,pm10,23,1.0,5.0,2.0,13.4
2022-01-17,CA,Winnipeg,pm25,24,9.0,18.0,10.0,76.74
2022-01-17,CA,Winnipeg,wind-speed,24,1.0,15.0,2.5,74.54
2022-01-18,CA,Winnipeg,pm25,24,9.0,13.0,11.0,18.24
2022-01-18,CA,Winnipeg,wind-speed,24,1.0,5.6,3.0,19.41
2022-01-18,CA,Winnipeg,humidity,24,70.0,92.0,78.0,447.17
2022-01-18,CA,Winnipeg,pm10,24,1.0,6.0,3.0,21.29
2022-01-19,CA,Winnipeg,wind-speed,24,0.5,8.0,2.5,22.87
2022-01-19,CA,Winnipeg,pm25,24,10.0,17.0,14.0,30.71
2022-01-19,CA,Winnipeg,pm10,24,3.0,6.0,4.0,5.8
2022-01-19,CA,Winnipeg,humidity,24,57.0,76.0,69.0,248.7
2022-01-20,CA,Winnipeg,humidity,24,63.0,76.0,69.0,189.49
2022-01-20,CA,Winnipeg,pm10,24,1.0,5.0,2.0,11.01
2022-01-20,CA,Winnipeg,pm25,24,17.0,28.0,23.0,85.63
2022-01-20,CA,Winnipeg,wind-speed,24,0.5,27.0,10.0,906.08
2022-01-21,CA,Winnipeg,humidity,24,65.0,92.0,77.0,353.75
2022-01-21,CA,Winnipeg,pm10,24,1.0,7.0,4.0,30.71
2022-01-21,CA,Winnipeg,pm25,24,16.0,30.0,24.0,134.33
2022-01-21,CA,Winnipeg,wind-speed,24,1.0,36.0,4.1,2034.37
2022-01-22,CA,Winnipeg,humidity,24,64.0,76.0,69.0,153.26
2022-01-22,CA,Winnipeg,pm10,24,1.0,5.0,3.0,7.81
2022-01-22,CA,Winnipeg,pm25,24,9.0,17.0,13.0,46.67
2022-01-22,CA,Winnipeg,wind-speed,24,0.5,15.0,1.0,87.93
2022-01-23,CA,Winnipeg,pm25,24,8.0,15.0,13.0,33.89
2022-01-23,CA,Winnipeg,wind-speed,23,0.5,17.0,1.0,121.24
2022-01-23,CA,Winnipeg,humidity,24,65.0,77.0,76.0,119.52
2022-01-23,CA,Winnipeg,pm10,23,1.0,4.0,3.0,9.64
2022-01-24,CA,Winnipeg,humidity,24,63.0,77.0,70.5,147.17
2022-01-24,CA,Winnipeg,pm10,24,1.0,6.0,4.0,10.85
2022-01-24,CA,Winnipeg,pm25,24,15.0,19.0,17.0,16.45
2022-01-24,CA,Winnipeg,wind-speed,24,1.5,12.0,4.1,148.3
2022-01-25,CA,Winnipeg,pm25,23,13.0,68.0,15.0,1231.34
2022-01-25,CA,Winnipeg,wind-speed,24,1.5,13.0,4.1,70.98
2022-01-25,CA,Winnipeg,humidity,24,66.0,76.0,69.0,137.39
2022-01-25,CA,Winnipeg,pm10,20,1.0,6.0,3.0,20.5
2022-01-26,CA,Winnipeg,humidity,23,58.0,86.0,75.0,570.79
2022-01-26,CA,Winnipeg,pm10,19,2.0,8.0,5.0,36.08
2022-01-26,CA,Winnipeg,pm25,24,12.0,29.0,21.0,306.94
2022-01-26,CA,Winnipeg,wind-speed,24,1.5,31.0,3.6,337.31
2022-01-27,CA,Winnipeg,wind-speed,24,1.5,11.3,2.5,83.53
2022-01-27,CA,Winnipeg,humidity,24,60.0,75.5,65.0,148.58
2022-01-27,CA,Winnipeg,pm10,24,2.0,6.0,3.0,16.94
2022-01-27,CA,Winnipeg,pm25,24,8.0,19.0,10.0,75.36
2022-01-28,CA,Winnipeg,wind-speed,24,1.5,9.0,3.0,32.89
2022-01-28,CA,Winnipeg,pm25,24,9.0,23.0,19.0,216.45
2022-01-28,CA,Winnipeg,humidity,24,65.0,84.0,76.0,317.81
2022-01-28,CA,Winnipeg,pm10,24,1.0,7.0,3.0,17.32
2022-01-29,CA,Winnipeg,humidity,24,71.0,84.0,78.0,247.83
2022-01-29,CA,Winnipeg,pm10,24,1.0,6.0,4.0,22.61
2022-01-29,CA,Winnipeg,pm25,24,17.0,40.0,28.0,533.03
2022-01-29,CA,Winnipeg,wind-speed,24,1.0,21.0,8.2,399.06
2022-01-30,CA,Winnipeg,wind-speed,24,0.5,16.0,6.6,153.86
2022-01-30,CA,Winnipeg,humidity,24,76.0,85.0,78.0,123.75
2022-01-30,CA,Winnipeg,pm10,24,2.0,5.0,3.0,7.83
2022-01-30,CA,Winnipeg,pm25,24,16.0,28.0,18.0,151.29
2022-01-31,CA,Winnipeg,humidity,24,73.0,92.0,79.0,299.96
2022-01-31,CA,Winnipeg,pm10,24,2.0,5.0,3.0,4.93
2022-01-31,CA,Winnipeg,pm25,24,25.0,53.0,35.0,731.88
2022-01-31,CA,Winnipeg,wind-speed,24,0.5,12.3,1.0,180.06
2022-02-01,CA,Winnipeg,pm25,23,16.0,59.0,19.0,1938.02
2022-02-01,CA,Winnipeg,wind-speed,24,5.1,20.0,12.8,115.8
2022-02-01,CA,Winnipeg,humidity,24,63.0,94.6,77.0,745.76
2022-02-01,CA,Winnipeg,pm10,23,3.0,6.0,5.0,5.34
2022-02-02,CA,Winnipeg,wind-speed,24,1.0,10.0,3.0,75.09
2022-02-02,CA,Winnipeg,pm25,24,16.0,26.0,20.0,86.09
2022-02-02,CA,Winnipeg,humidity,24,57.0,69.0,68.0,123.19
2022-02-02,CA,Winnipeg,pm10,24,2.0,6.0,4.0,9.98
2022-02-03,CA,Winnipeg,humidity,24,57.0,76.0,68.0,344.57
2022-02-03,CA,Winnipeg,pm10,24,2.0,10.0,3.0,26.01
2022-02-03,CA,Winnipeg,pm25,23,25.0,114.0,28.0,3705.14
