Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,JP,Yokohama,humidity,544,12.7,76.0,42.2,2071.17
2022-01-01,JP,Yokohama,pm10,508,1.0,34.0,5.0,74.74
2022-01-01,JP,Yokohama,pm25,427,1.0,72.0,13.0,1710.86
2022-01-01,JP,Yokohama,wind-speed,477,0.1,6.7,1.8,12.82
2022-01-02,JP,Yokohama,humidity,552,26.2,81.0,52.5,1038.69
2022-01-02,JP,Yokohama,pm10,525,1.0,36.0,6.0,118.8
2022-01-02,JP,Yokohama,pm25,471,1.0,78.0,17.0,1566.27
2022-01-02,JP,Yokohama,wind-speed,463,0.1,7.4,1.7,17.22
2022-01-03,JP,Yokohama,wind-speed,482,0.1,5.6,1.7,14.2
2022-01-03,JP,Yokohama,pm25,502,1.0,76.0,21.0,2613.57
2022-01-03,JP,Yokohama,humidity,552,35.0,88.0,61.0,1404.8
2022-01-03,JP,Yokohama,pm10,539,1.0,26.0,7.0,135.99
2022-01-04,JP,Yokohama,humidity,527,29.0,93.0,53.6,3400.87
2022-01-04,JP,Yokohama,pm10,520,1.0,47.0,7.0,171.99
2022-01-04,JP,Yokohama,pm25,459,1.0,122.0,25.0,2764.19
2022-01-04,JP,Yokohama,wind-speed,456,0.1,10.2,3.1,44.87
2022-01-05,JP,Yokohama,humidity,552,16.2,59.0,37.5,1058.94
2022-01-05,JP,Yokohama,pm10,491,1.0,28.0,4.0,67.85
2022-01-05,JP,Yokohama,pm25,401,1.0,63.0,13.0,1137.24
2022-01-05,JP,Yokohama,wind-speed,546,0.2,9.2,3.5,41.14
2022-01-06,JP,Yokohama,wind-speed,466,0.2,6.3,2.7,17.27
2022-01-06,JP,Yokohama,pm25,509,1.0,76.0,25.0,2556.24
2022-01-06,JP,Yokohama,precipitation,6,0.5,0.5,0.5,0.0
2022-01-06,JP,Yokohama,humidity,552,39.0,100.0,75.5,4458.9
2022-01-06,JP,Yokohama,pm10,517,1.0,34.0,8.0,174.49
2022-01-07,JP,Yokohama,humidity,552,26.0,97.0,51.7,4925.71
2022-01-07,JP,Yokohama,pm10,525,1.0,31.0,7.0,316.34
2022-01-07,JP,Yokohama,pm25,477,1.0,80.0,25.0,4226.92
2022-01-07,JP,Yokohama,wind-speed,429,0.1,7.6,2.1,24.42
2022-01-08,JP,Yokohama,humidity,552,32.0,89.0,49.2,1343.23
2022-01-08,JP,Yokohama,pm10,531,1.0,37.0,9.0,306.75
2022-01-08,JP,Yokohama,pm25,525,1.0,82.0,30.0,3965.72
2022-01-08,JP,Yokohama,wind-speed,485,0.1,6.0,1.5,15.96
2022-01-09,JP,Yokohama,pm25,539,1.0,102.0,46.0,3695.26
2022-01-09,JP,Yokohama,wind-speed,452,0.2,6.2,1.6,18.7
2022-01-09,JP,Yokohama,humidity,552,29.0,96.0,55.2,1747.22
2022-01-09,JP,Yokohama,pm10,544,1.0,40.0,12.0,330.26
2022-01-10,JP,Yokohama,humidity,546,49.0,79.0,60.7,409.22
2022-01-10,JP,Yokohama,pm10,537,1.0,29.0,10.0,141.9
2022-01-10,JP,Yokohama,pm25,548,1.0,85.0,34.0,2134.1
2022-01-10,JP,Yokohama,precipitation,6,99.0,99.0,99.0,0.0
2022-01-10,JP,Yokohama,wind-speed,504,0.1,10.0,3.2,41.74
2022-01-11,JP,Yokohama,precipitation,12,0.4,1.3,0.4,2.21
2022-01-11,JP,Yokohama,pm25,542,1.0,91.0,42.0,2861.79
2022-01-11,JP,Yokohama,wind-speed,516,0.1,9.0,1.9,28.66
2022-01-11,JP,Yokohama,humidity,549,64.0,100.0,89.6,1019.04
2022-01-11,JP,Yokohama,pm10,546,1.0,40.0,11.0,246.94
2022-01-12,JP,Yokohama,pm25,445,1.0,91.0,17.0,2026.79
2022-01-12,JP,Yokohama,wind-speed,481,0.2,7.5,1.6,19.29
2022-01-12,JP,Yokohama,humidity,552,23.0,97.0,52.3,4421.59
2022-01-12,JP,Yokohama,pm10,506,1.0,23.0,5.0,116.9
2022-01-13,JP,Yokohama,humidity,462,33.0,83.0,50.2,927.56
2022-01-13,JP,Yokohama,pm10,517,1.0,33.0,6.0,116.72
2022-01-13,JP,Yokohama,pm25,475,1.0,149.0,21.0,2181.51
2022-01-13,JP,Yokohama,wind-speed,464,0.2,10.8,3.0,77.64
2022-01-14,JP,Yokohama,humidity,545,15.0,71.0,43.0,2372.6
2022-01-14,JP,Yokohama,pm10,504,1.0,23.0,4.0,104.81
2022-01-14,JP,Yokohama,pm25,409,1.0,95.0,17.0,2142.12
2022-01-14,JP,Yokohama,wind-speed,457,0.2,6.5,1.7,16.57
2022-01-15,JP,Yokohama,pm25,490,1.0,72.0,21.0,1930.31
2022-01-15,JP,Yokohama,wind-speed,410,0.1,5.6,1.7,11.5
2022-01-15,JP,Yokohama,humidity,528,17.7,72.0,45.3,2271.19
2022-01-15,JP,Yokohama,pm10,512,1.0,35.0,7.0,116.2
2022-01-16,JP,Yokohama,humidity,513,32.2,81.0,56.6,1100.79
2022-01-16,JP,Yokohama,pm10,539,1.0,40.0,9.0,272.58
2022-01-16,JP,Yokohama,pm25,524,1.0,109.0,30.0,4053.21
2022-01-16,JP,Yokohama,wind-speed,421,0.1,8.2,1.7,32.75
2022-01-17,JP,Yokohama,humidity,533,39.3,83.0,54.0,1898.55
2022-01-17,JP,Yokohama,pm10,524,1.0,37.0,13.0,469.08
2022-01-17,JP,Yokohama,pm25,527,1.0,114.0,50.0,4813.32
2022-01-17,JP,Yokohama,wind-speed,431,0.2,5.6,1.3,14.65
2022-01-18,JP,Yokohama,humidity,549,26.0,89.0,39.0,1670.2
2022-01-18,JP,Yokohama,pm10,498,1.0,24.0,5.0,83.94
2022-01-18,JP,Yokohama,pm25,432,1.0,68.0,17.0,1715.41
2022-01-18,JP,Yokohama,wind-speed,518,0.2,6.8,2.5,22.44
2022-01-19,JP,Yokohama,wind-speed,458,0.1,8.6,2.1,38.28
2022-01-19,JP,Yokohama,pm25,478,1.0,91.0,21.0,2487.91
2022-01-19,JP,Yokohama,humidity,552,24.0,76.0,38.2,1427.49
2022-01-19,JP,Yokohama,pm10,520,1.0,30.0,6.0,158.95
2022-01-20,JP,Yokohama,humidity,552,30.0,88.0,52.3,2182.19
2022-01-20,JP,Yokohama,pm10,525,1.0,35.0,9.0,324.82
2022-01-20,JP,Yokohama,pm25,498,1.0,95.0,30.0,3839.0
2022-01-20,JP,Yokohama,wind-speed,486,0.1,8.0,2.5,33.81
2022-01-21,JP,Yokohama,humidity,551,19.0,69.0,43.9,1275.47
2022-01-21,JP,Yokohama,pm10,497,1.0,26.0,4.0,72.68
2022-01-21,JP,Yokohama,pm25,415,1.0,63.0,13.0,1195.33
2022-01-21,JP,Yokohama,wind-speed,515,0.3,11.2,3.8,58.0
2022-01-22,JP,Yokohama,pm25,480,1.0,80.0,21.0,3025.19
2022-01-22,JP,Yokohama,wind-speed,445,0.1,5.2,1.6,14.85
2022-01-22,JP,Yokohama,pm10,530,1.0,29.0,7.0,185.35
2022-01-22,JP,Yokohama,humidity,552,30.0,74.0,48.0,1098.36
2022-01-23,JP,Yokohama,humidity,551,38.0,94.0,53.2,1052.29
2022-01-23,JP,Yokohama,pm10,542,1.0,40.0,10.0,229.59
2022-01-23,JP,Yokohama,pm25,545,1.0,85.0,34.0,2957.77
2022-01-23,JP,Yokohama,wind-speed,474,0.1,6.0,1.7,23.36
2022-01-24,JP,Yokohama,humidity,550,30.0,96.0,52.5,2225.13
2022-01-24,JP,Yokohama,pm10,521,1.0,40.0,10.0,380.01
2022-01-24,JP,Yokohama,pm25,517,1.0,85.0,30.0,3846.42
2022-01-24,JP,Yokohama,precipitation,12,99.0,99.0,99.0,0.0
2022-01-24,JP,Yokohama,wind-speed,497,0.2,9.6,3.0,61.63
2022-01-25,JP,Yokohama,wind-speed,482,0.1,5.0,1.6,13.14
2022-01-25,JP,Yokohama,precipitation,6,99.0,99.0,99.0,0.0
2022-01-25,JP,Yokohama,pm10,542,1.0,24.0,10.0,107.13
2022-01-25,JP,Yokohama,pm25,531,1.0,70.0,30.0,2290.86
2022-01-25,JP,Yokohama,humidity,552,46.0,92.0,59.7,1113.81
2022-01-26,JP,Yokohama,humidity,551,54.7,97.0,79.6,1296.58
2022-01-26,JP,Yokohama,pm10,540,6.0,46.0,18.0,519.76
2022-01-26,JP,Yokohama,pm25,539,1.0,114.0,61.0,5277.92
2022-01-26,JP,Yokohama,precipitation,12,99.5,99.5,99.5,0.0
2022-01-26,JP,Yokohama,wind-speed,504,0.1,7.3,2.0,35.11
2022-01-27,JP,Yokohama,humidity,552,31.0,99.0,44.0,5968.75
2022-01-27,JP,Yokohama,pm10,540,1.0,53.0,12.0,667.72
2022-01-27,JP,Yokohama,pm25,536,1.0,99.0,46.0,5462.71
2022-01-27,JP,Yokohama,wind-speed,494,0.1,7.7,2.3,34.69
2022-01-28,JP,Yokohama,wind-speed,492,0.2,8.0,2.4,31.69
2022-01-28,JP,Yokohama,precipitation,12,99.0,99.0,99.0,0.0
2022-01-28,JP,Yokohama,pm10,538,1.0,29.0,12.0,196.77
2022-01-28,JP,Yokohama,humidity,547,31.0,70.0,42.2,246.8
2022-01-28,JP,Yokohama,pm25,535,1.0,85.0,46.0,2851.59
2022-01-29,JP,Yokohama,humidity,547,33.3,88.0,51.3,715.02
2022-01-29,JP,Yokohama,pm10,526,1.0,25.0,8.0,178.12
2022-01-29,JP,Yokohama,pm25,515,1.0,95.0,25.0,3144.45
2022-01-29,JP,Yokohama,wind-speed,499,0.2,5.7,2.0,16.56
2022-01-30,JP,Yokohama,humidity,544,31.0,87.0,42.0,1216.3
2022-01-30,JP,Yokohama,pm10,500,1.0,34.0,6.0,260.74
2022-01-30,JP,Yokohama,pm25,483,1.0,72.0,17.0,3367.7
2022-01-30,JP,Yokohama,wind-speed,512,0.2,8.7,3.1,38.83
2022-01-31,JP,Yokohama,wind-speed,487,0.2,8.7,2.8,41.04
2022-01-31,JP,Yokohama,pm25,466,1.0,78.0,17.0,1722.71
2022-01-31,JP,Yokohama,humidity,545,22.0,60.0,38.0,921.74
2022-01-31,JP,Yokohama,pm10,492,1.0,25.0,6.0,88.28
2022-02-01,JP,Yokohama,humidity,548,27.2,75.0,44.2,1004.42
2022-02-01,JP,Yokohama,pm10,535,1.0,61.0,8.0,218.74
2022-02-01,JP,Yokohama,pm25,512,1.0,102.0,25.0,2645.21
2022-02-01,JP,Yokohama,wind-speed,479,0.2,7.3,2.2,28.21
2022-02-02,JP,Yokohama,wind-speed,451,0.1,6.2,1.9,16.57
2022-02-02,JP,Yokohama,humidity,551,22.6,86.0,50.7,2425.01
2022-02-02,JP,Yokohama,pm10,531,1.0,36.0,10.0,141.21
2022-02-02,JP,Yokohama,pm25,520,1.0,78.0,38.0,2799.39
2022-02-03,JP,Yokohama,wind-speed,452,0.1,9.0,1.5,24.89
2022-02-03,JP,Yokohama,pm25,507,1.0,137.0,50.0,4455.6
2022-02-03,JP,Yokohama,humidity,538,23.0,77.0,46.0,1501.84
2022-02-03,JP,Yokohama,pm10,524,1.0,38.0,14.0,471.54
2022-02-04,JP,Yokohama,wind-speed,459,0.1,7.5,2.0,30.58
2022-02-04,JP,Yokohama,humidity,552,34.0,79.0,46.3,870.86
2022-02-04,JP,Yokohama,pm10,519,1.0,25.0,8.0,249.89
2022-02-04,JP,Yokohama,pm25,497,1.0,78.0,25.0,3890.83
2022-02-05,JP,Yokohama,pm25,501,1.0,89.0,25.0,3388.62
2022-02-05,JP,Yokohama,wind-speed,497,0.1,7.7,1.8,21.27
2022-02-05,JP,Yokohama,humidity,552,29.0,89.0,45.2,2434.05
2022-02-05,JP,Yokohama,pm10,528,1.0,38.0,8.0,217.92
2022-02-06,JP,Yokohama,wind-speed,483,0.1,5.5,1.8,14.51
2022-02-06,JP,Yokohama,pm25,518,1.0,93.0,21.0,1845.17
2022-02-06,JP,Yokohama,pm10,520,1.0,28.0,7.0,87.43
2022-02-06,JP,Yokohama,humidity,552,24.0,77.0,46.1,1546.3
2022-02-07,JP,Yokohama,humidity,552,24.0,64.0,41.0,1313.82
2022-02-07,JP,Yokohama,pm10,523,1.0,29.0,7.0,113.43
2022-02-07,JP,Yokohama,pm25,498,1.0,82.0,21.0,2081.17
2022-02-07,JP,Yokohama,wind-speed,504,0.1,7.0,1.9,21.49
2022-02-08,JP,Yokohama,humidity,551,37.0,82.0,49.0,1152.43
