Date,Country,City,Specie,count,min,max,median,variance
2022-01-01,HR,Zagreb,humidity,72,62.5,84.0,81.0,488.36
2022-01-01,HR,Zagreb,pm10,46,40.0,165.0,69.0,5659.21
2022-01-01,HR,Zagreb,pm25,23,156.0,200.0,168.0,1419.68
2022-01-01,HR,Zagreb,wind-speed,27,0.2,1.0,0.5,1.05
2022-01-02,HR,Zagreb,humidity,72,69.7,84.2,81.0,222.71
2022-01-02,HR,Zagreb,pm10,48,11.0,95.0,50.0,4228.19
2022-01-02,HR,Zagreb,pm25,24,115.0,196.0,160.0,5216.52
2022-01-02,HR,Zagreb,wind-speed,18,0.2,0.7,0.2,0.41
2022-01-03,HR,Zagreb,wind-speed,63,0.2,2.7,1.0,6.36
2022-01-03,HR,Zagreb,pm25,24,47.0,155.0,73.0,12437.4
2022-01-03,HR,Zagreb,humidity,72,65.0,81.2,78.0,247.33
2022-01-03,HR,Zagreb,pm10,48,2.0,56.0,19.0,1904.11
2022-01-04,HR,Zagreb,humidity,72,67.0,81.0,71.7,282.64
2022-01-04,HR,Zagreb,pm10,48,2.0,32.0,10.0,698.61
2022-01-04,HR,Zagreb,pm25,24,30.0,98.0,52.0,4616.07
2022-01-04,HR,Zagreb,wind-speed,60,0.2,4.2,2.7,14.32
2022-01-05,HR,Zagreb,humidity,72,55.2,82.0,69.0,701.66
2022-01-05,HR,Zagreb,pm10,46,1.0,23.0,6.0,151.77
2022-01-05,HR,Zagreb,pm25,24,11.0,60.0,25.0,1127.66
2022-01-05,HR,Zagreb,wind-speed,60,0.2,3.5,1.7,7.8
2022-01-06,HR,Zagreb,wind-speed,12,0.2,0.2,0.2,0.0
2022-01-06,HR,Zagreb,pm25,24,8.0,162.0,33.0,19627.0
2022-01-06,HR,Zagreb,humidity,72,80.2,84.0,82.2,17.42
2022-01-06,HR,Zagreb,pm10,44,1.0,63.0,7.0,2008.56
2022-01-07,HR,Zagreb,humidity,72,49.7,82.0,68.7,1317.27
2022-01-07,HR,Zagreb,pm10,28,4.0,54.0,15.0,2872.86
2022-01-07,HR,Zagreb,pm25,15,44.0,152.0,92.0,18312.1
2022-01-07,HR,Zagreb,wind-speed,24,0.2,2.0,0.2,3.52
2022-01-08,HR,Zagreb,wind-speed,51,0.2,1.5,0.5,1.51
2022-01-08,HR,Zagreb,humidity,72,62.7,81.7,78.7,254.38
2022-01-08,HR,Zagreb,pm10,46,9.0,73.0,34.0,3150.3
2022-01-08,HR,Zagreb,pm25,23,99.0,173.0,153.0,5478.38
2022-01-09,HR,Zagreb,humidity,72,77.0,83.0,79.2,42.72
2022-01-09,HR,Zagreb,pm10,48,18.0,62.0,41.0,1699.46
2022-01-09,HR,Zagreb,pm25,24,133.0,162.0,152.0,700.85
2022-01-09,HR,Zagreb,wind-speed,3,0.2,0.2,0.2,0.0
2022-01-10,HR,Zagreb,pm25,24,69.0,160.0,145.0,7543.46
2022-01-10,HR,Zagreb,wind-speed,30,0.5,1.5,1.0,1.25
2022-01-10,HR,Zagreb,humidity,72,67.7,83.2,82.5,184.66
2022-01-10,HR,Zagreb,pm10,48,3.0,61.0,36.0,2501.97
2022-01-11,HR,Zagreb,wind-speed,72,0.5,2.7,1.5,3.28
2022-01-11,HR,Zagreb,pm25,24,65.0,101.0,79.0,1097.37
2022-01-11,HR,Zagreb,humidity,72,51.5,73.5,63.7,380.04
2022-01-11,HR,Zagreb,pm10,48,6.0,35.0,19.0,610.43
2022-01-12,HR,Zagreb,humidity,72,54.7,78.5,63.2,385.28
2022-01-12,HR,Zagreb,pm10,48,1.0,68.0,22.0,2572.23
2022-01-12,HR,Zagreb,pm25,24,68.0,168.0,95.0,10556.5
2022-01-12,HR,Zagreb,wind-speed,60,0.2,1.5,1.0,1.23
2022-01-13,HR,Zagreb,wind-speed,57,0.2,2.2,1.0,2.87
2022-01-13,HR,Zagreb,pm25,24,83.0,188.0,151.0,9905.8
2022-01-13,HR,Zagreb,humidity,72,61.0,82.0,78.5,525.56
2022-01-13,HR,Zagreb,pm10,46,12.0,87.0,35.0,4253.49
2022-01-14,HR,Zagreb,humidity,72,50.7,81.0,74.5,1308.34
2022-01-14,HR,Zagreb,pm10,48,11.0,118.0,42.0,4670.19
2022-01-14,HR,Zagreb,pm25,24,69.0,234.0,142.0,14775.9
2022-01-14,HR,Zagreb,wind-speed,33,0.2,1.7,0.7,1.92
2022-01-15,HR,Zagreb,pm25,24,66.0,203.0,169.0,17003.4
2022-01-15,HR,Zagreb,humidity,72,55.7,82.0,78.5,828.57
2022-01-15,HR,Zagreb,pm10,48,2.0,101.0,44.0,6283.79
2022-01-15,HR,Zagreb,wind-speed,30,0.2,1.3,0.5,1.58
2022-01-16,HR,Zagreb,wind-speed,12,0.2,0.5,0.2,0.16
2022-01-16,HR,Zagreb,pm25,24,139.0,199.0,175.0,3401.09
2022-01-16,HR,Zagreb,pm10,48,13.0,98.0,59.0,4761.26
2022-01-16,HR,Zagreb,humidity,69,63.6,83.0,80.3,346.52
2022-01-17,HR,Zagreb,humidity,72,68.2,82.0,75.7,252.6
2022-01-17,HR,Zagreb,pm10,48,20.0,90.0,50.0,3636.15
2022-01-17,HR,Zagreb,pm25,24,66.0,192.0,162.0,9372.97
2022-01-17,HR,Zagreb,wind-speed,39,0.2,2.0,0.5,3.99
2022-01-18,HR,Zagreb,pm25,24,30.0,175.0,72.0,23040.2
2022-01-18,HR,Zagreb,wind-speed,45,0.2,3.2,0.7,8.02
2022-01-18,HR,Zagreb,humidity,72,53.0,81.0,74.2,903.53
2022-01-18,HR,Zagreb,pm10,48,1.0,76.0,19.0,4120.27
2022-01-19,HR,Zagreb,humidity,72,56.5,80.2,73.7,573.86
2022-01-19,HR,Zagreb,pm10,48,9.0,81.0,36.0,4415.59
2022-01-19,HR,Zagreb,pm25,24,87.0,173.0,155.0,9489.49
2022-01-19,HR,Zagreb,wind-speed,27,0.2,1.5,0.5,1.53
2022-01-20,HR,Zagreb,wind-speed,45,0.2,2.0,0.7,2.99
2022-01-20,HR,Zagreb,humidity,72,78.0,83.7,80.0,39.45
2022-01-20,HR,Zagreb,pm10,48,12.0,61.0,31.0,1867.23
2022-01-20,HR,Zagreb,pm25,24,83.0,157.0,119.0,5920.8
2022-01-21,HR,Zagreb,pm25,24,24.0,169.0,61.0,18606.1
2022-01-21,HR,Zagreb,wind-speed,48,0.2,1.5,0.7,2.1
2022-01-21,HR,Zagreb,humidity,72,54.0,81.0,74.5,928.21
2022-01-21,HR,Zagreb,pm10,46,2.0,69.0,17.0,2466.88
2022-01-22,HR,Zagreb,pm25,24,31.0,132.0,76.0,6984.33
2022-01-22,HR,Zagreb,wind-speed,69,0.2,5.2,1.2,17.18
2022-01-22,HR,Zagreb,humidity,72,54.2,81.0,76.5,674.08
2022-01-22,HR,Zagreb,pm10,47,3.0,45.0,16.0,1179.41
2022-01-23,HR,Zagreb,humidity,72,75.2,81.0,78.5,26.29
