Date,Specie,median
2022-01-01,humidity,15.5
2022-01-01,wind-speed,4.6
2022-01-02,wind-speed,4.3
2022-01-02,humidity,19.0
2022-01-03,humidity,23.5
2022-01-03,wind-speed,3.0
2022-01-04,wind-speed,3.0
2022-01-04,pm25,151.0
2022-01-04,humidity,22.5
2022-01-05,pm25,152.0
2022-01-05,wind-speed,3.8
2022-01-05,humidity,28.0
2022-09-07,wind-speed,1.8
2022-09-07,humidity,86.0
2022-09-08,wind-speed,1.5
2022-09-08,humidity,94.0
2022-09-09,humidity,97.0
2022-09-09,wind-speed,2.0
2022-09-10,humidity,100.0
2022-09-10,wind-speed,1.5
2022-09-11,humidity,64.0
2022-09-11,wind-speed,2.5
2022-09-12,wind-speed,2.5
2022-09-12,pm25,30.0
2022-09-12,humidity,55.0
2022-09-13,pm25,42.0
2022-09-13,wind-speed,1.2
2022-09-13,humidity,100.0
2022-09-14,wind-speed,0.7
2022-09-14,pm25,65.0
2022-09-14,humidity,97.0
2022-09-15,wind-speed,1.5
2022-09-15,humidity,81.0
2022-09-16,wind-speed,1.8
2022-09-16,humidity,80.5
2022-09-17,wind-speed,1.8
2022-09-17,humidity,94.0
2022-09-18,humidity,97.0
2022-09-18,wind-speed,1.8
2022-09-19,humidity,74.0
2022-09-19,wind-speed,1.5
2022-09-20,pm25,61.0
2022-09-20,wind-speed,2.3
2022-09-20,humidity,94.0
2022-09-21,humidity,91.0
2022-09-21,pm25,42.0
2022-09-21,wind-speed,2.0
2022-09-22,wind-speed,2.3
2022-09-22,pm25,38.0
2022-09-22,humidity,85.5
2022-09-23,wind-speed,1.8
2022-09-23,humidity,91.0
2022-09-24,humidity,80.5
2022-09-24,wind-speed,1.2
2022-09-25,wind-speed,1.5
2022-09-25,humidity,88.0
2022-09-26,wind-speed,2.0
2022-09-26,humidity,83.0
2022-09-27,wind-speed,1.5
2022-09-27,humidity,76.0
2022-09-27,pm25,61.0
2022-09-28,pm25,78.0
2022-09-28,humidity,80.5
2022-09-28,wind-speed,1.5
2022-09-29,wind-speed,1.8
2022-09-29,humidity,80.5
2022-09-29,pm25,61.0
2022-09-30,humidity,78.0
2022-09-30,wind-speed,2.3
2022-09-30,pm25,65.0
2022-10-01,wind-speed,2.0
2022-10-01,humidity,85.5
2022-10-01,pm25,95.0
2022-10-02,wind-speed,2.0
2022-10-02,pm25,70.0
2022-10-02,humidity,100.0
2022-10-03,pm25,61.0
2022-10-03,humidity,76.0
2022-10-03,wind-speed,1.8
2022-10-04,pm25,61.0
2022-10-04,wind-speed,2.0
2022-10-04,humidity,72.0
2022-10-05,humidity,91.0
2022-10-05,pm25,91.0
2022-10-05,wind-speed,1.8
2022-10-06,wind-speed,1.8
2022-10-06,humidity,91.0
2022-10-06,pm25,89.0
2022-10-07,humidity,74.0
2022-10-07,pm25,161.0
2022-10-07,wind-speed,1.8
2022-10-08,humidity,74.0
2022-10-08,wind-speed,2.0
2022-10-09,humidity,73.5
2022-10-09,wind-speed,1.8
2022-10-10,humidity,65.0
2022-10-10,wind-speed,1.8
2022-10-11,humidity,85.5
2022-10-11,wind-speed,1.5
2022-10-12,pm25,82.0
2022-10-12,humidity,75.5
2022-10-12,wind-speed,1.5
2022-10-13,wind-speed,2.3
2022-10-13,pm25,117.0
2022-10-13,humidity,66.0
2022-10-14,wind-speed,1.8
2022-10-14,humidity,69.0
2022-10-14,pm25,97.0
2022-10-15,wind-speed,1.8
2022-10-15,humidity,83.0
2022-10-15,pm25,68.0
2022-10-16,pm25,61.0
2022-10-16,wind-speed,2.0
2022-10-16,humidity,83.0
2022-10-17,wind-speed,1.5
2022-10-17,humidity,63.5
2022-10-17,pm25,91.0
2022-10-18,humidity,76.0
2022-10-18,wind-speed,1.0
2022-10-18,pm25,122.0
2022-10-19,humidity,73.0
2022-10-19,pm25,127.0
2022-10-19,wind-speed,1.2
2022-10-20,pm25,119.0
2022-10-20,wind-speed,1.2
2022-10-20,humidity,67.5
2022-10-21,wind-speed,1.8
