Date,Specie,median
2022-01-01,humidity,96.0
2022-01-01,pm25,38.0
2022-01-01,pm10,12.0
2022-01-01,wind-speed,3.4
2022-01-02,pm25,31.0
2022-01-02,humidity,95.0
2022-01-02,wind-speed,4.1
2022-01-02,pm10,12.0
2022-01-03,wind-speed,5.2
2022-01-03,humidity,85.0
2022-01-03,pm25,31.0
2022-01-03,pm10,15.0
2022-01-04,pm25,25.0
2022-01-04,humidity,84.5
2022-01-04,wind-speed,3.0
2022-01-04,pm10,12.0
2022-01-05,wind-speed,4.9
2022-01-05,humidity,83.0
2022-01-05,pm25,27.0
2022-01-05,pm10,11.0
2022-01-06,pm10,16.0
2022-01-06,pm25,35.0
2022-01-06,wind-speed,3.3
2022-01-06,humidity,61.5
2022-01-07,wind-speed,4.6
2022-01-07,pm10,15.0
2022-01-07,pm25,34.0
2022-01-07,humidity,88.5
2022-01-08,wind-speed,4.9
2022-01-08,humidity,85.5
2022-01-08,pm10,11.0
2022-01-08,pm25,25.0
2022-01-09,wind-speed,5.4
2022-01-09,pm25,38.0
2022-01-09,pm10,12.0
2022-01-09,humidity,78.0
2022-01-10,pm25,64.0
2022-01-10,pm10,21.0
2022-01-10,humidity,75.5
2022-01-10,wind-speed,3.9
2022-01-11,pm25,62.0
2022-01-11,pm10,22.0
2022-01-11,wind-speed,4.3
2022-01-11,humidity,85.5
2022-01-12,pm25,27.0
2022-01-12,pm10,12.0
2022-01-12,humidity,92.5
2022-01-12,wind-speed,3.9
2022-01-13,humidity,84.5
2022-01-13,pm10,11.0
2022-01-13,wind-speed,7.9
2022-01-13,pm25,24.0
2022-01-14,wind-speed,8.1
2022-01-14,pm10,26.0
2022-01-14,humidity,72.0
2022-01-14,pm25,43.0
2022-01-15,pm10,23.0
2022-01-15,pm25,41.0
2022-01-15,wind-speed,3.0
2022-01-15,humidity,84.0
2022-01-16,pm10,15.0
2022-01-16,wind-speed,5.1
2022-01-16,pm25,28.0
2022-01-16,humidity,85.5
2022-01-17,humidity,66.5
2022-01-17,wind-speed,7.5
2022-01-17,pm25,40.0
2022-01-17,pm10,25.0
2022-01-18,humidity,86.0
2022-01-18,wind-speed,3.2
2022-01-18,pm10,16.0
2022-01-18,pm25,33.0
2022-01-19,pm10,11.0
2022-01-19,wind-speed,6.0
2022-01-19,pm25,24.0
2022-01-19,humidity,88.0
2022-01-20,pm10,23.0
2022-01-20,wind-speed,7.0
2022-01-20,humidity,48.0
2022-01-20,pm25,33.0
2022-01-21,humidity,67.5
2022-01-21,pm25,34.0
2022-01-21,wind-speed,4.7
2022-01-21,pm10,21.0
2022-01-22,humidity,66.0
2022-01-22,pm10,15.0
2022-01-22,pm25,31.0
2022-01-22,wind-speed,2.4
2022-01-23,humidity,92.0
2022-01-23,pm25,22.0
2022-01-23,wind-speed,3.6
2022-01-23,pm10,9.0
2022-01-24,wind-speed,4.8
2022-01-24,humidity,85.0
