Date,Specie,median
2022-01-01,humidity,67.8
2022-01-01,wind-speed,1.6
2022-01-01,pm25,34.0
2022-01-02,humidity,81.3
2022-01-02,wind-speed,1.5
2022-01-02,pm25,42.0
2022-01-03,humidity,84.0
2022-01-03,wind-speed,5.0
2022-01-03,pm25,25.0
2022-01-04,wind-speed,2.0
2022-01-04,pm25,17.0
2022-01-04,humidity,87.8
2022-01-05,pm25,21.0
2022-01-05,humidity,92.5
2022-01-05,wind-speed,1.1
2022-01-06,pm25,34.0
2022-01-06,humidity,92.0
2022-01-06,wind-speed,1.4
2022-01-07,pm25,17.0
2022-01-07,wind-speed,2.0
2022-01-07,humidity,85.5
2022-01-08,wind-speed,1.2
2022-01-08,pm25,25.0
2022-01-08,humidity,93.0
2022-01-09,wind-speed,2.8
2022-01-09,pm25,34.0
2022-01-09,humidity,85.0
2022-01-10,pm25,50.0
2022-01-10,humidity,83.5
2022-01-10,wind-speed,2.0
2022-01-11,humidity,79.6
2022-01-11,wind-speed,1.2
2022-01-11,pm25,46.0
2022-01-12,humidity,81.7
2022-01-12,wind-speed,1.8
2022-01-12,pm25,68.0
2022-01-13,wind-speed,1.0
2022-01-13,pm25,78.0
2022-01-13,humidity,89.6
2022-01-14,pm25,46.0
2022-01-14,humidity,82.6
2022-01-14,wind-speed,1.8
2022-01-15,pm25,53.0
2022-01-15,humidity,77.7
2022-01-15,wind-speed,2.0
2022-01-16,humidity,78.0
2022-01-16,wind-speed,1.4
2022-01-16,pm25,65.0
2022-01-17,wind-speed,1.1
2022-01-17,pm25,63.0
2022-01-17,humidity,81.0
2022-01-18,wind-speed,1.3
2022-01-18,pm25,42.0
2022-01-18,humidity,82.6
2022-01-19,wind-speed,1.2
2022-01-19,humidity,82.0
2022-01-19,pm25,46.0
2022-01-20,humidity,74.1
2022-01-20,pm25,50.0
2022-01-20,wind-speed,1.4
2022-01-21,humidity,42.1
2022-01-21,pm25,46.0
2022-01-21,wind-speed,2.8
2022-01-22,humidity,37.6
2022-01-22,pm25,17.0
2022-01-22,wind-speed,5.2
2022-01-23,humidity,67.8
2022-01-23,pm25,65.0
2022-01-23,wind-speed,2.0
2022-01-24,pm25,59.0
2022-01-24,wind-speed,1.7
2022-01-24,humidity,73.5
2022-01-25,wind-speed,1.2
2022-01-25,pm25,38.0
2022-01-25,humidity,76.4
2022-01-26,wind-speed,1.4
2022-01-26,pm25,61.0
2022-01-26,humidity,72.2
2022-01-27,pm25,57.0
2022-01-27,humidity,69.8
2022-01-27,wind-speed,1.2
2022-01-28,humidity,66.0
2022-01-28,wind-speed,1.5
2022-01-28,pm25,59.0
2022-01-29,humidity,73.0
2022-01-29,wind-speed,1.2
2022-01-29,pm25,63.0
2022-01-30,humidity,76.0
2022-01-30,pm25,55.0
2022-01-30,wind-speed,1.6
2022-01-31,pm25,42.0
2022-01-31,humidity,76.0
2022-01-31,wind-speed,1.5
2022-02-01,pm25,21.0
2022-02-01,humidity,35.8
2022-02-01,wind-speed,2.6
2022-02-02,humidity,30.7
2022-02-02,wind-speed,4.3
2022-02-02,pm25,13.0
2022-02-03,wind-speed,1.3
2022-02-03,pm25,30.0
2022-02-03,humidity,56.0
2022-02-04,wind-speed,1.6
2022-02-04,pm25,68.0
2022-02-04,humidity,66.4
2022-02-05,pm25,76.0
2022-02-05,humidity,72.0
2022-02-05,wind-speed,1.0
2022-02-06,humidity,76.1
2022-02-06,wind-speed,1.6
2022-02-06,pm25,53.0
2022-02-07,humidity,71.2
2022-02-07,wind-speed,1.8
2022-02-07,pm25,59.0
2022-02-08,wind-speed,1.2
2022-02-08,pm25,59.0
2022-02-08,humidity,70.5
2022-02-09,pm25,42.0
2022-02-09,humidity,56.0
2022-02-09,wind-speed,1.8
2022-02-10,pm25,34.0
2022-02-10,humidity,55.8
2022-02-10,wind-speed,2.3
2022-02-11,pm25,53.0
2022-02-11,wind-speed,1.6
2022-02-11,humidity,65.7
2022-02-12,wind-speed,1.5
2022-02-12,humidity,70.5
2022-02-12,pm25,63.0
2022-02-13,wind-speed,2.6
2022-02-13,humidity,74.0
2022-02-13,pm25,59.0
2022-02-14,wind-speed,3.7
2022-02-14,humidity,79.4
2022-02-14,pm25,34.0
2022-02-15,wind-speed,2.8
2022-02-15,humidity,61.3
2022-02-15,pm25,17.0
2022-02-16,wind-speed,2.6
2022-02-16,pm25,17.0
2022-02-16,humidity,42.7
2022-02-17,pm25,17.0
2022-02-17,humidity,40.2
2022-02-17,wind-speed,2.7
2022-02-18,pm25,46.0
2022-02-18,humidity,65.5
2022-02-18,wind-speed,1.5
2022-02-19,humidity,70.4
2022-02-19,wind-speed,1.5
2022-02-19,pm25,53.0
2022-02-20,wind-speed,2.7
2022-02-20,pm25,30.0
2022-02-20,humidity,74.0
2022-02-21,wind-speed,4.5
2022-02-21,pm25,17.0
2022-02-21,humidity,69.0
2022-02-22,wind-speed,5.2
2022-02-22,humidity,70.8
2022-02-22,pm25,17.0
2022-02-23,humidity,56.2
2022-02-23,wind-speed,2.2
2022-02-23,pm25,17.0
2022-02-24,humidity,66.2
2022-02-24,wind-speed,2.1
2022-02-24,pm25,30.0
2022-02-25,wind-speed,1.7
2022-02-25,pm25,38.0
2022-02-25,humidity,70.6
2022-02-26,pm25,46.0
2022-02-26,humidity,65.0
2022-02-26,wind-speed,1.4
2022-02-27,pm25,55.0
2022-02-27,humidity,60.6
2022-02-27,wind-speed,2.2
2022-02-28,humidity,61.8
2022-02-28,wind-speed,1.6
2022-02-28,pm25,38.0
2022-03-01,wind-speed,1.6
