Date,Specie,median
2022-01-01,humidity,76.3
2022-01-01,pm25,71.0
2022-01-01,pm10,45.0
2022-01-01,wind-speed,1.3
2022-01-02,pm25,53.0
2022-01-02,wind-speed,1.3
2022-01-02,pm10,23.0
2022-01-02,humidity,76.6
2022-01-03,wind-speed,1.3
2022-01-03,pm10,31.0
2022-01-03,pm25,58.0
2022-01-03,humidity,70.9
2022-01-04,pm25,59.0
2022-01-04,wind-speed,1.4
2022-01-04,humidity,75.0
2022-01-04,pm10,28.0
2022-01-04,precipitation,0.1
2022-01-05,wind-speed,1.2
2022-01-05,pm10,11.0
2022-01-05,humidity,92.1
2022-01-05,pm25,32.0
2022-01-05,precipitation,0.3
2022-02-11,precipitation,0.4
2022-02-11,wind-speed,1.4
2022-02-11,pm25,38.0
2022-02-11,pm10,15.0
2022-02-11,humidity,85.6
2022-02-12,wind-speed,1.1
2022-02-12,pm10,13.0
2022-02-12,precipitation,0.2
2022-02-12,humidity,82.9
2022-02-12,pm25,35.0
2022-02-13,pm10,10.0
2022-02-13,wind-speed,1.0
2022-02-13,precipitation,1.1
2022-02-13,humidity,87.5
2022-02-13,pm25,33.0
2022-02-14,pm10,20.0
2022-02-14,wind-speed,1.0
2022-02-14,humidity,83.8
2022-02-14,pm25,48.0
2022-02-14,precipitation,0.6
2022-02-15,humidity,84.9
2022-02-15,pm10,20.0
2022-02-15,wind-speed,1.1
2022-02-15,precipitation,0.1
2022-02-15,pm25,58.0
2022-02-16,pm25,71.0
2022-02-16,precipitation,0.1
2022-02-16,wind-speed,1.1
2022-02-16,pm10,36.0
2022-02-16,humidity,80.5
2022-02-17,precipitation,0.3
2022-02-17,humidity,83.7
2022-02-17,pm25,66.0
2022-02-17,pm10,24.0
2022-02-17,wind-speed,1.2
2022-02-18,precipitation,0.6
2022-02-18,pm10,16.0
2022-02-18,pm25,56.0
2022-02-18,humidity,86.6
2022-02-18,wind-speed,1.1
2022-02-19,pm25,37.0
2022-02-19,precipitation,0.2
2022-02-19,wind-speed,1.1
2022-02-19,pm10,16.0
2022-02-19,humidity,85.0
2022-02-20,precipitation,0.3
2022-02-20,pm10,8.0
2022-02-20,humidity,86.2
2022-02-20,wind-speed,1.2
2022-02-20,pm25,33.0
2022-02-21,humidity,84.2
2022-02-21,pm25,40.0
2022-02-21,precipitation,0.3
2022-02-21,wind-speed,1.2
2022-02-21,pm10,12.0
2022-02-22,humidity,84.4
2022-02-22,precipitation,1.5
2022-02-22,wind-speed,1.0
2022-02-22,pm10,28.0
2022-02-22,pm25,70.0
2022-02-23,pm10,29.0
2022-02-23,pm25,81.0
2022-02-23,wind-speed,1.0
2022-02-23,precipitation,0.8
2022-02-23,humidity,87.0
2022-02-24,pm10,9.0
2022-02-24,pm25,39.0
2022-02-24,wind-speed,0.9
2022-02-24,precipitation,0.1
2022-02-24,humidity,90.8
2022-02-25,humidity,89.7
2022-02-25,pm10,16.0
2022-02-25,pm25,48.0
2022-02-25,wind-speed,1.1
2022-02-25,precipitation,0.1
2022-02-26,pm10,14.0
2022-02-26,humidity,89.2
2022-02-26,precipitation,0.4
2022-02-26,wind-speed,1.2
2022-02-26,pm25,51.0
2022-02-27,precipitation,0.4
2022-02-27,wind-speed,1.0
2022-02-27,humidity,90.8
2022-02-27,pm25,43.0
2022-02-27,pm10,15.0
2022-02-28,humidity,90.8
2022-02-28,precipitation,0.4
2022-02-28,wind-speed,0.8
2022-02-28,pm25,44.0
2022-02-28,pm10,14.0
2022-03-01,wind-speed,1.1
2022-03-01,humidity,90.2
2022-03-01,precipitation,0.3
2022-03-01,pm10,8.0
2022-03-01,pm25,40.0
2022-03-02,precipitation,0.6
2022-03-02,pm10,11.0
2022-03-02,pm25,42.0
2022-03-02,humidity,89.6
2022-03-02,wind-speed,1.1
2022-03-03,pm10,16.0
2022-03-03,pm25,46.0
2022-03-03,precipitation,0.2
2022-03-03,humidity,87.6
2022-03-03,wind-speed,1.0
2022-03-04,humidity,84.6
2022-03-04,pm25,46.0
2022-03-04,wind-speed,0.9
2022-03-04,precipitation,0.2
2022-03-04,pm10,16.0
2022-03-05,precipitation,0.7
2022-03-05,wind-speed,0.9
2022-03-05,pm25,45.0
2022-03-05,humidity,91.6
2022-03-05,pm10,12.0
2022-03-06,precipitation,0.2
2022-03-06,wind-speed,0.9
2022-03-06,humidity,89.9
2022-03-06,pm25,39.0
2022-03-06,pm10,14.0
2022-03-07,wind-speed,1.0
2022-03-07,pm25,40.0
2022-03-07,humidity,90.7
2022-03-07,pm10,14.0
2022-03-07,precipitation,0.4
2022-03-08,wind-speed,0.9
2022-03-08,precipitation,0.3
2022-03-08,pm25,52.0
2022-03-08,pm10,23.0
2022-03-08,humidity,83.2
2022-03-09,pm25,54.0
2022-03-09,pm10,31.0
2022-03-09,humidity,75.1
2022-03-09,wind-speed,1.0
2022-03-10,wind-speed,0.9
2022-03-10,pm25,56.0
2022-03-10,pm10,27.0
2022-03-10,humidity,66.1
2022-03-11,pm10,27.0
2022-03-11,precipitation,0.8
2022-03-11,pm25,50.0
2022-03-11,wind-speed,1.1
2022-03-11,humidity,82.5
2022-03-12,wind-speed,0.8
2022-03-12,pm10,20.0
2022-03-12,humidity,83.7
2022-03-12,precipitation,0.4
2022-03-12,pm25,47.0
2022-03-13,pm10,24.0
2022-03-13,wind-speed,0.9
2022-03-13,humidity,81.2
2022-03-13,pm25,45.0
2022-03-13,precipitation,1.0
2022-03-14,pm25,53.0
2022-03-14,pm10,27.0
2022-03-14,precipitation,0.4
2022-03-14,wind-speed,0.8
2022-03-14,humidity,76.0
2022-03-15,precipitation,0.4
2022-03-15,wind-speed,1.1
2022-03-15,pm25,45.0
2022-03-15,pm10,12.0
2022-03-15,humidity,82.8
2022-03-16,wind-speed,0.9
2022-03-16,precipitation,0.5
2022-03-16,pm25,49.0
2022-03-16,pm10,20.0
2022-03-16,humidity,84.4
2022-03-17,humidity,88.4
2022-03-17,wind-speed,1.2
2022-03-17,pm10,18.0
2022-03-17,pm25,48.0
2022-03-17,precipitation,0.2
2022-03-18,pm25,67.0
2022-03-18,pm10,24.0
2022-03-18,precipitation,0.3
2022-03-18,wind-speed,1.0
2022-03-18,humidity,83.3
2022-03-19,wind-speed,1.2
2022-03-19,pm25,52.0
2022-03-19,pm10,15.0
2022-03-19,precipitation,0.3
2022-03-19,humidity,84.1
2022-03-20,wind-speed,0.9
2022-03-20,pm10,11.0
2022-03-20,pm25,44.0
2022-03-20,precipitation,1.2
2022-03-20,humidity,86.3
2022-03-21,pm25,51.0
2022-03-21,pm10,15.0
2022-03-21,precipitation,0.6
2022-03-21,wind-speed,0.9
2022-03-21,humidity,91.4
2022-03-22,pm25,63.0
2022-03-22,precipitation,0.1
2022-03-22,wind-speed,0.7
2022-03-22,humidity,82.0
2022-03-22,pm10,32.0
2022-03-23,pm10,25.0
2022-03-23,humidity,82.2
2022-03-23,pm25,56.0
2022-03-23,precipitation,0.2
2022-03-23,wind-speed,1.1
2022-03-24,wind-speed,1.0
