Date,Specie,median
2022-01-01,humidity,86.2
2022-01-01,pm25,63.0
2022-01-01,wind-speed,2.2
2022-01-01,pm10,37.0
2022-01-02,humidity,90.0
2022-01-02,pm25,57.0
2022-01-02,pm10,23.0
2022-01-02,wind-speed,4.0
2022-01-03,pm25,55.0
2022-01-03,humidity,86.7
2022-01-03,wind-speed,3.5
2022-01-03,pm10,26.0
2022-01-04,wind-speed,5.2
2022-01-04,pm25,25.0
2022-01-04,humidity,82.5
2022-01-04,pm10,10.0
2022-01-05,pm25,30.0
2022-01-05,wind-speed,4.0
2022-01-05,pm10,12.0
2022-01-05,humidity,87.0
2022-01-06,pm10,16.0
2022-01-06,pm25,38.0
2022-01-06,humidity,81.2
2022-01-06,wind-speed,4.0
2022-01-07,pm10,15.0
2022-01-07,pm25,30.0
2022-01-07,humidity,84.0
2022-01-07,wind-speed,2.0
2022-01-08,pm10,16.0
2022-01-08,pm25,34.0
2022-01-08,humidity,92.0
2022-01-08,wind-speed,6.0
2022-01-09,pm10,22.0
2022-01-09,pm25,30.0
2022-01-09,wind-speed,1.9
2022-01-09,humidity,84.2
2022-01-10,pm25,30.0
2022-01-10,wind-speed,1.0
2022-01-10,pm10,10.0
2022-01-10,humidity,93.5
2022-01-11,pm25,25.0
2022-01-11,humidity,91.5
2022-01-11,pm10,11.0
2022-01-11,wind-speed,0.8
2022-01-12,pm10,18.0
2022-01-12,humidity,90.7
2022-01-12,pm25,46.0
2022-01-12,wind-speed,0.5
2022-01-13,pm25,74.0
2022-01-13,wind-speed,0.5
2022-01-13,humidity,92.0
2022-01-13,pm10,31.0
2022-01-14,humidity,82.7
2022-01-14,wind-speed,1.0
2022-01-14,pm25,50.0
2022-01-14,pm10,15.0
2022-01-15,pm25,61.0
2022-01-15,pm10,23.0
2022-01-15,wind-speed,2.3
2022-01-15,humidity,86.0
2022-01-16,wind-speed,1.0
2022-01-16,pm25,46.0
2022-01-16,pm10,20.0
2022-01-16,humidity,90.7
2022-01-17,humidity,90.0
2022-01-17,pm10,23.0
2022-01-17,wind-speed,0.4
2022-01-17,pm25,38.0
2022-01-18,wind-speed,0.5
2022-01-18,pm25,61.0
2022-01-18,humidity,91.0
2022-01-18,pm10,23.0
2022-01-19,wind-speed,3.4
2022-01-19,pm25,34.0
2022-01-19,humidity,87.0
2022-01-19,pm10,15.0
2022-01-20,humidity,81.7
2022-01-20,pm25,30.0
2022-01-20,wind-speed,2.5
2022-01-20,pm10,18.0
2022-01-21,humidity,86.7
2022-01-21,wind-speed,1.9
2022-01-21,pm10,17.0
2022-01-21,pm25,38.0
2022-01-22,pm25,34.0
2022-01-22,wind-speed,1.7
2022-01-22,humidity,80.5
2022-01-22,pm10,13.0
2022-01-23,pm10,19.0
2022-01-23,pm25,59.0
2022-01-23,wind-speed,3.1
2022-01-23,humidity,82.0
2022-01-24,pm10,27.0
2022-01-24,wind-speed,4.4
2022-01-24,humidity,82.0
2022-01-24,pm25,76.0
2022-01-25,pm10,34.0
2022-01-25,pm25,82.0
2022-01-25,wind-speed,1.0
2022-01-25,humidity,85.5
2022-01-26,wind-speed,2.5
2022-01-26,humidity,85.5
2022-01-26,pm25,65.0
2022-01-26,pm10,34.0
2022-01-27,humidity,87.5
2022-01-27,wind-speed,3.2
2022-01-27,pm25,30.0
2022-01-27,pm10,14.0
2022-01-28,pm10,16.0
2022-01-28,wind-speed,3.3
2022-01-28,humidity,93.5
2022-01-28,pm25,30.0
2022-01-29,wind-speed,4.0
2022-01-29,pm25,25.0
2022-01-29,humidity,92.2
2022-01-29,pm10,19.0
2022-01-30,wind-speed,3.2
2022-01-30,pm25,30.0
2022-01-30,humidity,89.7
2022-01-30,pm10,17.0
2022-01-31,wind-speed,6.2
2022-01-31,pm10,14.0
2022-01-31,humidity,78.0
2022-01-31,pm25,25.0
2022-02-01,pm25,21.0
2022-02-01,humidity,85.6
2022-02-01,wind-speed,3.7
2022-02-01,pm10,15.0
2022-02-02,humidity,84.5
2022-02-02,pm10,18.0
2022-02-02,pm25,25.0
2022-02-02,wind-speed,1.5
2022-02-03,humidity,91.0
2022-02-03,pm10,14.0
2022-02-03,wind-speed,3.3
2022-02-03,pm25,25.0
2022-02-04,humidity,81.7
2022-02-04,pm25,21.0
2022-02-04,pm10,15.0
2022-02-04,wind-speed,5.4
2022-02-05,pm10,24.0
2022-02-05,humidity,85.0
2022-02-05,pm25,34.0
2022-02-05,wind-speed,7.0
2022-02-06,wind-speed,6.9
2022-02-06,humidity,83.6
2022-02-06,pm10,19.0
2022-02-06,pm25,30.0
2022-02-07,pm10,17.0
2022-02-07,pm25,30.0
2022-02-07,wind-speed,3.1
2022-02-07,humidity,92.7
2022-02-08,wind-speed,4.5
2022-02-08,pm10,24.0
2022-02-08,pm25,34.0
2022-02-08,humidity,90.0
2022-02-09,humidity,89.2
2022-02-09,pm25,25.0
2022-02-09,wind-speed,2.2
2022-02-09,pm10,14.0
2022-02-10,humidity,79.0
2022-02-10,pm10,16.0
2022-02-10,wind-speed,4.0
2022-02-10,pm25,25.0
2022-02-11,humidity,83.0
2022-02-11,pm10,16.0
2022-02-11,pm25,25.0
2022-02-11,wind-speed,2.5
2022-02-12,pm25,25.0
2022-02-12,humidity,79.9
2022-02-12,pm10,21.0
2022-02-12,wind-speed,5.2
2022-02-13,humidity,92.7
2022-02-13,pm10,13.0
2022-02-13,pm25,21.0
2022-02-13,wind-speed,3.5
2022-02-14,wind-speed,4.0
2022-02-14,pm25,17.0
2022-02-14,humidity,84.2
2022-02-14,pm10,11.0
2022-02-15,wind-speed,3.6
2022-02-15,humidity,92.0
2022-02-15,pm10,24.0
2022-02-15,pm25,34.0
2022-02-16,wind-speed,7.3
2022-02-16,humidity,94.0
2022-02-16,pm10,30.0
2022-02-16,pm25,38.0
2022-02-17,pm25,38.0
2022-02-17,wind-speed,4.6
2022-02-17,humidity,79.1
2022-02-17,pm10,30.0
2022-02-18,pm25,30.0
2022-02-18,humidity,73.7
2022-02-18,wind-speed,9.0
2022-02-18,pm10,21.0
2022-02-19,pm25,38.0
2022-02-19,pm10,26.0
2022-02-19,wind-speed,5.3
2022-02-19,humidity,81.0
2022-02-20,pm10,39.0
2022-02-20,humidity,91.0
2022-02-20,wind-speed,9.3
2022-02-20,pm25,59.0
2022-02-21,humidity,71.7
2022-02-21,wind-speed,9.0
2022-02-21,pm10,30.0
2022-02-21,pm25,53.0
2022-02-22,humidity,88.0
2022-02-22,pm10,30.0
2022-02-22,wind-speed,5.0
2022-02-22,pm25,42.0
2022-02-23,wind-speed,4.7
2022-02-23,humidity,88.5
2022-02-23,pm10,23.0
2022-02-23,pm25,30.0
2022-02-24,pm25,21.0
2022-02-24,pm10,17.0
2022-02-24,wind-speed,4.6
2022-02-24,humidity,73.2
2022-02-25,wind-speed,3.4
2022-02-25,humidity,80.0
2022-02-25,pm10,24.0
2022-02-25,pm25,38.0
2022-02-26,pm10,22.0
2022-02-26,humidity,81.2
2022-02-26,wind-speed,4.2
2022-02-26,pm25,42.0
2022-02-27,humidity,79.0
2022-02-27,pm10,22.0
2022-02-27,wind-speed,4.0
2022-02-27,pm25,50.0
2022-02-28,pm10,14.0
2022-02-28,wind-speed,2.0
2022-02-28,humidity,90.0
