Date,Specie,median
2022-01-01,humidity,71.9
2022-01-01,pm25,17.0
2022-01-01,wind-speed,3.5
2022-01-01,pm10,6.0
2022-01-02,humidity,60.0
2022-01-02,pm25,25.0
2022-01-02,pm10,8.0
2022-01-02,wind-speed,1.2
2022-01-03,pm25,25.0
2022-01-03,humidity,55.7
2022-01-03,wind-speed,0.9
2022-01-03,pm10,12.0
2022-01-04,wind-speed,1.0
2022-01-04,pm25,25.0
2022-01-04,humidity,53.7
2022-01-04,pm10,17.0
2022-01-05,pm25,25.0
2022-01-05,wind-speed,1.3
2022-01-05,pm10,18.0
2022-01-05,humidity,55.1
2022-01-06,pm10,24.0
2022-01-06,pm25,30.0
2022-01-06,humidity,59.0
2022-01-06,wind-speed,1.0
2022-01-07,pm10,23.0
2022-01-07,pm25,30.0
2022-01-07,humidity,52.5
2022-01-07,wind-speed,1.0
2022-01-08,pm10,15.0
2022-01-08,pm25,25.0
2022-01-08,humidity,53.3
2022-01-08,wind-speed,1.9
2022-01-09,pm10,18.0
2022-01-09,pm25,30.0
2022-01-09,wind-speed,0.9
2022-01-09,humidity,57.5
2022-01-10,pm25,17.0
2022-01-10,wind-speed,5.3
2022-01-10,pm10,17.0
2022-01-10,humidity,39.7
2022-01-11,pm25,17.0
2022-01-11,humidity,42.0
2022-01-11,pm10,14.0
2022-01-11,wind-speed,1.2
2022-01-12,pm10,25.0
2022-01-12,humidity,54.0
2022-01-12,pm25,25.0
2022-01-12,wind-speed,0.9
2022-01-13,pm25,30.0
2022-01-13,wind-speed,1.1
2022-01-13,humidity,45.6
2022-01-13,pm10,24.0
2022-01-14,humidity,40.0
2022-01-14,wind-speed,1.1
2022-01-14,pm25,25.0
2022-01-14,pm10,22.0
2022-01-15,pm25,25.0
2022-01-15,pm10,25.0
2022-01-15,wind-speed,1.4
2022-01-15,humidity,30.0
2022-01-16,wind-speed,1.5
2022-01-16,pm25,21.0
2022-01-16,pm10,19.0
2022-01-16,humidity,26.3
2022-01-17,humidity,43.2
2022-01-17,pm10,27.0
2022-01-17,wind-speed,1.1
2022-01-17,pm25,30.0
2022-01-18,wind-speed,1.5
2022-01-18,pm25,25.0
2022-01-18,humidity,66.2
2022-01-18,pm10,13.0
2022-01-19,wind-speed,1.6
2022-01-19,pm25,25.0
2022-01-19,humidity,72.2
2022-01-19,pm10,11.0
2022-01-20,humidity,60.2
2022-01-20,pm25,21.0
2022-01-20,wind-speed,1.2
2022-01-20,pm10,16.0
2022-01-21,humidity,45.0
2022-01-21,wind-speed,1.2
2022-01-21,pm10,15.0
2022-01-21,pm25,21.0
2022-01-22,pm25,21.0
2022-01-22,wind-speed,1.5
