Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,25,12,1.5,91.0,0
2022-01-02,19,11,1.5,93.0,0
2022-01-03,24,6,3.0,84.0,0
2022-01-04,24,8,1.5,73.2,0
2022-01-05,34,11,1.7,83.7,0
2022-01-06,43,16,2.0,90.7,0
2022-01-07,27,9,3.0,76.5,0
2022-01-08,34,10,1.0,57.0,0
2022-01-09,46,19,1.5,85.5,0
2022-01-10,14,6,2.5,42.5,0
2022-01-11,13,6,2.0,54.0,0
2022-01-12,38,14,0.7,58.5,0
2022-01-13,33,15,1.0,86.0,0
2022-01-14,48,18,0.5,84.7,0
2022-01-15,59,20,1.5,76.2,0
2022-01-16,39,10,2.0,93.0,0
2022-01-17,34,10,1.5,87.5,0
2022-01-18,38,11,1.0,81.0,0
2022-01-19,56,19,1.5,72.2,0
2022-01-20,0,0,2.7,85.2,0
2022-01-21,64,20,2.0,88.7,0
2022-01-22,58,17,1.2,85.7,0
2022-01-23,57,16,0.7,67.0,0
2022-01-24,42,19,0.5,66.5,0
2022-01-25,52,20,1.5,76.0,0
2022-01-26,57,18,1.3,67.5,0
2022-01-27,54,16,0.7,60.2,0
2022-01-28,59,21,1.5,67.0,0
2022-01-29,28,10,2.0,62.0,0
2022-01-30,52,17,1.5,68.5,0
2022-01-31,54,25,0.5,63.0,0
2022-02-01,61,23,2.0,49.5,0
2022-02-02,63,22,1.0,78.5,0
2022-02-03,56,20,1.5,96.0,0
2022-02-04,21,8,2.5,84.5,0
2022-02-05,31,9,1.7,71.2,0
2022-02-06,28,9,1.2,74.0,0
2022-02-07,35,11,0.5,68.7,0
2022-02-08,30,11,1.0,67.5,0
2022-02-09,54,20,0.5,59.0,0
2022-02-10,53,20,1.0,57.5,0
2022-02-11,48,20,1.7,51.0,0
2022-02-12,64,22,0.7,61.5,0
2022-02-13,26,10,3.0,61.0,0
2022-02-14,33,15,0.6,57.5,0
2022-02-15,77,29,2.0,48.5,0
2022-02-16,55,20,3.0,70.5,0
2022-02-17,39,15,1.5,76.0,0
2022-02-18,23,10,1.2,83.2,0
2022-02-19,30,9,1.0,62.5,0
2022-02-20,35,11,1.2,41.2,0
2022-02-21,56,20,4.0,76.0,0
2022-02-22,50,19,1.9,92.0,0
2022-02-23,36,15,1.7,85.2,0
2022-02-24,38,15,0.0,82.5,0
2022-02-25,18,9,1.5,83.7,0
2022-02-26,37,11,0.5,68.0,0
2022-02-27,51,15,0.5,89.2,0
2022-02-28,25,10,0.2,64.5,0
2022-03-01,38,14,1.5,31.5,0
2022-03-02,36,18,2.3,27.5,0
2022-03-03,51,21,1.2,41.5,0
2022-03-04,72,30,1.4,34.5,0
2022-03-05,73,29,2.4,52.5,0
2022-03-06,52,19,1.7,47.4,0
2022-03-07,51,20,2.3,59.8,0
2022-03-08,26,10,1.0,58.1,0
2022-03-09,17,8,0.7,86.5,0
2022-03-10,23,10,0.9,61.8,0
2022-03-11,41,13,0.7,67.8,0
2022-03-12,15,7,2.2,82.2,0
2022-03-13,23,9,1.1,36.2,0
2022-03-14,36,13,1.2,32.2,0
2022-03-15,52,17,1.0,59.1,0
2022-03-16,24,10,1.0,73.0,0
2022-03-17,35,12,0.5,74.0,0
2022-03-18,37,15,2.2,62.0,0
2022-03-19,17,7,1.7,74.2,0
2022-03-20,14,7,1.6,25.9,0
2022-03-21,33,12,2.2,37.8,0
2022-03-22,40,17,2.9,43.0,0
2022-03-23,29,12,2.6,53.9,0
2022-03-24,18,10,1.0,45.0,0
2022-03-25,29,12,1.9,41.7,0
2022-03-26,14,10,3.4,32.2,0
2022-03-27,14,9,3.7,16.7,0
2022-03-28,20,12,2.4,21.5,0
2022-03-29,43,18,2.5,48.5,0
2022-03-30,59,33,4.7,46.2,0
2022-03-31,40,19,1.5,72.7,0
2022-04-01,26,11,2.3,47.7,0
2022-04-02,43,15,0.5,44.2,0
2022-04-03,25,10,1.4,26.9,0
2022-04-04,28,13,1.0,29.6,0
2022-04-05,53,16,2.2,66.0,0
2022-04-06,37,17,1.0,94.5,0
2022-04-07,20,15,1.0,59.2,0
2022-04-08,21,11,1.7,54.5,0
2022-04-09,13,7,0.7,73.2,0
2022-04-10,37,14,1.0,43.7,0
2022-04-11,37,16,1.2,67.7,0
2022-04-12,48,19,1.5,59.8,0
2022-04-13,60,26,2.3,76.2,0
2022-04-14,31,15,1.5,61.4,0
2022-04-15,23,11,1.5,27.0,0
2022-04-16,46,19,0.5,64.7,0
2022-04-17,56,20,0.8,70.7,0
2022-04-18,25,12,1.5,61.0,0
2022-04-19,21,10,1.8,24.4,0
2022-04-20,33,13,1.2,34.8,0
2022-04-21,34,16,1.2,48.5,0
2022-04-22,50,20,1.0,59.0,0
2022-04-23,52,21,1.8,53.7,0
2022-04-24,41,20,1.5,48.4,0
2022-04-25,51,21,1.5,56.7,0
2022-04-26,34,15,0.7,86.5,0
2022-04-27,24,12,1.1,28.2,0
2022-04-28,57,23,1.2,36.5,0
2022-04-29,69,31,1.5,42.6,0
2022-04-30,49,23,2.1,61.4,0
2022-05-01,52,19,1.0,62.0,0
2022-05-02,43,19,1.3,57.5,0
2022-05-03,30,19,1.2,59.8,0
2022-05-04,47,23,1.0,63.5,0
2022-05-05,52,21,0.7,65.7,0
2022-05-06,34,18,1.2,82.5,0
