Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,0,0,4.6,15.5,0
2022-01-02,0,0,4.3,19.0,0
2022-01-03,0,0,3.0,23.5,0
2022-01-04,151,0,3.0,22.5,0
2022-01-05,152,0,3.8,28.0,0
2022-09-07,0,0,1.8,86.0,0
2022-09-08,0,0,1.5,94.0,0
2022-09-09,0,0,2.0,97.0,0
2022-09-10,0,0,1.5,100.0,0
2022-09-11,0,0,2.5,64.0,0
2022-09-12,30,0,2.5,55.0,0
2022-09-13,42,0,1.2,100.0,0
2022-09-14,65,0,0.7,97.0,0
2022-09-15,0,0,1.5,81.0,0
2022-09-16,0,0,1.8,80.5,0
2022-09-17,0,0,1.8,94.0,0
2022-09-18,0,0,1.8,97.0,0
2022-09-19,0,0,1.5,74.0,0
2022-09-20,61,0,2.3,94.0,0
2022-09-21,42,0,2.0,91.0,0
2022-09-22,38,0,2.3,85.5,0
2022-09-23,0,0,1.8,91.0,0
2022-09-24,0,0,1.2,80.5,0
2022-09-25,0,0,1.5,88.0,0
2022-09-26,0,0,2.0,83.0,0
2022-09-27,61,0,1.5,76.0,0
2022-09-28,78,0,1.5,80.5,0
2022-09-29,61,0,1.8,80.5,0
2022-09-30,65,0,2.3,78.0,0
2022-10-01,95,0,2.0,85.5,0
2022-10-02,70,0,2.0,100.0,0
2022-10-03,61,0,1.8,76.0,0
2022-10-04,61,0,2.0,72.0,0
2022-10-05,91,0,1.8,91.0,0
2022-10-06,89,0,1.8,91.0,0
2022-10-07,161,0,1.8,74.0,0
2022-10-08,0,0,2.0,74.0,0
2022-10-09,0,0,1.8,73.5,0
2022-10-10,0,0,1.8,65.0,0
2022-10-11,0,0,1.5,85.5,0
2022-10-12,82,0,1.5,75.5,0
2022-10-13,117,0,2.3,66.0,0
2022-10-14,97,0,1.8,69.0,0
2022-10-15,68,0,1.8,83.0,0
2022-10-16,61,0,2.0,83.0,0
2022-10-17,91,0,1.5,63.5,0
2022-10-18,122,0,1.0,76.0,0
2022-10-19,127,0,1.2,73.0,0
2022-10-20,119,0,1.2,67.5,0
2022-10-21,97,0,1.8,67.0,0
2022-10-22,104,0,1.2,67.0,0
2022-10-23,112,0,1.2,63.0,0
2022-10-24,97,0,2.3,67.0,0
2022-10-25,85,0,3.6,50.0,0
2022-10-26,129,0,1.8,58.5,0
2022-10-27,158,0,2.3,52.5,0
2022-10-28,184,0,3.0,40.5,0
2022-10-29,152,0,2.0,43.5,0
2022-10-30,159,0,2.8,41.5,0
2022-10-31,149,0,2.5,40.5,0
2022-11-01,127,0,3.3,35.0,0
2022-11-02,97,0,3.6,26.0,0
2022-11-03,109,0,3.0,30.0,0
2022-11-04,95,0,2.5,34.0,0
2022-11-05,127,0,2.5,30.5,0
2022-11-06,174,0,2.3,44.5,0
2022-11-07,169,0,3.0,37.0,0
2022-11-08,122,0,3.3,27.5,0
2022-11-09,93,0,2.0,38.5,0
2022-11-10,91,0,2.0,24.5,0
2022-11-11,104,0,1.8,41.5,0
2022-11-12,132,0,1.5,48.5,0
2022-11-13,0,0,2.0,52.5,0
2022-11-14,0,0,2.0,61.0,0
2022-11-15,0,0,1.5,51.0,0
2022-11-16,0,0,3.0,36.0,0
2022-11-17,0,0,3.0,22.0,0
2022-11-18,78,0,2.5,32.5,0
2022-11-19,95,0,2.5,34.0,0
2022-11-20,97,0,2.5,33.0,0
2022-11-21,117,0,3.0,29.0,0
2022-11-22,85,0,3.8,26.5,0
2022-11-23,122,0,2.8,30.0,0
2022-11-24,132,0,2.8,32.0,0
2022-11-25,139,0,2.8,28.5,0
2022-11-26,151,0,1.2,48.0,0
2022-11-27,153,0,0.7,52.5,0
2022-11-28,144,0,2.0,34.5,0
2022-11-29,127,0,1.5,43.5,0
2022-11-30,149,0,1.5,38.5,0
2022-12-01,132,0,1.2,50.0,0
2022-12-02,159,0,1.0,55.5,0
2022-12-03,139,0,2.8,63.0,0
2022-12-04,132,0,1.5,61.5,0
2022-12-05,151,0,2.0,47.0,0
2022-12-06,89,0,3.6,29.0,0
2022-12-07,153,0,3.0,30.0,0
2022-12-08,170,0,2.3,33.0,0
2022-12-09,191,0,2.5,33.0,0
2022-12-10,181,0,3.0,28.0,0
2022-12-11,164,0,3.0,18.0,0
2022-12-12,152,0,3.0,24.0,0
2022-12-13,153,0,3.0,19.5,0
2022-12-14,129,0,2.8,18.0,0
2022-12-15,137,0,2.0,27.0,0
2022-12-16,134,0,2.0,22.0,0
2022-12-17,134,0,2.8,19.0,0
2022-12-18,159,0,2.5,21.5,0
2022-12-19,172,0,4.6,23.0,0
2022-12-20,127,0,4.1,19.5,0
2022-12-21,97,0,5.1,22.0,0
2022-12-22,114,0,4.3,27.0,0
2022-12-23,161,0,4.3,25.0,0
2022-12-24,127,0,3.6,28.0,0
2022-12-25,156,0,2.5,24.0,0
2022-12-26,153,0,2.5,27.5,0
2022-12-27,169,0,3.0,28.0,0
2022-12-28,179,0,3.3,26.0,0
2022-12-29,184,0,4.3,19.0,0
2022-12-30,109,0,5.4,20.5,0
2022-12-31,78,0,5.1,17.0,0
