Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,42,17,9.2,81.0,0.015875
2022-01-02,34,12,7.2,81.0,0.0065833333333333
2022-01-03,30,13,6.4,77.5,0.0150416666666666
2022-01-04,23,10,3.8,80.0,0.0080416666666666
2022-01-05,25,11,2.5,80.0,0.0119999999999999
2022-01-06,34,12,6.9,78.0,0.0802916666666666
2022-01-07,17,6,5.9,86.0,0.036
2022-01-08,34,13,4.6,83.0,0.00075
2022-01-09,25,10,4.8,87.0,0.0321666666666666
2022-01-10,38,14,2.5,93.0,0.0338333333333333
2022-01-11,34,15,3.3,84.0,0.0219166666666666
2022-01-12,42,17,4.6,90.0,0.0380416666666666
2022-01-13,46,18,3.6,87.0,0.045125
2022-01-14,50,16,2.5,87.0,0.0176666666666666
2022-01-15,76,30,1.0,93.0,0.0205833333333333
2022-01-16,63,23,2.8,70.0,0.1549583333333333
2022-01-17,43,19,1.8,89.5,0.0004583333333333
2022-01-18,72,30,3.8,87.0,0.2387916666666666
2022-01-19,37,15,3.8,78.0,0.0460833333333333
2022-01-20,34,17,1.5,78.0,0.045875
2022-01-21,30,15,2.8,84.0,0.2428333333333333
2022-01-22,30,10,3.6,87.0,0.1078333333333333
2022-01-23,34,11,3.6,75.0,0.0581666666666666
2022-01-24,50,25,3.3,86.0,0.0900416666666666
2022-01-25,74,44,2.5,78.0,0.0659583333333333
2022-01-26,59,24,5.4,84.0,0.390625
2022-01-27,25,11,2.5,81.0,0.0165833333333333
2022-01-28,36,16,6.4,84.0,0.0339583333333333
2022-01-29,28,12,6.4,75.0,0.1986666666666666
2022-01-30,41,17,5.9,83.0,0.0286666666666666
2022-01-31,30,14,4.6,81.0,0.0077083333333333
2022-02-01,21,10,5.4,81.0,0.0035833333333333
2022-02-02,21,10,4.6,87.0,0.0025416666666666
2022-02-03,25,13,5.9,81.0,0.3845416666666666
2022-02-04,21,10,4.6,80.0,0.0305416666666666
2022-02-05,21,9,7.2,83.0,0.3837916666666667
