Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,112,40,1.4,77.7,0.0045416666666666
2022-01-02,82,30,0.9,78.1,0.057375
2022-01-03,139,53,0.6,80.0,0.0620833333333333
2022-01-04,117,53,0.4,72.0,0.0135416666666666
2022-01-05,52,20,1.0,66.5,0.135875
2022-01-06,55,16,2.1,81.1,0.1055
2022-01-07,66,21,0.7,73.7,0.0195416666666666
2022-01-08,95,31,0.9,90.2,0.2232083333333333
2022-01-09,95,33,0.6,85.5,0.1392083333333333
2022-01-10,94,32,2.0,90.8,0.260125
2022-01-11,77,25,1.9,90.0,0.071125
2022-01-12,82,27,1.1,79.7,0.0117083333333333
2022-01-13,155,57,1.0,78.9,0.0075833333333333
2022-01-14,144,52,1.9,72.5,0.1274166666666666
2022-01-15,90,31,1.1,78.0,0.005375
2022-01-16,158,62,0.7,83.6,0.0097083333333333
2022-01-17,100,39,3.2,70.4,0.0
2022-01-18,47,16,2.4,75.5,0.0612083333333333
2022-01-19,99,42,0.5,79.5,0.0278333333333333
2022-01-20,154,59,0.7,88.0,0.1002083333333333
2022-01-21,53,16,2.2,70.7,0.02075
2022-01-22,63,20,2.8,83.6,0.320125
2022-01-23,70,21,1.6,75.1,0.1447916666666666
2022-01-24,88,33,0.7,76.5,0.438625
2022-01-25,154,63,1.5,65.1,0.475125
2022-01-26,126,45,1.3,80.0,0.1927083333333333
2022-01-27,112,40,0.9,76.5,0.000375
2022-01-28,119,47,2.5,73.8,0.041125
2022-01-29,47,17,2.5,71.9,0.0579166666666666
2022-01-30,66,31,2.0,53.6,0.0379583333333333
2022-01-31,55,23,1.7,60.6,0.0071666666666666
2022-02-01,87,31,1.3,83.0,0.0015
2022-02-02,85,31,2.2,74.2,0.0005833333333333
2022-02-03,40,16,3.3,73.8,0.1247083333333333
2022-02-04,99,45,1.5,69.5,0.0637916666666666
2022-02-05,114,52,0.8,69.5,0.0450833333333333
2022-02-06,83,36,0.8,56.9,0.00925
2022-02-07,37,15,3.5,62.3,0.0015416666666666
2022-02-08,33,14,3.8,67.3,0.0005416666666666
2022-02-09,61,21,1.5,64.0,0.0006666666666666
2022-02-10,125,54,1.3,73.7,0.0
2022-02-11,92,46,1.0,60.5,0.6054583333333333
2022-02-12,50,17,1.6,57.4,0.1051666666666666
2022-02-13,74,27,3.4,66.3,0.002375
