Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,34,0,2.0,59.0,0.0119166666666666
2022-01-02,59,0,1.5,83.0,0.0088333333333333
2022-01-03,63,0,2.0,80.0,0.0067916666666666
2022-01-04,53,0,2.0,89.5,0.0115416666666666
2022-01-05,78,0,1.5,100.0,0.0078333333333333
2022-01-06,89,0,2.0,93.0,0.0
2022-01-07,102,0,2.0,93.0,0.0
2022-01-08,95,0,1.5,93.0,0.0789166666666666
2022-01-09,168,0,1.5,86.0,0.01975
2022-01-10,147,0,1.5,89.0,0.0
2022-01-11,154,0,1.5,80.0,0.0802083333333333
2022-01-12,55,0,1.5,66.5,0.0285416666666666
2022-01-13,78,0,1.5,69.0,0.0
2022-01-14,61,0,2.5,74.0,8.333333333333333e-05
2022-01-15,57,0,2.5,71.5,0.0398333333333333
2022-01-16,74,0,2.0,80.0,0.0071249999999999
2022-01-17,85,0,1.5,93.0,0.0001666666666666
2022-01-18,107,0,2.0,96.5,4.1666666666666665e-05
2022-01-19,97,0,2.5,100.0,0.0015416666666666
2022-01-20,50,0,2.0,93.0,0.1256666666666666
2022-01-21,68,0,2.5,85.5,0.063625
2022-01-22,78,0,2.0,92.0,0.0228333333333333
2022-01-23,102,0,1.0,92.0,4.1666666666666665e-05
2022-01-24,107,0,1.5,92.0,0.0
2022-01-25,157,0,1.5,86.0,0.0
2022-01-26,163,0,1.5,86.0,0.0
2022-01-27,42,0,2.0,70.5,0.0
2022-01-28,78,0,1.5,76.0,0.000125
2022-01-29,122,0,2.0,77.0,0.0
2022-01-30,65,0,1.5,89.0,0.0360833333333333
2022-01-31,159,0,1.5,92.0,0.1847083333333333
2022-02-01,186,0,1.0,86.0,0.066125
2022-02-02,239,0,1.0,92.0,0.0
2022-02-03,104,0,1.5,86.0,0.0
2022-02-04,91,0,2.5,79.0,0.0039166666666666
2022-02-05,38,0,4.1,54.0,0.364875
2022-02-06,55,0,3.0,60.5,0.1135833333333333
2022-02-07,53,0,2.5,92.0,0.0029166666666666
2022-02-08,89,0,2.0,89.0,0.0007083333333333
2022-02-09,0,0,1.5,96.0,0.0022916666666666
2022-02-10,0,0,1.5,88.5,0.0041666666666666
2022-02-11,61,0,1.0,83.0,0.1376666666666666
