Date,pm25,pm10,wind-speed,humidity,precipitation
2022-01-01,10,0,3.0,65.0,0
2022-01-02,11,0,4.1,53.1,0
2022-01-03,37,0,2.5,81.0,0
2022-01-04,12,0,4.0,75.0,0
2022-01-05,19,0,1.0,76.0,0
2022-01-06,55,0,2.0,77.0,0
2022-01-07,51,0,3.0,76.1,0
2022-01-08,64,0,1.7,72.8,0
2022-01-09,75,0,1.1,72.2,0
2022-01-10,9,0,1.7,50.2,0
2022-01-11,8,0,2.5,49.3,0
2022-01-12,10,0,2.0,60.5,0
2022-01-13,41,0,2.6,79.2,0
2022-01-14,23,0,3.2,76.8,0
2022-01-15,5,0,3.0,51.7,0
2022-01-16,12,0,1.7,63.7,0
2022-01-17,10,0,5.0,53.1,0
2022-01-18,19,0,3.5,72.0,0
2022-01-19,37,0,2.5,76.2,0
2022-01-20,11,0,3.0,57.0,0
2022-01-21,7,0,1.5,66.2,0
2022-01-22,10,0,2.2,50.8,0
2022-01-23,7,0,3.0,37.3,0
2022-01-24,8,0,3.5,71.1,0
2022-01-25,10,0,3.3,60.0,0
2022-01-26,9,0,3.5,50.0,0
2022-01-27,13,0,2.7,50.5,0
2022-01-28,12,0,2.5,25.0,0
2022-01-29,13,0,2.0,38.7,0
2022-01-30,7,0,2.4,45.7,0
2022-01-31,16,0,5.0,64.8,0
2022-02-01,12,0,2.0,72.5,0
2022-02-02,30,0,3.0,73.2,0
2022-02-03,29,0,3.4,72.5,0
2022-02-04,34,0,3.5,55.2,0
2022-02-05,6,0,3.0,46.7,0
2022-02-06,9,0,3.9,38.5,0
2022-02-07,12,0,5.5,35.7,0
2022-02-08,6,0,3.7,40.0,0
2022-02-09,7,0,3.3,47.5,0
2022-02-10,10,0,3.5,41.0,0
2022-02-11,13,0,4.8,48.1,0
2022-02-12,13,0,2.6,37.5,0
2022-02-13,10,0,2.9,47.6,0
2022-02-14,18,0,1.5,76.6,0
2022-02-15,24,0,2.5,80.7,0
2022-02-16,19,0,1.7,82.0,0
2022-02-17,9,0,3.5,72.7,0
2022-02-18,20,0,3.6,83.0,0
2022-02-19,5,0,2.5,65.2,0
2022-02-20,15,0,2.5,79.0,0
2022-02-21,28,0,2.2,75.0,0
2022-02-22,41,0,1.2,72.1,0
2022-02-23,43,0,1.7,68.3,0
2022-02-24,11,0,3.0,79.3,0
2022-02-25,15,0,1.5,57.0,0
2022-02-26,11,0,3.1,47.2,0
2022-02-27,5,0,3.2,50.1,0
2022-02-28,29,0,1.7,59.1,0
2022-03-01,80,0,1.9,83.7,0
2022-03-02,44,0,1.8,90.1,0
2022-03-03,26,0,1.4,86.0,0
2022-03-04,30,0,3.5,83.3,0
2022-03-05,35,0,1.5,80.7,0
2022-03-06,13,0,1.7,70.2,0
2022-03-07,8,0,4.8,58.6,0
2022-03-08,9,0,5.9,67.1,0
2022-03-09,13,0,2.2,68.2,0
2022-03-10,15,0,3.0,55.1,0
2022-03-11,35,0,2.6,63.8,0
2022-03-12,9,0,3.2,44.5,0
2022-03-13,18,0,1.5,70.5,0
2022-03-14,28,0,3.5,56.2,0
2022-03-15,7,0,2.0,63.0,0
2022-03-16,5,0,3.7,46.2,0
2022-03-17,7,0,2.5,44.2,0
2022-03-18,10,0,2.4,48.0,0
2022-03-19,20,0,1.5,47.7,0
2022-03-20,6,0,4.1,54.6,0
2022-03-21,8,0,3.0,42.5,0
2022-03-22,11,0,2.2,48.0,0
2022-03-23,18,0,2.0,46.9,0
2022-03-24,5,0,3.2,57.2,0
2022-03-25,13,0,3.2,57.7,0
2022-03-26,16,0,1.6,60.5,0
2022-03-27,23,0,2.9,56.5,0
2022-03-28,34,0,4.4,77.1,0
2022-03-29,10,0,2.5,63.7,0
2022-03-30,17,0,3.0,53.3,0
2022-03-31,3,0,3.2,49.0,0
2022-04-01,10,0,2.0,45.0,0
2022-04-02,10,0,2.5,59.0,0
2022-04-03,15,0,1.7,59.3,0
2022-04-04,8,0,5.4,40.2,0
2022-04-05,4,0,5.3,33.5,0
2022-04-06,7,0,2.2,32.5,0
2022-04-07,28,0,3.0,35.7,0
2022-04-08,27,0,5.2,35.5,0
2022-04-09,3,0,2.7,45.9,0
2022-04-10,5,0,6.1,41.1,0
2022-04-11,8,0,4.5,46.7,0
2022-04-12,15,0,5.1,67.5,0
2022-04-13,11,0,3.8,71.5,0
2022-04-14,25,0,3.2,76.0,0
2022-04-15,22,0,1.7,67.5,0
2022-04-16,20,0,3.1,57.0,0
2022-04-17,26,0,2.8,58.5,0
2022-04-18,15,0,4.0,44.5,0
2022-04-19,16,0,3.0,86.2,0
2022-04-20,18,0,3.5,79.6,0
